TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EB-AZ,EH BILDU,VOX,P-LIB,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Bizkaia,ALONSOTEGI,,912,2,2308,1707,28,1679,14,1665,601,581,84,1,195,5,1,50,5,260,7,,,473,3
Gipuzkoa,ALTZAGA,,906,3,119,87,,87,1,86,32,25,1,0,1,1,0,1,,38,,0,,19,0
Gipuzkoa,ALTZO,,7,3,310,218,,218,3,215,92,46,3,0,0,3,0,1,,112,,0,,50,0
Gipuzkoa,AMEZKETA,,8,3,716,362,1,361,6,355,354,101,13,0,9,0,0,0,,143,,0,,89,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14341,9918,80,9838,53,9785,4423,3346,539,2,1012,77,5,173,15,1895,7,,,2696,18
Bizkaia,AMOROTO,,4,4,335,222,,222,,222,113,109,0,0,1,0,0,0,0,90,0,,,22,0
Álava,AMURRIO,,2,3,8124,5722,68,5654,31,5623,2402,1632,496,4,592,31,4,134,,775,24,,1,1913,17
Gipuzkoa,ANDOAIN,,9,3,11452,7388,43,7345,62,7283,4064,1263,636,8,1383,63,2,230,,1300,,2,,2378,18
Gipuzkoa,ANOETA,,10,3,1499,992,6,986,9,977,507,220,64,1,83,10,0,12,,352,,0,,235,0
Gipuzkoa,ANTZUOLA,,11,4,1658,1219,9,1210,7,1203,439,320,31,0,105,3,1,8,,469,,0,,264,2
Bizkaia,ARAKALDO,,5,3,115,63,2,61,,61,52,18,1,0,2,0,0,0,0,18,0,,,22,0
Gipuzkoa,ARAMA,,12,3,147,99,1,98,5,93,48,32,4,0,2,0,0,1,,45,,0,,9,0
Álava,ARAMAIO,,3,2,1190,782,8,774,2,772,408,222,13,0,12,4,1,1,,317,5,,0,197,0
Bizkaia,ARANTZAZU,,6,3,290,239,,239,2,237,51,94,1,0,2,1,0,2,0,90,0,,,47,0
Bizkaia,AREATZA,,93,3,893,653,10,643,7,636,240,244,36,0,18,3,0,7,1,214,0,,,112,1
Gipuzkoa,ARETXABALETA,,13,4,5415,3602,23,3579,19,3560,1813,1021,176,3,365,18,2,43,,913,,2,,1009,8
Álava,ARMIÑÓN,,6,2,175,140,,140,,140,35,11,36,0,18,1,0,18,,7,0,,0,48,1
Álava,ARRAIA-MAEZTU,,37,2,587,411,3,408,1,407,176,135,63,1,33,1,0,8,,61,0,,0,104,1
Bizkaia,ARRANKUDIAGA,,9,3,783,586,11,575,1,574,197,210,20,1,26,4,0,7,0,199,0,,,107,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17475,11073,76,10997,56,10941,6402,2655,710,5,1488,62,3,200,,2630,,7,,3161,20
Bizkaia,ARRATZU,,914,4,332,272,,272,1,271,60,135,0,0,2,0,0,0,0,92,0,,,42,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,786,513,4,509,11,498,273,123,109,1,37,2,0,25,,79,2,,0,120,0
Bizkaia,ARRIETA,,10,4,458,318,1,317,,317,140,164,3,0,7,2,0,4,0,67,0,,,70,0
Bizkaia,ARRIGORRIAGA,,11,3,9674,6468,45,6423,45,6378,3206,1673,503,2,859,53,2,187,14,821,6,,,2244,14
Bizkaia,ARTEA,,23,3,600,455,3,452,,452,145,198,17,0,13,1,0,2,0,138,0,,,83,0
Bizkaia,ARTZENTALES,,8,2,606,424,10,414,6,408,182,214,22,0,15,2,0,1,1,46,0,,,107,0
Álava,ARTZINIEGA,,4,3,1399,1008,13,995,8,987,391,301,130,2,71,8,0,25,,153,0,,0,296,1
Álava,ASPARRENA,,9,2,1265,849,4,845,2,843,416,210,62,0,76,6,0,11,,178,0,,2,298,0
Gipuzkoa,ASTEASU,,14,3,1108,611,2,609,4,605,497,144,21,0,25,5,0,4,,249,,0,,155,2
Gipuzkoa,ASTIGARRAGA,,903,1,4330,2756,22,2734,28,2706,1574,592,164,3,253,14,3,83,,625,,0,,961,8
Gipuzkoa,ATAUN,,15,3,1265,858,7,851,7,844,407,245,3,0,6,1,0,2,,460,,0,,127,0
Bizkaia,ATXONDO,,91,3,1121,771,6,765,7,758,350,266,34,0,52,4,0,7,0,214,0,,,181,0
Bizkaia,AULESTI,,70,4,544,362,,362,4,358,182,101,6,0,0,0,0,3,0,216,0,,,32,0
Álava,AYALA/AIARA,,10,3,2268,1623,20,1603,11,1592,645,518,153,1,102,13,0,26,,234,2,,0,537,6
Gipuzkoa,AZKOITIA,,17,4,8559,5478,43,5435,24,5411,3081,2014,272,5,490,38,4,73,,1254,,2,,1245,14
Gipuzkoa,AZPEITIA,,18,4,11064,6719,29,6690,41,6649,4345,2542,274,3,332,12,6,71,,2286,,1,,1116,6
Álava,AÑANA,,49,2,138,109,,109,1,108,29,30,16,0,8,0,0,0,,19,0,,0,34,1
Bizkaia,BAKIO,,12,4,2049,1527,15,1512,7,1505,522,672,60,0,44,4,0,15,2,397,0,,,310,1
Gipuzkoa,BALIARRAIN,,904,3,95,44,,44,2,42,51,8,0,0,1,1,0,0,,24,,0,,8,0
Bizkaia,BALMASEDA,,90,2,6002,4345,50,4295,28,4267,1657,1453,327,4,716,24,8,97,5,378,3,,,1246,6
Bizkaia,BARAKALDO,,13,2,79723,53419,422,52997,345,52652,26304,9618,6944,59,11186,523,101,2022,75,3052,87,,,18849,136
Bizkaia,BARRIKA,,14,4,1211,806,5,801,7,794,405,267,63,0,60,5,0,27,1,138,0,,,233,0
Álava,BARRUNDIA,,13,2,712,454,4,450,,450,258,107,47,0,23,6,0,14,,104,0,,0,149,0
Bizkaia,BASAURI,,15,3,33585,22727,199,22528,122,22406,10858,5561,2672,16,4427,199,34,695,26,1657,17,,,7059,43
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,235,174,3,171,4,167,61,47,70,0,16,0,0,11,,4,0,,0,19,0
Gipuzkoa,BEASAIN,,19,3,9986,6428,36,6392,48,6344,3558,1987,427,10,826,45,5,148,,1145,,3,,1740,8
Bizkaia,BEDIA,,92,3,836,618,5,613,5,608,218,306,37,0,31,6,1,7,1,86,0,,,132,1
Gipuzkoa,BEIZAMA,,20,4,125,71,2,69,3,66,54,27,1,0,0,0,0,0,,28,,0,,10,0
Gipuzkoa,BELAUNTZA,,21,3,200,100,,100,2,98,100,37,1,0,1,0,0,2,,34,,0,,22,1
Bizkaia,BERANGO,,16,4,5271,3694,20,3674,24,3650,1577,1126,474,2,350,35,5,167,5,466,1,,,1014,5
Álava,BERANTEVILLA,,14,2,371,280,8,272,4,268,91,63,71,0,37,4,1,11,,16,1,,0,64,0
Gipuzkoa,BERASTEGI,,22,3,839,473,1,472,4,468,366,169,13,0,11,2,0,2,,181,,0,,90,0
Gipuzkoa,BERGARA,,74,4,11592,7954,40,7914,45,7869,3638,2270,351,5,702,26,1,87,,2261,,1,,2157,8
Bizkaia,BERMEO,,17,4,13262,8543,61,8482,42,8440,4719,3722,228,1,404,47,1,65,3,1884,2,,,2070,13
Álava,BERNEDO,,16,2,433,228,2,226,5,221,205,68,54,2,16,1,0,5,,24,0,,0,51,0
Bizkaia,BERRIATUA,,18,4,869,522,,522,2,520,347,211,6,1,8,3,0,3,2,203,0,,,82,1
Bizkaia,BERRIZ,,19,3,3553,2406,9,2397,18,2379,1147,685,168,2,306,13,1,62,4,452,0,,,681,5
Gipuzkoa,BERROBI,,23,3,441,252,1,251,1,250,189,50,14,0,15,2,0,5,,100,,0,,63,1
Gipuzkoa,BIDANIA-GOIATZ,,24,4,386,210,1,209,3,206,176,58,5,1,4,0,0,3,,98,,0,,37,0
Bizkaia,BILBAO,,20,1,273679,184710,1082,183628,1185,182443,88969,50722,31165,126,26257,1534,286,7477,402,13791,234,,,50083,366
Bizkaia,BUSTURIA,,21,4,1336,908,9,899,1,898,428,383,36,3,60,7,0,16,0,200,1,,,191,1
Álava,CAMPEZO/KANPEZU,,17,2,849,571,6,565,5,560,278,170,82,0,54,5,0,12,,90,2,,0,144,1
Gipuzkoa,DEBA,,29,4,4281,2813,11,2802,19,2783,1468,958,136,1,203,16,1,44,,684,,1,,737,2
Bizkaia,DERIO,,901,4,4839,3459,33,3426,32,3394,1380,982,322,1,570,32,2,85,9,336,3,,,1049,3
Bizkaia,DIMA,,26,3,1140,830,7,823,5,818,310,294,10,0,6,0,0,3,0,352,0,,,153,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147046,100691,459,100232,836,99396,46355,21512,15555,71,15439,913,204,4972,,12044,,69,,28354,263
Bizkaia,DURANGO,,27,3,22150,15089,107,14982,78,14904,7061,4648,1526,11,1603,100,10,411,27,2456,11,,,4084,17
Bizkaia,EA,,28,4,717,543,6,537,3,534,174,225,9,0,1,1,0,1,2,238,0,,,57,0
Gipuzkoa,EIBAR,,30,4,21424,13960,62,13898,101,13797,7464,3053,1363,16,3000,100,11,339,,1913,,8,,3950,44
Bizkaia,ELANTXOBE,,31,4,332,233,2,231,1,230,99,127,2,0,1,1,0,2,0,67,0,,,28,2
Álava,ELBURGO/BURGELU,,21,2,473,310,1,309,,309,163,93,72,1,39,8,0,10,,22,1,,0,63,0
Álava,ELCIEGO,,22,2,800,557,13,544,2,542,243,74,165,0,122,5,1,34,,22,2,,0,114,3
Gipuzkoa,ELDUAIN,,31,3,176,90,,90,,90,86,32,2,0,0,0,0,0,,40,,0,,16,0
Gipuzkoa,ELGETA,,33,4,868,600,1,599,1,598,268,188,15,0,24,4,0,4,,214,,0,,148,1
Gipuzkoa,ELGOIBAR,,32,4,8797,5672,42,5630,40,5590,3125,1834,441,3,686,37,7,141,,1097,,2,,1337,5
Bizkaia,ELORRIO,,32,3,5743,4065,17,4048,29,4019,1678,1146,323,3,403,22,1,55,8,1150,5,,,898,5
Álava,ELVILLAR/BILAR,,23,2,267,187,1,186,1,185,80,44,63,1,14,1,0,9,,15,0,,1,37,0
Bizkaia,ERANDIO,,902,4,19008,12566,119,12447,76,12371,6442,3400,1086,17,2084,102,8,351,23,1089,7,,,4165,39
Bizkaia,EREÑO,,33,4,217,149,,149,,149,68,66,1,0,0,1,0,0,0,52,0,,,29,0
Bizkaia,ERMUA,,34,3,12866,8798,51,8747,43,8704,4068,1027,1666,15,2082,70,10,447,16,604,5,,,2726,36
Gipuzkoa,ERRENTERIA,,67,2,30828,19984,102,19882,140,19742,10844,2404,1692,14,4021,198,17,682,,3247,,8,,7407,52
Gipuzkoa,ERREZIL,,66,4,454,236,2,234,1,233,218,62,0,0,0,0,0,0,,157,,0,,14,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,601,432,4,428,3,425,169,109,99,0,42,3,1,13,,35,0,,0,123,0
Bizkaia,ERRIGOITI,,79,4,427,305,1,304,2,302,122,126,12,0,3,3,0,1,1,102,0,,,54,0
Gipuzkoa,ESKORIATZA,,34,4,3146,2026,12,2014,14,2000,1120,534,80,2,287,18,2,29,,500,,0,,546,2
Bizkaia,ETXEBARRI,,29,3,8338,5721,38,5683,37,5646,2617,1106,589,1,980,67,7,308,16,315,7,,,2230,20
Bizkaia,ETXEBARRIA,,30,4,606,441,2,439,1,438,165,229,9,0,4,0,0,1,0,140,0,,,55,0
Gipuzkoa,EZKIO-ITSASO,,35,3,486,337,3,334,1,333,149,108,9,0,8,2,0,1,,134,,1,,69,1
Bizkaia,FORUA,,906,4,767,547,3,544,,544,220,259,17,0,14,2,0,1,1,155,0,,,95,0
Bizkaia,FRUIZ,,35,4,413,293,1,292,1,291,120,157,3,0,3,1,0,4,0,63,0,,,60,0
Gipuzkoa,GABIRIA,,38,3,387,261,2,259,,259,126,100,3,0,5,1,0,1,,109,,0,,40,0
Gipuzkoa,GAINTZA,,37,3,99,64,,64,2,62,35,22,0,0,0,1,0,3,,29,,0,,7,0
Bizkaia,GALDAKAO,,36,3,24078,16076,105,15971,86,15885,8002,4709,1394,8,2042,135,22,450,13,2023,8,,,5043,38
Bizkaia,GALDAMES,,37,2,673,481,3,478,5,473,192,217,14,0,26,4,1,3,1,88,0,,,119,0
Bizkaia,GAMIZ-FIKA,,38,4,1126,798,4,794,3,791,328,387,41,1,19,1,0,9,0,145,0,,,188,0
Bizkaia,GARAI,,39,3,239,190,2,188,,188,49,96,10,0,5,1,0,6,2,45,0,,,21,2
Bizkaia,GATIKA,,40,4,1281,877,8,869,3,866,404,405,37,0,33,4,0,11,0,165,0,,,211,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,693,533,4,529,3,526,160,260,13,0,14,6,1,13,1,118,1,,,99,0
Gipuzkoa,GAZTELU,,907,3,118,85,,85,2,83,33,22,2,0,0,0,0,0,,36,,0,,23,0
Bizkaia,GERNIKA-LUMO,,46,4,12611,8836,42,8794,39,8755,3775,3458,446,5,610,42,1,144,6,2023,9,,,2002,9
Gipuzkoa,GETARIA,,39,4,2111,1480,8,1472,14,1458,631,565,24,0,35,10,1,12,,554,,0,,256,1
Bizkaia,GETXO,,44,4,62780,45594,195,45399,287,45112,17186,13647,11152,31,4130,283,65,2328,81,3857,64,,,9408,66
Bizkaia,GIZABURUAGA,,47,4,159,111,,111,,111,48,29,1,0,0,0,0,0,0,60,0,,,21,0
Bizkaia,GORDEXOLA,,42,2,1369,1068,15,1053,7,1046,301,487,118,1,66,13,0,34,1,63,2,,,259,2
Bizkaia,GORLIZ,,43,4,4423,3118,10,3108,17,3091,1305,1200,247,0,211,31,0,64,10,434,4,,,886,4
Bizkaia,GÜEÑES,,45,2,5167,3809,52,3757,28,3729,1358,1517,194,1,399,34,1,56,3,483,0,,,1037,4
Álava,HARANA/VALLE DE ARANA,,56,2,219,136,1,135,,135,83,55,26,0,3,2,0,3,,20,0,,0,25,1
Gipuzkoa,HERNANI,,40,1,15290,9444,71,9373,66,9307,5846,1492,587,7,1071,62,5,186,,2879,,9,,2866,143
Gipuzkoa,HERNIALDE,,41,3,255,123,,123,,123,132,42,2,0,1,0,0,5,,38,,0,,35,0
Gipuzkoa,HONDARRIBIA,,36,2,13210,8518,43,8475,67,8408,4692,2819,754,6,806,63,6,309,,949,,6,,2678,12
Gipuzkoa,IBARRA,,42,3,3228,1967,9,1958,27,1931,1261,466,102,1,215,11,3,25,,546,,0,,562,0
Bizkaia,IBARRANGELU,,48,4,557,395,2,393,5,388,162,162,10,0,7,2,2,2,0,123,0,,,79,1
Gipuzkoa,IDIAZABAL,,43,3,1739,1090,2,1088,9,1079,649,445,43,1,40,3,0,8,,363,,0,,174,2
Bizkaia,IGORRE,,94,3,3161,2094,21,2073,12,2061,1067,829,72,1,91,9,0,17,2,593,2,,,443,2
Gipuzkoa,IKAZTEGIETA,,44,3,367,236,,236,,236,131,53,6,0,14,2,0,2,,96,,0,,62,1
Gipuzkoa,IRUN,,45,2,46626,30525,172,30353,197,30156,16101,4888,4197,26,6643,351,73,1637,,2133,,23,,10086,99
Gipuzkoa,IRURA,,46,3,1223,739,2,737,5,732,484,203,47,1,42,7,1,25,,201,,0,,204,1
Álava,IRURAIZ-GAUNA,,27,2,416,257,3,254,3,251,159,78,37,0,7,3,2,14,,37,0,,0,73,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2354,1592,21,1571,8,1563,762,184,324,2,291,34,1,80,,103,2,,0,535,7
Bizkaia,ISPASTER,,49,4,549,416,,416,1,415,133,198,11,0,0,2,1,3,0,112,0,,,87,1
Gipuzkoa,ITSASONDO,,47,3,469,307,3,304,5,299,162,72,10,1,10,0,0,3,,149,,0,,54,0
Bizkaia,IURRETA,,910,3,2909,1950,13,1937,10,1927,959,499,205,1,298,14,2,53,2,386,2,,,464,1
Bizkaia,IZURTZA,,50,3,191,147,1,146,,146,44,58,6,0,1,0,0,0,0,62,0,,,19,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2337,1444,11,1433,6,1427,893,647,97,1,128,4,1,17,1,107,0,,,422,2
Bizkaia,KORTEZUBI,,907,4,348,266,,266,2,264,82,132,6,0,5,0,0,0,0,78,0,,,43,0
Álava,KRIPAN,,19,2,150,106,1,105,1,104,44,58,18,0,2,2,0,7,,6,0,,0,10,1
Álava,KUARTANGO,,20,2,327,237,3,234,3,231,90,82,23,0,8,0,0,4,,51,0,,0,63,0
Álava,LABASTIDA/BASTIDA,,28,2,1070,716,6,710,3,707,354,103,204,1,97,7,0,29,,75,2,,0,187,2
Álava,LAGRÁN,,30,2,156,129,,129,3,126,27,36,42,0,10,1,0,0,,8,0,,2,26,1
Álava,LAGUARDIA,,31,2,1169,882,19,863,6,857,287,147,298,3,71,7,0,46,,79,3,,1,202,0
Álava,LANCIEGO/LANTZIEGO,,32,2,517,361,7,354,1,353,156,100,83,0,48,1,2,17,,24,0,,0,77,1
Bizkaia,LANESTOSA,,51,2,213,163,,163,,163,50,60,16,0,19,3,0,3,0,17,0,,,45,0
Álava,LANTARÓN,,902,2,734,514,12,502,4,498,220,102,127,0,57,8,0,29,,29,0,,0,146,0
Álava,LAPUEBLA DE LABARCA,,33,2,651,484,5,479,2,477,167,167,103,0,62,0,0,24,,38,0,,0,82,1
Bizkaia,LARRABETZU,,52,4,1562,1160,10,1150,4,1146,402,379,32,2,20,1,0,13,4,484,0,,,209,2
Gipuzkoa,LARRAUL,,48,3,182,100,2,98,2,96,82,13,2,0,3,3,0,0,,44,,0,,31,0
Gipuzkoa,LASARTE-ORIA,,902,1,14156,9664,51,9613,74,9539,4492,1233,1056,10,2493,83,20,407,,1378,,8,,2822,29
Álava,LAUDIO/LLODIO,,36,3,14955,10052,93,9959,55,9904,4903,2292,1100,20,1432,64,11,230,,1460,10,,2,3266,17
Bizkaia,LAUKIZ,,53,4,896,666,4,662,6,656,230,313,105,0,36,5,0,30,0,91,0,,,76,0
Gipuzkoa,LAZKAO,,49,3,4122,2677,11,2666,15,2651,1445,664,130,1,273,23,2,30,,869,,1,,653,5
Gipuzkoa,LEABURU,,50,3,266,170,1,169,1,168,96,49,4,0,1,0,0,1,,93,,0,,20,0
Gipuzkoa,LEGAZPI,,51,3,6878,4699,20,4679,34,4645,2179,1244,334,8,643,17,2,68,,978,,1,,1340,10
Gipuzkoa,LEGORRETA,,52,3,1090,779,3,776,8,768,311,216,29,0,53,2,1,10,,233,,0,,220,4
Álava,LEGUTIO,,58,2,1345,799,6,793,7,786,546,155,62,0,76,6,0,18,,180,1,,0,286,2
Gipuzkoa,LEINTZ-GATZAGA,,68,4,190,135,,135,3,132,55,39,0,0,0,0,0,0,,63,,0,,30,0
Bizkaia,LEIOA,,54,4,24181,16797,86,16711,118,16593,7384,4672,2217,15,2305,178,18,766,32,1197,13,,,5135,45
Bizkaia,LEKEITIO,,57,4,5723,3988,26,3962,26,3936,1735,1558,78,2,82,9,0,20,1,1468,0,,,717,1
Bizkaia,LEMOA,,55,3,2668,1872,23,1849,11,1838,796,642,81,1,116,12,1,28,5,500,1,,,446,5
Bizkaia,LEMOIZ,,56,4,966,705,5,700,5,695,261,315,13,0,9,4,1,9,0,154,0,,,188,2
Álava,LEZA,,34,2,161,124,1,123,1,122,37,37,13,0,20,2,0,1,,19,0,,0,30,0
Bizkaia,LEZAMA,,81,4,1868,1361,11,1350,4,1346,507,619,67,0,69,9,0,21,0,247,0,,,312,2
Gipuzkoa,LEZO,,53,2,4774,2973,20,2953,13,2940,1801,457,169,5,303,16,3,64,,821,,1,,1098,3
Gipuzkoa,LIZARTZA,,54,3,447,286,2,284,2,282,161,47,6,0,0,0,0,0,,189,,0,,40,0
Bizkaia,LOIU,,903,4,1835,1361,10,1351,7,1344,474,688,169,0,62,6,0,41,0,116,1,,,261,0
Bizkaia,MALLABIA,,58,3,968,647,1,646,2,644,321,213,27,1,54,1,0,13,2,203,0,,,129,1
Bizkaia,MARKINA-XEMEIN,,60,4,3634,2143,9,2134,7,2127,1491,941,60,2,51,2,1,15,3,663,0,,,388,1
Bizkaia,MARURI-JATABE,,61,4,762,565,4,561,,561,197,278,37,0,15,1,2,18,1,94,1,,,114,0
Bizkaia,MAÑARIA,,59,3,400,294,3,291,,291,106,128,10,0,7,1,0,3,0,101,0,,,41,0
Gipuzkoa,MENDARO,,901,4,1437,908,2,906,2,904,529,285,45,0,100,2,0,11,,169,,0,,290,2
Bizkaia,MENDATA,,62,4,302,237,1,236,4,232,65,114,3,0,2,1,0,3,1,72,0,,,35,1
Bizkaia,MENDEXA,,63,4,372,279,2,277,2,275,93,116,9,0,4,2,0,0,0,82,0,,,60,2
Bizkaia,MEÑAKA,,64,4,606,447,2,445,4,441,159,176,9,0,8,2,0,2,0,149,0,,,94,1
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,209,155,2,153,,153,54,29,30,1,35,0,0,4,,10,0,,0,44,0
Bizkaia,MORGA,,66,4,348,258,,258,1,257,90,151,5,0,0,2,0,0,1,66,0,,,32,0
Bizkaia,MUNDAKA,,68,4,1550,1130,12,1118,12,1106,420,600,21,1,24,4,0,3,3,228,0,,,222,0
Bizkaia,MUNGIA,,69,4,12799,8679,67,8612,55,8557,4120,3566,828,3,591,52,7,262,11,1122,4,,,2094,17
Álava,MUNICIPIO CERA ARABA,,999,99,6059,579,1,578,1,577,5480,60,130,1,51,8,4,38,,35,6,,0,240,4
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,36620,2305,13,2292,5,2287,34315,422,428,3,288,14,27,184,4,152,13,,,741,11
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,25723,2768,58,2710,10,2700,22955,345,371,3,308,27,13,183,,388,,3,,1043,16
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,364,240,,240,5,235,124,99,0,0,2,1,0,0,0,107,0,,,25,1
Bizkaia,MURUETA,,908,4,249,181,,181,,181,68,83,5,0,5,0,0,1,0,51,0,,,35,1
Bizkaia,MUSKIZ,,71,2,6087,4294,40,4254,32,4222,1793,1383,224,3,684,33,5,72,1,353,2,,,1456,6
Gipuzkoa,MUTILOA,,57,3,196,122,,122,,122,74,22,0,0,1,0,0,1,,64,,0,,34,0
Gipuzkoa,MUTRIKU,,56,4,4082,2589,19,2570,27,2543,1493,900,103,1,107,8,0,25,,717,,0,,679,3
Bizkaia,MUXIKA,,67,4,1158,813,3,810,2,808,345,312,8,0,14,1,0,7,0,301,1,,,164,0
Bizkaia,NABARNIZ,,909,4,209,161,,161,,161,48,50,0,0,0,1,0,0,0,80,0,,,30,0
Álava,NAVARIDAS,,41,2,149,103,3,100,1,99,46,29,40,0,5,1,0,5,,3,0,,0,16,0
Gipuzkoa,OIARTZUN,,63,2,8017,5263,32,5231,35,5196,2754,1005,182,4,224,30,8,58,,2209,,0,,1472,4
Álava,OKONDO,,42,3,904,653,5,648,6,642,251,223,50,0,28,7,0,6,,128,1,,0,197,2
Gipuzkoa,OLABERRIA,,58,3,755,529,4,525,3,522,226,141,43,0,83,9,1,18,,95,,0,,130,2
Bizkaia,ONDARROA,,73,4,6910,4306,35,4271,31,4240,2604,1393,183,1,123,15,2,18,5,1640,2,,,857,1
Gipuzkoa,ORDIZIA,,76,3,6990,4666,18,4648,29,4619,2324,1183,340,3,544,16,7,79,,1153,,12,,1129,153
Gipuzkoa,ORENDAIN,,905,3,145,100,,100,1,99,45,31,0,0,0,0,0,0,,52,,0,,16,0
Gipuzkoa,OREXA,,60,3,88,67,,67,2,65,21,1,0,0,0,0,0,0,,64,,0,,0,0
Gipuzkoa,ORIO,,61,4,4273,2601,11,2590,21,2569,1672,919,109,2,186,16,3,28,,614,,1,,690,1
Gipuzkoa,ORMAIZTEGI,,62,3,973,653,,653,11,642,320,248,25,0,21,6,1,6,,209,,0,,124,2
Bizkaia,OROZKO,,75,3,1996,1364,5,1359,6,1353,632,582,80,0,55,4,3,17,1,248,0,,,362,1
Bizkaia,ORTUELLA,,83,2,6962,4885,29,4856,40,4816,2077,1003,278,7,908,47,8,79,7,361,1,,,2106,11
Bizkaia,OTXANDIO,,72,3,977,716,3,713,4,709,261,243,19,0,21,1,0,1,0,282,0,,,141,1
Álava,OYÓN-OION,,43,2,2304,1552,20,1532,13,1519,752,180,372,0,281,11,6,109,,136,2,,1,418,3
Gipuzkoa,OÑATI,,59,4,8874,5873,18,5855,29,5826,3001,1899,215,2,370,17,3,45,,1971,,1,,1296,7
Gipuzkoa,PASAIA,,64,2,12503,7803,48,7755,52,7703,4700,1411,674,10,1173,97,17,205,,1397,,2,,2697,20
Álava,PEÑACERRADA-URIZAHARRA,,44,2,236,169,2,167,,167,67,34,44,0,20,1,1,4,,14,0,,0,49,0
Bizkaia,PLENTZIA,,77,4,3364,2437,6,2431,18,2413,927,991,196,1,129,24,0,73,2,338,3,,,653,3
Bizkaia,PORTUGALETE,,78,2,38621,26366,154,26212,158,26054,12255,5315,3282,41,5790,225,33,851,43,1643,18,,,8774,39
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,968,673,5,668,5,663,295,103,189,1,88,12,1,60,,20,1,,1,186,1
Álava,SAMANIEGO,,52,2,245,184,3,181,,181,61,55,22,0,42,0,0,0,,29,0,,0,32,1
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,582,321,1,320,4,316,261,102,31,0,13,0,2,5,,66,0,,0,97,0
Bizkaia,SANTURTZI,,82,2,37607,25134,196,24938,176,24762,12473,5547,2614,20,4583,186,27,720,30,2154,24,,,8819,38
Gipuzkoa,SEGURA,,70,3,1092,748,2,746,5,741,344,268,10,2,19,1,0,5,,337,,0,,99,0
Bizkaia,SESTAO,,84,2,22449,14670,117,14553,90,14463,7779,2916,1546,16,3181,129,19,348,29,953,23,,,5274,29
Bizkaia,SONDIKA,,904,4,3511,2625,25,2600,22,2578,886,1104,260,1,213,22,2,80,3,275,1,,,615,2
