TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,PFYV,Cs,EB-AZ,O.E.,EH BILDU,VOX,GANEMOS,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Gipuzkoa,LAZKAO,,49,3,4119,2653,8,2645,17,2628,1466,963,54,,,166,16,2,17,,,1096,,7,1,303,3
Gipuzkoa,LEABURU,,50,3,269,186,,186,1,185,83,61,1,,,0,1,1,0,,,108,,1,0,12,0
Gipuzkoa,LEGAZPI,,51,3,6859,4470,18,4452,36,4416,2389,1632,211,,,483,17,3,44,,,1400,,21,4,589,12
Gipuzkoa,LEGORRETA,,52,3,1085,739,5,734,11,723,346,270,17,,,14,1,1,6,,,312,,2,0,96,4
Álava,LEGUTIO,,58,2,1356,793,5,788,6,782,563,259,33,,,47,3,,12,1,1,314,3,1,,107,1
Gipuzkoa,LEINTZ-GATZAGA,,68,4,189,132,3,129,,129,57,39,0,,,0,0,0,0,,,80,,1,0,9,0
Bizkaia,LEIOA,,54,4,24206,15163,54,15109,101,15008,9043,6290,1533,18,11,1785,167,26,383,35,11,1940,,116,,2643,50
Bizkaia,LEKEITIO,,57,4,5700,4088,10,4078,14,4064,1612,1824,36,1,0,54,1,2,14,0,0,1875,,10,,246,1
Bizkaia,LEMOA,,55,3,2662,1831,18,1813,9,1804,831,772,53,2,2,85,3,5,20,3,2,630,,8,,215,4
Bizkaia,LEMOIZ,,56,4,969,681,1,680,6,674,288,375,9,0,0,8,4,1,2,1,0,202,,4,,67,1
Álava,LEZA,,34,2,156,107,,107,,107,49,50,5,,,17,0,,0,1,0,27,0,0,,7,0
Bizkaia,LEZAMA,,81,4,1870,1370,10,1360,7,1353,500,745,43,0,0,43,6,2,6,1,1,376,,9,,121,0
Gipuzkoa,LEZO,,53,2,4785,2783,7,2776,25,2751,2002,713,88,,,238,16,3,38,,,1154,,16,1,484,0
Gipuzkoa,LIZARTZA,,54,3,441,310,1,309,4,305,131,66,0,,,0,0,0,1,,,222,,0,0,16,0
Bizkaia,LOIU,,903,4,1817,1309,6,1303,7,1296,508,803,127,1,0,51,14,0,21,2,0,162,,2,,113,0
Bizkaia,MALLABIA,,58,3,969,655,2,653,4,649,314,266,14,0,0,33,0,1,6,1,0,268,,5,,54,1
Bizkaia,MARKINA-XEMEIN,,60,4,3632,2359,6,2353,9,2344,1273,1193,34,0,1,32,3,4,6,0,0,902,,1,,168,0
Bizkaia,MARURI-JATABE,,61,4,765,558,4,554,,554,207,306,22,1,0,15,6,1,6,0,2,131,,3,,56,5
Bizkaia,MAÑARIA,,59,3,402,309,3,306,1,305,93,150,8,0,0,7,1,1,0,0,0,119,,1,,17,1
Gipuzkoa,MENDARO,,901,4,1440,904,5,899,4,895,536,373,34,,,57,2,0,10,,,268,,6,0,144,1
Bizkaia,MENDATA,,62,4,302,234,,234,1,233,68,126,0,0,0,1,0,1,1,0,0,86,,0,,18,0
Bizkaia,MENDEXA,,63,4,371,282,5,277,1,276,89,134,2,2,0,5,2,0,0,0,0,114,,1,,16,0
Bizkaia,MEÑAKA,,64,4,602,442,1,441,1,440,160,208,4,0,0,2,1,2,0,0,0,186,,2,,34,1
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,210,157,7,150,,150,53,49,28,,,31,1,,1,0,0,19,0,1,,20,0
Bizkaia,MORGA,,66,4,350,272,,272,,272,78,169,4,0,0,0,2,0,0,1,0,83,,0,,13,0
Bizkaia,MUNDAKA,,68,4,1553,1147,8,1139,6,1133,406,673,10,1,0,16,3,1,3,1,0,324,,3,,98,0
Bizkaia,MUNGIA,,69,4,12795,8315,39,8276,40,8236,4480,4337,572,4,5,404,47,15,147,13,5,1675,,50,,944,18
Álava,MUNICIPIO CERA ARABA,,999,99,6181,362,2,360,,360,5819,83,57,,,34,4,,20,2,4,69,3,1,,79,4
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,37032,1458,4,1454,12,1442,35574,494,210,1,5,163,20,11,49,4,2,220,,3,,256,4
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,25945,1437,1,1436,2,1434,24508,323,144,,,135,12,6,34,,,482,,2,4,285,7
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,363,255,,255,3,252,108,119,0,0,0,0,1,0,0,0,0,121,,0,,11,0
Bizkaia,MURUETA,,908,4,249,203,1,202,4,198,46,102,4,0,0,3,0,0,1,0,0,74,,0,,14,0
Bizkaia,MUSKIZ,,71,2,6097,4031,25,4006,17,3989,2066,1805,134,4,5,572,37,3,41,2,0,626,,21,,730,9
Gipuzkoa,MUTILOA,,57,3,195,128,,128,1,127,67,31,0,,,0,0,0,0,,,80,,1,0,15,0
Gipuzkoa,MUTRIKU,,56,4,4086,2635,16,2619,23,2596,1451,1142,72,,,58,12,1,17,,,1051,,10,1,229,3
Bizkaia,MUXIKA,,67,4,1155,819,1,818,3,815,336,381,7,0,0,10,2,1,6,2,1,342,,1,,62,0
Bizkaia,NABARNIZ,,909,4,209,177,1,176,1,175,32,61,0,0,0,0,0,0,0,0,0,102,,0,,12,0
Álava,NAVARIDAS,,41,2,149,104,,104,1,103,45,42,39,,,4,1,,0,1,0,6,0,0,,8,2
Gipuzkoa,OIARTZUN,,63,2,8023,5256,13,5243,24,5219,2767,1367,126,,,145,29,2,28,,,2850,,18,5,642,7
Álava,OKONDO,,42,3,895,639,4,635,10,625,256,299,37,,,16,5,,2,1,0,189,1,0,,74,1
Gipuzkoa,OLABERRIA,,58,3,756,475,3,472,1,471,281,189,17,,,52,9,1,7,,,127,,5,0,63,1
Bizkaia,ONDARROA,,73,4,6884,4362,21,4341,30,4311,2522,1646,129,2,1,74,15,2,11,2,0,2057,,5,,366,1
Gipuzkoa,ORDIZIA,,76,3,6971,4535,9,4526,19,4507,2436,1624,234,,,390,29,9,44,,,1517,,15,1,634,10
Gipuzkoa,ORENDAIN,,905,3,145,107,1,106,1,105,38,36,0,,,1,0,0,0,,,63,,0,0,5,0
Gipuzkoa,OREXA,,60,3,89,79,,79,2,77,10,2,0,,,0,0,0,0,,,74,,0,0,1,0
Gipuzkoa,ORIO,,61,4,4282,2631,11,2620,22,2598,1651,1197,46,,,131,8,3,13,,,917,,9,2,268,4
Gipuzkoa,ORMAIZTEGI,,62,3,976,670,3,667,9,658,306,294,16,,,14,3,2,3,,,275,,1,0,48,2
Bizkaia,OROZKO,,75,3,2020,1399,9,1390,14,1376,621,742,53,1,0,32,8,1,13,4,0,367,,3,,150,2
Bizkaia,ORTUELLA,,83,2,6947,4395,22,4373,34,4339,2552,1606,154,4,6,718,40,8,39,1,1,609,,23,,1123,7
Bizkaia,OTXANDIO,,72,3,969,743,3,740,3,737,226,291,10,0,0,13,1,0,0,0,0,373,,2,,46,1
Álava,OYÓN-OION,,43,2,2316,1289,8,1281,13,1268,1027,353,262,,,175,11,,51,3,0,225,10,6,,168,4
Gipuzkoa,OÑATI,,59,4,8871,5911,14,5897,19,5878,2960,2349,138,,,208,15,4,27,,,2554,,24,2,553,4
Gipuzkoa,PASAIA,,64,2,12510,7026,25,7001,33,6968,5484,2116,456,,,908,74,19,93,,,1937,,65,3,1269,28
Álava,PEÑACERRADA-URIZAHARRA,,44,2,233,165,,165,2,163,68,61,34,,,10,1,,4,0,0,30,1,2,,20,0
Bizkaia,PLENTZIA,,77,4,3367,2363,3,2360,7,2353,1004,1216,139,1,0,115,15,2,36,4,1,528,,15,,278,3
