TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,PFYV,Cs,EB-AZ,O.E.,EH BILDU,VOX,GANEMOS,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Bizkaia,ABADIÑO,,1,3,5841,3705,9,3696,17,3679,2136,1302,248,3,2,382,36,6,72,6,3,1140,,24,,449,6
Gipuzkoa,ABALTZISKETA,,1,3,252,163,,163,3,160,89,73,0,,,0,1,0,0,,,79,,0,0,7,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7807,5088,44,5044,34,5010,2719,2042,150,1,4,647,38,4,73,12,1,856,,27,,1150,5
Gipuzkoa,ADUNA,,2,3,343,231,,231,4,227,112,68,2,,,0,0,0,0,,,139,,2,0,16,0
Álava,AGURAIN/SALVATIERRA,,51,2,3593,2073,8,2065,10,2055,1520,780,119,,,150,14,,34,5,0,686,16,5,,245,1
Gipuzkoa,AIA,,16,4,1540,954,1,953,1,952,586,479,7,,,16,7,0,0,,,362,,0,1,78,2
Gipuzkoa,AIZARNAZABAL,,3,4,542,354,1,353,2,351,188,103,1,,,5,1,1,4,,,203,,1,0,32,0
Bizkaia,AJANGIZ,,911,4,382,291,,291,2,289,91,94,1,0,0,0,1,0,0,0,0,175,,0,,18,0
Gipuzkoa,ALBIZTUR,,4,3,248,146,,146,,146,102,79,0,,,8,1,0,0,,,45,,0,0,13,0
Gipuzkoa,ALEGIA,,5,3,1258,796,2,794,3,791,462,286,10,,,25,5,1,2,,,391,,4,1,66,0
Álava,ALEGRÍA-DULANTZI,,1,2,1986,1177,8,1169,9,1160,809,403,120,,,143,15,,29,2,0,241,1,6,,195,5
Gipuzkoa,ALKIZA,,6,3,259,154,,154,,154,105,57,2,,,2,2,0,0,,,76,,2,0,13,0
Bizkaia,ALONSOTEGI,,912,2,2316,1649,15,1634,21,1613,667,732,63,0,2,132,13,0,19,1,1,383,,6,,261,0
Gipuzkoa,ALTZAGA,,906,3,116,80,,80,,80,36,27,0,,,1,1,0,0,,,43,,0,0,8,0
Gipuzkoa,ALTZO,,7,3,309,222,,222,1,221,87,59,1,,,0,3,0,0,,,139,,0,1,17,1
Gipuzkoa,AMEZKETA,,8,3,720,410,,410,6,404,310,132,7,,,7,0,1,0,,,224,,0,0,32,1
Bizkaia,AMOREBIETA-ETXANO,,3,3,14314,9517,47,9470,44,9426,4797,4252,332,11,5,727,61,14,93,10,4,2550,,37,,1308,22
Bizkaia,AMOROTO,,4,4,334,240,,240,,240,94,121,0,0,0,0,0,2,0,0,0,113,,0,,4,0
Álava,AMURRIO,,2,3,8120,5574,44,5530,33,5497,2546,2298,356,,,421,31,,66,15,2,1367,35,22,,865,19
Gipuzkoa,ANDOAIN,,9,3,11442,6762,23,6739,43,6696,4680,1858,406,,,1077,52,16,136,,,1880,,44,3,1203,21
Gipuzkoa,ANOETA,,10,3,1517,1004,2,1002,6,996,513,311,35,,,48,7,1,3,,,459,,4,2,124,2
Gipuzkoa,ANTZUOLA,,11,4,1653,1220,6,1214,8,1206,433,369,31,,,75,7,0,6,,,592,,5,1,118,2
Bizkaia,ARAKALDO,,5,3,112,68,1,67,,67,44,29,1,0,0,2,1,0,0,1,0,23,,1,,9,0
Gipuzkoa,ARAMA,,12,3,147,107,,107,4,103,40,39,0,,,1,0,0,1,,,56,,1,0,5,0
Álava,ARAMAIO,,3,2,1191,839,2,837,4,833,352,289,5,,,16,1,,0,1,0,434,4,6,,77,0
Bizkaia,ARANTZAZU,,6,3,295,238,,238,,238,57,102,1,0,0,1,0,0,0,0,0,115,,0,,19,0
Bizkaia,AREATZA,,93,3,890,666,5,661,2,659,224,294,32,0,0,14,1,0,6,0,0,268,,3,,38,3
Gipuzkoa,ARETXABALETA,,13,4,5404,3532,13,3519,14,3505,1872,1372,105,,,262,18,6,26,,,1278,,13,0,419,6
Álava,ARMIÑÓN,,6,2,174,110,3,107,,107,64,18,30,,,12,2,,5,0,0,12,3,2,,22,1
Álava,ARRAIA-MAEZTU,,37,2,587,397,2,395,2,393,190,179,50,,,15,1,,2,1,0,93,1,1,,50,0
Bizkaia,ARRANKUDIAGA,,9,3,776,599,5,594,8,586,177,275,11,0,0,9,3,1,7,0,0,246,,1,,32,1
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17446,10724,37,10687,41,10646,6722,3609,480,,,1145,59,17,121,,,3489,,84,5,1601,36
Bizkaia,ARRATZU,,914,4,328,279,1,278,1,277,49,155,0,0,0,1,0,0,0,0,0,107,,0,,14,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,778,480,3,477,3,474,298,172,82,,,33,3,,10,0,0,114,3,0,,51,6
Bizkaia,ARRIETA,,10,4,456,329,2,327,1,326,127,191,1,0,0,4,1,1,3,1,0,98,,1,,25,0
Bizkaia,ARRIGORRIAGA,,11,3,9655,6013,43,5970,42,5928,3642,2341,299,8,2,630,57,6,108,5,4,1291,,41,,1126,10
Bizkaia,ARTEA,,23,3,608,481,2,479,3,476,127,234,13,0,0,5,2,0,2,1,0,186,,1,,32,0
Bizkaia,ARTZENTALES,,8,2,612,430,6,424,1,423,182,269,8,0,0,16,2,1,0,0,0,78,,4,,43,2
Álava,ARTZINIEGA,,4,3,1408,947,11,936,6,930,461,389,99,,,57,9,,11,1,1,234,4,6,,117,2
Álava,ASPARRENA,,9,2,1268,803,3,800,5,795,465,297,42,,,45,4,,3,2,0,291,0,1,,107,3
Gipuzkoa,ASTEASU,,14,3,1109,601,6,595,,595,508,189,9,,,17,3,0,2,,,306,,1,0,67,1
Gipuzkoa,ASTIGARRAGA,,903,1,4343,2559,8,2551,14,2537,1784,836,94,,,147,20,3,32,,,950,,7,0,437,11
Gipuzkoa,ATAUN,,15,3,1266,933,5,928,7,921,333,304,3,,,2,2,0,0,,,557,,2,1,50,0
Bizkaia,ATXONDO,,91,3,1111,760,5,755,10,745,351,325,15,0,0,29,5,1,5,0,0,297,,6,,61,1
Bizkaia,AULESTI,,70,4,540,378,4,374,,374,162,123,1,0,0,0,0,0,1,0,0,234,,0,,15,0
Álava,AYALA/AIARA,,10,3,2271,1593,14,1579,4,1575,678,749,104,,,65,9,,17,3,3,405,7,8,,202,3
Gipuzkoa,AZKOITIA,,17,4,8534,5462,19,5443,29,5414,3072,2424,185,,,350,30,9,42,,,1849,,17,16,478,14
Gipuzkoa,AZPEITIA,,18,4,11062,7183,22,7161,47,7114,3879,3075,169,,,198,12,11,37,,,3192,,5,3,407,5
Álava,AÑANA,,49,2,140,102,,102,1,101,38,39,14,,,7,1,,0,1,0,30,1,1,,7,0
Bizkaia,BAKIO,,12,4,2040,1541,11,1530,11,1519,499,788,44,0,0,22,11,2,8,0,0,505,,6,,129,4
Gipuzkoa,BALIARRAIN,,904,3,92,51,,51,,51,41,10,0,,,0,1,0,0,,,39,,0,0,1,0
Bizkaia,BALMASEDA,,90,2,6004,4138,58,4080,26,4054,1866,2037,215,1,4,517,17,16,48,6,1,603,,30,,554,5
Bizkaia,BARAKALDO,,13,2,79614,46384,211,46173,307,45866,33230,15577,4774,28,57,8775,449,86,1071,81,21,5057,,358,,9398,134
Bizkaia,BARRIKA,,14,4,1207,754,5,749,1,748,453,348,50,0,0,43,4,1,12,2,0,188,,1,,97,2
Álava,BARRUNDIA,,13,2,715,437,,437,,437,278,138,42,,,21,1,,3,0,0,166,3,0,,61,2
Bizkaia,BASAURI,,15,3,33528,20051,72,19979,98,19881,13477,8145,1813,23,19,3271,182,48,381,23,7,2571,,128,,3224,46
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,230,148,4,144,2,142,82,55,56,,,15,0,,4,0,0,4,0,3,,5,0
Gipuzkoa,BEASAIN,,19,3,9964,6147,18,6129,44,6085,3817,2532,286,,,614,45,9,64,,,1643,,25,3,851,13
Bizkaia,BEDIA,,92,3,840,572,,572,8,564,268,323,27,1,0,22,2,5,2,0,0,120,,4,,57,1
Gipuzkoa,BEIZAMA,,20,4,125,82,,82,1,81,43,29,1,,,0,1,0,1,,,43,,0,1,4,1
Gipuzkoa,BELAUNTZA,,21,3,198,109,,109,1,108,89,43,1,,,2,0,0,0,,,48,,1,0,13,0
Bizkaia,BERANGO,,16,4,5303,3511,12,3499,21,3478,1792,1462,314,0,1,297,31,9,95,9,1,721,,18,,511,9
Álava,BERANTEVILLA,,14,2,371,238,1,237,2,235,133,87,67,,,17,4,,3,1,0,26,2,0,,28,0
Gipuzkoa,BERASTEGI,,22,3,844,551,2,549,8,541,293,224,10,,,8,4,0,0,,,253,,1,0,41,0
Gipuzkoa,BERGARA,,74,4,11580,7757,24,7733,34,7699,3823,2804,268,,,522,24,10,49,,,3000,,24,2,983,13
Bizkaia,BERMEO,,17,4,13259,7963,27,7936,26,7910,5296,4271,128,3,5,232,44,9,50,15,4,2395,,24,,723,7
Álava,BERNEDO,,16,2,432,209,2,207,2,205,223,77,43,,,9,0,,0,0,1,49,0,1,,23,2
Bizkaia,BERRIATUA,,18,4,875,571,,571,2,569,304,258,2,2,0,3,3,1,1,0,1,277,,1,,20,0
Bizkaia,BERRIZ,,19,3,3537,2259,8,2251,14,2237,1278,915,96,5,1,219,22,2,31,4,1,627,,11,,299,4
Gipuzkoa,BERROBI,,23,3,443,247,,247,1,246,196,71,9,,,13,0,0,3,,,128,,0,1,21,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,384,238,,238,1,237,146,68,5,,,1,0,1,0,,,143,,1,0,18,0
Bizkaia,BILBAO,,20,1,273513,166594,573,166021,1048,164973,106919,69332,22530,112,129,20383,1474,369,3997,337,78,21431,,923,,23470,408
Bizkaia,BUSTURIA,,21,4,1337,900,4,896,3,893,437,474,18,0,2,36,1,0,10,0,0,265,,5,,81,1
Álava,CAMPEZO/KANPEZU,,17,2,841,511,2,509,2,507,330,217,57,,,26,3,,6,1,0,140,5,3,,48,1
Gipuzkoa,DEBA,,29,4,4295,2879,5,2874,16,2858,1416,1254,88,,,141,7,6,24,,,997,,10,6,322,3
Bizkaia,DERIO,,901,4,4878,3260,21,3239,25,3214,1618,1448,178,0,3,440,34,10,57,3,2,503,,21,,510,5
Bizkaia,DIMA,,26,3,1144,871,5,866,1,865,273,327,6,1,0,5,3,0,2,0,0,463,,2,,56,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147060,91964,237,91727,657,91070,55096,30697,11634,,,12639,886,321,2395,,,17967,,390,47,13864,230
Bizkaia,DURANGO,,27,3,22196,14390,72,14318,81,14237,7806,6050,1045,6,6,1221,83,19,218,26,4,3614,,95,,1828,22
Bizkaia,EA,,28,4,715,562,,562,,562,153,251,4,0,0,1,2,0,0,1,1,275,,1,,26,0
Gipuzkoa,EIBAR,,30,4,21400,13030,38,12992,62,12930,8370,4223,940,,,2784,101,30,157,,,2898,,77,6,1686,28
Bizkaia,ELANTXOBE,,31,4,327,248,1,247,,247,79,147,1,0,0,0,1,0,2,0,0,90,,0,,5,1
Álava,ELBURGO/BURGELU,,21,2,469,288,,288,1,287,181,138,54,,,14,5,,9,0,0,31,2,3,,29,2
Álava,ELCIEGO,,22,2,799,509,11,498,5,493,290,132,128,,,92,6,,18,0,0,44,5,3,,63,2
Gipuzkoa,ELDUAIN,,31,3,174,112,,112,1,111,62,41,2,,,0,0,0,0,,,60,,0,1,7,0
Gipuzkoa,ELGETA,,33,4,865,619,1,618,2,616,246,227,11,,,21,7,2,2,,,286,,0,0,58,2
Gipuzkoa,ELGOIBAR,,32,4,8772,5511,19,5492,24,5468,3261,2341,290,,,486,44,9,86,,,1597,,22,2,583,8
Bizkaia,ELORRIO,,32,3,5741,3908,10,3898,17,3881,1833,1460,228,1,1,252,12,13,34,7,1,1496,,5,,371,0
Álava,ELVILLAR/BILAR,,23,2,267,167,,167,1,166,100,63,42,,,14,1,,1,1,0,27,0,1,,16,0
Bizkaia,ERANDIO,,902,4,18939,11347,76,11271,71,11200,7592,4750,684,4,7,1604,105,12,179,22,7,1672,,110,,1950,94
Bizkaia,EREÑO,,33,4,218,160,1,159,,159,58,79,1,0,0,1,0,0,1,0,0,59,,1,,17,0
Bizkaia,ERMUA,,34,3,12831,7524,32,7492,45,7447,5307,2024,1009,8,13,1741,59,14,205,15,8,952,,74,,1298,27
Gipuzkoa,ERRENTERIA,,67,2,30840,17482,54,17428,89,17339,13358,4082,1118,,,3203,158,33,348,,,4713,,124,8,3507,45
Gipuzkoa,ERREZIL,,66,4,447,272,1,271,,271,175,83,1,,,0,0,0,0,,,181,,0,0,6,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,594,397,2,395,4,391,197,145,71,,,37,4,,15,0,0,59,0,2,,58,0
Bizkaia,ERRIGOITI,,79,4,426,326,1,325,3,322,100,139,5,0,0,3,1,0,1,0,0,138,,0,,35,0
Gipuzkoa,ESKORIATZA,,34,4,3144,1931,6,1925,11,1914,1213,763,52,,,150,17,3,17,,,644,,21,2,241,4
Bizkaia,ETXEBARRI,,29,3,8358,4986,18,4968,46,4922,3372,1908,388,4,1,763,64,12,134,12,9,539,,50,,1015,23
Bizkaia,ETXEBARRIA,,30,4,606,480,,480,2,478,126,262,5,0,0,3,0,0,1,0,0,178,,2,,27,0
Gipuzkoa,EZKIO-ITSASO,,35,3,484,337,,337,2,335,147,127,7,,,3,0,1,0,,,164,,0,0,33,0
Bizkaia,FORUA,,906,4,767,557,2,555,2,553,210,285,11,0,0,14,0,2,1,0,0,207,,0,,33,0
Bizkaia,FRUIZ,,35,4,415,311,,311,1,310,104,173,3,0,0,2,3,0,2,0,0,104,,0,,21,2
Gipuzkoa,GABIRIA,,38,3,393,281,2,279,1,278,112,121,1,,,1,1,0,0,,,140,,2,0,12,0
Gipuzkoa,GAINTZA,,37,3,101,72,,72,1,71,29,31,0,,,0,1,0,1,,,35,,0,0,3,0
Bizkaia,GALDAKAO,,36,3,24026,15063,62,15001,112,14889,8963,6454,876,11,12,1561,144,24,246,16,5,2876,,77,,2547,40
Bizkaia,GALDAMES,,37,2,678,490,2,488,3,485,188,267,12,0,0,17,2,0,2,2,0,117,,2,,64,0
Bizkaia,GAMIZ-FIKA,,38,4,1124,822,7,815,1,814,302,453,26,0,0,14,3,2,2,0,0,241,,4,,69,0
Bizkaia,GARAI,,39,3,237,193,1,192,2,190,44,108,5,0,0,3,0,0,4,1,0,64,,0,,5,0
Bizkaia,GATIKA,,40,4,1280,893,9,884,5,879,387,487,17,0,0,24,11,1,5,0,0,248,,5,,81,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,694,547,2,545,4,541,147,319,8,0,0,13,4,0,5,1,0,153,,1,,37,0
Gipuzkoa,GAZTELU,,907,3,121,93,,93,,93,28,35,1,,,1,0,0,0,,,44,,0,0,12,0
Bizkaia,GERNIKA-LUMO,,46,4,12617,8858,38,8820,52,8768,3759,4212,310,0,3,439,43,9,74,13,2,2838,,41,,775,9
Gipuzkoa,GETARIA,,39,4,2112,1540,2,1538,12,1526,572,650,16,,,30,10,1,3,,,702,,3,0,108,3
Bizkaia,GETXO,,44,4,62703,42080,107,41973,278,41695,20623,17576,8542,23,31,3416,281,75,1244,65,16,5699,,162,,4497,68
Bizkaia,GIZABURUAGA,,47,4,160,115,3,112,,112,45,32,1,0,0,0,0,0,0,0,0,69,,0,,10,0
Bizkaia,GORDEXOLA,,42,2,1364,1031,8,1023,5,1018,333,596,81,0,2,48,14,0,17,0,1,121,,2,,132,4
Bizkaia,GORLIZ,,43,4,4433,2966,7,2959,15,2944,1467,1472,162,2,1,137,25,2,48,4,1,672,,13,,399,6
Bizkaia,GÜEÑES,,45,2,5175,3653,37,3616,35,3581,1522,1858,134,3,3,302,26,8,40,4,1,705,,12,,482,3
Álava,HARANA/VALLE DE ARANA,,56,2,218,130,,130,1,129,88,76,17,,,3,1,,1,0,0,24,0,1,,6,0
Gipuzkoa,HERNANI,,40,1,15332,9281,39,9242,73,9169,6051,2229,394,,,863,55,12,98,,,3977,,48,14,1459,20
Gipuzkoa,HERNIALDE,,41,3,254,131,,131,,131,123,55,1,,,1,1,1,4,,,54,,0,0,14,0
Gipuzkoa,HONDARRIBIA,,36,2,13255,8071,28,8043,54,7989,5184,3849,544,,,582,59,26,129,,,1640,,50,9,1088,13
Gipuzkoa,IBARRA,,42,3,3224,1968,11,1957,17,1940,1256,639,63,,,148,8,3,16,,,749,,10,0,300,4
Bizkaia,IBARRANGELU,,48,4,558,385,1,384,5,379,173,193,5,0,0,8,3,0,0,1,0,145,,0,,24,0
Gipuzkoa,IDIAZABAL,,43,3,1734,1169,1,1168,7,1161,565,556,27,,,29,3,0,2,,,465,,6,0,73,0
Bizkaia,IGORRE,,94,3,3148,2167,8,2159,13,2146,981,1033,43,3,0,66,7,1,19,3,2,790,,5,,173,1
Gipuzkoa,IKAZTEGIETA,,44,3,367,247,1,246,,246,120,88,5,,,4,2,1,0,,,119,,0,0,27,0
Gipuzkoa,IRUN,,45,2,46709,26244,93,26151,163,25988,20465,7888,3040,,,5240,299,116,792,,,3380,,349,13,4762,109
Gipuzkoa,IRURA,,46,3,1224,739,2,737,3,734,485,280,13,,,30,4,1,14,,,302,,2,0,87,1
Álava,IRURAIZ-GAUNA,,27,2,421,243,,243,1,242,178,100,27,,,9,4,,2,0,0,66,1,1,,32,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2353,1355,17,1338,16,1322,998,306,243,,,249,32,,43,2,2,177,13,14,,232,9
Bizkaia,ISPASTER,,49,4,549,430,,430,3,427,119,218,7,0,1,0,2,1,0,2,0,167,,2,,27,0
Gipuzkoa,ITSASONDO,,47,3,475,313,3,310,4,306,162,96,4,,,7,0,0,2,,,167,,0,0,29,1
Bizkaia,IURRETA,,910,3,2892,1835,,1835,3,1832,1057,730,140,2,1,227,9,3,27,2,1,487,,7,,194,2
Bizkaia,IZURTZA,,50,3,193,148,1,147,,147,45,70,3,0,0,1,0,0,0,0,0,69,,0,,4,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2316,1441,8,1433,7,1426,875,875,48,0,0,78,6,4,14,0,0,215,,6,,178,2
Bizkaia,KORTEZUBI,,907,4,346,283,,283,,283,63,164,2,0,0,3,0,0,1,0,0,98,,0,,15,0
Álava,KRIPAN,,19,2,151,113,,113,1,112,38,76,13,,,2,1,,0,0,0,13,0,0,,7,0
Álava,KUARTANGO,,20,2,326,222,2,220,2,218,104,92,20,,,5,1,,3,1,0,69,0,2,,25,0
Álava,LABASTIDA/BASTIDA,,28,2,1072,619,4,615,2,613,453,165,158,,,65,7,,20,0,1,85,12,1,,97,2
Álava,LAGRÁN,,30,2,156,103,,103,,103,53,42,27,,,10,0,,1,0,0,8,0,0,,14,1
Álava,LAGUARDIA,,31,2,1161,801,11,790,5,785,360,225,241,,,53,4,,34,1,0,131,3,5,,87,1
Álava,LANCIEGO/LANTZIEGO,,32,2,512,328,5,323,,323,184,127,64,,,43,1,,13,0,0,38,1,1,,34,1
Bizkaia,LANESTOSA,,51,2,214,151,1,150,1,149,63,80,3,0,0,14,2,1,2,0,0,27,,2,,17,1
Álava,LANTARÓN,,902,2,737,424,2,422,2,420,313,145,98,,,44,2,,14,0,0,55,6,2,,52,2
Álava,LAPUEBLA DE LABARCA,,33,2,644,462,5,457,4,453,182,216,84,,,47,1,,13,1,0,51,0,3,,36,1
Bizkaia,LARRABETZU,,52,4,1561,1185,3,1182,1,1181,376,458,23,1,0,12,5,0,3,2,0,598,,3,,75,1
Gipuzkoa,LARRAUL,,48,3,183,117,2,115,,115,66,23,1,,,3,1,0,0,,,71,,3,0,13,0
Gipuzkoa,LASARTE-ORIA,,902,1,14141,8514,32,8482,42,8440,5627,2023,699,,,2081,65,12,218,,,1882,,72,2,1356,30
Álava,LAUDIO/LLODIO,,36,3,14946,9466,59,9407,70,9337,5480,3442,819,,,1047,67,,139,16,9,2255,36,49,,1416,42
Bizkaia,LAUKIZ,,53,4,897,659,2,657,5,652,238,376,78,0,0,25,3,1,13,0,1,125,,3,,27,0
