TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,UCE,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,LV-GV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,EB / ARALAR,URE-EEB,UPYD,BILDU,H1!,PLIN,PSYV,EB-B/INDAZ,ESKUBI-SQ2/EB-B,IND. AIARA 11,IND. LAUDIO 11,IND. OKONDO 11,IND. VALDEGOVIA 11,IND. ALEGRIA-DUL. 11,IND. ARAMAIO 11,IND. ASPARRENA 11,IND. AÑANA 11,IND. BERANTEVILLA 11,IND. ELCIEGO 11,IND. 1 IRUÑA OKA 11,IND. 2 IRUÑA OKA 11,IND. 1 LABASTIDA 11,IND. 2 LABASTIDA 11,IND. 3 LABASTIDA 11,IND. LAGRAN 11,IND. PEÑACERRADA 11,IND. AGURAIN 11,IND. DONEMILIAGA 11,IND. VITORIA-G. 11,IND. ZALDUONDO 11,IND. ZAMBRANA 11,IND. ZIGOITIA 11,IND. ZUIA 11,IND. BALMASEDA 11,IND. GORDEXOLA 11,IND. KARRANTZA 11,IND. SOPUERTA 11,IND. TURTZIOZ 11,IND. ALONSOTEGI 11,IND. BARRIKA 11,IND. ETXEBARRI 11,IND. GALDAKAO 11,IND. GETXO 11,IND. GORLIZ 11,IND. LAUKIZ 11,IND. 1 MUSKIZ 11,IND. 2 MUSKIZ 11,IND. ORTUELLA 11,IND. PLENTZIA 11,IND. 1 SESTAO 11,IND. 2 SESTAO 11,IND. ZARATAMO 11,IND. ZIERBENA 11,IND. ABADIÑO 11,IND. ARTEA 11,IND. GARAI 11,IND. IGORRE 11,IND. OROZKO 11,IND. UBIDE 11,IND. AMOROTO 11,IND. BERRIATUA 11,IND. ERRIGOITI 11,IND. GATIKA 11,IND. GIZABURUAGA 11,IND. IBARRANGELU 11,IND. ISPASTER 11,IND. MUNGIA 11,IND. MURUETA 11,IND. MUXIKA 11,IND. SUKARRIETA 11,IND. AZKOITIA 11,IND. 1 BEIZAMA 11,IND. 2 BEIZAMA 11,IND. BIDEGOIAN 11,IND. 1 DEBA 11,IND. 2 DEBA 11,IND. ERREZIL 11,IND. EZKIO-ITSASO 11,IND. 1 GABIRIA 11,IND. 2 GABIRIA 11,IND. MUTILOA 11,IND. 1 ORMAIZTEGI 11,IND. 2 ORMAIZTEGI 11,IND. SEGURA 11,IND. ZEGAMA 11,IND. ZERAIN 11,IND. ESKORIATZA 11,IND. ASTIGARRAGA 11 ,IND. LASARTE-ORIA 11,IND. ORIO 11,IND. ABALTZISKETA 11,IND. ALKIZA 11,IND. ALTZAGA 11,IND. AMEZKETA 11,IND. ARAMA 11,IND. 1 ASTEASU 11,IND. 2 ASTEASU 11,IND. ATAUN 11,IND. 1 BELAUNTZA 11,IND. 2 BELAUNTZA 11,IND. BERROBI 11,IND. GAINTZA 11,IND. GAZTELU 11,IND. HERNIALDE 11,IND. IDIAZABAL 11,IND. 1 LARRAUL 11,IND. 2 LARRAUL 11,IND. LEABURU 11,IND. LEGORRETA 11,IND. LIZARTZA 11,IND. 1 OLABERRIA 11,IND. 2 OLABERRIA 11,IND. ORENDAIN 11,IND. ZALDIBIA 11,IND. LEINTZ-GATZ. 11
Bizkaia,ABADIÑO,,1,3,5850,4163,19,4144,28,4116,1687,652,91,,106,,,,,103,,,,,,,,,,,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,248,164,2,162,9,153,84,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7969,5199,99,5100,106,4994,2770,2777,182,,,,,,,747,,,,,,,,,,,890,,,30,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,347,300,1,299,287,12,47,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3648,2285,26,2259,33,2226,1363,897,138,,21,,,,,116,,,,88,,,,,,,904,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1533,1069,6,1063,19,1044,464,564,5,,,,,,,12,,,,,,,,,,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,543,425,1,424,6,418,118,65,0,,,,,,,6,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,378,316,4,312,11,301,62,93,0,,,,,,,0,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,253,162,3,159,32,127,91,,1,,,,,,,9,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1355,907,13,894,22,872,448,173,26,,,,,,,35,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,2006,1332,30,1302,36,1266,674,252,127,,28,,,,,117,,,,,,,,,,,370,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,275,204,2,202,38,164,71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2356,1736,32,1704,31,1673,620,708,68,,30,,,,,173,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,119,94,8,86,4,82,25,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,
