TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EB-B,CDS,PST,PH,ARM-ADE,PSE-EE/PSOE,EA-EUE,POR-LIA,BERDEAK-LV,LE,PLN-LNA,CNPS,P.ITRCG.
Bizkaia,ABADIÑO,,1,3,5367,3712,21,3691,36,3655,1655,1101,412,695,,179,26,43,0,5,878,260,5,31,14,3,3,0
Gipuzkoa,ABALTZISKETA,,1,3,245,135,5,130,4,126,110,24,3,38,,1,0,,,0,3,55,1,0,1,0,0,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,6795,4823,32,4791,45,4746,1972,980,265,589,,653,26,13,2,10,1893,229,1,56,19,5,2,3
Gipuzkoa,ADUNA,,2,3,236,180,,180,4,176,56,22,4,70,,4,1,,,0,1,73,0,1,0,0,0,
Álava,AGURAIN/SALVATIERRA,,51,2,2888,2013,51,1962,16,1946,875,401,192,285,178,112,6,,,7,501,223,0,19,18,2,2,
Gipuzkoa,AIA,,16,4,1343,797,3,794,7,787,546,355,14,211,,6,0,,,0,9,185,1,6,0,0,0,
Gipuzkoa,AIZARNAZABAL,,3,4,402,275,1,274,3,271,127,52,4,140,,1,1,,,0,6,67,0,0,0,0,0,
Bizkaia,AJANGIZ,,911,4,282,248,,248,2,246,34,100,1,117,,2,0,0,0,0,0,26,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,240,111,1,110,1,109,129,28,5,29,,0,0,,,0,2,45,0,0,0,0,0,
Gipuzkoa,ALEGIA,,5,3,1344,936,7,929,16,913,408,127,45,318,,17,0,,,0,91,310,0,3,1,0,1,
Álava,ALEGRÍA-DULANTZI,,1,2,762,534,4,530,7,523,228,165,96,33,27,19,4,,,1,136,36,0,2,2,1,1,
Gipuzkoa,ALKIZA,,6,3,218,90,,90,2,88,128,14,1,33,,0,0,,,0,1,39,0,0,0,0,0,
Bizkaia,ALONSOTEGI,,912,2,2544,1947,24,1923,19,1904,597,750,82,294,,94,2,13,0,2,243,408,0,7,4,4,0,1
Gipuzkoa,ALTZAGA,,906,3,83,57,,57,1,56,26,8,1,33,,0,0,,,1,0,13,0,0,0,0,0,
Gipuzkoa,ALTZO,,7,3,281,190,,190,2,188,91,49,1,100,,0,0,,,0,2,36,0,0,0,0,0,
Gipuzkoa,AMEZKETA,,8,3,850,417,5,412,6,406,433,80,21,173,,1,0,,,0,6,123,1,0,0,1,0,
Bizkaia,AMOREBIETA-ETXANO,,3,3,12735,9612,72,9540,113,9427,3123,3329,599,1791,,720,46,40,8,19,1876,832,9,98,48,4,2,6
Bizkaia,AMOROTO,,4,4,324,225,,225,2,223,99,150,0,45,,0,2,0,0,0,2,21,0,0,2,1,0,0
Álava,AMURRIO,,2,3,7509,5535,51,5484,60,5424,1974,1334,766,737,159,237,25,,,12,1122,973,5,32,20,2,0,
Gipuzkoa,ANDOAIN,,9,3,12105,8075,44,8031,174,7857,4030,993,735,1687,,427,64,,,15,2431,1345,5,106,38,7,4,
Gipuzkoa,ANOETA,,10,3,1359,892,8,884,14,870,467,83,49,308,,30,5,,,2,161,222,1,4,4,1,0,
Gipuzkoa,ANTZUOLA,,11,4,1655,1260,7,1253,25,1228,395,320,37,378,,14,0,,,1,253,216,0,6,3,0,0,
Bizkaia,ARAKALDO,,5,3,93,78,1,77,,77,15,40,3,31,,0,0,0,0,0,2,1,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,117,89,2,87,2,85,28,19,1,44,,0,0,,,0,2,19,0,0,0,0,0,
Álava,ARAMAIO,,3,2,1091,820,13,807,9,798,271,217,18,203,7,8,1,,,0,36,299,1,4,4,0,0,
Bizkaia,ARANTZAZU,,6,3,248,211,1,210,2,208,37,95,7,76,,2,0,0,0,0,5,21,1,1,0,0,0,0
Bizkaia,AREATZA,,93,3,940,753,12,741,10,731,187,362,99,122,,18,2,1,0,1,70,54,0,1,0,0,0,1
Gipuzkoa,ARETXABALETA,,13,4,4922,3538,32,3506,43,3463,1384,724,197,925,,149,11,,,6,714,677,2,24,26,7,1,
Álava,ARMIÑÓN,,6,2,113,93,2,91,1,90,20,18,36,2,18,1,3,,,0,10,1,0,0,0,0,1,
Álava,ARRAIA-MAEZTU,,37,2,627,378,2,376,3,373,249,130,59,31,42,7,6,,,2,70,15,1,6,4,0,0,
Bizkaia,ARRANKUDIAGA,,9,3,626,525,5,520,1,519,101,281,13,166,,5,0,0,0,1,17,31,1,3,0,0,1,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20486,13919,82,13837,210,13627,6567,2480,1024,3186,,794,60,,,24,3702,2115,8,155,60,12,7,
Bizkaia,ARRATZU,,914,4,302,260,,260,1,259,42,92,1,120,,0,0,0,0,0,0,46,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,545,373,,373,5,368,172,101,71,43,52,11,3,,,0,69,13,0,3,2,0,0,
Bizkaia,ARRIETA,,10,4,369,270,4,266,3,263,99,165,17,45,,0,0,1,0,0,6,27,0,2,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,7828,5513,54,5459,53,5406,2315,1813,462,927,,361,26,16,5,5,1479,250,1,37,18,3,1,2
Bizkaia,ARTEA,,23,3,538,452,3,449,9,440,86,191,41,118,,5,0,0,0,1,7,74,0,3,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,559,431,2,429,1,428,128,277,28,59,,4,1,0,0,0,32,26,0,0,1,0,0,0
Álava,ARTZINIEGA,,4,3,964,764,7,757,9,748,200,282,177,110,16,19,8,,,3,78,45,0,9,1,0,0,
Álava,ASPARRENA,,9,2,1282,854,11,843,4,839,428,234,84,171,51,16,5,,,1,126,125,1,15,10,0,0,
Gipuzkoa,ASTEASU,,14,3,957,537,,537,5,532,420,57,17,250,,6,0,,,2,51,143,0,5,1,0,0,
Gipuzkoa,ASTIGARRAGA,,903,1,2667,1705,21,1684,38,1646,962,267,107,630,,49,1,,,5,180,385,0,15,7,0,0,
Gipuzkoa,ATAUN,,15,3,1444,1082,6,1076,23,1053,362,195,3,460,,4,0,,,0,18,371,0,2,0,0,0,
Bizkaia,ATXONDO,,91,3,1151,876,15,861,5,856,275,394,49,233,,12,4,2,2,0,117,31,0,5,5,2,0,0
Bizkaia,AULESTI,,70,4,583,413,5,408,,408,170,195,8,184,,1,0,0,0,0,2,18,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,1693,1262,20,1242,18,1224,431,453,287,144,36,35,5,,,1,73,176,0,7,5,2,0,
Gipuzkoa,AZKOITIA,,17,4,8488,5606,42,5564,96,5468,2882,2268,499,957,,137,14,,,5,808,717,1,46,15,1,0,
Gipuzkoa,AZPEITIA,,18,4,10502,6627,49,6578,100,6478,3875,2040,432,1292,,83,13,,,6,548,2012,1,33,12,4,2,
Álava,AÑANA,,49,2,173,156,2,154,1,153,17,43,43,12,18,2,1,,,0,25,8,0,0,0,0,1,
Bizkaia,BAKIO,,12,4,1002,818,14,804,8,796,184,482,32,129,,10,2,0,1,0,27,99,0,14,0,0,0,0
Gipuzkoa,BALIARRAIN,,904,3,85,59,,59,1,58,26,12,0,41,,0,0,,,0,0,5,0,0,0,0,0,
Bizkaia,BALMASEDA,,90,2,6059,4698,40,4658,33,4625,1361,1626,556,483,,155,25,16,2,8,1388,320,0,20,22,3,0,1
Bizkaia,BARAKALDO,,13,2,84978,60339,316,60023,659,59364,24639,11844,8764,5795,,6015,569,436,30,143,22717,2055,30,576,299,33,22,36
Bizkaia,BARRIKA,,14,4,706,505,2,503,6,497,201,265,47,100,,9,1,0,0,2,33,38,0,1,0,0,0,1
Álava,BARRUNDIA,,13,2,491,270,,270,1,269,221,95,45,38,36,6,5,,,3,20,15,0,2,2,1,1,
Bizkaia,BASAURI,,15,3,40025,27668,174,27494,271,27223,12357,7221,3434,3190,,2181,264,189,22,63,9224,963,26,252,139,18,7,30
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,291,241,3,238,5,233,50,115,67,2,28,0,0,,,0,21,0,0,0,0,0,0,
Gipuzkoa,BEASAIN,,19,3,9852,6840,43,6797,132,6665,3012,1464,492,1322,,315,31,,,7,1656,1283,3,28,56,8,0,
Bizkaia,BEDIA,,92,3,872,727,9,718,6,712,145,448,44,89,,12,0,0,0,1,64,46,0,4,4,0,0,0
Gipuzkoa,BEIZAMA,,20,4,155,105,,105,,105,50,46,0,42,,0,0,,,0,0,17,0,0,0,0,0,
Gipuzkoa,BELAUNTZA,,21,3,222,153,,153,3,150,69,29,3,90,,2,0,,,0,7,15,0,1,1,1,1,
Bizkaia,BERANGO,,16,4,3252,2378,30,2348,23,2325,874,801,163,499,,96,12,8,0,2,437,285,0,16,5,0,0,1
Álava,BERANTEVILLA,,14,2,338,264,4,260,2,258,74,87,45,14,68,15,1,,,0,23,2,0,2,1,0,0,
Gipuzkoa,BERASTEGI,,22,3,753,465,2,463,5,458,288,83,4,135,,4,0,,,1,10,219,0,0,2,0,0,
Gipuzkoa,BERGARA,,74,4,12862,8440,54,8386,168,8218,4422,2168,489,2447,,313,14,,,14,1316,1369,4,51,26,5,2,
Bizkaia,BERMEO,,17,4,14422,10039,74,9965,62,9903,4383,3356,365,2084,,180,11,14,2,10,1205,2547,3,73,43,4,5,1
Álava,BERNEDO,,16,2,486,264,,264,4,260,222,80,85,15,42,7,3,,,0,21,6,0,1,0,0,0,
Bizkaia,BERRIATUA,,18,4,827,477,5,472,5,467,350,245,11,125,,1,1,0,0,0,18,56,3,6,0,1,0,0
Bizkaia,BERRIZ,,19,3,3395,2460,21,2439,23,2416,935,922,195,394,,107,19,2,3,7,545,186,3,18,13,2,0,0
Gipuzkoa,BERROBI,,23,3,488,289,,289,3,286,199,32,25,92,,6,0,,,0,36,93,0,0,1,1,0,
