TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,EA,EB-B,EHB,PH,PSE-EE/PSOE,FEI,ICV-EHE/GORORDO,PRT,UC,CR,FEA
Bizkaia,ABADIÑO,,1,3,5532,3937,37,3900,38,3862,1595,1193,461,663,242,298,31,5,952,2,6,6,0,3,0
Gipuzkoa,ABALTZISKETA,,1,3,236,133,,133,1,132,103,37,7,41,43,3,0,0,1,,,0,0,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,6995,5029,39,4990,59,4931,1966,997,381,525,172,849,14,2,1953,2,23,5,3,3,2
Gipuzkoa,ADUNA,,2,3,252,178,,178,4,174,74,24,1,76,64,6,0,0,3,,,0,0,,
Álava,AGURAIN/SALVATIERRA,,51,2,3033,2080,15,2065,18,2047,953,427,317,251,282,188,13,1,561,,,7,0,,
Gipuzkoa,AIA,,16,4,1340,819,2,817,10,807,521,385,15,205,177,12,3,0,9,,,1,0,,
Gipuzkoa,AIZARNAZABAL,,3,4,420,274,,274,5,269,146,57,3,135,62,1,0,0,11,,,0,0,,
Bizkaia,AJANGIZ,,911,4,320,275,,275,1,274,45,117,3,122,29,2,1,0,0,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,241,126,,126,4,122,115,38,7,21,49,1,0,0,6,,,0,0,,
Gipuzkoa,ALEGIA,,5,3,1379,961,3,958,11,947,418,186,44,296,288,36,2,0,94,,,1,0,,
Álava,ALEGRÍA-DULANTZI,,1,2,917,669,9,660,6,654,248,211,125,34,87,51,0,1,143,,,2,0,,
Gipuzkoa,ALKIZA,,6,3,224,111,,111,,111,113,42,0,36,32,1,0,0,0,,,0,0,,
Bizkaia,ALONSOTEGI,,912,2,2548,2047,29,2018,20,1998,501,753,203,257,340,93,6,0,329,0,16,0,1,0,0
Gipuzkoa,ALTZAGA,,906,3,80,55,,55,,55,25,10,2,27,15,1,0,0,0,,,0,0,,
Gipuzkoa,ALTZO,,7,3,271,177,,177,1,176,94,51,4,93,28,0,0,0,0,,,0,0,,
Gipuzkoa,AMEZKETA,,8,3,863,460,7,453,10,443,403,109,30,184,95,8,0,0,17,,,0,0,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,13305,10104,96,10008,106,9902,3201,3731,811,1645,728,963,66,4,1895,2,33,15,2,4,3
Bizkaia,AMOROTO,,4,4,319,246,1,245,2,243,73,162,0,51,23,1,0,0,4,0,0,1,1,0,0
Álava,AMURRIO,,2,3,7859,6018,66,5952,67,5885,1841,1595,973,634,985,397,18,5,1267,,,7,4,,
Gipuzkoa,ANDOAIN,,9,3,12197,8426,52,8374,169,8205,3771,1368,963,1635,958,719,52,15,2473,,,22,0,,
Gipuzkoa,ANOETA,,10,3,1395,925,2,923,10,913,470,181,78,299,128,46,7,1,172,,,1,0,,
Gipuzkoa,ANTZUOLA,,11,4,1628,1252,17,1235,32,1203,376,337,59,371,166,42,0,2,225,,,1,0,,
Bizkaia,ARAKALDO,,5,3,104,78,2,76,,76,26,30,9,27,7,0,0,0,3,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,140,93,1,92,,92,47,24,3,35,21,0,2,0,7,,,0,0,,
Álava,ARAMAIO,,3,2,1120,795,9,786,10,776,325,269,15,184,261,15,0,0,32,,,0,0,,
Bizkaia,ARANTZAZU,,6,3,238,202,,202,2,200,36,86,16,66,22,3,1,0,5,0,1,0,0,0,0
Bizkaia,AREATZA,,93,3,943,760,19,741,9,732,183,385,106,108,52,25,4,0,49,0,1,0,2,0,0
Gipuzkoa,ARETXABALETA,,13,4,4947,3621,54,3567,61,3506,1326,857,262,891,585,182,12,7,704,,,3,3,,
Álava,ARMIÑÓN,,6,2,124,101,2,99,4,95,23,19,47,2,5,9,1,1,10,,,0,1,,
Álava,ARRAIA-MAEZTU,,37,2,637,413,4,409,2,407,224,150,107,20,20,29,2,2,76,,,0,1,,
Bizkaia,ARRANKUDIAGA,,9,3,629,516,10,506,,506,113,288,21,153,25,8,0,0,9,0,2,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20310,14499,79,14420,213,14207,5811,2945,1384,3046,1907,1256,71,16,3559,,,19,4,,
Bizkaia,ARRATZU,,914,4,331,287,2,285,6,279,44,121,2,124,27,1,0,0,4,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,611,430,6,424,5,419,181,142,119,33,17,22,4,0,82,,,0,0,,
Bizkaia,ARRIETA,,10,4,386,287,3,284,2,282,99,184,16,33,35,5,0,0,9,0,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,8353,6029,28,6001,72,5929,2324,1992,683,789,220,636,33,4,1503,0,60,4,2,2,1
Bizkaia,ARTEA,,23,3,541,448,6,442,4,438,93,191,50,112,64,7,0,0,13,1,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,563,428,,428,2,426,135,260,48,44,29,14,1,0,29,0,0,1,0,0,0
