TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,EA,EB-B,EHB,PH,PSE-EE/PSOE,FEI,ICV-EHE/GORORDO,PRT,UC,CR,FEA
Álava,ARTZINIEGA,,4,3,1069,857,18,839,9,830,212,299,223,89,50,60,4,0,103,,,1,1,,
Álava,ASPARRENA,,9,2,1318,939,16,923,7,916,379,281,132,173,93,58,8,0,170,,,1,0,,
Gipuzkoa,ASTEASU,,14,3,974,558,1,557,11,546,416,83,27,205,157,19,3,0,51,,,1,0,,
Gipuzkoa,ASTIGARRAGA,,903,1,2515,1710,9,1701,24,1677,805,255,144,592,415,87,10,3,169,,,1,1,,
Gipuzkoa,ATAUN,,15,3,1414,1042,8,1034,19,1015,372,285,7,453,240,6,1,2,21,,,0,0,,
Bizkaia,ATXONDO,,91,3,1163,895,5,890,7,883,268,423,65,194,41,28,4,1,124,0,2,1,0,0,0
Bizkaia,AULESTI,,70,4,565,372,3,369,2,367,193,185,7,154,17,2,0,0,2,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,1743,1329,16,1313,13,1300,414,518,326,115,169,45,3,2,120,,,1,1,,
Gipuzkoa,AZKOITIA,,17,4,8470,5912,76,5836,84,5752,2558,2545,567,917,607,229,16,0,862,,,8,1,,
Gipuzkoa,AZPEITIA,,18,4,10840,7402,38,7364,84,7280,3438,2614,474,1607,1804,155,14,4,602,,,5,1,,
Álava,AÑANA,,49,2,192,167,,167,1,166,25,65,37,18,7,6,2,1,30,,,0,0,,
Bizkaia,BAKIO,,12,4,1140,918,14,904,12,892,222,559,43,125,100,26,0,0,33,0,5,0,0,1,0
Gipuzkoa,BALIARRAIN,,904,3,84,57,,57,,57,27,7,0,39,8,0,0,0,3,,,0,0,,
Bizkaia,BALMASEDA,,90,2,6181,4902,57,4845,51,4794,1279,1606,722,408,282,281,18,1,1441,2,29,1,2,0,1
Bizkaia,BARAKALDO,,13,2,85301,61781,399,61382,686,60696,23520,11417,11541,4256,1580,8367,323,31,22227,15,831,53,29,17,9
Bizkaia,BARRIKA,,14,4,799,559,2,557,9,548,240,303,44,94,33,25,2,0,39,1,7,0,0,0,0
Álava,BARRUNDIA,,13,2,483,280,3,277,6,271,203,111,69,26,27,15,1,1,21,,,0,0,,
Bizkaia,BASAURI,,15,3,40836,29113,195,28918,312,28606,11723,7492,4556,2440,829,3273,158,34,9461,9,300,19,17,13,5
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,289,222,,222,5,217,67,103,87,1,2,1,0,0,23,,,0,0,,
Gipuzkoa,BEASAIN,,19,3,10034,7337,47,7290,121,7169,2697,2007,662,1211,1017,480,38,9,1736,,,6,3,,
Bizkaia,BEDIA,,92,3,864,700,8,692,3,689,164,439,67,84,24,23,1,0,50,0,0,1,0,0,0
Gipuzkoa,BEIZAMA,,20,4,152,105,,105,,105,47,42,2,48,11,0,0,0,2,,,0,0,,
Gipuzkoa,BELAUNTZA,,21,3,242,164,,164,4,160,78,42,5,81,16,11,0,0,5,,,0,0,,
Bizkaia,BERANGO,,16,4,3619,2681,25,2656,32,2624,938,899,322,467,239,226,6,0,441,2,18,2,0,2,0
Álava,BERANTEVILLA,,14,2,362,282,,282,4,278,80,116,103,7,1,28,3,0,20,,,0,0,,
Gipuzkoa,BERASTEGI,,22,3,763,489,3,486,8,478,274,115,11,134,190,9,0,0,19,,,0,0,,
Gipuzkoa,BERGARA,,74,4,12799,8802,27,8775,159,8616,3997,2559,657,2244,1278,480,22,3,1358,,,8,7,,
Bizkaia,BERMEO,,17,4,14509,10432,65,10367,77,10290,4077,3901,448,1776,2613,266,29,7,1193,3,30,8,6,5,5
Álava,BERNEDO,,16,2,510,319,1,318,,318,191,126,125,14,3,10,3,0,37,,,0,0,,
Bizkaia,BERRIATUA,,18,4,840,548,5,543,2,541,292,305,21,135,53,7,1,0,16,0,2,0,1,0,0
Bizkaia,BERRIZ,,19,3,3404,2444,21,2423,16,2407,960,950,241,338,123,176,14,1,556,0,3,4,1,0,0
Gipuzkoa,BERROBI,,23,3,480,280,,280,3,277,200,40,10,115,70,8,2,0,32,,,0,0,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,365,261,2,259,,259,104,69,9,75,104,0,0,0,2,,,0,0,,
Bizkaia,BILBAO,,20,1,310853,223904,1223,222681,3048,219633,86949,59715,54587,16385,8591,21148,959,132,49521,48,8087,172,123,122,43
Bizkaia,BUSTURIA,,21,4,1430,1086,8,1078,9,1069,344,468,61,229,144,32,2,1,126,1,5,0,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,988,712,5,707,15,692,276,251,214,54,37,26,2,1,106,,,1,0,,
Gipuzkoa,DEBA,,29,4,4086,2815,20,2795,55,2740,1271,768,168,586,708,123,14,2,369,,,1,1,,
Bizkaia,DERIO,,901,4,4003,3082,39,3043,48,2995,921,1039,368,258,180,197,15,1,897,0,39,0,1,0,0
Bizkaia,DIMA,,26,3,901,754,28,726,9,717,147,303,51,298,55,3,0,0,4,0,3,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,150373,105601,537,105064,2822,102240,44772,15896,24498,13871,15270,8541,596,114,23282,,,94,78,,
Bizkaia,DURANGO,,27,3,19225,13967,94,13873,163,13710,5258,5102,2354,1836,752,1035,51,7,2477,4,57,18,7,7,3
Bizkaia,EA,,28,4,714,554,2,552,7,545,160,303,13,127,81,6,1,0,13,0,1,0,0,0,0
Gipuzkoa,EIBAR,,30,4,26129,18299,109,18190,302,17888,7830,3769,2964,2441,1913,1378,84,18,5294,,,16,11,,
Bizkaia,ELANTXOBE,,31,4,436,354,4,350,3,347,82,195,3,103,33,5,0,0,8,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,170,119,,119,,119,51,50,38,9,6,8,0,0,8,,,0,0,,
Álava,ELCIEGO,,22,2,788,661,10,651,3,648,127,61,224,20,62,38,3,0,239,,,0,1,,
Gipuzkoa,ELDUAIN,,31,3,219,148,,148,2,146,71,30,3,69,42,1,0,0,1,,,0,0,,
Gipuzkoa,ELGETA,,33,4,820,597,1,596,17,579,223,258,34,158,74,21,0,0,34,,,0,0,,
Gipuzkoa,ELGOIBAR,,32,4,9337,6890,37,6853,76,6777,2447,2397,783,1045,840,360,37,1,1290,,,22,2,,
Bizkaia,ELORRIO,,32,3,6118,4710,47,4663,62,4601,1408,1565,468,856,278,287,20,3,1112,0,5,5,1,1,0
Álava,ELVILLAR/BILAR,,23,2,304,241,1,240,3,237,63,103,91,7,3,9,1,0,23,,,0,0,,
Bizkaia,ERANDIO,,902,4,19689,13613,108,13505,190,13315,6076,4052,1810,1378,568,1487,64,5,3702,2,208,15,4,18,2
Bizkaia,EREÑO,,33,4,233,175,2,173,2,171,58,100,8,39,15,4,0,0,5,0,0,0,0,0,0
Bizkaia,ERMUA,,34,3,14266,10381,93,10288,128,10160,3885,1166,2499,692,304,1432,108,11,3814,2,30,18,77,3,4
Gipuzkoa,ERRENTERIA,,67,2,34196,23612,214,23398,454,22944,10584,2507,2824,4511,2013,2611,186,29,8217,,,30,16,,
Gipuzkoa,ERREZIL,,66,4,541,323,1,322,2,320,218,92,5,158,60,0,0,0,5,,,0,0,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,474,341,3,338,2,336,133,106,135,16,11,16,1,0,50,,,1,0,,
Bizkaia,ERRIGOITI,,79,4,399,322,,322,1,321,77,173,13,83,44,0,0,0,8,0,0,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3300,2335,15,2320,29,2291,965,394,134,495,520,162,9,2,571,,,4,0,,
Bizkaia,ETXEBARRI,,29,3,5189,3693,43,3650,25,3625,1496,737,587,211,199,481,16,2,1358,0,29,2,3,0,0
Bizkaia,ETXEBARRIA,,30,4,632,467,1,466,8,458,165,245,9,172,18,2,1,0,11,0,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,451,322,2,320,5,315,129,59,4,148,98,1,0,0,5,,,0,0,,
Bizkaia,FORUA,,906,4,793,598,7,591,5,586,195,270,41,150,60,14,0,0,51,0,0,0,0,0,0
Bizkaia,FRUIZ,,35,4,273,181,3,178,,178,92,136,6,23,8,2,0,0,2,0,1,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,353,273,,273,5,268,80,50,7,55,155,0,0,0,1,,,0,0,,
Gipuzkoa,GAINTZA,,37,3,113,71,,71,2,69,42,24,1,32,9,0,0,0,2,,,0,1,,
Bizkaia,GALDAKAO,,36,3,23788,16884,95,16789,195,16594,6904,5156,2126,2194,1198,1813,73,9,3750,3,218,29,8,12,5
Bizkaia,GALDAMES,,37,2,707,547,2,545,2,543,160,278,37,71,67,28,0,0,61,0,0,1,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,833,605,2,603,4,599,228,357,34,120,61,8,0,0,15,0,4,0,0,0,0
Bizkaia,GARAI,,39,3,210,165,1,164,5,159,45,97,9,35,12,3,1,0,2,0,0,0,0,0,0
Bizkaia,GATIKA,,40,4,824,615,7,608,6,602,209,273,45,95,149,12,1,0,27,0,0,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,658,512,7,505,5,500,146,310,25,80,55,12,1,0,14,0,3,0,0,0,0
Gipuzkoa,GAZTELU,,907,3,126,81,,81,1,80,45,34,5,33,6,1,0,0,1,,,0,0,,
Bizkaia,GERNIKA-LUMO,,46,4,12921,9584,77,9507,113,9394,3337,3920,913,1760,1234,371,22,4,1121,0,24,7,4,10,4
Gipuzkoa,GETARIA,,39,4,1963,1415,9,1406,28,1378,548,645,45,297,316,25,6,2,42,,,0,0,,
Bizkaia,GETXO,,44,4,66992,50056,194,49862,1045,48817,16936,15663,15298,3953,3232,3584,220,24,6283,5,456,40,29,25,5
Bizkaia,GIZABURUAGA,,47,4,117,88,,88,1,87,29,46,3,27,10,0,0,0,1,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1277,1045,20,1025,5,1020,232,566,192,52,63,46,1,0,93,0,4,0,0,2,1
Bizkaia,GORLIZ,,43,4,2833,2061,33,2028,27,2001,772,983,248,230,181,100,6,1,163,0,88,0,0,0,1
Bizkaia,GÜEÑES,,45,2,4931,4085,40,4045,28,4017,846,1837,375,453,484,144,9,1,686,1,22,1,1,2,1
Álava,HARANA/VALLE DE ARANA,,56,2,341,226,3,223,2,221,115,95,85,11,3,7,0,0,20,,,0,0,,
Gipuzkoa,HERNANI,,40,1,15457,10278,73,10205,248,9957,5179,1172,919,3330,1364,854,35,8,2261,,,10,4,,
Gipuzkoa,HERNIALDE,,41,3,231,106,,106,3,103,125,30,7,32,21,8,0,0,5,,,0,0,,
Gipuzkoa,HONDARRIBIA,,36,2,11560,7800,39,7761,179,7582,3760,2415,1006,1412,1196,426,65,10,1041,,,6,5,,
Gipuzkoa,IBARRA,,42,3,3461,2402,3,2399,42,2357,1059,469,195,642,386,154,10,2,499,,,0,0,,
Bizkaia,IBARRANGELU,,48,4,474,366,,366,3,363,108,252,12,56,33,1,2,0,5,0,2,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1635,1177,17,1160,13,1147,458,275,81,251,442,31,3,0,62,,,1,1,,
Bizkaia,IGORRE,,94,3,3078,2436,25,2411,33,2378,642,1205,120,474,293,54,15,0,208,0,5,1,1,2,0
Gipuzkoa,IKAZTEGIETA,,44,3,315,223,1,222,2,220,92,64,21,96,28,2,1,0,8,,,0,0,,
Gipuzkoa,IRUN,,45,2,45208,32316,253,32063,645,31418,12892,4848,6398,2821,2755,3398,264,42,10783,,,68,41,,
Gipuzkoa,IRURA,,46,3,595,405,4,401,9,392,190,123,22,126,59,16,3,0,42,,,1,0,,
Álava,IRURAIZ-GAUNA,,27,2,355,235,,235,3,232,120,87,81,30,3,21,0,0,10,,,0,0,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1355,1030,6,1024,10,1014,325,168,350,35,18,98,7,0,338,,,0,0,,
Bizkaia,ISPASTER,,49,4,541,409,6,403,5,398,132,272,30,53,35,2,0,0,5,0,0,0,0,1,0
Gipuzkoa,ITSASONDO,,47,3,536,385,7,378,14,364,151,93,20,149,53,11,2,0,36,,,0,0,,
Bizkaia,IURRETA,,910,3,3830,2828,23,2805,18,2787,1002,944,379,448,93,186,5,2,719,0,2,2,6,0,1
Bizkaia,IZURTZA,,50,3,227,185,5,180,1,179,42,95,7,45,15,5,0,0,12,0,0,0,0,0,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2625,1732,7,1725,6,1719,893,889,219,150,61,34,2,0,355,0,8,0,1,0,0
Bizkaia,KORTEZUBI,,907,4,317,266,,266,,266,51,180,7,58,13,2,0,0,6,0,0,0,0,0,0
Álava,KRIPAN,,19,2,179,141,,141,,141,38,95,31,4,5,1,0,0,5,,,0,0,,
Álava,KUARTANGO,,20,2,317,218,4,214,3,211,99,109,34,37,4,14,0,0,12,,,1,0,,
Álava,LABASTIDA/BASTIDA,,28,2,856,658,2,656,2,654,198,100,264,67,13,58,2,0,150,,,0,0,,
Álava,LAGRÁN,,30,2,182,134,3,131,3,128,48,37,58,1,2,3,0,0,27,,,0,0,,
Álava,LAGUARDIA,,31,2,1200,953,12,941,3,938,247,238,396,30,42,45,4,0,179,,,2,2,,
Álava,LANCIEGO/LANTZIEGO,,32,2,556,425,6,419,1,418,131,150,132,8,2,12,1,0,112,,,0,1,,
Bizkaia,LANESTOSA,,51,2,248,209,,209,1,208,39,98,32,10,3,5,0,0,60,0,0,0,0,0,0
Álava,LANTARÓN,,902,2,740,558,5,553,6,547,182,158,218,15,9,59,0,2,86,,,0,0,,
Álava,LAPUEBLA DE LABARCA,,33,2,693,604,4,600,3,597,89,275,155,7,37,28,0,1,93,,,1,0,,
Bizkaia,LARRABETZU,,52,4,1297,1037,7,1030,8,1022,260,554,44,303,33,19,0,0,59,0,10,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,116,60,1,59,,59,56,22,0,26,9,1,1,0,0,,,0,0,,
Gipuzkoa,LASARTE-ORIA,,902,1,14903,10650,45,10605,200,10405,4253,1155,1430,1492,1011,974,86,8,4234,,,12,3,,
Álava,LAUDIO/LLODIO,,36,3,16731,12189,147,12042,179,11863,4542,2953,2178,1746,689,991,46,9,3224,,,24,3,,
Bizkaia,LAUKIZ,,53,4,805,603,3,600,6,594,202,320,111,53,82,5,2,0,15,0,3,2,0,1,0
Gipuzkoa,LAZKAO,,49,3,3995,2959,24,2935,45,2890,1036,687,230,766,356,207,6,3,632,,,2,1,,
Gipuzkoa,LEABURU,,50,3,341,232,1,231,1,230,109,44,13,128,32,3,0,0,10,,,0,0,,
Gipuzkoa,LEGAZPI,,51,3,7867,5665,47,5618,93,5525,2202,1157,482,835,1244,361,29,2,1410,,,5,0,,
Gipuzkoa,LEGORRETA,,52,3,1186,887,4,883,21,862,299,300,75,214,93,34,3,2,141,,,0,0,,
Álava,LEGUTIO,,58,2,1066,734,2,732,7,725,332,247,65,115,151,38,1,0,105,,,3,0,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,203,143,2,141,6,135,60,49,0,60,18,2,0,0,6,,,0,0,,
Bizkaia,LEIOA,,54,4,20632,14957,83,14874,270,14604,5675,4922,2271,1233,636,1937,101,5,3328,5,130,11,15,8,2
Bizkaia,LEKEITIO,,57,4,6310,4649,33,4616,54,4562,1661,1863,152,1338,927,84,13,3,169,0,9,3,0,1,0
Bizkaia,LEMOA,,55,3,2120,1811,22,1789,7,1782,309,965,129,239,260,42,5,0,137,0,5,0,0,0,0
Bizkaia,LEMOIZ,,56,4,707,507,4,503,6,497,200,291,31,92,34,11,3,0,23,0,12,0,0,0,0
Álava,LEZA,,34,2,175,127,5,122,1,121,48,36,25,3,26,2,0,0,29,,,0,0,,
Bizkaia,LEZAMA,,81,4,1664,1274,6,1268,11,1257,390,822,101,186,43,38,2,1,54,0,9,1,0,0,0
Gipuzkoa,LEZO,,53,2,4537,3001,18,2983,38,2945,1536,358,261,1078,398,217,9,1,620,,,1,2,,
Gipuzkoa,LIZARTZA,,54,3,572,443,3,440,3,437,129,55,21,242,109,1,0,0,9,,,0,0,,
Bizkaia,LOIU,,903,4,1518,1165,5,1160,20,1140,353,637,228,87,115,33,4,0,27,0,7,1,1,0,0
Bizkaia,MALLABIA,,58,3,913,695,5,690,8,682,218,274,41,234,24,24,3,1,81,0,0,0,0,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3910,2532,25,2507,23,2484,1378,1236,192,620,238,58,9,1,125,0,1,2,0,0,2
Bizkaia,MARURI-JATABE,,61,4,460,352,3,349,1,348,108,190,50,36,49,4,1,0,17,0,0,1,0,0,0
Bizkaia,MAÑARIA,,59,3,410,302,5,297,4,293,108,187,17,67,14,5,0,0,2,0,0,0,0,1,0
Gipuzkoa,MENDARO,,901,4,1160,798,,798,7,791,362,346,44,148,96,30,3,1,121,,,2,0,,
Bizkaia,MENDATA,,62,4,294,238,1,237,2,235,56,138,13,48,35,0,0,0,1,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,310,255,,255,1,254,55,132,9,88,17,0,0,1,5,0,2,0,0,0,0
Bizkaia,MEÑAKA,,64,4,398,328,1,327,1,326,70,151,18,47,108,0,0,0,1,0,1,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,243,205,1,204,,204,38,55,67,2,4,7,1,1,66,,,0,1,,
Bizkaia,MORGA,,66,4,329,239,,239,,239,90,176,20,23,15,1,2,0,1,0,0,0,0,1,0
Bizkaia,MUNDAKA,,68,4,1499,1220,14,1206,8,1198,279,684,51,224,178,25,1,0,33,0,2,0,0,0,0
Bizkaia,MUNGIA,,69,4,10228,7117,33,7084,85,6999,3111,3710,845,760,489,358,31,6,760,1,28,5,3,2,1
Álava,MUNICIPIO CERA ARABA,,999,99,1446,544,2,542,1,541,902,81,201,23,16,26,19,1,169,,,2,3,,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,9411,3138,19,3119,14,3105,6273,892,531,176,72,151,66,1,1165,2,28,6,4,3,8
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,6842,2274,15,2259,12,2247,4568,406,401,182,153,122,62,12,898,,,2,9,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,359,273,1,272,6,266,86,165,9,72,17,0,0,0,0,0,2,0,0,1,0
Bizkaia,MURUETA,,908,4,169,128,7,121,3,118,41,72,9,12,19,0,1,0,5,0,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5339,4152,36,4116,38,4078,1187,1583,369,328,257,357,11,1,1147,0,17,3,2,3,0
Gipuzkoa,MUTILOA,,57,3,147,80,1,79,,79,67,14,8,28,24,2,0,0,3,,,0,0,,
Gipuzkoa,MUTRIKU,,56,4,3955,2950,29,2921,33,2888,1005,1371,209,833,247,46,11,2,167,,,0,2,,
Bizkaia,MUXIKA,,67,4,1236,1006,9,997,7,990,230,469,37,339,119,15,1,0,8,0,0,0,1,1,0
Bizkaia,NABARNIZ,,909,4,217,162,3,159,4,155,55,67,0,76,7,0,0,0,5,0,0,0,0,0,0
Álava,NAVARIDAS,,41,2,191,162,5,157,2,155,29,44,80,4,7,6,1,0,12,,,1,0,,
Gipuzkoa,OIARTZUN,,63,2,7128,5116,55,5061,94,4967,2012,893,334,2180,1061,170,13,4,311,,,1,0,,
Álava,OKONDO,,42,3,662,585,6,579,7,572,77,211,83,85,169,6,0,0,18,,,0,0,,
Gipuzkoa,OLABERRIA,,58,3,907,681,2,679,12,667,226,130,99,117,79,46,7,0,187,,,0,2,,
Bizkaia,ONDARROA,,73,4,8535,6081,71,6010,70,5940,2454,2238,499,2129,560,109,13,2,381,0,3,4,0,2,0
Gipuzkoa,ORDIZIA,,76,3,7582,5559,32,5527,107,5420,2023,1231,595,1196,806,418,32,6,1122,,,11,3,,
Gipuzkoa,ORENDAIN,,905,3,136,95,,95,2,93,41,12,3,50,28,0,0,0,0,,,0,0,,
Gipuzkoa,OREXA,,60,3,71,61,,61,,61,10,8,0,51,1,0,1,0,0,,,0,0,,
Gipuzkoa,ORIO,,61,4,3453,2324,17,2307,52,2255,1129,825,156,490,410,67,10,1,294,,,2,0,,
Gipuzkoa,ORMAIZTEGI,,62,3,957,753,7,746,19,727,204,293,25,173,182,21,1,0,32,,,0,0,,
Bizkaia,OROZKO,,75,3,1637,1111,15,1096,12,1084,526,602,163,155,63,23,2,0,70,1,4,0,0,0,1
Bizkaia,ORTUELLA,,83,2,7140,5365,26,5339,48,5291,1775,1082,532,436,250,895,16,4,2043,0,23,1,6,3,0
Bizkaia,OTXANDIO,,72,3,922,711,4,707,8,699,211,334,59,189,62,18,1,0,35,0,0,1,0,0,0
Álava,OYÓN-OION,,43,2,1888,1443,7,1436,7,1429,445,258,507,99,31,161,4,1,366,,,2,0,,
Gipuzkoa,OÑATI,,59,4,8473,5988,32,5956,69,5887,2485,2198,409,1373,1074,187,14,2,620,,,10,0,,
Gipuzkoa,PASAIA,,64,2,15067,9582,91,9491,193,9298,5485,1329,980,2199,1307,889,61,8,2494,,,16,15,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,226,176,,176,3,173,50,78,46,8,2,6,1,0,32,,,0,0,,
Bizkaia,PLENTZIA,,77,4,2603,1950,22,1928,19,1909,653,965,228,234,169,100,11,0,124,2,74,1,1,0,0
Bizkaia,PORTUGALETE,,78,2,46625,34442,224,34218,473,33745,12183,6810,6389,2270,1005,4941,131,20,11853,5,248,30,19,15,9
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,376,300,2,298,4,294,76,81,116,10,1,20,0,0,66,,,0,0,,
Álava,SAMANIEGO,,52,2,239,181,3,178,1,177,58,63,25,13,2,15,0,2,57,,,0,0,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,598,361,2,359,5,354,237,143,86,49,24,22,1,0,28,,,0,1,,
Bizkaia,SANTURTZI,,82,2,41565,30136,207,29929,389,29540,11429,6250,4574,2855,945,4182,119,13,10327,5,200,34,10,15,11
Gipuzkoa,SEGURA,,70,3,1017,822,2,820,14,806,195,178,20,254,323,4,3,1,23,,,0,0,,
Bizkaia,SESTAO,,84,2,29649,20919,208,20711,276,20435,8730,3407,3340,1488,550,3578,83,15,7800,7,142,6,12,3,4
Bizkaia,SONDIKA,,904,4,3138,2438,29,2409,30,2379,700,1229,284,248,153,102,5,2,334,0,17,1,1,2,1
Bizkaia,SOPELA,,85,4,7316,5103,41,5062,83,4979,2213,1950,603,860,293,512,16,2,699,0,35,3,4,1,1
