TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,PKD,ARALAR,ATTKA/PACMA,UCL,PUM+J,INNDE,EB / ARALAR,CDL,URE-EEB,EB / ARALAR / ZUTIK,EB / ZUTIK,IND. ALEGRIA-DUL. 07,IND. AÑANA 07,IND. ARMIÑON 07,IND. ARRAIA-MAEZ. 07,IND. 1 ASPARRENA 07,IND. 2 ASPARRENA 07,IND. ELCIEGO 07,IND. 1 IRUÑA OKA 07,IND. 2 IRUÑA OKA 07,IND. 3 IRUÑA OKA 07,IND. LABASTIDA 07,IND. 2 LAGRAN 07,IND. LANTARON 07,IND. 1 LEZA 07,IND. 2 LEZA 07,IND. RIBERA ALTA 07,IND. ZAMBRANA 07,IND. ZIGOITIA 07,IND. ZUIA 07,IND. VALDEGOVIA 07,IND. BALMASEDA 07,IND. 1 KARRANTZA 07,IND. 2 KARRANTZA 07,IND. SOPUERTA 07,IND. TURTZIOZ 07,IND. 1 ABANTO-Z. 07,IND. 2 ABANTO-Z. 07,IND. ALONSOTEGI 07,IND. ETXEBARRI 07,IND. MUSKIZ 07,IND. PLENTZIA 07,IND. SESTAO 07,IND. ZIERBENA 07,IND. ARTEA 07,IND. ELORRIO 07,IND. GARAI 07,IND. IGORRE 07,IND. OTXANDIO 07,IND. ZALDIBAR 07,IND. AMOROTO 07,IND. BERRIATUA 07,IND. EREÑO 07,IND. ERRIGOITI 07,IND. GIZABURUAGA 07,IND. IBARRANGELU 07,IND. ISPASTER 07,IND. MURUETA 07,IND. MUXIKA 07,IND. AZKOITIA 07,IND. BEIZAMA 07,IND. DEBA 07,IND. ERREZIL 07,IND. 1 EZKIO-ITS. 07,IND. 2 EZKIO-ITS. 07,IND. GABIRIA 07,IND. MUTILOA 07,IND. 1 ORMAIZTEGI 07,IND. 2 ORMAIZTEGI 07,IND. SEGURA 07,IND. ZEGAMA 07,IND. ZERAIN 07,IND. ELGETA 07,IND. ESKORIATZA 07,IND. LEINTZ-GATZ. 07,IND. MUTRIKU 07,IND. HONDARRIBIA 07,IND. IRUN 07,IND. LASARTE-ORIA 07,IND. OIARTZUN 07,IND. URNIETA 07,IND. ABALTZISKETA 07,IND. ALBIZTUR 07,IND. ALKIZA 07,IND. ALTZAGA 07,IND. ALTZO 07,IND. 1 AMEZKETA 07,IND. 2 AMEZKETA 07,IND. 1 ARAMA 07,IND. 2 ARAMA 07,IND. ASTEASU 07,IND. ATAUN 07,IND. BALIARRAIN 07,IND. 1 BELAUNTZA 07,IND. 2 BELAUNTZA 07,IND. 1 BERROBI 07,IND. 2 BERROBI 07,IND. GAINTZA 07,IND. 1 GAZTELU 07,IND. 2 GAZTELU 07,IND. HERNIALDE 07,IND. IDIAZABAL 07,IND. LARRAUL 07,IND. LEABURU 07,IND. OLABERRIA 07,IND. ORENDAIN 07,IND. PEÑACERRADA 07,IND. AGURAIN 07,IND. GORLIZ 07,IND. ABADIÑO 07,IND. 1 LAGRAN 07
Bizkaia,ABADIÑO,,1,3,5943,3919,25,3894,24,3870,2024,967,172,58,,,,1122,181,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173,
Gipuzkoa,ABALTZISKETA,,1,3,237,132,2,130,4,126,105,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,8240,5254,61,5193,74,5119,2986,2600,131,104,,,,558,1087,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,306,208,28,180,20,160,98,,1,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3567,2130,532,1598,30,1568,1437,,171,,,,,,242,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,
Gipuzkoa,AIA,,16,4,1481,922,7,915,23,892,559,561,7,81,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,494,362,,362,1,361,132,78,2,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,373,331,2,329,3,326,42,111,1,28,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,254,153,3,150,9,141,101,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1374,823,35,788,189,599,551,,33,,,,,499,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,1781,1217,7,1210,16,1194,564,296,106,245,,,,112,176,,,,,,,,,32,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,256,179,16,163,14,149,77,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2422,1755,249,1506,16,1490,667,724,70,219,,,,,221,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,119,88,7,81,1,80,31,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
