TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,PCTE / ELAK,PSE-EE/PSOE,PUM+J,Cs,EB-AZ,EH BILDU,VOX,OMNIA,PODEMOS-IU-EQUO BERD,SOLIDARIA,LxE-EaL,B.I.B.,G.G.B.
Bizkaia,BERMEO,,17,4,13153,8830,115,8715,77,8638,4323,4825,68,,,320,,14,,2907,10,,469,25,,,
Álava,BERNEDO,,16,2,418,249,3,246,6,240,169,107,38,,,20,,0,,54,0,,21,,,,
Bizkaia,BERRIATUA,,18,4,864,601,1,600,7,593,263,279,1,,,8,,0,,290,0,,15,0,,,
Bizkaia,BERRIZ,,19,3,3445,2475,21,2454,23,2431,970,1048,85,6,,303,,,,712,15,,257,5,,,
Gipuzkoa,BERROBI,,23,3,443,276,8,268,5,263,167,83,5,,,10,,,0,144,,,21,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,391,281,6,275,10,265,110,90,3,,,5,,,,156,,,11,,,,
Bizkaia,BILBAO,,20,1,272891,168592,942,167650,1433,166217,104299,71446,15999,166,,28421,328,3266,,24401,2078,,18450,172,,933,557
Bizkaia,BUSTURIA,,21,4,1322,958,18,940,10,930,364,513,23,,,53,,1,,295,0,,45,0,,,
Álava,CAMPEZO/KANPEZU,,17,2,819,595,8,587,10,577,224,270,45,,,37,,8,,176,1,,40,,,,
Gipuzkoa,DEBA,,29,4,4277,3168,39,3129,34,3095,1109,1365,60,,,210,,,,1216,,,244,,,,
Bizkaia,DERIO,,901,4,5149,3544,24,3520,30,3490,1605,1679,116,,,604,,31,,661,23,,366,10,,,
Bizkaia,DIMA,,26,3,1133,956,14,942,9,933,177,383,5,3,,5,,,,482,6,,47,2,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147273,96102,592,95510,878,94632,51171,33828,8760,,,19423,,1992,327,20626,,,9676,,,,
Bizkaia,DURANGO,,27,3,22669,15457,179,15278,109,15169,7212,6143,764,25,,1763,,,,4497,118,,1822,37,,,
Bizkaia,EA,,28,4,689,600,3,597,2,595,89,255,3,,,3,,1,,317,0,,16,0,,,
Gipuzkoa,EIBAR,,30,4,21214,14328,86,14242,121,14121,6886,4346,627,,,4654,,,,3276,,,1218,,,,
Bizkaia,ELANTXOBE,,31,4,305,245,1,244,,244,60,131,1,,,4,,1,,105,0,,2,0,,,
Álava,ELBURGO/BURGELU,,21,2,469,319,1,318,3,315,150,153,42,,,33,,8,,63,5,,11,,,,
Álava,ELCIEGO,,22,2,759,616,7,609,8,601,143,179,136,,,154,,10,,55,9,,58,,,,
Gipuzkoa,ELDUAIN,,31,3,184,123,1,122,1,121,61,37,0,,,1,,,2,80,,,1,,,,
Gipuzkoa,ELGETA,,33,4,856,647,6,641,7,634,209,238,7,,,22,,,,336,,,31,,,,
Gipuzkoa,ELGOIBAR,,32,4,8676,5852,51,5801,44,5757,2824,2631,201,,,710,,,,1813,,,402,,,,
Bizkaia,ELORRIO,,32,3,5770,4285,34,4251,38,4213,1485,1720,134,2,,321,,,,1729,11,,296,0,,,
Álava,ELVILLAR/BILAR,,23,2,262,203,2,201,3,198,59,105,32,,,17,,1,,32,2,,9,,,,
Bizkaia,ERANDIO,,902,4,18966,11880,111,11769,104,11665,7086,4919,468,,,2435,,120,,2086,99,,1449,89,,,
Bizkaia,EREÑO,,33,4,206,167,3,164,4,160,39,96,1,,,1,,0,,57,0,,5,0,,,
Bizkaia,ERMUA,,34,3,12644,8409,69,8340,78,8262,4235,2170,844,33,,2821,,,,1232,118,,1024,20,,,
Gipuzkoa,ERRENTERIA,,67,2,30622,18951,169,18782,134,18648,11671,4131,724,,,5103,,233,,5818,,,2639,,,,
Gipuzkoa,ERREZIL,,66,4,438,370,7,363,1,362,68,103,0,,,0,,,,251,,,8,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,632,461,5,456,5,451,171,199,68,,,38,,3,,84,8,,51,,,,
Bizkaia,ERRIGOITI,,79,4,394,335,3,332,3,329,59,172,4,,,2,,1,,135,2,,13,0,,,
Gipuzkoa,ESKORIATZA,,34,4,3168,2252,21,2231,17,2214,916,1005,44,,,184,,,,805,,,176,,,,
Bizkaia,ETXEBARRI,,29,3,8622,5684,59,5625,99,5526,2938,2339,308,22,,1228,,,,656,76,,872,25,,,
Bizkaia,ETXEBARRIA,,30,4,599,520,5,515,4,511,79,276,0,,,2,,0,,227,0,,6,0,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,482,360,4,356,2,354,122,141,2,,,9,,,2,182,,,18,,,,
Bizkaia,FORUA,,906,4,752,627,2,625,5,620,125,368,3,,,16,,1,,210,1,,21,0,,,
Bizkaia,FRUIZ,,35,4,403,330,2,328,4,324,73,175,2,,,3,,1,,112,0,,31,0,,,
Gipuzkoa,GABIRIA,,38,3,383,290,,290,3,287,93,132,0,,,3,,,2,143,,,7,,,,
Gipuzkoa,GAINTZA,,37,3,101,79,,79,,79,22,39,0,,,0,,,1,36,,,3,,,,
Bizkaia,GALDAKAO,,36,3,24043,15786,204,15582,185,15397,8257,6014,743,66,,2389,,,,4019,120,,1987,59,,,
Bizkaia,GALDAMES,,37,2,682,542,12,530,6,524,140,284,4,,0,26,,1,,175,0,,32,2,,,
Bizkaia,GAMIZ-FIKA,,38,4,1155,845,2,843,6,837,310,474,8,,,27,,4,,287,0,,35,2,,,
Bizkaia,GARAI,,39,3,255,227,1,226,2,224,28,129,2,1,,6,,,,80,3,,3,0,,,
Bizkaia,GATIKA,,40,4,1307,971,14,957,10,947,336,529,15,,,33,,2,,304,7,,57,0,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,686,567,6,561,4,557,119,344,6,,,14,,1,,164,5,,20,3,,,
Gipuzkoa,GAZTELU,,907,3,117,84,3,81,1,80,33,29,0,,,0,,,0,43,,,8,,,,
Bizkaia,GERNIKA-LUMO,,46,4,12627,9167,89,9078,65,9013,3460,4732,177,,,565,,24,,3030,31,,439,15,,,
Gipuzkoa,GETARIA,,39,4,2135,1726,17,1709,5,1704,409,756,6,,,42,,,,834,,,66,,,,
Bizkaia,GETXO,,44,4,62021,41833,175,41658,366,41292,20188,17744,6768,,,4980,,1193,,6255,729,,3506,117,,,
Bizkaia,GIZABURUAGA,,47,4,148,109,1,108,2,106,39,32,0,,,0,,0,,67,0,,7,0,,,
Bizkaia,GORDEXOLA,,42,2,1355,1075,21,1054,13,1041,280,623,64,,2,68,,8,,187,4,,82,3,,,
Bizkaia,GORLIZ,,43,4,4548,3174,23,3151,23,3128,1374,1641,100,,,227,,30,,837,15,,270,8,,,
Bizkaia,GÜEÑES,,45,2,5196,3880,47,3833,35,3798,1316,1808,92,,6,448,,10,,1045,21,,359,9,,,
Álava,HARANA/VALLE DE ARANA,,56,2,204,158,,158,1,157,46,103,10,,,6,,0,,28,0,,10,,,,
Gipuzkoa,HERNANI,,40,1,15749,10179,98,10081,69,10012,5570,2675,246,,,1289,,51,23,4613,,,1115,,,,
Gipuzkoa,HERNIALDE,,41,3,236,155,5,150,11,139,81,62,5,,,4,,,0,61,,,7,,,,
Gipuzkoa,HONDARRIBIA,,36,2,13189,8633,126,8507,99,8408,4556,4256,384,,,978,,131,,1853,,,806,,,,
Gipuzkoa,IBARRA,,42,3,3165,2068,37,2031,15,2016,1097,722,38,,,231,,,15,855,,,155,,,,
Bizkaia,IBARRANGELU,,48,4,540,432,4,428,3,425,108,206,4,,,11,,0,,182,0,,20,2,,,
Gipuzkoa,IDIAZABAL,,43,3,1731,1328,16,1312,14,1298,403,622,23,,,39,,,3,576,,,35,,,,
Bizkaia,IGORRE,,94,3,3130,2347,26,2321,18,2303,783,1182,22,6,,78,,,,921,12,,81,1,,,
Gipuzkoa,IKAZTEGIETA,,44,3,364,272,2,270,1,269,92,105,3,,,9,,,0,145,,,7,,,,
Gipuzkoa,IRUN,,45,2,46896,28551,296,28255,251,28004,18345,8602,2035,,,8544,,875,,3899,,,4049,,,,
Gipuzkoa,IRURA,,46,3,1250,864,4,860,13,847,386,356,9,,,64,,,3,365,,,50,,,,
Álava,IRURAIZ-GAUNA,,27,2,431,295,2,293,1,292,136,126,21,,,13,,3,,104,1,,24,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2476,1591,24,1567,16,1551,885,447,220,,,407,,28,,249,35,,165,,,,
Bizkaia,ISPASTER,,49,4,545,431,1,430,1,429,114,230,3,,,4,,0,,175,0,,17,0,,,
Gipuzkoa,ITSASONDO,,47,3,463,329,1,328,2,326,134,95,0,,,12,,,0,202,,,17,,,,
Bizkaia,IURRETA,,910,3,2805,1915,8,1907,12,1895,890,822,82,3,,273,,,,548,13,,154,0,,,
Bizkaia,IZURTZA,,50,3,186,168,,168,,168,18,75,1,0,,1,,,,86,0,,5,0,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2312,1844,31,1813,32,1781,468,1171,39,,1,124,,7,,294,18,,126,1,,,
Bizkaia,KORTEZUBI,,907,4,338,291,,291,2,289,47,174,0,,,0,,0,,107,0,,8,0,,,
Álava,KRIPAN,,19,2,148,114,,114,,114,34,75,13,,,7,,0,,16,0,,3,,,,
Álava,KUARTANGO,,20,2,321,251,3,248,6,242,70,108,20,,,7,,0,,91,2,,14,,,,
Álava,LABASTIDA/BASTIDA,,28,2,1074,864,14,850,11,839,210,271,250,,,101,,8,,138,10,,61,,,,
Álava,LAGRÁN,,30,2,140,123,4,119,,119,17,48,27,,,17,,1,,18,0,,8,,,,
Álava,LAGUARDIA,,31,2,1160,974,31,943,17,926,186,273,270,,,125,,11,,192,11,,44,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,498,384,18,366,3,363,114,144,51,,,82,,2,,64,0,,20,,,,
Bizkaia,LANESTOSA,,51,2,217,173,,173,,173,44,87,6,,0,12,,1,,49,0,,18,0,,,
Álava,LANTARÓN,,902,2,728,505,2,503,6,497,223,186,109,,,67,,11,,76,5,,43,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,657,556,7,549,7,542,101,280,90,,,75,,4,,62,4,,27,,,,
Bizkaia,LARRABETZU,,52,4,1564,1263,7,1256,15,1241,301,474,19,,,27,,3,,660,1,,56,1,,,
Gipuzkoa,LARRAUL,,48,3,186,114,1,113,4,109,72,28,0,,,2,,,0,68,,,11,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14230,9263,47,9216,80,9136,4967,1964,447,,,3273,,169,38,2234,,,1011,,,,
Álava,LAUDIO/LLODIO,,36,3,14746,9974,98,9876,53,9823,4772,3730,556,,,1236,,,,2459,79,1070,693,,,,
Bizkaia,LAUKIZ,,53,4,911,684,3,681,5,676,227,405,50,,,35,,18,,139,9,,17,3,,,
Gipuzkoa,LAZKAO,,49,3,4170,2968,39,2929,18,2911,1202,1233,28,,,219,,,4,1261,,,166,,,,
Gipuzkoa,LEABURU,,50,3,270,198,2,196,4,192,72,68,0,,,3,,,0,118,,,3,,,,
Gipuzkoa,LEGAZPI,,51,3,6762,4893,46,4847,45,4802,1869,1926,125,,,668,,,9,1716,,,358,,,,
Gipuzkoa,LEGORRETA,,52,3,1065,830,2,828,6,822,235,335,13,,,44,,,0,383,,,47,,,,
Álava,LEGUTIO,,58,2,1396,853,15,838,8,830,543,255,28,,,103,,6,,360,5,,73,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,187,114,,114,1,113,73,38,0,,,0,,,,72,,,3,,,,
Bizkaia,LEIOA,,54,4,25002,15802,113,15689,133,15556,9200,6764,1075,,,2721,,297,,2411,179,,2066,43,,,
Bizkaia,LEKEITIO,,57,4,5740,4318,33,4285,22,4263,1422,2043,33,,,56,,6,,1997,6,,120,2,,,
Bizkaia,LEMOA,,55,3,2585,1917,23,1894,7,1887,668,887,30,6,,117,,,,735,11,,91,10,,,
Bizkaia,LEMOIZ,,56,4,986,727,7,720,6,714,259,391,6,,,5,,5,,253,0,,54,0,,,
Álava,LEZA,,34,2,152,119,,119,,119,33,58,5,,,23,,0,,27,0,,6,,,,
Bizkaia,LEZAMA,,81,4,1881,1450,16,1434,17,1417,431,889,17,,,69,,2,,370,4,,66,0,,,
Gipuzkoa,LEZO,,53,2,4848,3139,36,3103,21,3082,1709,1058,58,,,291,,14,,1377,,,284,,,,
Gipuzkoa,LIZARTZA,,54,3,458,345,3,342,2,340,113,60,1,,,2,,,0,271,,,6,,,,
Bizkaia,LOIU,,903,4,1806,1328,7,1321,10,1311,478,892,78,,,61,,15,,193,8,,63,1,,,
Bizkaia,MALLABIA,,58,3,943,754,8,746,2,744,189,358,9,0,,48,,,,288,0,,41,0,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3614,2649,17,2632,13,2619,965,1346,21,,,51,,2,,1125,2,,71,1,,,
Bizkaia,MARURI-JATABE,,61,4,793,592,2,590,2,588,201,328,15,,,25,,5,,171,1,,41,2,,,
Bizkaia,MAÑARIA,,59,3,400,351,3,348,5,343,49,171,4,1,,5,,,,154,0,,8,0,,,
Gipuzkoa,MENDARO,,901,4,1414,983,8,975,7,968,431,447,15,,,102,,,,329,,,75,,,,
Bizkaia,MENDATA,,62,4,293,249,2,247,1,246,44,144,0,,,0,,0,,93,0,,9,0,,,
Bizkaia,MENDEXA,,63,4,354,291,2,289,1,288,63,140,2,,,5,,0,,129,0,,12,0,,,
Bizkaia,MEÑAKA,,64,4,612,506,,506,3,503,106,212,2,,,8,,3,,260,1,,17,0,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,195,161,1,160,,160,34,55,18,,,46,,2,,23,1,,15,,,,
Bizkaia,MORGA,,66,4,347,275,1,274,1,273,72,169,2,,,1,,0,,90,0,,10,1,,,
Bizkaia,MUNDAKA,,68,4,1526,1148,15,1133,9,1124,378,716,2,,,25,,1,,332,0,,45,3,,,
Bizkaia,MUNGIA,,69,4,13107,8655,67,8588,64,8524,4452,4520,417,,,623,,128,,2030,98,,686,22,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,383,276,3,273,1,272,107,119,0,,,2,,0,,143,0,,8,0,,,
Bizkaia,MURUETA,,908,4,252,232,2,230,1,229,20,134,0,,,7,,1,,75,1,,8,3,,,
Bizkaia,MUSKIZ,,71,2,6036,4381,41,4340,39,4301,1655,1904,87,,4,1010,,18,,796,24,,453,5,,,
Gipuzkoa,MUTILOA,,57,3,196,133,,133,,133,63,41,0,,,4,,,1,79,,,8,,,,
Gipuzkoa,MUTRIKU,,56,4,4075,2890,35,2855,29,2826,1185,1215,57,,,100,,,,1316,,,138,,,,
Bizkaia,MUXIKA,,67,4,1136,864,5,859,4,855,272,405,3,,,16,,0,,398,0,,33,0,,,
Bizkaia,NABARNIZ,,909,4,202,184,1,183,3,180,18,78,0,,,0,,0,,94,0,,8,0,,,
Álava,NAVARIDAS,,41,2,152,133,9,124,2,122,19,46,54,,,5,,0,,8,0,,9,,,,
Gipuzkoa,OIARTZUN,,63,2,8054,5532,52,5480,45,5435,2522,1416,80,,,253,,8,,3331,,,347,,,,
Álava,OKONDO,,42,3,911,779,10,769,10,759,132,440,20,,,22,,,,213,1,19,44,,,,
Gipuzkoa,OLABERRIA,,58,3,734,535,10,525,1,524,199,220,14,,,74,,,1,163,,,52,,,,
Bizkaia,ONDARROA,,73,4,6821,4612,36,4576,46,4530,2209,1839,79,,,106,,5,,2304,7,,189,1,,,
Gipuzkoa,ORDIZIA,,76,3,7010,5041,29,5012,39,4973,1969,1951,139,,,557,,,9,1835,,,482,,,,
Gipuzkoa,ORENDAIN,,905,3,155,126,,126,2,124,29,35,0,,,0,,,0,85,,,4,,,,
Gipuzkoa,OREXA,,60,3,88,75,,75,,75,13,4,0,,,0,,,0,71,,,0,,,,
Gipuzkoa,ORIO,,61,4,4393,3082,44,3038,28,3010,1311,1341,34,,,263,,,,1227,,,145,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,946,720,6,714,11,703,226,333,7,,,38,,,1,278,,,46,,,,
Bizkaia,OROZKO,,75,3,2060,1539,26,1513,24,1489,521,821,51,4,,57,,,,448,7,,97,4,,,
Bizkaia,ORTUELLA,,83,2,6946,4735,37,4698,41,4657,2211,2007,96,,15,892,,21,,715,20,,884,7,,,
Bizkaia,OTXANDIO,,72,3,966,749,7,742,7,735,217,298,7,0,,20,,,,400,1,,9,0,,,
Álava,OYÓN-OION,,43,2,2333,1580,21,1559,23,1536,753,420,238,,,353,,44,,289,40,,152,,,,
Gipuzkoa,OÑATI,,59,4,8858,6435,39,6396,29,6367,2423,2404,97,,,315,,,,3332,,,219,,,,
Gipuzkoa,PASAIA,,64,2,12420,7479,75,7404,69,7335,4941,2090,266,,,1526,,140,,2322,,,991,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,231,176,9,167,2,165,55,64,21,,,22,,0,,40,0,,18,,,,
Bizkaia,PLENTZIA,,77,4,3380,2446,14,2432,16,2416,934,1275,78,,,153,,24,,673,14,,194,5,,,
Bizkaia,PORTUGALETE,,78,2,37976,24401,169,24232,153,24079,13575,7772,1523,,38,8109,,279,,2991,167,,3158,42,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,972,660,16,644,11,633,312,225,127,,,108,,35,,64,13,,61,,,,
Álava,SAMANIEGO,,52,2,271,197,1,196,,196,74,84,3,,,42,,2,,55,0,,10,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,592,385,4,381,3,378,207,146,17,,,12,,2,,172,2,,27,,,,
Bizkaia,SANTURTZI,,82,2,37384,23857,195,23662,195,23467,13527,9662,1180,,43,5159,,254,,3984,179,,2972,34,,,
Gipuzkoa,SEGURA,,70,3,1088,869,6,863,13,850,219,418,1,,,10,,,4,396,,,21,,,,
Bizkaia,SESTAO,,84,2,21831,13860,154,13706,114,13592,7971,5858,615,,32,3102,,98,,1890,95,,1871,31,,,
Bizkaia,SONDIKA,,904,4,3543,2514,20,2494,33,2461,1029,1335,119,,,249,,27,,516,6,,205,4,,,
Bizkaia,SOPELA,,85,4,10693,7238,45,7193,54,7139,3455,3230,186,,,656,,88,,2002,47,,908,22,,,
Bizkaia,SOPUERTA,,86,2,2014,1495,23,1472,26,1446,519,780,27,,0,115,,10,,358,4,,149,3,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,2941,2067,18,2049,16,2033,874,697,92,,,329,,,,794,,,121,,,,
Bizkaia,SUKARRIETA,,76,4,285,218,6,212,5,207,67,132,5,,,13,,0,,48,1,,8,0,,,
Gipuzkoa,TOLOSA,,71,3,15039,10338,96,10242,67,10175,4701,4402,256,,,875,,,33,3981,,,628,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,431,385,8,377,2,375,46,263,10,,2,18,,1,,55,3,,21,2,,,
Bizkaia,UBIDE,,88,3,131,104,,104,2,102,27,27,0,0,,4,,,,68,0,,3,0,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3299,2362,27,2335,18,2317,937,1236,51,1,,190,,,,684,8,,146,1,,,
Bizkaia,URDULIZ,,89,4,3468,2423,22,2401,12,2389,1045,1166,61,,,192,,32,,652,8,,273,5,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3270,2438,22,2416,22,2394,832,1172,82,3,,157,,,,846,17,,116,1,,,
Álava,URKABUSTAIZ,,54,2,1012,768,33,735,6,729,244,288,27,,,16,,3,,333,1,,61,,,,
