TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,PCTE / ELAK,PSE-EE/PSOE,PUM+J,Cs,EB-AZ,EH BILDU,VOX,OMNIA,PODEMOS-IU-EQUO BERD,SOLIDARIA,LxE-EaL,B.I.B.,G.G.B.
Bizkaia,ABADIÑO,,1,3,5886,4096,57,4039,49,3990,1790,1504,196,13,,526,,,,1345,37,,355,14,,,
Gipuzkoa,ABALTZISKETA,,1,3,253,180,2,178,4,174,73,88,0,,,1,,,0,81,,,4,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7763,5412,80,5332,42,5290,2351,2394,105,,9,888,,27,,1045,34,,786,2,,,
Gipuzkoa,ADUNA,,2,3,355,260,6,254,6,248,95,72,0,,,2,,,1,162,,,11,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3551,2397,15,2382,20,2362,1154,1002,86,,,175,,16,,953,12,,118,,,,
Gipuzkoa,AIA,,16,4,1527,1009,11,998,10,988,518,514,5,,,24,,,,401,,,44,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,553,417,7,410,2,408,136,101,1,,,10,,,,281,,,15,,,,
Bizkaia,AJANGIZ,,911,4,387,317,5,312,2,310,70,118,3,,,2,,0,,180,0,,7,0,,,
Gipuzkoa,ALBIZTUR,,4,3,229,146,1,145,1,144,83,84,0,,,7,,,0,46,,,7,,,,
Gipuzkoa,ALEGIA,,5,3,1266,926,10,916,8,908,340,329,16,,,49,,,3,465,,,46,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,2007,1329,26,1303,14,1289,678,484,93,,,204,,21,,298,29,,160,,,,
Gipuzkoa,ALKIZA,,6,3,257,176,3,173,4,169,81,61,1,,,4,,,0,93,,,10,,,,
Bizkaia,ALONSOTEGI,,912,2,2325,1731,24,1707,14,1693,594,772,44,,1,188,,7,,532,8,,139,2,,,
Gipuzkoa,ALTZAGA,,906,3,130,110,,110,2,108,20,34,0,,,4,,,0,61,,,9,,,,
Gipuzkoa,ALTZO,,7,3,328,234,1,233,5,228,94,64,0,,,2,,,1,150,,,11,,,,
Gipuzkoa,AMEZKETA,,8,3,705,521,6,515,15,500,184,162,0,,,5,,,2,320,,,11,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14460,10103,81,10022,77,9945,4357,4648,230,23,,1080,,,,2985,44,,912,23,,,
Bizkaia,AMOROTO,,4,4,323,241,2,239,1,238,82,123,0,,,0,,0,,113,0,,2,0,,,
Álava,AMURRIO,,2,3,8045,5809,116,5693,55,5638,2236,2388,283,,,617,,,,1790,65,69,426,,,,
Gipuzkoa,ANDOAIN,,9,3,11351,7378,74,7304,76,7228,3973,1996,286,,,1786,,,16,2413,,,731,,,,
Gipuzkoa,ANOETA,,10,3,1526,1080,14,1066,9,1057,446,379,11,,,67,,,4,534,,,62,,,,
Gipuzkoa,ANTZUOLA,,11,4,1630,1218,3,1215,15,1200,412,398,4,,,106,,,,620,,,72,,,,
Bizkaia,ARAKALDO,,5,3,112,87,1,86,1,85,25,41,0,0,,3,,,,33,0,,8,0,,,
Gipuzkoa,ARAMA,,12,3,149,102,3,99,,99,47,41,1,,,4,,,0,52,,,1,,,,
Álava,ARAMAIO,,3,2,1175,838,3,835,6,829,337,253,7,,,21,,0,,506,1,,41,,,,
Bizkaia,ARANTZAZU,,6,3,311,268,,268,1,267,43,116,1,0,,5,,,,134,0,,11,0,,,
Bizkaia,AREATZA,,93,3,890,741,15,726,10,716,149,331,25,0,,19,,,,315,0,,26,0,,,
Gipuzkoa,ARETXABALETA,,13,4,5432,3837,31,3806,36,3770,1595,1653,57,,,332,,,,1479,,,249,,,,
Álava,ARMIÑÓN,,6,2,173,125,3,122,2,120,48,38,26,,,14,,1,,16,8,,17,,,,
Álava,ARRAIA-MAEZTU,,37,2,582,447,8,439,3,436,135,230,39,,,25,,0,,114,0,,28,,,,
Bizkaia,ARRANKUDIAGA,,9,3,769,655,5,650,5,645,114,311,7,1,,13,,,,293,1,,19,0,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17347,11485,86,11399,84,11315,5862,4295,323,,,1638,,,,4000,,,1059,,,,
Bizkaia,ARRATZU,,914,4,324,286,,286,1,285,38,158,0,,,2,,0,,123,0,,2,0,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,800,530,8,522,4,518,270,230,50,,,50,,8,,135,8,,37,,,,
Bizkaia,ARRIETA,,10,4,475,360,2,358,1,357,115,202,0,,,6,,1,,131,0,,17,0,,,
Bizkaia,ARRIGORRIAGA,,11,3,9646,6360,61,6299,73,6226,3286,2557,241,23,,926,,,,1714,36,,718,11,,,
Bizkaia,ARTEA,,23,3,579,496,8,488,4,484,83,245,10,0,,6,,,,202,0,,21,0,,,
Bizkaia,ARTZENTALES,,8,2,613,462,8,454,9,445,151,262,7,,2,11,,3,,120,1,,39,0,,,
Álava,ARTZINIEGA,,4,3,1353,1021,23,998,9,989,332,413,98,,,75,,,,320,2,6,75,,,,
Álava,ASPARRENA,,9,2,1262,922,3,919,4,915,340,312,28,,,57,,1,,449,2,,66,,,,
Gipuzkoa,ASTEASU,,14,3,1152,703,4,699,9,690,449,217,11,,,27,,,2,397,,,36,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,4875,3206,27,3179,23,3156,1669,1206,49,,,295,,27,4,1296,,,279,,,,
Gipuzkoa,ATAUN,,15,3,1237,997,4,993,9,984,240,385,0,,,14,,,1,563,,,21,,,,
Bizkaia,ATXONDO,,91,3,1086,849,3,846,7,839,237,419,11,0,,29,,,,345,0,,35,0,,,
Bizkaia,AULESTI,,70,4,530,397,6,391,2,389,133,110,0,,,5,,0,,267,0,,7,0,,,
Álava,AYALA/AIARA,,10,3,2316,1695,20,1675,31,1644,621,838,76,,,107,,,,457,21,42,103,,,,
Gipuzkoa,AZKOITIA,,17,4,8489,5947,70,5877,43,5834,2542,2684,145,,,522,,,,2199,,,284,,,,
Gipuzkoa,AZPEITIA,,18,4,11214,7929,78,7851,47,7804,3285,3345,117,,,302,,,,3853,,,187,,,,
Álava,AÑANA,,49,2,132,107,2,105,2,103,25,54,12,,,6,,0,,25,2,,4,,,,
Bizkaia,BAKIO,,12,4,2066,1632,18,1614,2,1612,434,798,26,,,45,,7,,640,1,,95,0,,,
Gipuzkoa,BALIARRAIN,,904,3,89,56,2,54,,54,33,13,0,,,1,,,0,40,,,0,,,,
Bizkaia,BALMASEDA,,90,2,6005,4458,77,4381,46,4335,1547,2224,152,,9,780,,50,,724,44,,347,5,,,
Bizkaia,BARAKALDO,,13,2,79402,49616,292,49324,340,48984,29786,18659,3113,,103,13264,,715,,5679,565,,6716,170,,,
Bizkaia,BARRIKA,,14,4,1230,812,8,804,11,793,418,384,25,,,69,,8,,239,2,,66,0,,,
Álava,BARRUNDIA,,13,2,707,472,6,466,4,462,235,176,27,,,27,,2,,205,0,,25,,,,
Bizkaia,BASAURI,,15,3,33111,20806,151,20655,148,20507,12305,8842,1270,84,,4797,,,,2865,174,,2430,45,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,220,195,7,188,3,185,25,70,70,,,30,,4,,3,5,,3,,,,
Gipuzkoa,BEASAIN,,19,3,9902,6468,42,6426,63,6363,3434,2983,180,,,883,,,21,1799,,,497,,,,
Bizkaia,BEDIA,,92,3,870,656,4,652,15,637,214,391,13,3,,32,,,,160,5,,33,0,,,
Gipuzkoa,BEIZAMA,,20,4,113,78,,78,1,77,35,32,1,,,0,,,,40,,,4,,,,
Gipuzkoa,BELAUNTZA,,21,3,185,133,1,132,2,130,52,57,0,,,3,,,2,65,,,3,,,,
Bizkaia,BERANGO,,16,4,5437,3726,36,3690,25,3665,1711,1660,239,,,459,,75,,788,41,,391,12,,,
Álava,BERANTEVILLA,,14,2,366,295,4,291,4,287,71,129,48,,,37,,11,,40,6,,16,,,,
Gipuzkoa,BERASTEGI,,22,3,853,674,5,669,11,658,179,287,2,,,12,,,0,337,,,20,,,,
Gipuzkoa,BERGARA,,74,4,11511,8305,52,8253,39,8214,3206,3187,134,,,668,,,,3710,,,515,,,,
