TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,EKA,PST,EMK-MCE,LKI-LCR,PCE-EPK,AP-PDP-UL,A.I.LL.,LC,IND. ARAMAIO 83,IND. ARTZINIEGA 83,IND. ELVILLAR 83,IND. LABASTIDA 83,IND. LAGRAN 83,IND. LAPUEBLA 83,IND. LAUDIO 83,IND. OION 83,IND. AGURAIN 83,IND. SAMANIEGO 83,IND. ZALDUONDO 83,IND. AMOREBIETA 83,IND. AMOROTO 83,IND. ARANTZAZU 83,IND. MUNITIBAR 83,IND. AREATZA 83,IND. ARRANKUDIAGA 83,IND. AULESTI 83,IND. BAKIO 83,IND. BALMASEDA 83,IND. BARAKALDO 83,IND. BASAURI 83,IND. BERANGO 83,IND. BERMEO 83,IND. BERRIZ 83,IND. BILBAO 83,IND. 1 KARRANTZA 83,IND. 2 KARRANTZA 83,IND. DERIO 83,IND. DURANGO 83,IND. ETXEBARRIA 83,IND. EREÑO 83,IND. ERMUA 83,IND. ETXEBARRI 83,IND. FRUIZ 83,IND. GALDAMES 83,IND. GARAI 83,IND. GATIKA 83,IND. GAUT.ARTEAGA 83,IND. GORDEXOLA 83,IND. GORLIZ 83,IND. 1 GERNIKA 83,IND. 2 GERNIKA 83,IND. GIZABURUAGA 83,IND. IZURZTA 83,IND. LEIOA 83,IND. MALLABIA 83,IND. MARKINA 83,IND. MARURI 83,IND. MENDEXA 83,IND. MEÑAKA 83,IND. MORGA 83,IND. 1 ORTUELLA 83,IND. 2 ORTUELLA 83,IND. PORTUGALETE 83,IND. 1 SESTAO 83,IND. 2 SESTAO 83,IND. SOPUERTA 83,IND. TURTZIOZ 83,IND. ZALDIBAR 83,IND. ZALLA 83,IND. ZARATAMO 83,IND. ABALTZISKETA 83,IND. ADUNA 83,IND. AIZARNAZABAL 83,IND. ALBIZTUR 83,IND. ALTZO 83,IND. AMEZKETA 83,IND. ANDOAIN 83,IND. 1 ANOETA 83,IND. 2 ANOETA 83,IND. ANTZUOLA 83,IND. ARAMA 83,IND. ASTEASU 83,IND. BELAUNTZA 83,IND. BERASTEGI 83,IND. BERGARA 83,IND. BERROBI 83,IND. ZERAIN 83,IND. EIBAR 83,IND. ELDUAIN 83,IND. ELGETA 83,IND. ELGOIBAR 83,IND. ESKORIATZA 83,IND. EZKIO-ITSASO 83,IND. GABIRIA 83,IND. GAINTZA 83,IND. HERNIALDE 83,IND. IRUN 83,IND. LARRAUL 83,IND. LEINTZ-GATZ. 83,IND. ARRASATE 83,IND. OLABERRIA 83,IND. OÑATI 83,IND. ERREZIL 83,IND. SEGURA 83,IND. USURBIL 83,IND. MUTILOA 83,IND. BEIZAMA 83
Gipuzkoa,ALKIZA,,6,3,204,177,3,174,,174,27,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,273,116,3,110,3,110,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,880,83,,65,18,65,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,11115,8255,45,8185,25,8185,2860,4339,1371,1143,379,,,,,,500,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,325,237,18,211,8,211,88,,,0,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,6572,4315,38,4239,38,4239,2257,1843,897,766,187,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11151,7182,31,7107,44,7107,3969,2634,1844,979,1198,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1131,828,16,812,,812,303,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1627,1332,12,1316,4,1316,295,682,241,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,135,96,2,89,5,89,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1118,723,7,710,6,710,395,537,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,226,210,,205,5,205,16,111,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,929,762,15,698,49,698,167,457,,,115,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,4229,3122,58,3058,6,3058,1107,1716,418,634,170,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,133,85,4,77,4,77,48,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,673,441,5,432,4,432,232,231,139,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,676,554,5,538,11,538,122,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19051,12215,200,11935,80,11935,6836,5249,3069,2013,869,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,507,315,15,291,9,291,192,182,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,399,265,3,262,,262,134,223,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,6621,4445,73,4348,24,4312,2176,1850,1020,886,347,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,530,405,17,385,3,385,125,281,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,596,404,4,373,27,373,192,223,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,856,701,4,692,5,692,155,302,95,,,,,,,,,201,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1355,761,64,613,84,613,594,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,931,577,12,563,2,563,354,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1544,1026,3,1015,8,1015,518,466,,428,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1024,770,12,750,8,750,254,581,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,591,435,7,427,1,427,156,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,1764,1339,15,1310,14,1310,425,687,64,164,,,,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8266,5070,165,4806,99,4806,3196,3025,729,712,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,9493,5758,70,5577,111,5577,3735,3737,446,683,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,172,133,2,127,4,127,39,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,891,770,10,754,6,754,121,580,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BALMASEDA,,90,2,5977,4662,83,4536,43,4536,1315,2255,1614,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,88624,57639,665,56783,191,56783,30985,18005,21305,6340,3092,,,459,,,2246,4521,,144,,,,,,,,,,,,,,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,597,377,8,369,,369,220,239,,51,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,510,285,22,250,13,250,225,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,36822,23422,280,23084,58,23084,13400,7551,8516,2504,1508,,,,,,1045,1597,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,278,228,1,227,,237,50,124,,,42,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,8861,5437,46,5358,33,5358,3424,2399,1083,969,724,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,887,673,10,643,20,643,214,487,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,144,68,5,52,11,83,76,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Gipuzkoa,BELAUNTZA,,21,3,237,87,1,81,5,81,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERANGO,,16,4,2762,1950,44,1882,24,1882,812,1089,,368,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERANTEVILLA,,14,2,331,273,2,269,2,269,58,182,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERASTEGI,,22,3,731,465,13,452,,452,266,232,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERGARA,,74,4,12078,8046,49,7959,38,7959,4032,3935,874,1993,698,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERMEO,,17,4,13676,8951,133,8736,19,8735,4725,3302,,1805,770,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERNEDO,,16,2,497,306,3,297,6,297,191,204,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3000,2183,28,2138,17,2138,817,1381,246,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERROBI,,23,3,411,182,5,176,1,176,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,448,291,1,290,,290,157,181,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,297185,186818,2053,183997,768,183997,110367,67211,51108,18483,13070,1731,,1583,,,2764,26529,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1423,952,31,906,15,906,471,619,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,CAMPEZO/KANPEZU,,17,2,1028,765,5,741,19,741,263,258,79,,96,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,3678,2581,19,2556,6,2556,1097,1267,242,487,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,3455,2499,43,2436,20,2436,956,973,614,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,934,781,11,759,11,759,153,525,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,132098,77245,462,76469,314,76469,54853,26806,18271,13621,6530,793,,,,,867,9581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DURANGO,,27,3,19044,13016,115,12857,44,12857,6028,5688,2487,1835,945,,,,,,188,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EA,,28,4,684,534,10,517,7,517,150,393,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EIBAR,,30,4,28020,16358,278,16358,204,16348,11662,6238,5853,2258,1087,,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,,,,,,
