TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,EKA,PST,EMK-MCE,LKI-LCR,PCE-EPK,AP-PDP-UL,A.I.LL.,LC,IND. ARAMAIO 83,IND. ARTZINIEGA 83,IND. ELVILLAR 83,IND. LABASTIDA 83,IND. LAGRAN 83,IND. LAPUEBLA 83,IND. LAUDIO 83,IND. OION 83,IND. AGURAIN 83,IND. SAMANIEGO 83,IND. ZALDUONDO 83,IND. AMOREBIETA 83,IND. AMOROTO 83,IND. ARANTZAZU 83,IND. MUNITIBAR 83,IND. AREATZA 83,IND. ARRANKUDIAGA 83,IND. AULESTI 83,IND. BAKIO 83,IND. BALMASEDA 83,IND. BARAKALDO 83,IND. BASAURI 83,IND. BERANGO 83,IND. BERMEO 83,IND. BERRIZ 83,IND. BILBAO 83,IND. 1 KARRANTZA 83,IND. 2 KARRANTZA 83,IND. DERIO 83,IND. DURANGO 83,IND. ETXEBARRIA 83,IND. EREÑO 83,IND. ERMUA 83,IND. ETXEBARRI 83,IND. FRUIZ 83,IND. GALDAMES 83,IND. GARAI 83,IND. GATIKA 83,IND. GAUT.ARTEAGA 83,IND. GORDEXOLA 83,IND. GORLIZ 83,IND. 1 GERNIKA 83,IND. 2 GERNIKA 83,IND. GIZABURUAGA 83,IND. IZURZTA 83,IND. LEIOA 83,IND. MALLABIA 83,IND. MARKINA 83,IND. MARURI 83,IND. MENDEXA 83,IND. MEÑAKA 83,IND. MORGA 83,IND. 1 ORTUELLA 83,IND. 2 ORTUELLA 83,IND. PORTUGALETE 83,IND. 1 SESTAO 83,IND. 2 SESTAO 83,IND. SOPUERTA 83,IND. TURTZIOZ 83,IND. ZALDIBAR 83,IND. ZALLA 83,IND. ZARATAMO 83,IND. ABALTZISKETA 83,IND. ADUNA 83,IND. AIZARNAZABAL 83,IND. ALBIZTUR 83,IND. ALTZO 83,IND. AMEZKETA 83,IND. ANDOAIN 83,IND. 1 ANOETA 83,IND. 2 ANOETA 83,IND. ANTZUOLA 83,IND. ARAMA 83,IND. ASTEASU 83,IND. BELAUNTZA 83,IND. BERASTEGI 83,IND. BERGARA 83,IND. BERROBI 83,IND. ZERAIN 83,IND. EIBAR 83,IND. ELDUAIN 83,IND. ELGETA 83,IND. ELGOIBAR 83,IND. ESKORIATZA 83,IND. EZKIO-ITSASO 83,IND. GABIRIA 83,IND. GAINTZA 83,IND. HERNIALDE 83,IND. IRUN 83,IND. LARRAUL 83,IND. LEINTZ-GATZ. 83,IND. ARRASATE 83,IND. OLABERRIA 83,IND. OÑATI 83,IND. ERREZIL 83,IND. SEGURA 83,IND. USURBIL 83,IND. MUTILOA 83,IND. BEIZAMA 83
Bizkaia,ABADIÑO,,1,3,4457,3050,45,2972,33,2972,1407,1481,702,530,198,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,238,62,2,59,1,59,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7129,4901,61,4803,37,4803,2228,925,1357,617,1228,,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,250,230,3,227,,227,20,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2609,1843,53,1780,10,1780,766,628,266,,95,,,,,,,,,,,,,,,,,,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1513,683,3,673,7,673,830,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,387,164,2,139,23,139,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,258,128,3,125,,125,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1267,940,16,910,14,910,327,532,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,701,522,17,489,16,489,179,266,140,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
