TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PCPE,UPYD,Cs,IU-UPEC,EB-AZ,O.E.,EH BILDU,RECORTES CERO,PODEMOS-AHAL DUGU,LN,JS,PC,EZKERRA
Bizkaia,AREATZA,,93,3,900,673,9,664,4,660,227,252,38,18,1,2,0,0,7,0,1,,249,1,89,,0,2,
Gipuzkoa,ARETXABALETA,,13,4,5427,3901,26,3875,19,3856,1526,1122,157,377,9,,,7,78,123,,,1062,5,915,1,,,
Álava,ARMIÑÓN,,6,2,176,142,1,141,1,140,34,8,33,15,1,,0,0,18,4,2,0,8,1,50,0,,,
Álava,ARRAIA-MAEZTU,,37,2,586,425,6,419,2,417,161,142,65,21,1,,0,1,13,6,0,1,79,1,87,0,,,
Bizkaia,ARRANKUDIAGA,,9,3,786,614,5,609,3,606,172,240,21,17,2,0,0,0,12,2,0,,235,0,77,,0,0,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17522,12126,82,12044,52,11992,5396,2976,741,1567,60,,,11,220,423,,,2907,12,3069,6,,,
Bizkaia,ARRATZU,,914,4,330,275,,275,1,274,55,144,1,2,0,0,1,0,1,1,0,,100,0,24,,0,0,
Álava,ARRATZUA-UBARRUNDIA,,8,2,790,548,6,542,13,529,242,146,96,37,6,,0,0,31,14,0,2,93,4,100,0,,,
Bizkaia,ARRIETA,,10,4,457,311,4,307,1,306,146,151,0,5,0,1,0,0,5,7,0,,89,1,47,,0,0,
Bizkaia,ARRIGORRIAGA,,11,3,9694,6902,48,6854,56,6798,2792,1766,481,881,52,8,4,20,213,175,19,,1069,13,2078,,8,11,
Bizkaia,ARTEA,,23,3,594,470,2,468,4,464,124,195,20,10,1,0,0,0,2,3,1,,175,0,57,,0,0,
Bizkaia,ARTZENTALES,,8,2,617,433,9,424,6,418,184,234,19,11,2,0,0,0,5,6,0,,47,2,90,,0,2,
Álava,ARTZINIEGA,,4,3,1405,1026,16,1010,7,1003,379,297,121,65,2,,1,0,34,20,2,1,193,2,264,1,,,
Álava,ASPARRENA,,9,2,1282,909,10,899,2,897,373,214,56,73,6,,0,2,17,23,4,0,198,2,301,1,,,
Gipuzkoa,ASTEASU,,14,3,1111,635,3,632,4,628,476,147,22,28,9,,,1,7,11,,,275,1,127,0,,,
Gipuzkoa,ASTIGARRAGA,,903,1,4247,2846,20,2826,9,2817,1401,658,144,243,23,,,9,103,66,,,742,3,825,1,,,
Gipuzkoa,ATAUN,,15,3,1272,925,3,922,9,913,347,273,1,11,0,,,0,5,8,,,504,0,111,0,,,
Bizkaia,ATXONDO,,91,3,1134,821,9,812,7,805,313,281,32,51,3,0,0,0,9,4,0,,267,1,155,,0,2,
Bizkaia,AULESTI,,70,4,545,378,4,374,2,372,167,111,3,2,0,0,0,0,0,2,0,,232,0,22,,0,0,
Álava,AYALA/AIARA,,10,3,2275,1729,12,1717,17,1700,546,568,151,98,10,,1,0,35,36,0,1,347,4,449,0,,,
Gipuzkoa,AZKOITIA,,17,4,8580,5825,37,5788,37,5751,2755,2113,276,531,27,,,7,102,93,,,1471,16,1101,14,,,
Gipuzkoa,AZPEITIA,,18,4,11074,7100,41,7059,29,7030,3974,2607,252,319,15,,,8,82,46,,,2687,5,1006,3,,,
Álava,AÑANA,,49,2,140,108,,108,,108,32,37,14,6,0,,1,0,4,2,0,0,20,1,23,0,,,
Bizkaia,BAKIO,,12,4,2041,1573,18,1555,11,1544,468,684,47,38,11,1,0,2,22,16,2,,458,2,259,,1,1,
Gipuzkoa,BALIARRAIN,,904,3,96,62,,62,,62,34,15,0,1,0,,,0,0,0,,,41,0,5,0,,,
Bizkaia,BALMASEDA,,90,2,6022,4559,61,4498,23,4475,1463,1579,294,702,27,1,3,16,132,90,3,,433,6,1181,,2,6,
Bizkaia,BARAKALDO,,13,2,79990,57002,412,56590,383,56207,22988,10130,6764,11473,460,54,52,209,2278,2400,71,,3865,131,18146,,29,145,
Bizkaia,BARRIKA,,14,4,1218,871,4,867,8,859,347,293,75,45,6,0,1,1,21,8,2,,161,2,243,,0,1,
Álava,BARRUNDIA,,13,2,711,487,3,484,3,481,224,119,47,16,4,,0,0,15,10,1,1,135,0,132,1,,,
Bizkaia,BASAURI,,15,3,33701,24369,139,24230,168,24062,9332,5991,2645,4580,201,14,16,60,782,722,22,,2044,42,6867,,20,56,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,237,177,2,175,7,168,60,44,73,17,0,,0,1,12,1,0,0,3,0,17,0,,,
Gipuzkoa,BEASAIN,,19,3,10053,6892,32,6860,72,6788,3161,2144,429,868,28,,,8,174,228,,,1311,29,1565,4,,,
Bizkaia,BEDIA,,92,3,837,619,,619,13,606,218,303,31,36,3,0,1,0,10,0,0,,103,1,107,,1,10,
Gipuzkoa,BEIZAMA,,20,4,129,71,,71,,71,58,30,1,0,2,,,0,0,0,,,36,0,2,0,,,
Gipuzkoa,BELAUNTZA,,21,3,199,110,,110,2,108,89,35,2,6,0,,,0,2,2,,,46,0,15,0,,,
Bizkaia,BERANGO,,16,4,5260,3863,29,3834,22,3812,1397,1086,425,337,26,2,2,17,214,96,5,,581,8,1007,,1,5,
Álava,BERANTEVILLA,,14,2,372,292,8,284,1,283,80,69,65,33,3,,1,1,23,15,1,0,23,0,49,0,,,
Gipuzkoa,BERASTEGI,,22,3,834,499,5,494,7,487,335,155,12,10,3,,,0,3,3,,,227,1,73,0,,,
Gipuzkoa,BERGARA,,74,4,11610,8382,62,8320,43,8277,3228,2436,336,713,28,,,6,97,181,,,2490,17,1973,0,,,
Bizkaia,BERMEO,,17,4,13291,8924,52,8872,42,8830,4367,3789,219,378,35,3,2,4,84,77,11,,2261,10,1947,,1,9,
Álava,BERNEDO,,16,2,439,255,6,249,3,246,184,66,57,14,0,,1,0,9,6,2,0,36,0,55,0,,,
Bizkaia,BERRIATUA,,18,4,875,553,,553,3,550,322,220,4,13,3,0,0,0,4,2,2,,225,1,76,,0,0,
Bizkaia,BERRIZ,,19,3,3594,2569,25,2544,16,2528,1025,742,173,283,9,1,0,11,74,40,6,,545,6,626,,1,11,
Gipuzkoa,BERROBI,,23,3,445,258,,258,2,256,187,46,10,13,1,,,0,4,2,,,116,1,63,0,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,393,226,,226,2,224,167,54,8,3,0,,,0,2,2,,,119,1,35,0,,,
Bizkaia,BILBAO,,20,1,274215,194244,1200,193044,1471,191573,79971,52690,29488,24837,1378,172,109,782,9254,6011,404,,17128,351,48342,,172,458,
Bizkaia,BUSTURIA,,21,4,1352,952,6,946,8,938,400,429,33,65,4,0,2,1,13,6,1,,239,0,145,,0,0,
Álava,CAMPEZO/KANPEZU,,17,2,869,585,7,578,4,574,284,185,77,55,4,,1,4,13,8,1,0,122,1,101,2,,,
Gipuzkoa,DEBA,,29,4,4258,3007,13,2994,17,2977,1251,1064,122,176,22,,,5,48,64,,,850,8,616,2,,,
Bizkaia,DERIO,,901,4,4775,3609,29,3580,35,3545,1166,1051,282,577,30,3,0,5,133,105,8,,399,2,939,,3,8,
Bizkaia,DIMA,,26,3,1134,862,8,854,7,847,272,304,7,8,2,0,0,0,3,10,0,,408,0,105,,0,0,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147625,106982,403,106579,699,105880,40643,22890,14812,15062,712,,,532,6348,3296,,,14476,229,27478,45,,,
Bizkaia,DURANGO,,27,3,22035,15932,104,15828,113,15715,6103,4899,1479,1491,92,8,10,36,483,312,32,,2910,21,3886,,10,47,
Bizkaia,EA,,28,4,715,553,2,551,4,547,162,229,11,1,2,1,0,0,2,1,2,,257,1,40,,0,0,
Gipuzkoa,EIBAR,,30,4,21521,15142,91,15051,108,14943,6379,3327,1330,3138,76,,,31,416,469,,,2376,24,3750,6,,,
Bizkaia,ELANTXOBE,,31,4,340,245,3,242,,242,95,127,2,0,2,0,0,0,1,0,1,,88,1,20,,0,0,
Álava,ELBURGO/BURGELU,,21,2,460,336,4,332,1,331,124,114,63,26,6,,1,3,19,8,1,2,25,2,61,0,,,
Álava,ELCIEGO,,22,2,805,593,6,587,3,584,212,78,154,135,3,,0,3,36,44,1,0,42,1,87,0,,,
Gipuzkoa,ELDUAIN,,31,3,180,105,3,102,1,101,75,38,1,0,0,,,0,0,1,,,46,0,15,0,,,
Gipuzkoa,ELGETA,,33,4,864,629,4,625,3,622,235,203,13,16,8,,,0,6,9,,,262,1,103,1,,,
Gipuzkoa,ELGOIBAR,,32,4,8785,6127,39,6088,45,6043,2658,1996,438,758,42,,,23,157,106,,,1267,11,1243,2,,,
Bizkaia,ELORRIO,,32,3,5735,4188,22,4166,32,4134,1547,1201,315,387,18,1,3,5,70,60,8,,1323,4,735,,0,4,
Álava,ELVILLAR/BILAR,,23,2,269,197,2,195,2,193,72,52,66,10,0,,0,0,8,10,0,0,24,0,23,0,,,
Bizkaia,ERANDIO,,902,4,19124,13372,117,13255,93,13162,5752,3642,1018,2064,85,5,18,26,387,367,20,,1255,29,4209,,7,30,
Bizkaia,EREÑO,,33,4,215,160,1,159,,159,55,78,4,1,0,0,0,0,1,1,0,,53,0,21,,0,0,
Bizkaia,ERMUA,,34,3,12902,9685,71,9614,79,9535,3217,1041,1684,2175,60,13,19,39,548,523,11,,755,26,2579,,19,43,
Gipuzkoa,ERRENTERIA,,67,2,30825,21619,94,21525,113,21412,9206,2648,1688,4125,163,,,46,811,787,,,3943,44,7147,10,,,
Gipuzkoa,ERREZIL,,66,4,461,279,3,276,3,273,182,81,0,1,1,,,0,0,1,,,178,0,11,0,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,594,445,10,435,3,432,149,114,90,40,3,,1,1,22,16,0,0,40,0,105,0,,,
Bizkaia,ERRIGOITI,,79,4,425,322,1,321,4,317,103,125,10,5,2,0,0,0,3,0,0,,130,0,41,,0,1,
Gipuzkoa,ESKORIATZA,,34,4,3157,2145,4,2141,7,2134,1012,595,86,296,12,,,3,41,79,,,515,7,497,3,,,
Bizkaia,ETXEBARRI,,29,3,8332,6155,36,6119,35,6084,2177,1204,590,974,43,3,3,17,358,207,10,,383,14,2258,,9,11,
Bizkaia,ETXEBARRIA,,30,4,608,454,1,453,4,449,154,222,10,3,0,0,0,0,2,0,0,,175,0,37,,0,0,
Gipuzkoa,EZKIO-ITSASO,,35,3,482,329,1,328,4,324,153,96,6,15,4,,,2,2,5,,,139,0,55,0,,,
Bizkaia,FORUA,,906,4,775,579,5,574,,574,196,276,12,15,2,0,1,0,0,5,1,,186,0,76,,0,0,
Bizkaia,FRUIZ,,35,4,412,313,1,312,4,308,99,153,2,2,1,0,1,0,7,4,0,,89,0,49,,0,0,
Gipuzkoa,GABIRIA,,38,3,392,284,3,281,1,280,108,111,3,3,0,,,0,1,4,,,123,0,35,0,,,
Gipuzkoa,GAINTZA,,37,3,97,59,,59,1,58,38,19,0,0,0,,,0,2,0,,,27,0,10,0,,,
Bizkaia,GALDAKAO,,36,3,24144,17117,131,16986,117,16869,7027,4959,1348,1954,123,9,8,50,546,537,21,,2439,33,4812,,3,27,
Bizkaia,GALDAMES,,37,2,691,518,9,509,2,507,173,229,12,32,3,0,0,0,11,8,1,,108,0,101,,0,2,
Bizkaia,GAMIZ-FIKA,,38,4,1122,835,10,825,,825,287,404,34,19,3,1,0,1,10,7,0,,185,0,156,,2,3,
Bizkaia,GARAI,,39,3,243,201,,201,2,199,42,96,7,4,0,1,0,1,8,3,0,,61,0,18,,0,0,
Bizkaia,GATIKA,,40,4,1299,896,12,884,5,879,403,407,28,28,4,0,0,1,17,7,0,,195,0,191,,0,1,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,704,558,3,555,4,551,146,286,9,12,3,0,0,0,12,8,0,,147,0,74,,0,0,
Gipuzkoa,GAZTELU,,907,3,120,85,1,84,2,82,35,25,2,0,0,,,0,0,2,,,30,0,23,0,,,
Bizkaia,GERNIKA-LUMO,,46,4,12617,9054,70,8984,56,8928,3563,3472,402,556,42,1,1,5,172,84,9,,2353,9,1800,,3,19,
Gipuzkoa,GETARIA,,39,4,2111,1542,7,1535,13,1522,569,588,24,33,6,,,2,9,11,,,631,0,217,1,,,
Bizkaia,GETXO,,44,4,62999,47154,206,46948,385,46563,15845,13818,10169,3671,278,34,29,180,3122,947,85,,4648,81,9424,,18,60,
Bizkaia,GIZABURUAGA,,47,4,161,112,,112,,112,49,32,1,0,0,0,0,0,0,0,0,,63,0,16,,0,0,
Bizkaia,GORDEXOLA,,42,2,1384,1111,20,1091,7,1084,273,525,108,63,8,0,0,7,42,31,0,,91,3,205,,0,1,
Bizkaia,GORLIZ,,43,4,4403,3219,28,3191,28,3163,1184,1255,222,164,17,3,1,11,93,63,8,,544,4,772,,0,6,
Bizkaia,GÜEÑES,,45,2,5152,3949,55,3894,35,3859,1203,1567,197,415,23,2,1,10,75,62,3,,605,7,879,,4,9,
Álava,HARANA/VALLE DE ARANA,,56,2,218,141,1,140,1,139,77,70,22,0,1,,1,0,3,1,0,0,23,0,18,0,,,
Gipuzkoa,HERNANI,,40,1,15321,10260,84,10176,69,10107,5061,1661,591,1130,54,,,10,255,201,,,3304,31,2863,7,,,
Gipuzkoa,HERNIALDE,,41,3,258,148,,148,2,146,110,50,3,1,0,,,0,5,2,,,55,0,30,0,,,
Gipuzkoa,HONDARRIBIA,,36,2,13151,9211,59,9152,85,9067,3940,3126,691,713,49,,,87,377,361,,,1156,33,2471,3,,,
Gipuzkoa,IBARRA,,42,3,3251,2170,18,2152,23,2129,1081,524,94,225,8,,,2,40,37,,,669,1,527,2,,,
Bizkaia,IBARRANGELU,,48,4,562,399,5,394,3,391,163,172,8,12,1,0,0,0,2,12,0,,135,0,49,,0,0,
Gipuzkoa,IDIAZABAL,,43,3,1740,1157,5,1152,6,1146,583,490,46,34,2,,,1,14,7,,,407,1,143,1,,,
Bizkaia,IGORRE,,94,3,3193,2211,10,2201,18,2183,982,876,58,84,11,1,0,2,24,7,0,,763,3,342,,5,7,
Gipuzkoa,IKAZTEGIETA,,44,3,368,264,5,259,,259,104,76,5,9,1,,,0,3,1,,,111,0,53,0,,,
Gipuzkoa,IRUN,,45,2,46691,32764,199,32565,222,32343,13927,5013,4045,6538,279,,,144,1962,1304,,,2520,71,10451,16,,,
Gipuzkoa,IRURA,,46,3,1167,797,3,794,4,790,370,227,32,47,1,,,5,26,12,,,249,2,189,0,,,
Álava,IRURAIZ-GAUNA,,27,2,416,268,,268,,268,148,78,37,14,4,,0,4,14,12,1,1,50,0,53,0,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2344,1688,19,1669,17,1652,656,178,316,315,18,,1,4,117,72,7,1,123,5,495,0,,,
Bizkaia,ISPASTER,,49,4,548,433,2,431,,431,115,220,8,2,3,0,0,1,1,3,1,,139,0,53,,0,0,
Gipuzkoa,ITSASONDO,,47,3,477,329,,329,2,327,148,78,10,17,0,,,1,3,2,,,154,0,61,1,,,
Bizkaia,IURRETA,,910,3,2948,2130,11,2119,17,2102,818,556,222,339,8,2,0,4,62,38,3,,450,4,413,,0,1,
Bizkaia,IZURTZA,,50,3,198,153,3,150,,150,45,57,6,2,0,0,2,0,1,0,0,,71,0,11,,0,0,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2355,1477,8,1469,9,1460,878,694,78,133,5,0,0,5,18,19,2,,117,3,382,,0,4,
Bizkaia,KORTEZUBI,,907,4,355,283,1,282,2,280,72,145,3,5,0,0,0,2,2,0,0,,84,0,39,,0,0,
Álava,KRIPAN,,19,2,144,112,1,111,2,109,32,68,17,3,0,,0,0,1,1,0,0,11,0,8,0,,,
Álava,KUARTANGO,,20,2,326,232,4,228,,228,94,77,25,6,0,,1,1,9,5,1,0,58,0,45,0,,,
Álava,LABASTIDA/BASTIDA,,28,2,1077,761,6,755,6,749,316,110,197,92,7,,0,0,46,52,0,0,78,1,166,0,,,
Álava,LAGRÁN,,30,2,159,126,3,123,1,122,33,35,40,10,1,,0,1,0,3,0,0,11,1,18,2,,,
Álava,LAGUARDIA,,31,2,1183,907,22,885,6,879,276,131,288,82,8,,3,2,66,21,2,1,105,1,169,0,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,522,368,7,361,,361,154,101,72,56,2,,0,2,14,10,0,0,33,0,71,0,,,
Bizkaia,LANESTOSA,,51,2,220,169,1,168,,168,51,55,17,24,1,0,0,0,3,0,0,,15,0,53,,0,0,
Álava,LANTARÓN,,902,2,738,537,9,528,4,524,201,114,110,63,6,,2,6,31,23,0,0,48,0,121,0,,,
Álava,LAPUEBLA DE LABARCA,,33,2,649,512,4,508,5,503,137,174,100,73,4,,0,3,23,14,0,0,46,1,65,0,,,
Bizkaia,LARRABETZU,,52,4,1559,1216,4,1212,,1212,343,407,26,19,2,1,0,2,15,16,5,,551,1,165,,1,1,
Gipuzkoa,LARRAUL,,48,3,176,104,,104,2,102,72,17,1,2,1,,,1,1,0,,,50,1,28,0,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14193,10279,44,10235,56,10179,3914,1333,1051,2541,62,,,41,486,295,,,1465,19,2883,3,,,
Álava,LAUDIO/LLODIO,,36,3,15034,10733,114,10619,73,10546,4301,2438,1101,1426,68,,7,29,305,298,12,6,1859,16,2978,3,,,
Bizkaia,LAUKIZ,,53,4,900,677,6,671,8,663,223,325,90,30,3,0,0,0,37,4,0,,99,0,74,,1,0,
Gipuzkoa,LAZKAO,,49,3,4124,2793,13,2780,22,2758,1331,722,132,305,17,,,3,47,43,,,928,9,550,2,,,
Gipuzkoa,LEABURU,,50,3,263,160,,160,4,156,103,48,4,0,0,,,0,0,2,,,82,0,20,0,,,
Gipuzkoa,LEGAZPI,,51,3,6904,5001,26,4975,31,4944,1903,1379,336,679,19,,,9,94,152,,,1147,10,1016,103,,,
Gipuzkoa,LEGORRETA,,52,3,1091,797,5,792,6,786,294,234,25,55,2,,,0,12,15,,,268,0,175,0,,,
Álava,LEGUTIO,,58,2,1327,843,10,833,8,825,484,173,54,50,7,,0,3,25,19,2,0,284,2,205,1,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,183,117,2,115,,115,66,32,0,1,0,,,0,0,2,,,61,0,19,0,,,
Bizkaia,LEIOA,,54,4,24151,17562,119,17443,124,17319,6589,4760,1992,2103,135,24,15,46,919,515,23,,1471,20,5238,,9,49,
Bizkaia,LEKEITIO,,57,4,5749,4101,12,4089,20,4069,1648,1627,75,84,4,0,0,2,20,29,1,,1672,2,551,,0,2,
Bizkaia,LEMOA,,55,3,2662,1967,23,1944,16,1928,695,670,66,131,6,2,1,3,44,24,1,,567,0,404,,5,4,
Bizkaia,LEMOIZ,,56,4,978,733,1,732,7,725,245,330,14,12,6,0,0,0,6,0,0,,164,1,186,,0,6,
Álava,LEZA,,34,2,165,120,1,119,1,118,45,38,11,12,0,,1,0,4,1,1,0,22,0,28,0,,,
Bizkaia,LEZAMA,,81,4,1883,1415,14,1401,12,1389,468,640,61,64,6,0,0,1,37,9,1,,292,0,267,,0,11,
Gipuzkoa,LEZO,,53,2,4765,3150,18,3132,18,3114,1615,503,165,315,19,,,8,69,65,,,911,3,1054,2,,,
Gipuzkoa,LIZARTZA,,54,3,447,301,4,297,5,292,146,51,1,0,0,,,0,1,0,,,215,0,24,0,,,
Bizkaia,LOIU,,903,4,1838,1401,15,1386,4,1382,437,696,161,55,11,0,0,5,46,21,0,,142,1,243,,0,1,
Bizkaia,MALLABIA,,58,3,972,691,4,687,4,683,281,222,25,52,2,0,0,0,20,4,2,,241,1,114,,0,0,
Bizkaia,MARKINA-XEMEIN,,60,4,3645,2277,3,2274,7,2267,1368,984,65,54,6,1,0,0,13,8,4,,825,1,299,,0,7,
Bizkaia,MARURI-JATABE,,61,4,762,584,3,581,4,577,178,271,28,12,3,2,0,2,17,10,0,,114,0,117,,0,1,
Bizkaia,MAÑARIA,,59,3,402,317,3,314,1,313,85,145,7,4,0,0,0,0,2,0,0,,112,0,43,,0,0,
Gipuzkoa,MENDARO,,901,4,1441,982,3,979,2,977,459,317,41,97,4,,,0,16,20,,,220,1,261,0,,,
Bizkaia,MENDATA,,62,4,300,241,1,240,1,239,59,119,3,3,1,1,0,0,1,1,1,,73,0,36,,0,0,
Bizkaia,MENDEXA,,63,4,373,289,1,288,1,287,84,122,4,4,3,2,0,0,0,5,0,,106,0,41,,0,0,
Bizkaia,MEÑAKA,,64,4,603,463,4,459,7,452,140,177,6,5,1,0,0,0,9,5,0,,171,0,78,,0,0,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,202,161,5,156,,156,41,25,33,30,0,,0,0,10,6,0,0,10,0,42,0,,,
Bizkaia,MORGA,,66,4,346,256,,256,1,255,90,153,5,0,2,0,0,0,1,0,0,,67,0,27,,0,0,
Bizkaia,MUNDAKA,,68,4,1551,1179,15,1164,16,1148,372,649,15,30,4,1,0,0,2,8,2,,263,0,173,,0,1,
Bizkaia,MUNGIA,,69,4,12766,9012,75,8937,58,8879,3754,3710,711,512,59,6,1,25,310,122,13,,1346,16,2035,,2,11,
Álava,MUNICIPIO CERA ARABA,,999,99,5871,442,3,439,2,437,5429,56,71,37,5,,0,4,44,20,3,0,46,3,147,1,,,
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,35933,1824,5,1819,19,1800,34109,354,277,243,23,4,6,19,158,58,10,,166,10,472,,0,0,
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,25308,2228,74,2154,10,2144,23080,316,216,234,17,,,20,189,92,,,377,8,674,1,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,365,241,2,239,,239,124,102,0,0,0,0,0,0,0,3,1,,116,3,14,,0,0,
Bizkaia,MURUETA,,908,4,245,200,1,199,1,198,45,84,3,7,0,0,0,1,1,1,1,,65,0,35,,0,0,
Bizkaia,MUSKIZ,,71,2,6118,4487,55,4432,32,4400,1631,1413,213,684,36,3,3,8,78,113,4,,456,5,1373,,4,7,
Gipuzkoa,MUTILOA,,57,3,201,122,1,121,,121,79,33,0,1,1,,,0,2,2,,,61,0,21,0,,,
Gipuzkoa,MUTRIKU,,56,4,4104,2657,21,2636,12,2624,1447,963,112,99,11,,,1,34,36,,,834,8,525,1,,,
Bizkaia,MUXIKA,,67,4,1161,837,3,834,2,832,324,326,11,22,0,0,0,1,7,5,1,,342,1,116,,0,0,
Bizkaia,NABARNIZ,,909,4,207,165,,165,1,164,42,56,0,0,0,0,0,0,1,0,0,,90,1,16,,0,0,
Álava,NAVARIDAS,,41,2,153,105,5,100,1,99,48,26,36,3,1,,1,0,7,2,0,1,7,1,14,0,,,
Gipuzkoa,OIARTZUN,,63,2,7990,5449,34,5415,23,5392,2541,1030,179,208,20,,,10,84,94,,,2575,11,1108,73,,,
Álava,OKONDO,,42,3,901,653,3,650,11,639,248,234,40,22,6,,2,0,4,7,2,0,152,0,169,1,,,
Gipuzkoa,OLABERRIA,,58,3,746,547,1,546,3,543,199,146,48,87,4,,,0,18,9,,,111,2,118,0,,,
Bizkaia,ONDARROA,,73,4,6952,4476,41,4435,43,4392,2476,1462,184,138,4,2,0,4,18,34,10,,1907,4,622,,1,2,
Gipuzkoa,ORDIZIA,,76,3,6978,4975,17,4958,39,4919,2003,1273,336,549,18,,,4,108,126,,,1276,9,1219,1,,,
Gipuzkoa,ORENDAIN,,905,3,141,105,,105,,105,36,28,0,1,0,,,0,0,0,,,61,0,15,0,,,
Gipuzkoa,OREXA,,60,3,89,76,1,75,2,73,13,1,0,0,0,,,0,0,0,,,72,0,0,0,,,
