TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PCPE,UPYD,Cs,IU-UPEC,EB-AZ,O.E.,EH BILDU,RECORTES CERO,PODEMOS-AHAL DUGU,LN,JS,PC,EZKERRA
Bizkaia,ABADIÑO,,1,3,5832,4191,25,4166,37,4129,1641,903,394,537,28,4,4,4,137,69,2,,991,12,1027,,0,17,
Gipuzkoa,ABALTZISKETA,,1,3,242,138,1,137,1,136,104,54,1,2,0,,,0,0,0,,,70,0,9,0,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7851,5787,54,5733,41,5692,2064,1453,239,807,35,5,3,6,144,204,6,,660,7,2114,,1,8,
Gipuzkoa,ADUNA,,2,3,343,227,1,226,10,216,116,54,3,0,0,,,0,4,2,,,108,0,45,0,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3606,2417,24,2393,21,2372,1189,551,213,211,19,,0,2,74,65,4,2,538,7,686,0,,,
Gipuzkoa,AIA,,16,4,1514,885,1,884,5,879,629,380,17,11,8,,,0,8,7,,,260,1,187,0,,,
Gipuzkoa,AIZARNAZABAL,,3,4,541,334,,334,3,331,207,77,0,11,0,,,0,1,0,,,184,1,56,1,,,
Bizkaia,AJANGIZ,,911,4,382,291,5,286,2,284,91,79,2,3,0,0,0,0,0,5,1,,172,0,21,,0,1,
Gipuzkoa,ALBIZTUR,,4,3,252,135,,135,2,133,117,66,0,8,1,,,0,3,2,,,33,0,20,0,,,
Gipuzkoa,ALEGIA,,5,3,1261,811,6,805,7,798,450,234,27,34,7,,,0,12,10,,,342,1,131,0,,,
Álava,ALEGRÍA-DULANTZI,,1,2,1985,1431,21,1410,8,1402,554,268,151,196,15,,1,5,81,47,5,3,173,8,449,0,,,
Gipuzkoa,ALKIZA,,6,3,262,161,2,159,1,158,101,64,2,1,4,,,0,1,3,,,58,0,25,0,,,
Bizkaia,ALONSOTEGI,,912,2,2308,1790,41,1749,27,1722,518,585,70,194,15,0,1,5,50,34,1,,363,3,398,,1,2,
Gipuzkoa,ALTZAGA,,906,3,121,84,,84,1,83,37,20,0,0,1,,,0,1,4,,,41,0,16,0,,,
Gipuzkoa,ALTZO,,7,3,304,209,,209,5,204,95,37,2,2,3,,,0,1,2,,,127,0,30,0,,,
Gipuzkoa,AMEZKETA,,8,3,721,382,6,376,5,371,339,115,12,5,0,,,2,1,6,,,178,0,52,0,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14338,10519,83,10436,76,10360,3819,3485,511,1004,69,3,4,18,238,248,17,,2220,14,2508,,9,12,
Bizkaia,AMOROTO,,4,4,334,229,2,227,1,226,105,96,0,3,2,0,0,1,0,2,0,,107,0,15,,0,0,
Álava,AMURRIO,,2,3,8139,5971,83,5888,32,5856,2168,1686,501,575,30,,3,7,156,161,8,2,1034,3,1685,5,,,
Gipuzkoa,ANDOAIN,,9,3,11528,7997,42,7955,57,7898,3531,1345,597,1472,41,,,8,272,257,,,1542,18,2339,7,,,
Gipuzkoa,ANOETA,,10,3,1494,1055,2,1053,4,1049,439,240,55,78,9,,,1,25,7,,,382,3,247,2,,,
Gipuzkoa,ANTZUOLA,,11,4,1660,1283,5,1278,9,1269,377,346,35,100,2,,,2,4,20,,,539,1,220,0,,,
Bizkaia,ARAKALDO,,5,3,117,76,,76,,76,41,24,2,4,0,0,0,1,0,0,3,,20,0,22,,0,0,
Gipuzkoa,ARAMA,,12,3,144,108,,108,3,105,36,37,3,5,0,,,0,0,0,,,51,0,9,0,,,
Álava,ARAMAIO,,3,2,1186,843,9,834,19,815,343,256,11,10,2,,0,1,0,15,1,1,395,1,122,0,,,
Bizkaia,ARANTZAZU,,6,3,289,246,1,245,3,242,43,96,0,4,0,0,0,0,2,1,0,,108,0,30,,0,1,
