TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PH,PSE-EE/PSOE,CNPS,ICV-EHE/GORORDO,PIE,PLAZANDREOK,HERRI-HATS,AMA,IND. ARRAIA-MAEZ. 95,IND. BARRUNDIA 95,IND. 1 KANPEZU 95,IND. 2 KANPEZU 95,IND. IRUÑA OKA 95,IND. LANTARON 95,IND. AÑANA 95,IND. ALONSOTEGI 95,IND. AMOROTO 95,IND. ARANTZAZU 95,IND. ARCENTALES 95,IND. BALMASEDA 95,IND. BARAKALDO 95,IND. BERRIATUA 95,IND. BERRIZ 95,IND. KARRANTZA 95,IND. ELORRIO 95,IND. 1 EREÑO 95,IND. 2 EREÑO 95,IND. ETXEBARRI 95,IND. GALDAKAO 95,IND. GARAI 95,IND. GORLIZ 95,IND. GIZABURUAGA 95,IND. IZURTZA 95,IND. LEMOIZ 95,IND. MURUETA 95,IND. ONDARROA 95,IND. SOPUERTA 95,IND. ZALDIBAR 95,IND. ABALTZISKETA 95,IND. ADUNA 95,IND. ALBIZTUR 95,IND. ALKIZA 95,IND. ALTZAGA 95,IND. ALTZO 95,IND. 1 AMEZKETA 95,IND. 2 AMEZKETA 95,IND. ANTZUOLA 95,IND. ARAMA 95,IND. ATAUN 95,IND. BALIARRAIN 95,IND. BELAUNTZA 95,IND. BERROBI 95,IND. DEBA 95,IND. ELDUAIN 95,IND. ERREZIL 95,IND. ESKORIATZA 95,IND. EZKIO-ITSASO 95,IND. GABIRIA 95,IND. GAINTZA 95,IND. GAZTELU 95,IND. HERNIALDE 95,IND. IKAZTEGIETA 95,IND. LARRAUL 95,IND. LEINTZ-GATZ. 95,IND. LIZARTZA 95,IND. MENDARO 95,IND. MUTILOA 95,IND. OLABERRIA 95,IND. ORENDAIN 95,IND. OREXA 95,IND. VILLABONA 95,IND. ZALDIBIA 95,IND. ZERAIN 95
Bizkaia,ABADIÑO,,1,3,5506,3483,38,3446,67,3379,2023,1346,277,678,,272,333,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,240,110,4,106,3,103,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7040,4674,39,4635,72,4563,2366,911,154,581,,119,589,22,,,,1420,,,,,,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,249,181,5,176,10,166,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3008,1996,24,1972,12,1960,1012,261,73,338,94,823,45,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1346,861,3,858,9,849,485,487,,191,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,413,277,16,261,33,228,136,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,319,294,4,290,2,288,25,104,,150,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,244,91,3,88,1,87,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1370,998,5,993,17,976,372,219,,351,,384,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,867,668,6,662,9,653,199,250,37,,27,245,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,230,155,4,151,7,144,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2545,2002,37,1965,31,1934,543,698,124,268,,437,80,,,,,91,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,78,44,,44,2,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,278,241,2,239,2,237,37,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,864,580,5,575,11,564,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,13154,7908,105,8883,129,8754,5246,3867,508,1547,,883,881,,,,,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,322,289,17,272,10,262,33,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,7790,5704,79,5625,91,5534,2086,1370,533,596,121,2434,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,12127,7530,67,7458,137,7321,4597,1567,664,1666,,1241,439,,,,,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1394,917,5,912,14,898,477,232,,424,,203,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1642,1283,14,1269,26,1243,359,447,,324,,142,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,102,88,3,88,2,86,14,51,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,139,98,5,88,9,79,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1117,801,3,798,11,787,316,297,,195,4,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,242,227,1,226,,226,15,100,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,942,773,35,738,28,710,169,425,102,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
