TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PH,PSE-EE/PSOE,CNPS,ICV-EHE/GORORDO,PIE,PLAZANDREOK,HERRI-HATS,AMA,IND. ARRAIA-MAEZ. 95,IND. BARRUNDIA 95,IND. 1 KANPEZU 95,IND. 2 KANPEZU 95,IND. IRUÑA OKA 95,IND. LANTARON 95,IND. AÑANA 95,IND. ALONSOTEGI 95,IND. AMOROTO 95,IND. ARANTZAZU 95,IND. ARCENTALES 95,IND. BALMASEDA 95,IND. BARAKALDO 95,IND. BERRIATUA 95,IND. BERRIZ 95,IND. KARRANTZA 95,IND. ELORRIO 95,IND. 1 EREÑO 95,IND. 2 EREÑO 95,IND. ETXEBARRI 95,IND. GALDAKAO 95,IND. GARAI 95,IND. GORLIZ 95,IND. GIZABURUAGA 95,IND. IZURTZA 95,IND. LEMOIZ 95,IND. MURUETA 95,IND. ONDARROA 95,IND. SOPUERTA 95,IND. ZALDIBAR 95,IND. ABALTZISKETA 95,IND. ADUNA 95,IND. ALBIZTUR 95,IND. ALKIZA 95,IND. ALTZAGA 95,IND. ALTZO 95,IND. 1 AMEZKETA 95,IND. 2 AMEZKETA 95,IND. ANTZUOLA 95,IND. ARAMA 95,IND. ATAUN 95,IND. BALIARRAIN 95,IND. BELAUNTZA 95,IND. BERROBI 95,IND. DEBA 95,IND. ELDUAIN 95,IND. ERREZIL 95,IND. ESKORIATZA 95,IND. EZKIO-ITSASO 95,IND. GABIRIA 95,IND. GAINTZA 95,IND. GAZTELU 95,IND. HERNIALDE 95,IND. IKAZTEGIETA 95,IND. LARRAUL 95,IND. LEINTZ-GATZ. 95,IND. LIZARTZA 95,IND. MENDARO 95,IND. MUTILOA 95,IND. OLABERRIA 95,IND. ORENDAIN 95,IND. OREXA 95,IND. VILLABONA 95,IND. ZALDIBIA 95,IND. ZERAIN 95
Gipuzkoa,ARETXABALETA,,13,4,4951,3485,55,3430,76,3354,1466,906,,998,,687,180,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARMIÑÓN,,6,2,123,95,8,77,1,76,28,24,49,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,654,459,4,455,4,451,195,177,56,,44,40,,,,,,34,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,633,549,4,545,15,530,84,360,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20293,13263,86,13177,175,13002,7030,2823,974,3535,,2011,1129,,,,,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRATZU,,914,4,325,296,3,293,2,291,29,109,,148,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,602,410,1,409,6,403,192,194,72,44,44,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,385,287,3,278,3,275,98,191,,42,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,8252,5381,79,5302,86,5216,2871,2389,378,904,,277,407,,,,,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,543,462,11,451,16,435,81,232,,114,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,560,467,6,461,8,453,93,304,,,,,,,,,,7,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,1052,865,21,844,14,830,187,267,210,131,47,122,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1304,934,16,918,18,900,370,299,44,174,29,270,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,961,669,3,666,19,647,292,,,268,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,2499,1749,13,1738,37,1701,750,199,61,645,,762,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1426,1129,9,1120,10,1110,297,,,492,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1181,853,26,827,16,811,328,567,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,587,450,1,450,1,449,137,201,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,1730,1282,25,1257,35,1222,448,525,310,127,30,204,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8518,5611,73,5541,86,5455,2907,2871,472,847,,593,178,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,10763,7342,62,7280,89,7191,3421,3030,287,1459,,2101,89,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,186,173,3,193,2,191,13,58,1,,36,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,1133,864,38,826,19,807,269,538,,141,,105,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BALIARRAIN,,904,3,84,54,,54,,54,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BALMASEDA,,90,2,6158,4793,47,4746,35,4711,1365,1605,356,362,,297,99,,,,,864,,,,,,,,,,,,,,,,,,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,85435,51751,333,51418,807,50611,33684,11619,8537,4680,,2110,6990,,,,,15190,,,132,,,,,,,,,,,,,,,,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,771,519,9,510,19,491,252,285,30,113,,42,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,499,294,3,291,6,285,205,113,14,34,84,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,40622,23841,178,23663,371,23292,16781,7908,3208,2540,,876,2570,,,,67,6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,291,237,8,229,19,210,54,137,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,9987,6390,49,6341,126,6215,3597,1868,457,1216,,1131,378,,,,,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,881,705,31,674,27,647,176,506,,94,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,157,132,7,125,1,124,25,59,,58,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BELAUNTZA,,21,3,246,224,,224,2,222,22,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERANGO,,16,4,3540,2433,30,2403,38,2365,1107,922,187,475,,283,284,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERANTEVILLA,,14,2,344,278,2,276,2,274,66,152,20,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERASTEGI,,22,3,776,573,2,571,13,558,203,109,,147,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERGARA,,74,4,12812,8579,40,8539,99,8440,4233,3162,361,2861,,1028,394,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERMEO,,17,4,14587,9663,98,9565,120,9445,4924,3391,267,1808,,3392,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERNEDO,,16,2,506,310,2,308,7,301,196,172,78,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIATUA,,18,4,857,408,10,398,6,392,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3397,2330,59,2280,41,2239,1067,1023,,336,,151,94,,,,,212,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERROBI,,23,3,489,301,13,288,44,244,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,371,314,3,311,1,310,57,79,,82,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,313661,191778,1113,190665,2688,187977,121883,50598,40457,15451,,7535,14031,,,,,27381,108,32129,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1441,1144,10,1134,12,1122,297,505,,286,,285,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,CAMPEZO/KANPEZU,,17,2,990,702,12,690,17,673,288,215,150,,55,,,,,,,45,,,,,,,,,115,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,4082,2931,20,2909,52,2857,1151,852,,556,,1040,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,3992,2663,33,2630,62,2568,1329,1183,196,264,,222,222,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,918,793,20,773,9,764,125,293,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,151102,95437,524,94848,1931,92917,55665,11331,22611,13579,,16271,4975,,,,,21677,,,,2287,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DURANGO,,27,3,18986,12339,116,12212,171,12041,6647,5033,1920,1894,,839,926,,,,,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EA,,28,4,738,574,7,567,6,561,164,312,,169,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EIBAR,,30,4,26296,16884,93,16791,239,16552,9412,3750,2034,2580,,1839,954,,,,,5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELANTXOBE,,31,4,446,356,1,355,4,351,90,185,,127,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELBURGO/BURGELU,,21,2,176,111,11,88,14,74,65,61,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELCIEGO,,22,2,799,674,8,666,9,657,125,76,128,,4,182,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELDUAIN,,31,3,223,194,1,196,2,194,29,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGETA,,33,4,818,583,26,557,21,536,235,338,,191,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGOIBAR,,32,4,9380,6426,29,6397,89,6308,2954,2483,519,1112,,1187,351,,,,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELORRIO,,32,3,6132,4351,41,4304,55,4249,1781,1512,332,937,,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELVILLAR/BILAR,,23,2,303,261,8,253,9,244,42,151,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERANDIO,,902,4,19653,11528,88,11440,228,11212,8125,4033,1279,1504,,725,1251,,,,,2392,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EREÑO,,33,4,241,219,1,218,,218,22,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERMUA,,34,3,14126,9025,62,8967,143,8824,5101,1022,1839,777,,440,1256,,,,,3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERRENTERIA,,67,2,34314,20483,177,20306,424,19882,13831,1907,2076,4715,,2257,2091,,,,,6836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERREZIL,,66,4,539,408,5,403,,403,131,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,475,374,6,368,7,361,101,183,54,,85,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERRIGOITI,,79,4,385,362,2,360,1,359,23,189,,73,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
