TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,PST,AR,UVE,J.V.,EA-EE,LKI-EMK,IND. KANPEZU 91,IND. RIBERA ALTA 91,IND. AMOROTO 91,IND. ARRIETA 91,IND. BALMASEDA 91,IND. BERRIATUA 91,IND. KARRANTZA 91,IND. ELANTXOBE 91,IND. ERMUA 91,IND. ETXEBARRI 91,IND. GARAI 91,IND. GORDEXOLA 91,IND. GORLIZ 91,IND. GIZABURUAGA 91,IND. IBARRANGELU 91,IND. ISPASTER 91,IND. IZURTZA 91,IND. ORTUELLA 91,IND. SOPUERTA 91,IND. TURTZIOZ 91,IND. ZALDIBAR 91,IND. ABALTZISKETA 91,IND. ADUNA 91,IND. ALBIZTUR 91,IND. ARAMA 91,IND. BALIARRAIN 91,IND. BELAUNTZA 91,IND. 1 BERROBI 91,IND. 2 BERROBI 91,IND. BIDEGOIAN 91,IND. DONOSTIA-SS. 91,IND. ELDUAIN 91,IND. ESKORIATZA 91,IND. EZKIO-ITSASO 91,IND. GABIRIA 91,IND. 1 GAINTZA 91,IND. 2 GAINTZA 91,IND. HERNIALDE 91,IND. IKAZTEGIETA 91,IND. ITSASONDO 91,IND. LARRAUL 91,IND. LEABUR-GAZT.91,IND. LEINTZ-GATZ. 91,IND. LIZARTZA 91,IND. MUTILOA 91,IND. OLABERRIA 91,IND. ERRENTERIA 91,IND. ZALDIBIA 91,IND. ZEGAMA 91,IND. ZERAIN 91
Bizkaia,ABADIÑO,,1,3,5234,3189,27,3162,42,3120,2045,1160,714,,701,161,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,242,115,1,114,,114,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7611,5095,32,5063,50,5013,2516,1052,1572,,703,1265,,170,217,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,262,197,5,192,32,160,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2821,1873,15,1858,7,1851,948,340,238,23,291,,147,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1412,1010,9,1001,8,993,402,532,,,269,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,411,256,6,250,57,193,155,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,290,261,1,260,1,259,29,86,,,139,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,249,133,7,126,,126,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1339,977,16,961,15,946,362,,28,,384,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
