TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PST,PH,POSI,UPR,AP-PL,PCE-EPK
Bizkaia,ABADIÑO,,1,3,5007,3471,11,3460,19,3441,1536,1124,747,711,182,449,9,90,8,5,8,3,100,5
Gipuzkoa,ABALTZISKETA,,1,3,261,143,31,112,,112,118,23,1,0,5,82,1,0,0,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7479,5188,29,5159,15,5144,2291,927,1246,1106,782,528,186,61,7,4,4,7,81,205
Gipuzkoa,ADUNA,,2,3,270,231,1,230,1,229,39,46,5,94,6,74,0,0,0,0,0,0,2,2
Álava,AGURAIN/SALVATIERRA,,51,2,2667,1901,9,1892,9,1883,766,637,383,351,154,186,17,91,15,4,2,3,28,12
Gipuzkoa,AIA,,16,4,1534,1046,3,1043,4,1039,488,410,6,232,29,354,0,1,0,0,0,1,5,1
Gipuzkoa,AIZARNAZABAL,,3,4,427,258,4,254,,254,169,51,4,74,14,107,0,0,0,0,0,0,4,0
Gipuzkoa,ALBIZTUR,,4,3,262,179,2,177,,177,83,35,1,30,11,98,0,0,0,0,0,0,2,0
Gipuzkoa,ALEGIA,,5,3,1316,1002,5,997,2,995,314,128,92,311,40,404,1,0,0,0,1,0,17,1
Álava,ALEGRÍA-DULANTZI,,1,2,746,571,3,568,2,566,175,230,153,38,50,41,1,27,1,6,0,0,19,0
Gipuzkoa,ALKIZA,,6,3,213,142,,142,,142,71,13,0,38,36,55,0,0,0,0,0,0,0,0
Gipuzkoa,ALTZO,,7,3,273,186,,186,,186,87,32,1,91,3,56,0,0,0,0,0,0,3,0
Gipuzkoa,AMEZKETA,,8,3,938,517,2,515,,515,421,92,1,167,28,213,0,0,1,0,0,0,12,1
Bizkaia,AMOREBIETA-ETXANO,,3,3,11844,9241,16,9225,19,9206,2603,2878,1784,1908,581,1425,272,144,17,5,4,5,132,51
Bizkaia,AMOROTO,,4,4,342,269,3,266,1,265,73,127,2,81,6,48,0,0,0,0,0,0,1,0
Álava,AMURRIO,,2,3,7107,5245,15,5230,24,5206,1862,1339,897,961,374,1058,6,173,15,15,8,4,352,4
Gipuzkoa,ANDOAIN,,9,3,11768,8430,156,8274,40,8234,3338,1131,2225,1701,1023,1765,21,84,11,11,6,3,186,67
Gipuzkoa,ANOETA,,10,3,1284,909,8,901,1,900,375,142,133,271,85,225,1,13,8,3,7,1,10,1
Gipuzkoa,ANTZUOLA,,11,4,1636,1404,15,1389,9,1380,232,305,245,385,99,311,1,7,1,1,1,0,22,2
Bizkaia,ARAKALDO,,5,3,93,71,2,69,,69,22,25,2,29,1,9,0,1,0,0,0,0,2,0
Gipuzkoa,ARAMA,,12,3,138,113,,113,1,112,25,33,2,43,4,30,0,0,0,0,0,0,0,0
Álava,ARAMAIO,,3,2,1157,909,2,907,4,903,248,255,21,216,31,361,4,9,5,0,0,0,1,0
Bizkaia,ARANTZAZU,,6,3,236,211,,211,1,210,25,108,8,64,7,20,0,0,0,0,0,0,3,0
Bizkaia,AREATZA,,93,3,949,800,6,794,8,786,149,317,67,81,86,151,1,19,0,1,0,0,62,1
Gipuzkoa,ARETXABALETA,,13,4,4461,3548,59,3489,12,3477,913,659,592,838,228,1061,13,23,5,5,2,5,33,13
Álava,ARMIÑÓN,,6,2,128,100,,100,2,98,28,53,7,7,9,6,1,11,0,0,0,0,4,0
Álava,ARRAIA-MAEZTU,,37,2,688,460,6,454,1,453,228,198,55,35,40,59,0,43,1,0,3,0,18,1
Bizkaia,ARRANKUDIAGA,,9,3,661,524,5,519,2,517,137,224,16,184,25,57,0,8,0,0,0,0,3,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20189,14526,48,14478,54,14424,5663,2567,3487,3264,1344,2852,95,413,23,16,14,11,298,40
Álava,ARRATZUA-UBARRUNDIA,,8,2,470,342,5,337,1,336,128,134,67,22,29,42,0,16,1,1,1,1,21,1
Bizkaia,ARRIETA,,10,4,404,292,,292,1,291,112,144,3,56,1,73,0,0,0,0,0,0,14,0
Bizkaia,ARRIGORRIAGA,,11,3,7098,4855,27,4828,24,4804,2243,1559,1049,1037,522,394,17,64,23,6,14,2,92,25
Bizkaia,ARTEA,,23,3,526,452,3,449,1,448,74,182,8,99,12,112,0,0,0,0,0,0,35,0
Bizkaia,ARTZENTALES,,8,2,603,444,4,440,2,438,159,203,16,54,6,141,0,2,0,0,0,0,15,1
Álava,ARTZINIEGA,,4,3,975,709,6,703,2,701,266,288,66,105,41,48,0,22,0,3,0,0,128,0
Álava,ASPARRENA,,9,2,1355,954,9,945,1,944,401,352,84,199,103,126,0,49,2,3,2,2,15,7
Gipuzkoa,ASTEASU,,14,3,979,641,13,628,,628,338,66,37,230,28,263,0,3,0,0,0,0,0,1
Gipuzkoa,ATAUN,,15,3,1573,1166,8,1158,2,1156,407,184,15,452,109,386,0,5,0,3,0,1,0,1
Bizkaia,ATXONDO,,91,3,1109,868,1,867,7,860,241,384,105,195,34,112,1,8,0,0,3,0,17,1
Bizkaia,AULESTI,,70,4,616,414,1,413,,413,202,152,3,177,9,67,0,3,0,0,0,0,2,0
Álava,AYALA/AIARA,,10,3,1782,1387,14,1373,5,1368,395,505,55,174,61,311,2,59,2,0,1,0,196,2
Gipuzkoa,AZKOITIA,,17,4,8494,6187,71,6116,22,6094,2307,2705,795,1102,359,813,7,35,3,7,5,2,251,10
Gipuzkoa,AZPEITIA,,18,4,9834,7326,73,7253,25,7228,2508,1995,430,1216,509,2817,3,50,8,2,4,1,187,6
Álava,AÑANA,,49,2,178,141,1,140,3,137,37,66,10,19,10,17,0,7,1,1,0,1,4,1
Bizkaia,BAKIO,,12,4,914,795,3,792,2,790,119,435,17,131,42,145,0,4,1,0,1,1,13,0
Bizkaia,BALMASEDA,,90,2,6099,4741,23,4718,22,4696,1358,1340,1370,680,260,759,7,94,14,8,2,5,150,7
Bizkaia,BARAKALDO,,13,2,90490,61730,309,61421,341,61080,28760,12193,19488,9349,7234,5469,658,2909,213,93,92,37,2660,685
Bizkaia,BARRIKA,,14,4,580,384,2,382,1,381,196,192,18,86,36,34,0,3,0,0,1,0,11,0
Álava,BARRUNDIA,,13,2,544,367,2,365,1,364,177,203,10,49,21,48,0,25,0,1,0,1,6,0
Bizkaia,BASAURI,,15,3,39059,26924,139,26785,98,26687,12135,6576,8091,4182,3032,2325,217,951,134,83,34,36,796,230
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,284,219,,219,,219,65,132,23,5,17,5,1,12,1,0,0,0,23,0
Gipuzkoa,BEASAIN,,19,3,9441,6780,67,6713,25,6688,2661,1286,1360,1349,810,1537,23,102,8,4,6,9,124,70
Bizkaia,BEDIA,,92,3,914,757,4,753,1,752,157,428,75,108,23,93,2,6,0,1,0,0,13,3
Gipuzkoa,BEIZAMA,,20,4,138,101,,101,,101,37,47,0,40,0,11,0,0,0,0,0,0,3,0
Gipuzkoa,BELAUNTZA,,21,3,225,137,,137,,137,88,21,8,62,4,38,0,0,1,0,0,0,3,0
Bizkaia,BERANGO,,16,4,3041,2225,17,2208,7,2201,816,740,305,481,199,393,3,16,19,2,4,5,31,3
Álava,BERANTEVILLA,,14,2,337,234,1,233,3,230,103,139,11,19,11,14,0,15,0,0,3,0,18,0
Gipuzkoa,BERASTEGI,,22,3,760,512,,512,1,511,248,119,6,123,15,247,0,1,0,0,0,0,0,0
Gipuzkoa,BERGARA,,74,4,12517,9082,42,9040,38,9002,3435,2024,1060,2553,990,1971,58,116,7,3,7,5,183,25
Bizkaia,BERMEO,,17,4,14435,10585,64,10521,22,10499,3850,3226,761,2406,565,3318,12,83,14,10,8,2,85,9
Álava,BERNEDO,,16,2,527,313,1,312,1,311,214,128,38,34,27,19,0,45,0,1,0,0,19,0
Bizkaia,BERRIATUA,,18,4,833,585,,585,3,582,248,294,8,136,21,117,0,1,0,1,0,1,3,0
Bizkaia,BERRIZ,,19,3,3184,2400,17,2383,6,2377,784,854,496,411,129,367,7,62,13,4,2,1,26,5
Gipuzkoa,BERROBI,,23,3,444,275,2,273,,273,169,52,19,62,16,115,2,3,1,0,0,0,3,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,448,344,,344,,344,104,76,1,89,5,168,0,3,0,0,0,0,2,0
Bizkaia,BILBAO,,20,1,307107,209186,1155,208031,1007,207024,97921,60575,47990,27690,24134,19592,1049,7956,681,298,207,139,16019,694
Bizkaia,BUSTURIA,,21,4,1447,1066,4,1062,4,1058,381,456,95,265,19,201,2,11,1,0,0,0,7,1
Álava,CAMPEZO/KANPEZU,,17,2,1021,745,3,742,2,740,276,311,92,65,57,68,0,40,5,2,0,0,100,0
Gipuzkoa,DEBA,,29,4,3763,2840,14,2826,4,2822,923,552,246,664,488,793,1,25,1,0,0,0,51,1
Bizkaia,DERIO,,901,4,3844,2781,21,2760,16,2744,1063,732,735,384,301,455,9,63,5,7,3,2,40,8
Bizkaia,DIMA,,26,3,918,796,3,793,4,789,122,325,2,207,12,203,0,9,0,0,0,0,31,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,140321,94325,684,93641,383,93258,45996,11224,18200,17743,13866,22067,169,2875,9,78,80,227,6452,268
Bizkaia,DURANGO,,27,3,20144,15244,46,15198,80,15118,4900,4952,2828,2632,1260,1995,103,344,40,25,18,5,886,30
Bizkaia,EA,,28,4,707,556,,556,2,554,151,264,4,118,18,137,0,6,0,0,0,0,7,0
Gipuzkoa,EIBAR,,30,4,28572,19237,122,19115,80,19035,9335,3421,5254,3344,2046,3442,201,520,36,18,17,13,694,29
Bizkaia,ELANTXOBE,,31,4,449,385,,385,,385,64,192,5,125,11,50,0,0,0,0,0,0,2,0
Álava,ELBURGO/BURGELU,,21,2,166,132,5,127,,127,34,91,5,10,7,5,0,6,1,0,0,0,2,0
Álava,ELCIEGO,,22,2,755,568,10,558,3,555,187,45,222,27,31,135,0,35,0,3,2,0,54,1
Gipuzkoa,ELDUAIN,,31,3,227,164,,164,,164,63,49,0,50,3,62,0,0,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,873,645,7,638,,638,228,237,21,169,49,138,0,7,4,0,2,0,10,1
Gipuzkoa,ELGOIBAR,,32,4,9815,7170,37,7133,19,7114,2645,1838,1363,1348,782,1310,8,163,12,8,8,118,150,6
Bizkaia,ELORRIO,,32,3,6068,4827,16,4811,26,4785,1241,1613,799,958,489,635,5,115,19,10,3,5,122,12
Álava,ELVILLAR/BILAR,,23,2,325,235,1,234,1,233,90,128,5,15,13,36,0,8,0,0,0,1,27,0
Bizkaia,ERANDIO,,902,4,18592,12680,80,12600,49,12551,5912,4082,3340,2009,1193,1224,79,236,79,17,13,4,197,78
Bizkaia,EREÑO,,33,4,236,186,1,185,,185,50,69,0,60,6,45,0,2,0,0,0,0,3,0
Bizkaia,ERMUA,,34,3,14010,8893,50,8843,51,8792,5117,1245,3689,941,836,684,198,475,77,21,30,7,453,136
Gipuzkoa,ERRENTERIA,,67,2,33483,22453,123,22330,88,22242,11030,1800,6794,5659,3062,3439,186,600,69,22,33,36,490,52
Gipuzkoa,ERREZIL,,66,4,618,426,2,424,1,423,192,94,3,157,7,162,0,0,0,0,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,461,316,3,313,3,310,145,111,43,27,30,30,0,27,3,0,0,0,39,0
