TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PST,PH,POSI,UPR,AP-PL,PCE-EPK
Bizkaia,ERRIGOITI,,79,4,428,355,,355,1,354,73,185,5,96,4,60,0,0,0,0,0,0,4,0
Gipuzkoa,ESKORIATZA,,34,4,3003,1734,10,1724,3,1721,1269,295,342,353,81,559,8,50,1,3,0,1,24,4
Bizkaia,ETXEBARRI,,29,3,4610,3168,23,3145,12,3133,1442,649,1229,400,216,357,35,85,31,6,10,8,94,13
Bizkaia,ETXEBARRIA,,30,4,600,383,3,380,,380,217,163,6,140,10,59,0,0,0,0,0,0,2,0
Gipuzkoa,EZKIO-ITSASO,,35,3,502,361,,361,2,359,141,49,5,147,20,133,0,5,0,0,0,0,0,0
Bizkaia,FRUIZ,,35,4,253,180,1,179,,179,73,114,1,20,10,31,0,2,0,0,0,0,1,0
Gipuzkoa,GABIRIA,,38,3,398,315,5,310,,310,83,29,1,45,35,200,0,0,0,0,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,108,83,,83,,83,25,20,0,26,0,37,0,0,0,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,20038,14499,49,14450,56,14394,5539,3658,3346,2666,1254,2600,76,352,52,20,20,9,279,62
Bizkaia,GALDAMES,,37,2,713,573,3,570,4,566,140,260,40,84,28,141,2,2,0,1,0,0,7,1
Bizkaia,GAMIZ-FIKA,,38,4,740,572,1,571,,571,168,338,3,118,14,95,0,0,0,0,0,0,3,0
Bizkaia,GARAI,,39,3,196,145,1,144,2,142,51,69,0,41,2,26,0,1,0,0,0,0,3,0
Bizkaia,GATIKA,,40,4,718,536,,536,2,534,182,227,8,98,15,172,1,2,0,0,0,0,11,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,655,537,2,535,,535,118,285,8,112,16,99,0,1,1,1,0,0,12,0
Bizkaia,GERNIKA-LUMO,,46,4,14134,10886,52,10834,21,10813,3248,4115,951,2462,693,2073,24,167,10,15,7,3,287,6
Gipuzkoa,GETARIA,,39,4,1884,1583,10,1573,5,1568,301,431,29,399,117,575,0,5,0,1,0,0,11,0
Bizkaia,GETXO,,44,4,54801,39271,110,39161,198,38963,15530,13172,5311,5030,4427,5193,86,1344,51,30,19,12,4209,79
Bizkaia,GIZABURUAGA,,47,4,130,85,,85,,85,45,25,0,40,2,16,0,0,0,0,0,0,2,0
Bizkaia,GORDEXOLA,,42,2,1318,1088,11,1077,1,1076,230,549,77,61,55,166,1,35,0,0,0,1,131,0
Bizkaia,GORLIZ,,43,4,2050,1516,9,1507,2,1505,534,642,103,246,195,248,2,25,3,0,3,0,38,0
Bizkaia,GÜEÑES,,45,2,5027,4201,22,4179,17,4162,826,1719,442,739,203,875,23,73,15,1,7,3,57,5
Álava,HARANA/VALLE DE ARANA,,56,2,379,276,1,275,1,274,103,177,11,28,5,20,0,21,1,1,0,0,9,1
Gipuzkoa,HERNANI,,40,1,14819,10247,43,10204,29,10175,4572,1034,2243,3376,1081,2033,29,133,19,2,8,6,142,69
Gipuzkoa,HERNIALDE,,41,3,220,152,,152,,152,68,38,6,35,15,58,0,0,0,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,9426,6717,17,6700,27,6673,2709,1048,833,1350,888,2205,5,145,6,5,2,3,171,12
Gipuzkoa,IBARRA,,42,3,3242,2266,19,2247,10,2237,976,274,453,541,302,585,1,50,5,0,2,1,20,3
Bizkaia,IBARRANGELU,,48,4,462,360,4,356,,356,102,228,3,57,12,50,0,1,0,0,0,0,5,0
Gipuzkoa,IDIAZABAL,,43,3,1566,1289,6,1283,10,1273,277,371,41,233,130,469,1,11,0,0,0,0,16,1
Bizkaia,IGORRE,,94,3,2549,2126,3,2123,6,2117,423,924,131,490,67,460,1,5,3,1,0,1,34,0
Gipuzkoa,IKAZTEGIETA,,44,3,562,399,2,397,,397,163,45,7,172,21,152,0,0,0,0,0,0,0,0
Gipuzkoa,IRUN,,45,2,40800,27907,134,27773,150,27623,12893,3401,8956,3824,3874,4840,98,1173,75,30,51,49,1150,102
Gipuzkoa,IRURA,,46,3,508,383,7,376,,376,125,101,9,123,27,108,0,0,2,0,0,1,4,1
Álava,IRURAIZ-GAUNA,,27,2,389,284,3,281,1,280,105,175,5,38,28,17,0,9,0,0,1,0,7,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1231,813,11,802,8,794,418,188,287,61,62,56,7,75,4,2,2,1,48,1
Bizkaia,ISPASTER,,49,4,532,442,,442,,442,90,243,2,73,15,99,0,2,0,0,0,0,8,0
Gipuzkoa,ITSASONDO,,47,3,672,482,1,481,4,477,190,70,16,175,55,141,0,13,0,1,0,0,6,0
Bizkaia,IZURTZA,,50,3,225,200,,200,,200,25,90,9,60,2,35,0,0,0,0,0,0,4,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2841,1691,9,1682,6,1676,1150,849,121,199,99,320,3,25,8,2,3,0,47,0
Álava,KRIPAN,,19,2,172,121,,121,,121,51,92,0,9,2,9,0,6,0,0,0,0,3,0
Álava,KUARTANGO,,20,2,325,185,1,184,,184,140,69,17,40,16,17,0,19,0,0,1,1,3,1
Álava,LABASTIDA/BASTIDA,,28,2,807,528,9,519,3,516,279,111,115,46,46,23,5,34,5,1,0,1,124,5
Álava,LAGRÁN,,30,2,197,139,1,138,2,136,58,62,14,3,6,21,0,19,0,0,0,2,9,0
Álava,LAGUARDIA,,31,2,1216,892,2,890,6,884,324,228,126,70,58,142,0,115,0,0,2,0,143,0
Álava,LANCIEGO/LANTZIEGO,,32,2,518,414,2,412,3,409,104,245,86,12,13,6,0,34,2,0,0,0,10,1
Bizkaia,LANESTOSA,,51,2,247,186,,186,,186,61,112,39,8,5,4,0,2,0,1,0,0,15,0
Álava,LANTARÓN,,902,2,736,481,8,473,5,468,255,194,54,46,42,33,0,28,4,0,0,0,63,4
Álava,LAPUEBLA DE LABARCA,,33,2,646,521,,521,2,519,125,296,64,20,15,25,1,10,1,0,0,0,87,0
Bizkaia,LARRABETZU,,52,4,1293,1049,4,1045,1,1044,244,579,43,291,28,87,0,4,0,1,2,0,9,0
Gipuzkoa,LARRAUL,,48,3,146,88,3,85,,85,58,16,0,42,7,19,0,0,0,0,0,1,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,13332,9241,50,9191,39,9152,4091,741,3544,1627,920,1697,15,332,20,8,12,9,154,73
Álava,LAUDIO/LLODIO,,36,3,15855,11568,97,11471,72,11399,4287,2444,2309,2480,987,1772,42,808,36,23,23,8,539,36
Bizkaia,LAUKIZ,,53,4,780,607,2,605,3,602,173,310,19,70,17,163,1,8,0,0,0,0,13,1
Gipuzkoa,LAZKAO,,49,3,4002,3014,9,3005,10,2995,988,650,621,806,265,512,13,67,2,2,1,0,40,16
Gipuzkoa,LEABURU,,50,3,510,365,4,361,,361,145,75,7,181,19,73,0,1,2,0,0,0,3,0
Gipuzkoa,LEGAZPI,,51,3,8266,5870,28,5842,25,5817,2396,894,1047,1074,660,1807,13,144,13,6,7,2,117,33
Gipuzkoa,LEGORRETA,,52,3,1255,989,10,979,6,973,266,271,151,210,164,133,1,19,0,0,0,0,17,7
Álava,LEGUTIO,,58,2,1045,777,7,770,2,768,268,222,117,156,46,189,0,21,5,0,1,0,10,1
Gipuzkoa,LEINTZ-GATZAGA,,68,4,169,130,,130,,130,39,35,1,42,2,48,0,1,1,0,0,0,0,0
Bizkaia,LEIOA,,54,4,16006,11304,58,11246,57,11189,4702,3430,2544,1774,1405,1142,102,358,39,5,11,7,337,35
Bizkaia,LEKEITIO,,57,4,5847,4431,16,4415,14,4401,1416,1405,119,1370,235,1160,4,23,3,3,0,0,78,1
Bizkaia,LEMOA,,55,3,2313,1987,9,1978,7,1971,326,804,123,322,66,572,4,11,0,3,1,1,61,3
Bizkaia,LEMOIZ,,56,4,714,530,6,524,1,523,184,272,15,119,40,74,0,2,0,1,0,0,0,0
Álava,LEZA,,34,2,164,142,5,137,,137,22,27,16,6,9,59,0,13,0,0,0,0,7,0
Bizkaia,LEZAMA,,81,4,1445,1199,3,1196,5,1191,246,684,42,233,56,129,1,13,0,0,1,0,31,1
Gipuzkoa,LEZO,,53,2,4059,2790,5,2785,10,2775,1269,207,541,984,263,648,23,59,4,2,2,1,35,6
Gipuzkoa,LIZARTZA,,54,3,591,495,3,492,2,490,96,60,5,273,11,137,0,4,0,0,0,0,0,0
Bizkaia,LOIU,,903,4,1465,1103,4,1099,6,1093,362,625,25,134,63,170,1,7,0,3,0,1,62,2
Bizkaia,MALLABIA,,58,3,878,655,,655,1,654,223,192,73,182,29,150,1,9,1,0,0,0,16,1
Bizkaia,MARKINA-XEMEIN,,60,4,4032,2822,13,2809,9,2800,1210,1364,85,648,118,465,0,41,0,4,2,2,68,3
Bizkaia,MARURI-JATABE,,61,4,397,313,,313,,313,84,173,10,39,22,57,1,4,0,0,0,0,7,0
Bizkaia,MAÑARIA,,59,3,434,344,3,341,2,339,90,172,12,90,2,48,0,2,1,0,0,0,12,0
Gipuzkoa,MENDARO,,901,4,1315,922,2,920,2,918,393,316,123,154,70,229,2,3,5,2,0,0,11,3
Bizkaia,MENDATA,,62,4,343,250,,250,1,249,93,138,1,42,1,61,0,3,0,0,0,0,3,0
Bizkaia,MENDEXA,,63,4,292,234,,234,1,233,58,80,3,91,11,40,1,0,0,0,0,0,7,0
Bizkaia,MEÑAKA,,64,4,351,264,2,262,,262,87,130,3,43,14,66,1,0,0,0,0,0,5,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,280,210,,210,,210,70,93,50,8,13,9,0,13,1,2,2,0,19,0
Bizkaia,MORGA,,66,4,320,259,1,258,1,257,61,183,0,32,2,38,0,1,0,1,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1245,1076,4,1072,,1072,169,472,19,262,41,256,0,4,0,1,0,0,17,0
Bizkaia,MUNGIA,,69,4,8329,6169,17,6152,24,6128,2160,2815,594,937,426,1122,4,62,8,6,2,1,142,9
Álava,MUNICIPIO CERA ARABA,,999,99,921,214,17,197,2,195,707,45,51,8,6,17,5,20,3,3,0,0,35,2
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,4621,1036,6,1030,8,1022,3585,414,217,94,30,48,59,43,16,11,3,3,63,21
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,3915,1008,261,747,1,746,2907,246,178,59,26,105,33,28,10,1,2,4,41,13
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,440,339,2,337,2,335,101,171,0,88,7,67,0,1,0,0,0,0,1,0
Bizkaia,MUSKIZ,,71,2,4851,3639,15,3624,15,3609,1212,1032,708,582,309,670,122,66,6,0,2,0,74,38
Gipuzkoa,MUTILOA,,57,3,173,110,,110,,110,63,27,0,30,4,49,0,0,0,0,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3524,2732,19,2713,4,2709,792,1238,125,679,121,386,0,24,1,0,1,2,132,0
Bizkaia,MUXIKA,,67,4,1295,995,2,993,2,991,300,349,15,305,18,286,1,3,0,2,0,2,9,1
Álava,NAVARIDAS,,41,2,184,136,3,133,2,131,48,30,9,0,6,27,0,17,0,1,0,1,40,0
Gipuzkoa,OIARTZUN,,63,2,5980,4518,10,4508,10,4498,1462,556,280,1726,308,1526,5,53,4,1,3,1,26,9
Álava,OKONDO,,42,3,615,460,3,457,1,456,155,203,11,85,12,74,1,3,2,0,0,2,63,0
Gipuzkoa,OLABERRIA,,58,3,1086,817,2,815,2,813,269,113,196,166,63,213,0,22,2,3,0,1,31,3
Bizkaia,ONDARROA,,73,4,8603,6104,22,6082,12,6070,2499,2078,218,2217,335,853,2,29,2,0,2,1,332,1
Gipuzkoa,ORDIZIA,,76,3,7616,5020,23,4997,12,4985,2596,775,719,1212,812,1050,16,125,3,4,0,4,210,55
Gipuzkoa,OREXA,,60,3,76,67,,67,,67,9,7,0,51,0,9,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3191,2414,10,2404,2,2402,777,412,240,611,257,823,0,21,0,0,2,0,35,1
Gipuzkoa,ORMAIZTEGI,,62,3,973,800,5,795,1,794,173,228,28,184,112,233,0,6,1,0,0,0,2,0
Bizkaia,OROZKO,,75,3,1669,1181,10,1171,4,1167,488,612,54,191,55,197,0,10,0,0,0,1,46,1
Bizkaia,ORTUELLA,,83,2,6796,4840,19,4821,24,4797,1956,733,1523,970,464,591,107,79,9,3,8,1,68,241
Bizkaia,OTXANDIO,,72,3,994,757,,757,1,756,237,299,46,249,62,72,1,8,0,0,0,1,17,1
Álava,OYÓN-OION,,43,2,1870,1285,8,1277,6,1271,585,415,267,135,124,81,3,102,5,1,1,4,132,1
Gipuzkoa,OÑATI,,59,4,8588,6476,20,6456,20,6436,2112,2186,560,1631,563,1187,1,82,3,1,2,2,213,5
Gipuzkoa,PASAIA,,64,2,15790,10037,68,9969,26,9943,5753,959,2260,2856,1344,2082,26,201,16,14,6,11,134,34
Álava,PEÑACERRADA-URIZAHARRA,,44,2,199,143,,143,1,142,56,65,11,14,11,18,0,20,0,0,0,0,3,0
Bizkaia,PLENTZIA,,77,4,2256,1767,8,1759,14,1745,489,843,91,285,166,300,0,23,1,1,2,0,33,0
Bizkaia,PORTUGALETE,,78,2,44592,29989,168,29821,99,29722,14603,5727,9893,4114,3939,2250,507,1317,101,37,35,23,1410,369
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,358,245,,245,,245,113,99,31,5,20,17,0,54,0,0,0,1,16,2
Álava,SAMANIEGO,,52,2,226,177,,177,,177,49,64,55,26,8,11,1,9,0,0,0,0,2,1
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,665,405,7,398,2,396,260,190,25,54,40,53,1,15,0,0,2,2,14,0
Bizkaia,SANTURTZI,,82,2,39817,26351,167,26184,103,26081,13466,5354,7892,4881,2985,2189,514,972,103,34,45,29,882,201
Gipuzkoa,SEGURA,,70,3,1079,877,13,864,4,860,202,171,18,248,57,354,0,5,0,2,0,0,4,1
Bizkaia,SESTAO,,84,2,30093,19542,88,19454,95,19359,10551,3332,6763,2716,2334,1719,336,768,92,32,34,17,852,364
Bizkaia,SONDIKA,,904,4,3145,2412,18,2394,11,2383,733,1217,256,326,149,314,3,61,10,5,0,1,35,6
Bizkaia,SOPELA,,85,4,4790,3522,7,3515,10,3505,1268,1216,471,880,357,449,13,62,10,0,2,4,36,5
Bizkaia,SOPUERTA,,86,2,1800,1322,2,1320,7,1313,478,372,156,145,109,445,34,16,3,0,1,0,31,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4256,3280,9,3271,14,3257,976,938,600,747,291,480,5,105,2,4,4,1,79,1
Bizkaia,SUKARRIETA,,76,4,229,170,1,169,,169,59,72,5,24,15,48,0,3,0,0,0,0,2,0
Gipuzkoa,TOLOSA,,71,3,15069,9958,72,9886,26,9860,5111,1712,1180,2128,1385,2680,32,240,17,4,6,6,450,20
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,454,354,2,352,1,351,100,177,27,37,12,67,0,10,0,1,0,1,19,0
Bizkaia,UBIDE,,88,3,132,115,1,114,,114,17,35,2,55,5,4,0,0,0,0,0,0,13,0
Bizkaia,UGAO-MIRABALLES,,65,3,3226,2368,1,2367,1,2366,858,742,404,530,124,394,6,74,7,5,0,1,74,5
Bizkaia,URDULIZ,,89,4,1872,1471,4,1467,3,1464,401,615,175,329,80,209,0,12,5,1,0,0,35,3
Bizkaia,URDUÑA/ORDUÑA,,74,3,3460,2488,24,2464,17,2447,972,916,256,445,139,467,2,45,8,2,1,1,161,4
Álava,URKABUSTAIZ,,54,2,721,475,2,473,6,467,246,175,58,90,24,68,0,23,1,0,4,0,21,3
Gipuzkoa,URNIETA,,72,1,3132,2204,4,2200,16,2184,928,470,565,494,130,425,3,50,3,0,0,2,22,20
Gipuzkoa,URRETXU,,77,3,4967,3244,10,3234,6,3228,1723,425,689,518,351,1012,20,92,1,2,3,0,59,56
