TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV,SOLIDARIA
Bizkaia,ABADIÑO,,1,3,5885,4359,25,4334,35,4299,1526,1192,220,5,801,53,3,132,,1087,81,716,6,3
Gipuzkoa,ABALTZISKETA,,1,3,257,174,2,172,1,171,83,76,1,0,8,0,0,0,1,73,0,12,0,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7777,6034,53,5981,48,5933,1743,1920,153,3,1375,49,3,91,,768,80,1479,8,4
Gipuzkoa,ADUNA,,2,3,355,258,1,257,8,249,97,76,2,0,5,0,0,1,0,129,0,36,0,
Álava,AGURAIN/SALVATIERRA,,51,2,3558,2448,15,2433,14,2419,1110,729,136,6,359,14,3,45,,705,33,385,4,
Gipuzkoa,AIA,,16,4,1524,997,,997,1,996,527,472,8,0,44,9,1,7,3,317,7,127,1,
Gipuzkoa,AIZARNAZABAL,,3,4,551,401,2,399,2,397,150,111,0,0,28,3,0,0,0,217,1,37,0,
Bizkaia,AJANGIZ,,911,4,388,323,1,322,3,319,65,119,2,0,5,2,0,2,,163,0,25,1,0
Gipuzkoa,ALBIZTUR,,4,3,227,156,2,154,4,150,71,82,0,0,10,0,0,1,0,39,0,18,0,
Gipuzkoa,ALEGIA,,5,3,1267,884,2,882,2,880,383,282,17,1,70,6,0,10,2,388,8,96,0,
Álava,ALEGRÍA-DULANTZI,,1,2,2005,1438,19,1419,4,1415,567,394,100,3,304,18,3,56,,214,41,276,6,
Gipuzkoa,ALKIZA,,6,3,254,169,,169,,169,85,63,1,0,6,1,0,1,0,76,0,21,0,
Bizkaia,ALONSOTEGI,,912,2,2331,1843,10,1833,7,1826,488,756,52,5,285,16,1,34,,338,36,303,0,0
Gipuzkoa,ALTZAGA,,906,3,130,99,1,98,1,97,31,29,0,0,3,1,0,1,0,46,0,17,0,
Gipuzkoa,ALTZO,,7,3,327,235,5,230,2,228,92,63,0,0,5,1,4,1,1,125,0,28,0,
Gipuzkoa,AMEZKETA,,8,3,704,455,6,449,6,443,249,153,10,0,18,1,0,0,0,228,0,33,0,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14444,11233,71,11162,43,11119,3211,4440,297,20,1635,92,17,197,,2574,113,1716,14,4
Bizkaia,AMOROTO,,4,4,326,261,1,260,3,257,65,131,0,0,1,1,0,0,,116,0,8,0,0
Álava,AMURRIO,,2,3,8035,6227,68,6159,17,6142,1808,2148,310,8,1036,47,16,103,,1314,152,989,19,
Gipuzkoa,ANDOAIN,,9,3,11343,8168,62,8106,46,8060,3175,1833,355,3,1995,77,8,245,15,1820,95,1599,15,
Gipuzkoa,ANOETA,,10,3,1528,1156,5,1151,5,1146,372,284,46,1,125,8,0,17,2,488,10,164,1,
Gipuzkoa,ANTZUOLA,,11,4,1633,1297,10,1287,2,1285,336,398,21,0,131,3,0,9,2,565,9,147,0,
Bizkaia,ARAKALDO,,5,3,113,80,,80,,80,33,34,0,0,6,0,0,0,,24,0,16,0,0
Gipuzkoa,ARAMA,,12,3,148,113,1,112,,112,35,47,1,0,5,0,0,0,0,50,2,7,0,
Álava,ARAMAIO,,3,2,1179,908,5,903,6,897,271,285,4,1,37,3,0,0,,459,6,102,0,
Bizkaia,ARANTZAZU,,6,3,309,265,,265,,265,44,101,1,0,15,2,0,0,,111,1,34,0,0
Bizkaia,AREATZA,,93,3,888,720,5,715,2,713,168,296,27,1,53,6,0,3,,242,4,80,1,0
Gipuzkoa,ARETXABALETA,,13,4,5430,4144,25,4119,19,4100,1286,1394,106,5,526,15,2,72,16,1287,29,647,1,
Álava,ARMIÑÓN,,6,2,176,127,,127,2,125,49,21,18,2,21,3,0,11,,8,13,27,1,
Álava,ARRAIA-MAEZTU,,37,2,585,426,1,425,1,424,159,163,56,0,40,4,4,6,,94,2,55,0,
Bizkaia,ARRANKUDIAGA,,9,3,772,628,6,622,2,620,144,246,8,0,33,4,0,7,,256,4,62,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17378,12565,83,12482,55,12427,4813,3582,442,4,2353,88,7,209,16,3483,106,2120,17,
Bizkaia,ARRATZU,,914,4,325,286,1,285,,285,39,160,0,0,2,0,0,0,,108,1,13,1,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,802,576,6,570,3,567,226,164,81,1,89,8,0,24,,116,11,71,2,
Bizkaia,ARRIETA,,10,4,474,368,,368,,368,106,193,0,0,11,1,0,4,,100,1,56,2,0
Bizkaia,ARRIGORRIAGA,,11,3,9655,7293,42,7251,37,7214,2362,2380,316,8,1422,82,8,176,,1161,128,1510,18,5
Bizkaia,ARTEA,,23,3,580,493,4,489,,489,87,225,12,0,22,2,0,2,,184,1,41,0,0
Bizkaia,ARTZENTALES,,8,2,615,454,6,448,4,444,161,233,11,1,32,3,1,4,,74,7,78,0,0
Álava,ARTZINIEGA,,4,3,1356,1007,9,998,3,995,349,359,85,1,134,3,2,19,,200,20,170,2,
Álava,ASPARRENA,,9,2,1265,920,6,914,6,908,345,244,28,1,113,10,4,7,,325,13,163,0,
Gipuzkoa,ASTEASU,,14,3,1156,772,7,765,4,761,384,217,9,2,45,6,1,2,0,349,4,126,0,
Gipuzkoa,ASTIGARRAGA,,903,1,4803,3514,33,3481,24,3457,1289,970,110,1,471,38,4,73,4,1007,39,730,10,
Gipuzkoa,ATAUN,,15,3,1237,975,8,967,8,959,262,322,0,0,33,3,0,2,1,536,0,62,0,
Bizkaia,ATXONDO,,91,3,1090,862,5,857,9,848,228,338,17,0,72,7,0,15,,294,5,99,1,0
Bizkaia,AULESTI,,70,4,528,392,2,390,2,388,136,124,4,0,5,0,0,2,,236,0,17,0,0
Álava,AYALA/AIARA,,10,3,2315,1789,19,1770,14,1756,526,741,110,3,196,6,4,23,,354,35,278,6,
Gipuzkoa,AZKOITIA,,17,4,8484,6294,31,6263,25,6238,2190,2524,148,3,766,37,4,93,10,1780,68,799,6,
Gipuzkoa,AZPEITIA,,18,4,11218,8145,36,8109,41,8068,3073,3377,155,5,509,29,8,67,4,3254,34,624,2,
Álava,AÑANA,,49,2,132,100,,100,1,99,32,46,10,0,9,1,0,0,,21,2,10,0,
Bizkaia,BAKIO,,12,4,2071,1685,11,1674,7,1667,386,823,38,0,88,11,3,9,,480,11,204,0,0
Gipuzkoa,BALIARRAIN,,904,3,89,50,1,49,,49,39,8,0,0,1,0,0,0,0,40,0,0,0,
Bizkaia,BALMASEDA,,90,2,6016,4700,61,4639,24,4615,1316,1887,233,2,1027,23,3,96,,501,91,752,0,0
Bizkaia,BARAKALDO,,13,2,79428,59100,470,58630,458,58172,20328,14657,4306,78,17324,595,87,2021,,4345,1422,13160,124,53
Bizkaia,BARRIKA,,14,4,1242,915,5,910,4,906,327,367,42,1,109,13,0,29,,182,9,152,2,0
Álava,BARRUNDIA,,13,2,703,491,4,487,2,485,212,152,37,1,52,3,0,5,,161,2,72,0,
Bizkaia,BASAURI,,15,3,33110,24697,222,24475,161,24314,8413,7528,1703,21,6529,249,35,716,,2198,502,4772,44,17
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,215,179,4,175,3,172,36,64,50,0,29,0,0,12,,2,8,7,0,
Gipuzkoa,BEASAIN,,19,3,9912,7226,31,7195,51,7144,2686,2641,247,6,1318,42,6,135,8,1517,56,1154,14,
Bizkaia,BEDIA,,92,3,869,676,2,674,9,665,193,355,18,0,59,6,0,5,,124,10,88,0,0
Gipuzkoa,BEIZAMA,,20,4,113,67,,67,,67,46,28,1,0,1,0,0,0,0,28,0,8,1,
Gipuzkoa,BELAUNTZA,,21,3,186,112,,112,,112,74,45,0,0,6,1,0,1,1,46,0,12,0,
Bizkaia,BERANGO,,16,4,5437,4282,34,4248,21,4227,1155,1587,296,2,662,46,8,184,,628,108,693,10,3
Álava,BERANTEVILLA,,14,2,366,283,6,277,7,270,83,85,49,0,48,2,1,14,,25,18,28,0,
Gipuzkoa,BERASTEGI,,22,3,854,621,,621,7,614,233,252,6,0,33,3,0,0,4,273,0,43,0,
Gipuzkoa,BERGARA,,74,4,11503,8767,47,8720,26,8694,2736,2925,191,12,1040,28,4,108,8,3011,35,1326,6,
Bizkaia,BERMEO,,17,4,13151,9546,42,9504,38,9466,3605,4908,130,9,690,60,2,66,,2355,48,1185,11,2
Álava,BERNEDO,,16,2,421,236,7,229,3,226,185,77,34,1,29,0,0,3,,48,5,29,0,
Bizkaia,BERRIATUA,,18,4,867,605,2,603,3,600,262,279,3,0,21,2,0,3,,248,2,42,0,0
Bizkaia,BERRIZ,,19,3,3461,2647,14,2633,12,2621,814,882,104,4,430,16,1,55,,582,41,498,8,0
