TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,FE-JONS,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EQUO,EB-AZ,O.E.,EH BILDU,VOX,P-LIB,PODEMOS-AHAL DUGU,AHORA AMURRIO/ORAIN ,OMNIA,ABOTSANITZ,GANEMOS,I.N.D.A.Z.,DB-TU,CLI,K.Z.,CMB,PODEMOS-IU-EQUO BERD,SOLIDARIA,IND. ALEGRIA-DUL. 19,IND. BERANTEVILLA 19,IND. KANPEZU 19,IND. ELCIEGO 19,LxE-EaL,IND. LAGUARDIA 19,IND. LAPUEBLA 19,IND. OION 19,IND. PEÑACERRADA 19,IND. 1 RIBERA BAJA 19,IND. 2 RIBERA BAJA 19,IND. DONEMILIAGA 19,IND. ZAMBRANA 19,IND. ZUIA 19,IND. AMURRIO 19,IND. AIARA 19,IND. OKONDO 19,IND. VALDEGOVIA 19,IND. SOPUERTA 19,IND. TURTZIOZ 19,IND. ZALLA 19,IND. ARRIGORRIAGA 19,IND. BARRIKA 19,AHORA ORAIN,Ahora BASAURI Orain,B.I.B.,ACPS,IND. ETXEBARRI 19,IND. 1 GALDAKAO 19,IND. 2 GALDAKAO 19,EzAn-IU,GUK,G.I.GORLIZ,PODEMOS-EQUO,IND. SANTURTZI 19,IND. ZARATAMO 19,IND. ABADIÑO 19,IND. ARTEA 19,IND. DIMA 19,IND. GARAI 19,IND. OROZKO 19,IND. UBIDE 19,IND. AMOROTO 19,IND. BAKIO 19,IND. BERMEO 19,IND. 1 BUSTURIA 19,IND. 2 BUSTURIA 19,IND. FRUIZ 19,IND. GATIKA 19,IND. GIZABURUAGA 19,IND. IBARRANGELU 19,IND. ISPASTER 19,IND. MURUETA 19,IND. SUKARRIETA 19,IND. AZKOITIA 19,IND. BEIZAMA 19,IND. BIDANIA-GOI. 19,IND. DEBA 19,IND. ERREZIL 19,IND. EZKIO-ITSASO 19,IND. GABIRIA 19,IND. MUTILOA 19,IND. ORMAIZTEGI 19,IND. ZEGAMA 19,IND. ZERAIN 19,UCIN,IND. ARRASATE 19,EZKER ANITZA / EQUO ,IND. ESKORIATZA 19,IND. MUTRIKU 19,IND. ORIO 19,IND. ABALTZISKETA 19,IND. ALBIZTUR 19,IND. ALEGIA 19,IND. ALKIZA 19,IND. 1 ALTZAGA 19,IND. 2 ALTZAGA 19,IND. AMEZKETA 19,IND. 1 ARAMA 19,IND. 2 ARAMA 19,IND. ASTEASU 19,IND. BALIARRAIN 19,IND. 1 BELAUNTZA 19,IND. 2 BELAUNTZA 19,IND. BERASTEGI 19,IND. GAINTZA 19,IND. HERNIALDE 19,IND. IDIAZABAL 19,IND. LEABURU 19,IND. OLABERRIA 19,PODEMOS / SQ-2D,G.G.B.,EA-NV / EAJ-PNV,IND. LEINTZ-GATZ. 19,NOA
Bizkaia,ABADIÑO,,1,3,5902,4154,43,4111,43,4068,1748,1205,67,,,,,,,,,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,253,177,5,172,20,152,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7772,5437,92,5345,51,5294,2335,2292,80,,,763,,,,,,,977,,,,,,,,695,,,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,356,260,13,247,17,230,96,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3562,2406,21,2385,22,2363,1156,1088,23,,,105,,,,,,,1071,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1536,1012,9,1003,14,989,524,549,,,,23,,,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,553,417,7,410,11,399,136,71,,,,5,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,389,321,9,312,7,305,68,81,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,229,150,1,149,2,147,79,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1270,934,9,925,9,916,336,,,,,14,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,,
