TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PSE-EE/PSOE,ICV-EHE/GORORDO,PIE,HERRI-HATS,AMA
Bizkaia,AMOREBIETA-ETXANO,,3,3,13154,8995,141,8859,112,8747,4159,3706,598,1557,,927,825,,,,1134,,,,
Bizkaia,AMOROTO,,4,4,322,238,1,237,7,230,84,159,0,46,,21,1,,,,3,,,,
Álava,AMURRIO,,2,3,7790,5665,64,5601,87,5514,2125,1452,710,613,195,1840,175,,,,529,,,,
Gipuzkoa,ANDOAIN,,9,3,12127,7524,86,7438,143,7295,4603,1455,763,1653,,1234,477,,8,56,1649,,,,
Gipuzkoa,ANOETA,,10,3,1394,912,5,907,23,884,482,205,54,353,,175,23,,0,10,64,,,,
Gipuzkoa,ANTZUOLA,,11,4,1642,1279,9,1270,53,1217,363,369,38,390,,204,32,,,,184,,,,
Bizkaia,ARAKALDO,,5,3,102,87,1,86,,86,15,46,1,30,,9,0,,,,0,,,,
Gipuzkoa,ARAMA,,12,3,139,98,,98,2,96,41,26,3,40,,23,0,,0,1,3,,,,
Álava,ARAMAIO,,3,2,1117,799,3,796,13,783,318,277,7,184,11,288,6,,,,10,,,,
Bizkaia,ARANTZAZU,,6,3,242,224,1,223,3,220,18,96,10,74,,30,5,,,,5,,,,
Bizkaia,AREATZA,,93,3,942,773,14,759,9,750,169,421,94,134,,50,28,,,,23,,,,
Gipuzkoa,ARETXABALETA,,13,4,4951,3491,40,3451,72,3379,1460,833,181,948,,696,196,,,,525,,,,
Álava,ARMIÑÓN,,6,2,123,95,3,92,,92,28,29,43,3,15,0,2,,,,0,,,,
Álava,ARRAIA-MAEZTU,,37,2,654,447,6,441,7,434,207,191,51,26,65,37,24,,,,40,,,,
Bizkaia,ARRANKUDIAGA,,9,3,633,549,4,545,10,535,84,335,13,168,,13,3,,,,3,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20293,13228,88,13140,194,12946,7065,2858,1049,3312,,2117,1129,,,,2481,,,,
Bizkaia,ARRATZU,,914,4,325,295,1,294,5,289,30,117,1,132,,38,0,,,,1,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,602,407,1,406,7,399,195,173,73,35,49,13,11,,,,45,,,,
Bizkaia,ARRIETA,,10,4,385,280,7,273,3,270,105,177,12,34,,43,3,,,,1,,,,
Bizkaia,ARRIGORRIAGA,,11,3,8252,5374,87,5287,92,5195,2878,2250,461,884,,280,449,,,,871,,,,
Bizkaia,ARTEA,,23,3,543,461,9,452,6,446,82,210,45,103,,83,1,,,,4,,,,
Bizkaia,ARTZENTALES,,8,2,560,466,,466,8,458,94,308,29,49,,47,11,,,,14,,0,,0
Álava,ARTZINIEGA,,4,3,1052,865,14,851,13,838,187,292,204,112,57,85,31,,,,57,,,,
Álava,ASPARRENA,,9,2,1304,919,14,905,13,892,385,393,49,157,46,143,22,,,,82,,,,
Gipuzkoa,ASTEASU,,14,3,961,665,,665,13,652,296,96,19,257,,249,16,,0,0,15,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,2499,1748,20,1728,26,1702,751,234,86,634,,654,42,,,,51,,,1,
Gipuzkoa,ATAUN,,15,3,1426,1109,8,1101,31,1070,317,289,4,504,,259,4,,1,1,8,,,,
Bizkaia,ATXONDO,,91,3,1181,854,11,843,19,824,327,483,27,212,,31,25,,,,46,,,,
Bizkaia,AULESTI,,70,4,587,452,5,447,9,438,135,208,8,203,,14,1,,,,4,,,,
Álava,AYALA/AIARA,,10,3,1730,1281,18,1263,33,1230,449,519,306,110,38,198,31,,,,28,,,,
Gipuzkoa,AZKOITIA,,17,4,8518,5582,59,5523,65,5458,2936,2845,459,842,,625,178,,,,509,,,,
Gipuzkoa,AZPEITIA,,18,4,10763,7332,60,7272,97,7175,3431,2876,358,1455,,2099,115,,,,272,,,,
Álava,AÑANA,,49,2,186,168,1,167,3,164,18,79,10,15,41,5,4,,,,10,,,,
Bizkaia,BAKIO,,12,4,1133,865,16,849,8,841,268,538,33,139,,97,16,,,,18,,,,
Gipuzkoa,BALIARRAIN,,904,3,84,54,,54,,54,30,6,0,41,,7,0,,0,0,0,,,,
Bizkaia,BALMASEDA,,90,2,6158,4746,75,4671,111,4560,1412,1951,529,432,,363,250,,,,998,,26,,11
Bizkaia,BARAKALDO,,13,2,85435,51579,451,51128,913,50215,33856,12110,8757,4631,,2164,7235,,,,15059,,152,,107
Bizkaia,BARRIKA,,14,4,771,519,5,514,10,504,252,283,40,98,,43,19,,,,21,,,,
Álava,BARRUNDIA,,13,2,499,292,7,285,5,280,207,124,27,36,62,20,6,,,,5,,,,
Bizkaia,BASAURI,,15,3,40622,23799,229,23572,345,23227,16823,7836,3305,2524,,929,2663,,,,5970,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,291,238,4,234,3,231,53,119,38,3,57,0,1,,,,13,,,,
Gipuzkoa,BEASAIN,,19,3,9987,6384,59,6325,132,6193,3603,1800,496,1201,,1149,382,,5,32,1128,,,,
Bizkaia,BEDIA,,92,3,881,706,1,705,13,692,175,484,50,84,,36,18,,,,20,,,,
Gipuzkoa,BEIZAMA,,20,4,157,133,,133,,133,24,54,1,55,,22,1,,,,0,,,,
Gipuzkoa,BELAUNTZA,,21,3,246,221,4,217,3,214,25,51,2,110,,35,11,,1,0,4,,,,
Bizkaia,BERANGO,,16,4,3540,2427,14,2413,33,2380,1113,916,211,476,,286,248,,,,243,,,,
Álava,BERANTEVILLA,,14,2,344,277,1,276,2,274,67,131,22,3,99,1,12,,,,6,,,,
Gipuzkoa,BERASTEGI,,22,3,776,573,2,571,8,563,203,98,12,150,,286,8,,0,0,9,,,,
Gipuzkoa,BERGARA,,74,4,12812,8560,62,8498,130,8368,4252,2879,459,2694,,1243,398,,,,695,,,,
Bizkaia,BERMEO,,17,4,14587,9667,107,9560,102,9458,4920,3443,295,1795,,3196,156,,,,573,,,,
Álava,BERNEDO,,16,2,506,310,1,309,1,308,196,144,83,17,50,4,2,,,,8,,,,
Bizkaia,BERRIATUA,,18,4,857,420,,420,9,411,437,246,9,93,,48,3,,,,12,,,,
Bizkaia,BERRIZ,,19,3,3397,2346,40,2299,55,2244,1051,1093,119,367,,180,185,,,,300,,,,
Gipuzkoa,BERROBI,,23,3,489,305,1,304,6,298,184,56,16,110,,88,6,,0,1,21,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,370,314,4,310,,310,56,90,4,80,,136,0,,,,0,,,,
Bizkaia,BILBAO,,20,1,313660,191376,1469,189907,2767,187140,122284,54821,42634,16185,,8830,15594,,,,28409,20383,284,,
Bizkaia,BUSTURIA,,21,4,1441,1144,7,1137,16,1121,297,493,27,260,,258,22,,,,61,,,,
Álava,CAMPEZO/KANPEZU,,17,2,990,698,8,690,12,678,292,270,142,52,84,62,13,,,,55,,,,
Gipuzkoa,DEBA,,29,4,4082,2914,19,2895,70,2825,1168,867,125,632,,931,108,,,,162,,,,
Bizkaia,DERIO,,901,4,3992,2656,33,2623,69,2554,1336,1138,240,265,,216,199,,,,496,,,,
Bizkaia,DIMA,,26,3,918,794,6,788,17,771,124,317,22,360,,69,2,,,,1,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,151097,95074,775,94299,2572,91727,56023,13974,22433,13882,,17105,6122,,,,17886,,,325,
Bizkaia,DURANGO,,27,3,18984,12313,61,12101,74,12027,6671,5019,1942,1862,,857,927,,,,1420,,,,
Bizkaia,EA,,28,4,738,573,4,569,4,565,165,308,11,150,,86,3,,,,7,,,,
Gipuzkoa,EIBAR,,30,4,26296,16831,127,16702,285,16419,9465,3767,2167,2605,,2028,1049,,,,4803,,,,
Bizkaia,ELANTXOBE,,31,4,446,354,2,352,1,351,92,191,1,108,,44,3,,,,4,,,,
Álava,ELBURGO/BURGELU,,21,2,176,114,2,112,2,110,62,59,13,6,20,5,3,,,,4,,,,
Álava,ELCIEGO,,22,2,799,669,9,660,5,655,130,82,145,11,44,136,25,,,,212,,,,
Gipuzkoa,ELDUAIN,,31,3,223,193,1,192,1,191,30,24,3,98,,66,0,,0,0,0,,,,
Gipuzkoa,ELGETA,,33,4,818,579,2,577,17,560,239,254,23,157,,95,20,,,,11,,,,
Gipuzkoa,ELGOIBAR,,32,4,9380,6413,52,6361,73,6288,2967,2455,584,1111,,1079,354,,,,705,,,,
Bizkaia,ELORRIO,,32,3,6132,4320,61,4259,110,4149,1812,1745,385,944,,260,279,,,,536,,,,
Álava,ELVILLAR/BILAR,,23,2,303,255,1,254,4,250,48,135,34,10,61,1,4,,,,5,,,,
Bizkaia,ERANDIO,,902,4,19653,11530,94,11436,222,11214,8123,4037,1356,1485,,717,1263,,,,2356,,,,
Bizkaia,EREÑO,,33,4,241,215,1,214,9,205,26,120,8,43,,31,0,,,,3,,,,
Bizkaia,ERMUA,,34,3,14126,8997,89,8903,178,8725,5129,1196,1995,767,,433,1323,,,,3011,,,,
Gipuzkoa,ERRENTERIA,,67,2,34314,20445,198,20247,426,19821,13869,2176,2241,4625,,2277,2151,17,,,6308,,,26,
Gipuzkoa,ERREZIL,,66,4,539,406,4,402,2,400,133,120,0,192,,88,0,,,,0,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,475,374,2,372,2,370,101,160,50,16,99,7,6,,,,32,,,,
Bizkaia,ERRIGOITI,,79,4,385,362,4,358,1,357,23,189,6,77,,84,1,,,,0,,,,
Gipuzkoa,ESKORIATZA,,34,4,3227,2200,17,2183,26,2157,1027,337,102,510,,736,167,,,,305,,,,
Bizkaia,ETXEBARRI,,29,3,5153,3362,155,3199,85,3114,1791,933,391,224,,368,394,,,,804,,,,
Bizkaia,ETXEBARRIA,,30,4,662,499,4,495,11,484,163,241,4,214,,22,2,,,,1,,,,
Gipuzkoa,EZKIO-ITSASO,,35,3,451,363,1,362,4,358,88,63,2,161,,127,1,,0,0,4,,,,
Bizkaia,FORUA,,906,4,772,613,2,611,6,605,159,281,30,203,,66,7,,,,18,,,,
Bizkaia,FRUIZ,,35,4,278,173,2,171,1,170,105,131,5,24,,9,1,,,,0,,,,
Gipuzkoa,GABIRIA,,38,3,357,279,1,278,11,267,78,36,5,49,,174,1,,0,1,1,,,,
Gipuzkoa,GAINTZA,,37,3,113,72,,72,4,68,41,20,4,30,,13,0,,1,0,0,,,,
Bizkaia,GALDAKAO,,36,3,23513,14379,171,14213,232,13981,9134,4922,1553,2256,,1288,1824,,,,2138,,,,
Bizkaia,GALDAMES,,37,2,714,575,3,572,6,566,139,308,30,76,,81,18,,,,52,,0,,1
Bizkaia,GAMIZ-FIKA,,38,4,813,577,6,571,4,567,236,367,12,132,,45,7,,,,4,,,,
Bizkaia,GARAI,,39,3,210,170,,170,8,162,40,102,8,41,,9,1,,,,1,,,,
Bizkaia,GATIKA,,40,4,812,638,9,629,9,620,174,258,19,148,,173,5,,,,17,,,,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,654,518,4,514,13,501,136,322,21,82,,67,4,,,,5,,,,
Gipuzkoa,GAZTELU,,907,3,123,115,,115,4,111,8,56,7,47,,1,0,,0,0,0,,,,
Bizkaia,GERNIKA-LUMO,,46,4,13034,8838,103,8735,149,8586,4196,3539,672,1816,,1665,256,,,,638,,,,
Gipuzkoa,GETARIA,,39,4,1958,1528,21,1507,26,1481,430,678,27,394,,340,18,,,,24,,,,
Bizkaia,GETXO,,44,4,66365,43498,280,43218,994,42224,22867,15262,12901,3925,,3368,3028,,,,3740,,,,
Bizkaia,GIZABURUAGA,,47,4,120,102,,102,4,98,18,47,4,37,,9,1,,,,0,,,,
Bizkaia,GORDEXOLA,,42,2,1287,1024,21,1003,15,988,263,612,158,66,,80,24,,,,40,,6,,2
Bizkaia,GORLIZ,,43,4,2744,1829,33,1796,41,1755,915,946,179,224,,227,89,,,,90,,,,
Bizkaia,GÜEÑES,,45,2,4940,3929,58,3871,42,3829,1011,1858,258,494,,651,106,,,,459,,2,,1
Álava,HARANA/VALLE DE ARANA,,56,2,356,253,,253,2,251,103,137,51,19,39,0,2,,,,3,,,,
Gipuzkoa,HERNANI,,40,1,15402,9727,90,9637,192,9445,5675,1058,652,3589,,1968,709,,,,1458,,,11,
Gipuzkoa,HERNIALDE,,41,3,229,109,,109,3,106,120,22,7,38,,26,6,,0,3,4,,,,
Gipuzkoa,HONDARRIBIA,,36,2,11489,7197,51,7146,179,6967,4292,2395,798,1459,,1400,344,6,,,555,,,10,
Gipuzkoa,IBARRA,,42,3,3453,2204,17,2187,45,2142,1249,441,122,678,,492,84,,5,10,310,,,,
Bizkaia,IBARRANGELU,,48,4,484,373,2,371,3,368,111,256,10,68,,27,4,,,,3,,,,
Gipuzkoa,IDIAZABAL,,43,3,1638,1244,5,1239,27,1212,394,264,52,260,,588,20,,0,5,23,,,,
Bizkaia,IGORRE,,94,3,3027,2339,21,2318,52,2266,688,1214,80,490,,366,32,,,,84,,,,
Gipuzkoa,IKAZTEGIETA,,44,3,317,247,,247,4,243,70,85,15,108,,30,2,,0,1,2,,,,
Gipuzkoa,IRUN,,45,2,45592,27100,261,26839,696,26143,18492,4657,5575,2880,,2662,2910,86,,,7340,,,33,
Gipuzkoa,IRURA,,46,3,587,416,4,412,15,397,171,134,17,146,,74,10,,0,3,13,,,,
Álava,IRURAIZ-GAUNA,,27,2,370,243,8,235,7,228,127,95,38,28,48,13,6,,,,0,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1340,983,9,974,26,948,357,250,218,49,116,13,61,,,,241,,,,
Bizkaia,ISPASTER,,49,4,538,388,4,384,4,380,150,276,21,37,,35,7,,,,4,,,,
Gipuzkoa,ITSASONDO,,47,3,544,328,2,326,15,311,216,78,12,151,,53,12,,0,0,5,,,,
Bizkaia,IURRETA,,910,3,3823,2664,22,2642,40,2602,1159,1042,309,514,,92,184,,,,461,,,,
Bizkaia,IZURTZA,,50,3,226,205,7,198,2,196,21,120,4,51,,15,6,,,,0,,,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2658,2121,17,2104,25,2079,537,1132,171,252,,224,47,,,,232,,17,,4
Bizkaia,KORTEZUBI,,907,4,321,278,3,275,2,273,43,189,6,57,,17,2,,,,2,,,,
Álava,KRIPAN,,19,2,177,128,,128,,128,49,89,26,4,3,3,3,,,,0,,,,
Álava,KUARTANGO,,20,2,325,250,2,248,,248,75,152,7,48,34,0,7,,,,0,,,,
Álava,LABASTIDA/BASTIDA,,28,2,843,646,2,644,6,638,197,130,160,116,107,22,33,,,,70,,,,
Álava,LAGRÁN,,30,2,184,138,5,133,,133,46,77,14,2,28,1,5,,,,6,,,,
Álava,LAGUARDIA,,31,2,1192,1050,13,1037,8,1029,142,339,470,32,103,28,10,,,,47,,,,
Álava,LANCIEGO/LANTZIEGO,,32,2,558,431,3,428,8,420,127,183,109,14,48,0,4,,,,62,,,,
Bizkaia,LANESTOSA,,51,2,254,214,1,213,2,211,40,129,23,11,,2,4,,,,42,,0,,0
Álava,LANTARÓN,,902,2,731,537,4,533,7,526,194,226,86,18,158,1,21,,,,16,,,,
Álava,LAPUEBLA DE LABARCA,,33,2,680,596,1,595,4,591,84,296,116,7,87,44,10,,,,31,,,,
Bizkaia,LARRABETZU,,52,4,1274,1034,9,1025,6,1019,240,569,45,327,,38,14,,,,26,,,,
Gipuzkoa,LARRAUL,,48,3,116,66,,66,,66,50,20,0,32,,13,0,,1,0,0,,,,
Gipuzkoa,LASARTE-ORIA,,902,1,14737,9513,56,9457,207,9250,5224,980,1053,1560,,1208,773,,,,3661,,,15,
Álava,LAUDIO/LLODIO,,36,3,16615,11246,142,11104,183,10921,5369,3178,1349,2589,407,917,677,,,,1804,,,,
Bizkaia,LAUKIZ,,53,4,802,580,11,569,9,560,222,306,91,44,,110,1,,,,8,,,,
Gipuzkoa,LAZKAO,,49,3,3982,2797,15,2782,58,2724,1185,828,143,763,,435,181,,0,8,366,,,,
Gipuzkoa,LEABURU,,50,3,348,222,4,218,5,213,126,18,10,151,,27,4,,0,0,3,,,,
Gipuzkoa,LEGAZPI,,51,3,7908,5264,55,5209,104,5105,2644,1209,358,933,,1539,287,,5,26,748,,,,
Gipuzkoa,LEGORRETA,,52,3,1190,832,3,829,23,806,358,354,56,190,,114,24,,1,1,66,,,,
Álava,LEGUTIO,,58,2,1060,736,22,714,11,703,324,257,32,136,41,195,22,,,,20,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,4,206,158,,158,3,155,48,51,2,69,,29,2,,,,2,,,,
Bizkaia,LEIOA,,54,4,20120,12455,123,12332,274,12058,7665,4638,1797,1304,,733,1632,,,,1954,,,,
Bizkaia,LEKEITIO,,57,4,6363,4512,54,4458,53,4405,1851,1909,102,1326,,963,48,,,,57,,,,
Bizkaia,LEMOA,,55,3,2125,1814,26,1788,10,1778,311,1024,100,272,,292,26,,,,64,,,,
Bizkaia,LEMOIZ,,56,4,703,541,5,536,12,524,162,317,22,114,,48,14,,,,9,,,,
Álava,LEZA,,34,2,176,127,2,125,1,124,49,31,13,2,9,48,3,,,,18,,,,
Bizkaia,LEZAMA,,81,4,1648,1219,14,1205,23,1182,429,788,76,215,,47,35,,,,21,,,,
Gipuzkoa,LEZO,,53,2,4396,2777,31,2746,36,2710,1619,424,181,1132,,436,166,2,,,367,,,2,
Gipuzkoa,LIZARTZA,,54,3,572,473,1,472,8,464,99,73,7,264,,118,1,,0,1,0,,,,
Bizkaia,LOIU,,903,4,1514,1081,6,1075,17,1058,433,577,193,113,,136,22,,,,17,,,,
Bizkaia,MALLABIA,,58,3,916,750,3,747,6,741,166,344,17,274,,23,13,,,,70,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,4014,2521,11,2510,26,2484,1493,1238,147,680,,334,33,,,,52,,,,
Bizkaia,MARURI-JATABE,,61,4,463,336,1,335,5,330,127,189,35,28,,66,6,,,,6,,,,
Bizkaia,MAÑARIA,,59,3,433,337,2,335,8,327,96,213,14,82,,13,3,,,,2,,,,
Gipuzkoa,MENDARO,,901,4,1156,847,14,833,25,808,309,400,29,158,,126,22,,,,73,,,,
Bizkaia,MENDATA,,62,4,296,261,1,260,1,259,35,140,9,53,,57,0,,,,0,,,,
Bizkaia,MENDEXA,,63,4,309,245,,245,2,243,64,139,6,84,,14,0,,,,0,,,,
Bizkaia,MEÑAKA,,64,4,376,337,4,333,2,331,39,130,10,39,,150,2,,,,0,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,248,217,1,216,,216,31,111,47,2,6,6,2,,,,42,,,,
Bizkaia,MORGA,,66,4,290,201,,201,1,200,89,157,9,18,,16,0,,,,0,,,,
Bizkaia,MUNDAKA,,68,4,1496,1203,10,1193,10,1183,293,676,41,218,,225,10,,,,13,,,,
Bizkaia,MUNGIA,,69,4,10086,6211,45,6166,108,6058,3875,3390,671,725,,578,314,,,,380,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,377,295,9,286,5,281,82,176,1,80,,24,0,,,,0,,,,
Bizkaia,MURUETA,,908,4,168,150,4,146,10,136,18,89,6,19,,21,1,,,,0,,,,
Bizkaia,MUSKIZ,,71,2,5313,4064,29,4035,63,3972,1249,1823,238,387,,323,325,,,,866,,1,,9
Gipuzkoa,MUTILOA,,57,3,151,79,2,77,2,75,72,17,3,29,,26,0,,0,0,0,,,,
Gipuzkoa,MUTRIKU,,56,4,3930,2843,20,2823,32,2791,1087,1320,187,888,,265,25,,,,106,,,,
Bizkaia,MUXIKA,,67,4,1228,1025,7,1018,7,1011,203,499,18,352,,131,8,,,,3,,,,
Bizkaia,NABARNIZ,,909,4,219,198,2,196,3,193,21,88,1,96,,8,0,,,,0,,,,
Álava,NAVARIDAS,,41,2,188,156,2,154,,154,32,66,68,2,5,3,5,,,,5,,,,
Gipuzkoa,OIARTZUN,,63,2,7072,4899,49,4850,72,4778,2173,851,210,2267,,1178,95,1,,,174,,,2,
Álava,OKONDO,,42,3,658,623,3,620,3,617,35,229,32,69,10,273,0,,,,4,,,,
Gipuzkoa,OLABERRIA,,58,3,927,606,7,599,15,584,321,131,76,125,,95,39,,0,5,113,,,,
Bizkaia,ONDARROA,,73,4,8593,6113,42,6071,110,5961,2480,2528,414,2212,,602,94,,,,111,,,,
Gipuzkoa,ORDIZIA,,76,3,7602,5023,43,4980,111,4869,2579,1148,536,1197,,908,421,,6,25,628,,,,
Gipuzkoa,ORENDAIN,,905,3,139,105,,105,2,103,34,13,4,60,,26,0,,0,0,0,,,,
Gipuzkoa,OREXA,,60,3,73,59,,59,,59,14,7,0,51,,1,0,,0,0,0,,,,
Gipuzkoa,ORIO,,61,4,3454,2331,16,2315,52,2263,1123,939,116,516,,479,38,,,,175,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,951,752,16,736,24,712,199,268,16,166,,236,11,,0,3,12,,,,
Bizkaia,OROZKO,,75,3,1627,1166,13,1153,15,1138,461,691,143,186,,75,13,,,,30,,,,
Bizkaia,ORTUELLA,,83,2,7107,4666,36,4630,51,4579,2441,1125,332,492,,281,766,,,,1571,,6,,6
Bizkaia,OTXANDIO,,72,3,900,685,9,676,3,673,215,332,45,197,,61,22,,,,16,,,,
Álava,OYÓN-OION,,43,2,1881,1380,5,1375,10,1365,501,450,319,114,84,56,166,,,,176,,,,
Gipuzkoa,OÑATI,,59,4,8661,5491,32,5459,54,5405,3170,2252,349,1346,,1033,110,,,,315,,,,
Gipuzkoa,PASAIA,,64,2,15169,8545,97,8448,185,8263,6624,1283,844,2223,,1471,799,11,,,1619,,,13,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,222,184,,184,2,182,38,121,10,9,27,5,4,,,,6,,,,
Bizkaia,PLENTZIA,,77,4,2540,1840,23,1817,29,1788,700,1005,177,257,,229,56,,,,64,,,,
Bizkaia,PORTUGALETE,,78,2,46571,28881,298,28583,491,28092,17690,7089,5015,2325,,1242,4521,,,,7802,,47,,51
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,360,302,,302,,302,58,112,89,8,25,3,18,,,,47,,,,
Álava,SAMANIEGO,,52,2,241,199,,199,3,196,42,87,15,20,4,4,26,,,,40,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,599,291,,291,3,288,308,157,42,32,41,6,6,,,,4,,,,
Bizkaia,SANTURTZI,,82,2,41437,25086,212,24874,387,24487,16351,6691,3648,2929,,1051,3482,,,,6649,,24,,13
Gipuzkoa,SEGURA,,70,3,1014,828,9,819,12,807,186,202,10,253,,333,1,,0,0,8,,,,
Bizkaia,SESTAO,,84,2,29795,18104,236,17868,343,17525,11691,3560,2618,1547,,658,3898,,,,5212,,20,,12
Bizkaia,SONDIKA,,904,4,3096,2264,31,2233,58,2175,832,1298,170,266,,196,61,,,,184,,,,
Bizkaia,SOPELA,,85,4,7137,4326,38,4288,81,4207,2811,1731,413,848,,334,431,,,,450,,,,
Bizkaia,SOPUERTA,,86,2,1897,1550,21,1529,161,1368,347,490,149,144,,323,104,,,,151,,2,,5
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3820,2585,18,2567,40,2527,1235,877,251,590,,354,78,,,,377,,,,
Bizkaia,SUKARRIETA,,76,4,273,208,1,207,7,200,65,109,15,29,,37,5,,,,5,,,,
Gipuzkoa,TOLOSA,,71,3,15097,9279,72,9207,178,9029,5818,1993,1041,2107,,2451,402,,127,170,738,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,443,386,6,380,4,376,57,218,47,22,,52,6,,,,31,,0,,0
Bizkaia,UBIDE,,88,3,134,121,,121,3,118,13,43,14,55,,5,1,,,,0,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3393,2241,26,2215,19,2196,1152,940,172,482,,191,74,,,,337,,,,
Bizkaia,URDULIZ,,89,4,2240,1616,19,1597,31,1566,624,777,128,316,,141,77,,,,127,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3354,2428,41,2386,42,2344,926,979,330,427,,336,76,,,,196,,,,
Álava,URKABUSTAIZ,,54,2,719,501,12,489,4,485,218,180,68,114,37,33,28,,,,25,,,,
Gipuzkoa,URNIETA,,72,1,3901,2522,43,2479,85,2394,1379,1115,132,466,,203,146,,,,329,,,3,
Gipuzkoa,URRETXU,,77,3,5147,3565,32,3533,82,3451,1582,546,202,598,,1208,203,,5,31,658,,,,
Gipuzkoa,USURBIL,,73,1,4330,3033,26,3007,54,2953,1297,653,169,1217,,510,106,,,,293,,,5,
Álava,VALDEGOVÍA/GAUBEA,,55,2,833,647,7,640,2,638,186,294,71,45,196,6,11,,,,15,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10902,7099,81,7018,124,6894,3803,2057,564,835,,199,972,,,,2248,,6,,13
Gipuzkoa,VILLABONA,,75,3,4293,2870,30,2840,77,2763,1423,549,203,846,,665,167,,7,38,288,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,306,255,1,254,2,252,51,122,26,39,20,37,4,,,,4,,,,
Álava,VITORIA-GASTEIZ,,59,1,173555,107209,983,106226,1890,104336,66346,24639,19158,7791,20204,6007,9748,,,,16789,,,,
Álava,YÉCORA/IEKORA,,60,2,214,185,2,183,5,178,29,95,25,2,42,2,3,,,,9,,,,
Bizkaia,ZALDIBAR,,95,3,2450,1688,32,1656,39,1617,762,557,200,291,,167,142,,,,260,,,,
