TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,CDS,EKA,EHB,PSE-EE/PSOE,ICV-EHE/GORORDO,PIE,HERRI-HATS,AMA
Bizkaia,ABADIÑO,,1,3,5506,3479,40,3440,61,3379,2027,1296,318,682,,269,311,,,,503,,,,
Gipuzkoa,ABALTZISKETA,,1,3,240,116,,116,1,115,124,26,4,37,,46,2,,0,0,0,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7040,4672,42,4630,65,4565,2368,1048,227,580,,143,619,,,,1366,,4,,578
Gipuzkoa,ADUNA,,2,3,249,181,23,158,11,147,68,7,2,76,,57,3,,0,0,2,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3008,1991,25,1966,18,1948,1017,400,95,319,138,614,59,,,,323,,,,
Gipuzkoa,AIA,,16,4,1346,864,1,863,10,853,482,455,10,198,,181,5,,,,4,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,413,276,3,273,5,268,137,43,3,162,,57,1,,,,2,,,,
Bizkaia,AJANGIZ,,911,4,319,294,,292,4,288,25,120,4,126,,35,3,,,,0,,,,
Gipuzkoa,ALBIZTUR,,4,3,244,101,,101,4,97,143,33,5,17,,39,1,,0,1,1,,,,
Gipuzkoa,ALEGIA,,5,3,1369,986,8,978,8,970,383,194,29,327,,355,23,,3,2,37,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,867,661,5,656,6,650,206,245,55,33,49,152,18,,,,98,,,,
Gipuzkoa,ALKIZA,,6,3,230,143,4,139,9,130,87,38,1,33,,48,5,,1,0,4,,,,
Bizkaia,ALONSOTEGI,,912,2,2545,1995,24,1971,34,1937,550,779,162,263,,442,127,,,,161,,1,,2
Gipuzkoa,ALTZAGA,,906,3,78,43,,43,1,42,35,8,0,25,,8,0,,0,1,0,,,,
Gipuzkoa,ALTZO,,7,3,278,240,1,239,1,238,38,92,1,120,,25,0,,0,0,0,,,,
Gipuzkoa,AMEZKETA,,8,3,864,563,7,556,20,536,301,120,27,207,,153,15,,0,4,10,,,,
