TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,U.AL.,EB-B,EHB,PH,PSE-EE/PSOE,BERDEAK-LV,ICV-EHE/GORORDO,PLAZANDREOK,EH,EAJ-PNV / EA
Gipuzkoa,ASTIGARRAGA,,903,1,2729,1862,13,1849,36,1813,867,99,,15,,,90,4,,2,843,760
Gipuzkoa,ATAUN,,15,3,1434,1141,,1141,8,1133,293,6,,8,1,,4,,,2,604,508
Bizkaia,ATXONDO,,91,3,1182,880,8,872,10,862,302,64,,5,,1,64,,,1,275,452
Bizkaia,AULESTI,,70,4,555,391,4,387,3,384,164,2,,0,,0,4,,0,0,248,130
Álava,AYALA/AIARA,,10,3,1763,1352,21,1331,23,1308,411,329,9,16,,,25,,,,201,728
Gipuzkoa,AZKOITIA,,17,4,8676,6237,63,6174,64,6110,2439,575,,88,,,496,,,28,1721,3202
Gipuzkoa,AZPEITIA,,18,4,11301,8548,404,8144,63,8081,2753,143,,80,,,292,,,23,2895,4648
Álava,AÑANA,,49,2,177,159,1,158,3,155,18,32,1,3,,,6,,,,22,91
Bizkaia,BAKIO,,12,4,1406,1123,21,1102,9,1093,283,57,,19,,5,18,,1,2,239,752
Gipuzkoa,BALIARRAIN,,904,3,75,60,,60,,60,15,1,,0,0,,0,,,0,46,13
Bizkaia,BALMASEDA,,90,2,6236,4790,97,4693,105,4588,1446,595,,150,,15,940,,17,23,528,2320
Bizkaia,BARAKALDO,,13,2,84607,50182,414,49768,793,48975,34425,10901,,3946,,119,16025,,273,65,6201,11445
Bizkaia,BARRIKA,,14,4,942,638,31,607,5,602,304,39,,19,,1,32,,5,2,157,347
Álava,BARRUNDIA,,13,2,549,327,12,315,4,311,222,55,17,7,,,12,,,,66,154
Bizkaia,BASAURI,,15,3,41094,25125,188,24937,370,24567,15969,4693,,1355,,115,6966,,,55,3303,8080
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,292,259,6,253,7,246,33,124,6,0,,,10,,,,4,102
Gipuzkoa,BEASAIN,,19,3,10204,6860,34,6826,92,6734,3344,775,,242,55,,1174,,,28,1626,2834
Bizkaia,BEDIA,,92,3,849,664,7,657,2,655,185,34,,6,,0,29,,,0,119,467
Gipuzkoa,BEIZAMA,,20,4,152,130,,130,,130,22,0,,0,,,0,,,0,57,73
Gipuzkoa,BELAUNTZA,,21,3,283,241,4,237,2,235,42,6,,3,1,,4,,,0,149,72
Bizkaia,BERANGO,,16,4,4005,2693,28,2665,45,2620,1312,399,,138,,3,310,,7,3,645,1115
Álava,BERANTEVILLA,,14,2,392,314,3,311,6,305,78,90,23,12,,,9,,,,27,144
Gipuzkoa,BERASTEGI,,22,3,809,597,2,595,5,590,212,6,,6,0,,7,,,1,243,327
Gipuzkoa,BERGARA,,74,4,12888,8891,57,8834,77,8757,3997,643,,288,,,766,,,3,3389,3668
Bizkaia,BERMEO,,17,4,14461,10274,96,10178,69,10109,4187,428,,83,,13,503,,13,31,2523,6515
Álava,BERNEDO,,16,2,521,334,8,326,3,323,187,120,17,2,,,10,,,,34,140
Bizkaia,BERRIATUA,,18,4,867,495,5,490,4,486,372,16,,2,,1,7,,1,0,193,266
Bizkaia,BERRIZ,,19,3,3526,2502,12,2490,42,2448,1024,290,,104,,7,379,,,7,616,1045
Gipuzkoa,BERROBI,,23,3,461,252,,252,1,251,209,12,,1,2,,6,,,0,135,95
Gipuzkoa,BIDANIA-GOIATZ,,24,4,355,296,53,243,1,242,59,1,,0,,,1,,,1,73,166
Bizkaia,BILBAO,,20,1,313356,190105,1332,188773,2913,185860,123251,49415,,9861,,219,33285,1119,7252,270,24370,60069
Bizkaia,BUSTURIA,,21,4,1549,1151,5,1146,11,1135,398,47,,15,,3,77,,2,2,326,663
Álava,CAMPEZO/KANPEZU,,17,2,939,724,21,703,17,686,215,192,21,29,,,43,,,,100,301
Gipuzkoa,DEBA,,29,4,4307,3135,34,3101,31,3070,1172,171,,73,,,170,,,10,891,1755
Bizkaia,DERIO,,901,4,4025,2835,18,2817,50,2767,1190,356,,124,,7,649,,5,2,346,1278
Bizkaia,DIMA,,26,3,950,826,4,822,5,817,124,22,,2,,0,2,,,2,459,330
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,157505,99809,533,99276,1992,97284,57696,23609,,3956,,,20587,770,,497,20069,27796
Bizkaia,DURANGO,,27,3,20339,13866,99,13767,163,13604,6473,2522,,646,,28,1752,,,31,2990,5635
Bizkaia,EA,,28,4,778,597,5,592,2,590,181,15,,1,,1,6,,1,0,207,359
Gipuzkoa,EIBAR,,30,4,25863,17289,103,17186,225,16961,8574,2413,,543,,,5514,,,42,3321,5128
Bizkaia,ELANTXOBE,,31,4,421,338,1,337,3,334,83,4,,2,,0,2,,0,0,99,227
Álava,ELBURGO/BURGELU,,21,2,225,146,3,143,4,139,79,23,13,5,,,3,,,,16,79
Álava,ELCIEGO,,22,2,806,668,10,658,14,644,138,228,13,16,,,202,,,,24,161
Gipuzkoa,ELDUAIN,,31,3,206,134,,134,2,132,72,1,,2,0,,0,,,0,82,47
Gipuzkoa,ELGETA,,33,4,834,629,,629,5,624,205,24,,10,,,21,,,0,251,318
Gipuzkoa,ELGOIBAR,,32,4,9380,6518,52,6466,86,6380,2862,835,,158,,,751,,,24,1571,3041
Bizkaia,ELORRIO,,32,3,6175,4556,36,4520,62,4458,1619,546,,172,,7,592,,,12,1328,1801
Álava,ELVILLAR/BILAR,,23,2,320,262,1,261,4,257,58,79,38,6,,,3,,,,20,111
Bizkaia,ERANDIO,,902,4,19724,11512,91,11421,206,11215,8212,1606,,654,,23,2604,,33,11,1842,4442
Bizkaia,EREÑO,,33,4,274,190,1,189,3,186,84,11,,0,,0,4,,1,1,55,114
Bizkaia,ERMUA,,34,3,14522,9577,84,9493,151,9342,4945,2506,,542,,31,4118,,,19,897,1229
Gipuzkoa,ERRENTERIA,,67,2,34373,20668,154,20514,330,20184,13705,2739,,1213,,,6312,,,77,5841,4002
Gipuzkoa,ERREZIL,,66,4,526,456,,456,1,455,70,1,,0,,,0,,,1,223,230
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,486,372,,372,5,367,114,142,12,10,,,21,,,,39,143
Bizkaia,ERRIGOITI,,79,4,436,398,9,389,3,386,38,9,,0,,0,2,,2,0,108,265
Gipuzkoa,ESKORIATZA,,34,4,3361,2278,4,2274,11,2263,1083,197,,139,,,289,,,6,809,823
Bizkaia,ETXEBARRI,,29,3,5546,3416,44,3372,87,3285,2130,767,,226,,26,884,,,11,313,1058
Bizkaia,ETXEBARRIA,,30,4,697,563,1,562,6,556,134,5,,1,,0,2,,1,2,280,265
Gipuzkoa,EZKIO-ITSASO,,35,3,470,416,,416,7,409,54,7,,1,0,,2,,,0,210,189
Bizkaia,FORUA,,906,4,870,709,6,703,1,702,161,27,,7,,0,14,,3,2,244,405
Bizkaia,FRUIZ,,35,4,294,217,,217,,217,77,12,,3,,0,5,,0,0,56,141
Gipuzkoa,GABIRIA,,38,3,380,306,,306,1,305,74,2,,0,0,,2,,,0,94,207
Gipuzkoa,GAINTZA,,37,3,115,74,,74,,74,41,2,,0,0,,1,,,0,37,34
Bizkaia,GALDAKAO,,36,3,24297,15389,129,15260,215,15045,8908,2218,,1063,,35,2539,,,29,3196,5965
Bizkaia,GALDAMES,,37,2,770,583,7,576,3,573,187,27,,15,,0,43,,1,0,112,375
Bizkaia,GAMIZ-FIKA,,38,4,920,703,3,700,4,696,217,39,,2,,0,9,,0,3,179,464
Bizkaia,GARAI,,39,3,218,186,,186,3,183,32,6,,0,,0,0,,,1,51,125
Bizkaia,GATIKA,,40,4,1029,823,2,821,12,809,206,44,,13,,0,30,,0,1,252,469
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,689,541,7,534,4,530,148,29,,9,,0,6,,0,1,115,370
Gipuzkoa,GAZTELU,,907,3,140,122,,122,3,119,18,0,,0,0,,0,,,0,61,58
Bizkaia,GERNIKA-LUMO,,46,4,13245,9743,101,9642,111,9531,3502,865,,219,,19,727,,20,32,2516,5133
Gipuzkoa,GETARIA,,39,4,2026,1652,15,1637,21,1616,374,38,,15,,,24,,,7,566,966
Bizkaia,GETXO,,44,4,69445,47083,230,46853,894,45959,22362,15232,,1879,,86,4998,,208,51,6125,17380
Bizkaia,GIZABURUAGA,,47,4,137,90,,90,1,89,47,2,,0,,0,0,,0,1,41,45
Bizkaia,GORDEXOLA,,42,2,1291,1087,23,1064,10,1054,204,189,,38,,0,25,,0,1,124,677
Bizkaia,GORLIZ,,43,4,3236,2377,26,2351,54,2297,859,259,,75,,8,117,,11,4,478,1345
Bizkaia,GÜEÑES,,45,2,5052,3952,54,3898,38,3860,1100,283,,69,,3,557,,4,4,628,2312
Álava,HARANA/VALLE DE ARANA,,56,2,343,239,3,236,1,235,104,77,36,2,,,1,,,,21,98
Gipuzkoa,HERNANI,,40,1,15909,10436,45,10391,123,10268,5473,881,,415,,,1513,45,,23,4851,2540
Gipuzkoa,HERNIALDE,,41,3,237,173,3,170,8,162,64,5,,6,1,,2,,,0,76,72
Gipuzkoa,HONDARRIBIA,,36,2,12336,8068,74,7994,202,7792,4268,997,,215,,,650,,,20,1727,4183
Gipuzkoa,IBARRA,,42,3,3627,2378,16,2362,21,2341,1249,183,,54,4,,307,,,8,929,856
Bizkaia,IBARRANGELU,,48,4,488,382,2,380,4,376,106,8,,0,,1,4,,1,0,83,279
Gipuzkoa,IDIAZABAL,,43,3,1776,1350,17,1333,8,1325,426,63,,9,5,,31,,,2,370,845
Bizkaia,IGORRE,,94,3,3191,2479,39,2440,16,2424,712,61,,24,,5,120,,,2,832,1380
Gipuzkoa,IKAZTEGIETA,,44,3,325,257,1,256,1,255,68,9,,1,0,,0,,,2,115,128
Gipuzkoa,IRUN,,45,2,48115,29399,241,29158,647,28511,18716,6725,,1423,,,8407,,,93,3711,8152
Gipuzkoa,IRURA,,46,3,619,452,,452,9,443,167,26,,2,0,,12,,,3,207,193
Álava,IRURAIZ-GAUNA,,27,2,382,242,1,241,4,237,140,75,17,4,,,2,,,,52,87
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1438,1021,24,997,33,964,417,287,49,52,,,247,,,,82,247
Bizkaia,ISPASTER,,49,4,608,454,3,451,,451,154,21,,6,,0,1,,0,0,120,303
Gipuzkoa,ITSASONDO,,47,3,532,370,6,364,4,360,162,11,,3,1,,9,,,0,217,119
Bizkaia,IURRETA,,910,3,3692,2484,16,2468,25,2443,1208,383,,101,,4,434,,,1,596,924
Bizkaia,IZURTZA,,50,3,244,206,8,198,3,195,38,5,,3,,0,0,,,0,65,122
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2750,2080,14,2066,36,2030,670,174,,18,,5,108,,113,1,284,1327
Bizkaia,KORTEZUBI,,907,4,326,285,3,282,,282,41,13,,0,,0,3,,0,0,70,196
Álava,KRIPAN,,19,2,171,115,,115,,115,56,26,0,0,,,1,,,,9,79
Álava,KUARTANGO,,20,2,348,260,4,256,4,252,88,41,5,5,,,1,,,,59,141
Álava,LABASTIDA/BASTIDA,,28,2,1011,749,10,739,12,727,262,263,57,42,,,89,,,,106,170
Álava,LAGRÁN,,30,2,198,151,,151,,151,47,54,5,1,,,5,,,,9,77
Álava,LAGUARDIA,,31,2,1266,1055,14,1041,11,1030,211,581,53,5,,,52,,,,59,280
Álava,LANCIEGO/LANTZIEGO,,32,2,564,427,4,423,8,415,137,154,16,2,,,75,,,,21,147
Bizkaia,LANESTOSA,,51,2,269,224,,224,,224,45,54,,3,,0,30,,0,0,13,124
Álava,LANTARÓN,,902,2,855,588,7,581,17,564,267,204,65,13,,,32,,,,45,205
Álava,LAPUEBLA DE LABARCA,,33,2,727,621,5,616,1,615,106,153,90,9,,,22,,,,21,320
Bizkaia,LARRABETZU,,52,4,1333,1083,7,1076,5,1071,250,51,,13,,0,30,,0,0,404,573
Gipuzkoa,LARRAUL,,48,3,124,67,,67,1,66,57,0,,1,1,,0,,,0,46,18
Gipuzkoa,LASARTE-ORIA,,902,1,15049,9818,63,9755,185,9570,5231,1397,,407,,,3732,75,,32,2108,1819
Álava,LAUDIO/LLODIO,,36,3,16802,11326,124,11202,184,11018,5476,2069,280,393,,,1778,,,,2944,3554
Bizkaia,LAUKIZ,,53,4,807,596,11,585,9,576,211,75,,0,,0,28,,0,0,89,384
Gipuzkoa,LAZKAO,,49,3,4034,2812,5,2807,34,2773,1222,246,,110,6,,363,,,3,987,1058
Gipuzkoa,LEABURU,,50,3,315,235,3,232,1,231,80,8,,1,0,,0,,,0,173,49
Gipuzkoa,LEGAZPI,,51,3,7781,5165,18,5147,81,5066,2616,513,,171,25,,807,,,8,1372,2170
Gipuzkoa,LEGORRETA,,52,3,1209,853,7,846,22,824,356,47,,7,4,,62,,,0,295,409
Álava,LEGUTIO,,58,2,1141,715,7,708,9,699,426,67,12,11,,,46,,,,210,353
Gipuzkoa,LEINTZ-GATZAGA,,68,4,220,170,6,164,1,163,50,3,,0,,,6,,,0,90,64
Bizkaia,LEIOA,,54,4,22742,14500,102,14398,290,14108,8242,2729,,1008,,34,2721,,29,16,2034,5537
Bizkaia,LEKEITIO,,57,4,6379,4967,33,4934,42,4892,1412,140,,34,,0,71,,2,4,1935,2706
Bizkaia,LEMOA,,55,3,2172,1829,22,1807,19,1788,343,155,,17,,2,68,,,1,403,1142
Bizkaia,LEMOIZ,,56,4,775,584,7,577,9,568,191,24,,9,,3,16,,2,1,162,351
Álava,LEZA,,34,2,181,134,1,133,,133,47,20,9,1,,,17,,,,22,64
Bizkaia,LEZAMA,,81,4,1771,1334,9,1325,18,1307,437,66,,15,,3,38,,3,0,310,872
Gipuzkoa,LEZO,,53,2,4840,2992,18,2974,26,2948,1848,214,,115,,,402,,,6,1436,775
Gipuzkoa,LIZARTZA,,54,3,532,406,,406,19,387,126,9,,1,0,,1,,,0,288,88
Bizkaia,LOIU,,903,4,1570,1202,56,1146,12,1134,368,162,,16,,1,32,,4,0,162,757
Bizkaia,MALLABIA,,58,3,946,754,4,750,9,741,192,33,,13,,1,85,,,2,303,304
Bizkaia,MARKINA-XEMEIN,,60,4,4065,2765,16,2749,19,2730,1300,119,,18,,3,51,,0,2,985,1552
Bizkaia,MARURI-JATABE,,61,4,539,404,5,399,3,396,135,25,,7,,0,9,,0,2,83,270
Bizkaia,MAÑARIA,,59,3,429,332,2,330,7,323,97,10,,3,,0,7,,,0,113,190
Gipuzkoa,MENDARO,,901,4,1174,894,8,886,19,867,280,45,,9,,,67,,,3,225,518
Bizkaia,MENDATA,,62,4,337,262,1,261,,261,75,12,,0,,0,0,,0,0,72,177
Bizkaia,MENDEXA,,63,4,305,250,1,249,,249,55,5,,0,,0,2,,0,0,114,128
Bizkaia,MEÑAKA,,64,4,438,374,2,372,2,370,64,8,,1,,0,1,,1,0,104,255
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,259,209,,209,1,208,50,78,6,1,,,41,,,,9,73
Bizkaia,MORGA,,66,4,370,279,1,278,3,275,91,6,,1,,2,2,,0,0,82,182
Bizkaia,MUNDAKA,,68,4,1595,1265,6,1259,7,1252,330,36,,12,,2,16,,1,1,343,841
Bizkaia,MUNGIA,,69,4,10718,7166,67,7099,89,7010,3552,855,,212,,8,512,,10,6,1214,4193
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,348,253,1,252,1,251,95,8,,0,,0,0,,0,0,120,123
Bizkaia,MURUETA,,908,4,189,157,6,151,8,143,32,9,,1,,0,0,,0,1,30,102
Bizkaia,MUSKIZ,,71,2,5535,4171,56,4115,67,4048,1364,311,,192,,2,777,,4,1,592,2169
Gipuzkoa,MUTILOA,,57,3,155,87,2,85,,85,68,3,,1,0,,0,,,1,37,43
Gipuzkoa,MUTRIKU,,56,4,4119,3101,38,3063,17,3046,1018,214,,24,,,110,,,4,1202,1492
Bizkaia,MUXIKA,,67,4,1236,1042,7,1035,3,1032,194,21,,6,,0,6,,0,0,419,580
Bizkaia,NABARNIZ,,909,4,209,190,,190,,190,19,0,,0,,0,0,,0,0,104,86
Álava,NAVARIDAS,,41,2,183,150,1,149,3,146,33,91,0,1,,,4,,,,1,49
Gipuzkoa,OIARTZUN,,63,2,7512,5399,169,5230,48,5182,2113,173,,104,,,198,,,9,2798,1900
Álava,OKONDO,,42,3,725,666,3,663,7,656,59,66,6,0,,,1,,,,127,456
Gipuzkoa,OLABERRIA,,58,3,877,630,6,624,9,615,247,102,,21,4,,111,,,1,185,191
Bizkaia,ONDARROA,,73,4,8460,6252,41,6211,57,6154,2208,405,,41,,3,142,,4,2,2856,2701
Gipuzkoa,ORDIZIA,,76,3,7681,5209,277,4932,73,4859,2472,617,,298,22,,699,,,17,1505,1701
Gipuzkoa,ORENDAIN,,905,3,135,100,,100,,100,35,2,,0,1,,0,,,0,62,35
Gipuzkoa,OREXA,,60,3,75,66,,66,1,65,9,0,,0,0,,0,,,0,60,5
Gipuzkoa,ORIO,,61,4,3620,2544,36,2508,29,2479,1076,134,,25,,,226,,,14,734,1346
Gipuzkoa,ORMAIZTEGI,,62,3,977,798,4,794,10,784,179,22,,5,0,,14,,,0,276,467
Bizkaia,OROZKO,,75,3,1706,1301,15,1286,17,1269,405,154,,14,,2,17,,,0,286,796
Bizkaia,ORTUELLA,,83,2,7437,4924,26,4898,83,4815,2513,476,,382,,3,1710,,4,6,638,1596
Bizkaia,OTXANDIO,,72,3,901,721,8,713,4,709,180,47,,14,,3,9,,,0,259,377
Álava,OYÓN-OION,,43,2,2002,1373,5,1368,18,1350,629,426,46,116,,,213,,,,121,428
Gipuzkoa,OÑATI,,59,4,9054,6381,37,6344,39,6305,2673,481,,81,,,358,,,7,2425,2953
Gipuzkoa,PASAIA,,64,2,14757,8337,86,8251,113,8138,6420,1056,,446,,,1626,,,32,2909,2069
Álava,PEÑACERRADA-URIZAHARRA,,44,2,236,203,7,196,2,194,33,37,16,2,,,8,,,,13,118
Bizkaia,PLENTZIA,,77,4,2905,2137,43,2094,24,2070,768,237,,68,,6,119,,17,4,379,1240
Bizkaia,PORTUGALETE,,78,2,46016,28579,288,28291,540,27751,17437,6070,,2461,,69,8324,,69,33,3125,7600
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,439,341,3,338,4,334,98,133,11,9,,,55,,,,13,113
Álava,SAMANIEGO,,52,2,254,199,,199,3,196,55,25,3,8,,,40,,,,27,93
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,603,355,2,353,,353,248,76,19,7,,,6,,,,90,155
Bizkaia,SANTURTZI,,82,2,41676,25197,168,25029,384,24645,16479,4302,,1916,,40,7825,,39,19,3746,6758
Gipuzkoa,SEGURA,,70,3,1040,891,3,888,8,880,149,14,,1,1,,9,,,1,336,518
Bizkaia,SESTAO,,84,2,28772,16381,138,16243,283,15960,12391,2967,,1444,,31,5525,,19,29,2288,3657
Bizkaia,SONDIKA,,904,4,3341,2548,50,2498,27,2471,793,283,,39,,6,230,,14,2,362,1535
Bizkaia,SOPELA,,85,4,7943,5129,43,5086,110,4976,2814,595,,324,,7,539,,7,5,1256,2243
Bizkaia,SOPUERTA,,86,2,2054,1595,33,1562,179,1383,459,148,,49,,1,207,,2,0,218,758
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3766,2676,38,2638,24,2614,1090,367,,38,,,347,,,4,744,1114
Bizkaia,SUKARRIETA,,76,4,296,236,2,234,5,229,60,17,,6,,0,7,,1,0,52,146
Gipuzkoa,TOLOSA,,71,3,15744,9760,373,9387,134,9253,5984,1183,,357,77,,789,,,19,3294,3534
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,461,393,37,356,5,351,68,21,,6,,2,20,,1,0,21,280
Bizkaia,UBIDE,,88,3,145,116,,116,,116,29,10,,0,,0,0,,,0,58,48
Bizkaia,UGAO-MIRABALLES,,65,3,3502,2303,24,2279,17,2262,1199,232,,53,,3,381,,,3,581,1009
Bizkaia,URDULIZ,,89,4,2505,1777,22,1755,19,1736,728,160,,45,,2,166,,0,1,461,901
Bizkaia,URDUÑA/ORDUÑA,,74,3,3310,2445,38,2407,38,2369,865,344,,48,,1,227,,,6,567,1176
Álava,URKABUSTAIZ,,54,2,737,532,9,523,4,519,205,97,13,10,,,31,,,,144,224
Gipuzkoa,URNIETA,,72,1,4362,2825,24,2801,58,2743,1537,280,,148,,,510,12,,2,703,1088
Gipuzkoa,URRETXU,,77,3,5452,3955,13,3942,66,3876,1497,334,,171,15,,728,,,9,965,1654
Gipuzkoa,USURBIL,,73,1,4419,3156,14,3142,38,3104,1263,210,,50,,,329,9,,4,1560,942
Álava,VALDEGOVÍA/GAUBEA,,55,2,886,662,10,652,13,639,224,197,47,15,,,33,,,,70,277
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10764,7107,38,7069,88,6981,3657,651,,502,,12,2709,,13,3,1033,2058
Gipuzkoa,VILLABONA,,75,3,4517,3187,25,3162,61,3101,1330,275,,80,19,,256,,,9,1185,1277
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,289,240,,240,1,239,49,57,5,2,,,8,,,,34,133
Álava,VITORIA-GASTEIZ,,59,1,184110,114009,966,113018,1836,111182,70101,35225,8074,6000,,,21565,,,,13342,26976
Álava,YÉCORA/IEKORA,,60,2,235,186,,186,8,178,49,78,20,1,,,12,,,,5,62
Bizkaia,ZALDIBAR,,95,3,2444,1634,10,1624,27,1597,810,243,,64,,5,317,,,4,375,589
Gipuzkoa,ZALDIBIA,,78,3,1302,934,361,573,1,572,368,27,,7,2,,54,,,0,371,111
Álava,ZALDUONDO,,61,2,120,109,,109,2,107,11,7,3,5,,,5,,,,19,68
Bizkaia,ZALLA,,96,2,6506,4946,110,4836,72,4764,1560,384,,129,,9,726,,12,20,537,2947
Álava,ZAMBRANA,,62,2,333,272,2,270,1,269,61,73,7,3,,,8,,,,14,164
Bizkaia,ZAMUDIO,,905,4,2557,1836,24,1812,26,1786,721,180,,21,,3,240,,1,2,450,889
Bizkaia,ZARATAMO,,97,3,1369,1028,11,1017,16,1001,341,54,,32,,3,106,,,3,263,540
Gipuzkoa,ZARAUTZ,,79,4,16731,11852,125,11727,161,11566,4879,1527,,269,,,1172,,,34,2908,5656
Bizkaia,ZEANURI,,24,3,1049,847,3,844,6,838,202,36,,8,,2,7,,,0,179,606
Bizkaia,ZEBERIO,,25,3,831,683,4,679,3,676,148,7,,2,,0,13,,,1,261,392
Gipuzkoa,ZEGAMA,,25,3,1133,915,6,909,8,901,218,23,,1,1,,8,,,1,365,502
Gipuzkoa,ZERAIN,,26,3,209,175,,175,4,171,34,0,,1,0,,0,,,1,73,96
Gipuzkoa,ZESTOA,,27,4,2685,2044,28,2016,21,1995,641,40,,5,,,56,,,1,948,945
