TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,U.AL.,EB-B,EHB,PH,PSE-EE/PSOE,BERDEAK-LV,ICV-EHE/GORORDO,PLAZANDREOK,EH,EAJ-PNV / EA
Bizkaia,ABADIÑO,,1,3,5710,3879,59,3820,77,3743,1831,519,,239,,25,591,,,18,977,1374
Gipuzkoa,ABALTZISKETA,,1,3,234,124,,124,,124,110,4,,5,1,,0,,,0,59,55
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7560,4786,124,4662,97,4565,2774,348,,477,,7,1470,,7,4,806,1446
Gipuzkoa,ADUNA,,2,3,272,216,2,214,2,212,56,2,,0,0,,5,,,0,124,81
Álava,AGURAIN/SALVATIERRA,,51,2,3320,2221,15,2206,31,2175,1099,258,64,63,,,313,,,,491,986
Gipuzkoa,AIA,,16,4,1387,995,12,983,8,975,392,2,,2,,,3,,,2,307,659
Gipuzkoa,AIZARNAZABAL,,3,4,447,290,2,288,6,282,157,5,,0,,,3,,,0,194,80
Bizkaia,AJANGIZ,,911,4,359,321,1,320,1,319,38,2,,3,,0,1,,0,0,171,142
Gipuzkoa,ALBIZTUR,,4,3,243,114,1,113,,113,129,5,,0,0,,1,,,1,37,69
Gipuzkoa,ALEGIA,,5,3,1378,989,8,981,8,973,389,47,,11,3,,34,,,0,428,450
Álava,ALEGRÍA-DULANTZI,,1,2,1078,792,20,772,18,754,286,114,33,16,,,119,,,,99,373
Gipuzkoa,ALKIZA,,6,3,232,136,1,135,3,132,96,1,,2,2,,1,,,8,52,66
Bizkaia,ALONSOTEGI,,912,2,2491,1984,37,1947,28,1919,507,196,,37,,2,186,,1,2,346,1149
Gipuzkoa,ALTZAGA,,906,3,85,62,,62,,62,23,0,,0,0,,0,,,0,41,21
Gipuzkoa,ALTZO,,7,3,299,229,,229,4,225,70,3,,0,0,,0,,,0,130,92
Gipuzkoa,AMEZKETA,,8,3,846,585,2,583,10,573,261,34,,8,3,,2,,,2,338,186
Bizkaia,AMOREBIETA-ETXANO,,3,3,13779,9853,130,9723,131,9592,3926,900,,702,,26,1294,,,22,2364,4284
Bizkaia,AMOROTO,,4,4,342,232,,232,1,231,110,0,,1,,0,0,,0,0,68,162
Álava,AMURRIO,,2,3,8177,6098,83,6017,81,5936,2079,1146,62,171,,,664,,,,1098,2795
Gipuzkoa,ANDOAIN,,9,3,12266,7768,34,7734,99,7635,4498,981,,274,53,,1929,,,30,2256,2112
Gipuzkoa,ANOETA,,10,3,1380,975,10,965,5,960,405,83,,10,2,,68,,,0,419,378
Gipuzkoa,ANTZUOLA,,11,4,1630,1352,4,1348,19,1329,278,33,,10,,,180,,,1,583,522
Bizkaia,ARAKALDO,,5,3,89,69,2,67,1,66,20,3,,0,,0,0,,,0,28,35
Gipuzkoa,ARAMA,,12,3,153,111,3,108,,108,42,3,,0,0,,2,,,1,62,40
Álava,ARAMAIO,,3,2,1176,910,9,901,9,892,266,15,2,14,,,6,,,,288,567
Bizkaia,ARANTZAZU,,6,3,241,224,,224,6,218,17,9,,3,,0,6,,,0,98,102
Bizkaia,AREATZA,,93,3,894,717,12,705,10,695,177,94,,3,,1,35,,,1,196,365
Gipuzkoa,ARETXABALETA,,13,4,5126,3698,48,3650,33,3617,1428,281,,147,,,432,,,13,1378,1366
Álava,ARMIÑÓN,,6,2,143,104,,104,1,103,39,58,5,3,,,2,,,,4,31
Álava,ARRAIA-MAEZTU,,37,2,660,475,1,474,10,464,185,110,31,10,,,18,,,,60,235
Bizkaia,ARRANKUDIAGA,,9,3,666,583,8,575,4,571,83,16,,2,,0,4,,,0,217,332
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20378,13663,88,13575,138,13437,6715,1535,,813,,,2393,,,49,4538,4109
Bizkaia,ARRATZU,,914,4,330,295,,295,2,293,35,0,,1,,0,0,,0,0,153,139
Álava,ARRATZUA-UBARRUNDIA,,8,2,661,437,43,394,8,386,224,92,18,8,,,50,,,,58,160
Bizkaia,ARRIETA,,10,4,484,336,2,334,10,324,148,17,,0,,0,2,,0,0,74,231
Bizkaia,ARRIGORRIAGA,,11,3,8622,5611,95,5516,87,5429,3011,736,,320,,20,1094,,,8,1154,2097
Bizkaia,ARTEA,,23,3,549,474,6,468,11,457,75,41,,1,,0,3,,,1,141,270
Bizkaia,ARTZENTALES,,8,2,613,505,7,498,2,496,108,9,,9,,0,13,,0,0,117,348
Álava,ARTZINIEGA,,4,3,1102,901,6,895,18,877,201,236,2,19,,,60,,,,160,400
Álava,ASPARRENA,,9,2,1371,972,29,943,16,927,399,106,29,20,,,61,,,,242,469
Gipuzkoa,ASTEASU,,14,3,1003,690,1,689,8,681,313,17,,3,6,,4,,,0,336,315
