TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,ATTKA/PACMA,MSR,UPYD,Cs,I.FEM,SAIn,IU-UPEC,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS-AHAL DUGU,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
Bizkaia,ABADIÑO,,1,3,5875,2551,29,2522,39,2483,3324,269,200,2,0,1,3,3,1,3,22,2,51,10,2,1,115,19,943,587,5,1,2,0,21,5,0,5,4,0,0,0,185,0,3,2,3,0,9,4
Gipuzkoa,ABALTZISKETA,,1,3,242,101,,101,,101,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7936,3489,52,3437,76,3361,4447,588,109,4,1,11,0,1,0,2,25,5,88,13,4,1,249,20,682,1138,3,2,3,10,37,13,4,20,4,0,4,0,281,3,3,0,8,1,21,3
Gipuzkoa,ADUNA,,2,3,350,159,2,157,4,153,191,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,108,31,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3623,1360,11,1349,10,1339,2263,123,107,3,1,6,0,3,0,1,9,0,26,9,1,0,60,17,473,357,0,2,0,4,17,0,0,3,1,0,0,1,104,1,1,1,1,0,5,2
Gipuzkoa,AIA,,16,4,1529,610,2,608,4,604,919,6,5,2,0,0,0,0,0,0,2,0,2,1,0,0,7,0,241,314,0,1,0,0,9,0,0,3,0,0,0,0,8,0,0,0,2,0,1,0
Gipuzkoa,AIZARNAZABAL,,3,4,548,205,,205,2,203,343,2,0,0,0,1,0,0,0,0,3,0,1,0,0,0,2,3,133,45,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0
Bizkaia,AJANGIZ,,911,4,382,237,2,235,1,234,145,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,155,66,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Gipuzkoa,ALBIZTUR,,4,3,254,98,,98,,98,156,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,49,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1283,528,4,524,7,517,755,21,14,0,0,1,0,0,0,0,3,1,3,0,1,0,13,1,262,162,0,0,0,0,3,2,0,1,0,0,0,1,27,0,0,0,1,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,2028,814,24,790,7,783,1214,112,67,1,0,0,0,2,1,0,6,1,31,8,4,1,60,14,186,159,0,0,1,4,34,2,0,4,3,0,0,0,74,0,1,0,2,0,5,0
Gipuzkoa,ALKIZA,,6,3,273,108,,108,1,107,165,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,59,38,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Bizkaia,ALONSOTEGI,,912,2,2305,1317,9,1308,34,1274,988,123,40,1,0,1,3,0,1,0,12,1,21,8,0,0,47,11,304,628,0,2,0,3,4,3,0,6,3,0,0,0,48,0,0,0,2,0,2,0
Gipuzkoa,ALTZAGA,,906,3,117,58,,58,1,57,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,38,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gipuzkoa,ALTZO,,7,3,295,138,1,137,2,135,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Gipuzkoa,AMEZKETA,,8,3,739,265,1,264,2,262,474,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,8,1,176,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14373,6758,69,6689,70,6619,7615,672,207,4,0,16,0,7,1,2,51,1,117,13,11,6,351,45,2090,2434,9,3,4,21,60,9,2,31,23,4,1,1,377,0,10,1,13,3,16,3
Bizkaia,AMOROTO,,4,4,330,178,1,177,3,174,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87,83,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Álava,AMURRIO,,2,3,8172,3789,64,3725,51,3674,4383,391,262,5,1,5,0,3,0,2,45,0,63,14,7,3,203,33,1047,1129,5,8,0,7,41,37,3,13,12,0,1,1,298,0,3,0,4,1,26,1
Gipuzkoa,ANDOAIN,,9,3,11668,4843,38,4805,63,4742,6825,923,304,2,0,6,0,2,4,0,33,0,149,35,4,1,317,75,1484,931,5,9,2,13,27,16,1,16,5,2,0,1,316,1,10,2,10,1,31,4
Gipuzkoa,ANOETA,,10,3,1445,653,5,648,20,628,792,43,30,0,0,1,0,1,1,0,3,0,9,1,1,1,18,7,312,157,0,0,0,4,2,0,0,7,1,0,0,0,23,0,0,0,1,0,4,1
Gipuzkoa,ANTZUOLA,,11,4,1672,860,3,857,8,849,812,75,19,0,0,0,0,0,0,0,0,0,1,0,1,0,27,1,449,226,0,2,0,1,8,0,0,2,0,0,0,0,33,0,4,0,0,0,0,0
Bizkaia,ARAKALDO,,5,3,102,41,,41,,41,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,149,82,1,81,2,79,67,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,23,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
Álava,ARAMAIO,,3,2,1189,585,5,580,10,570,604,18,5,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,331,171,0,0,0,1,9,5,0,2,0,0,0,0,13,0,0,0,0,0,0,0
