TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,ATTKA/PACMA,MSR,UPYD,Cs,I.FEM,SAIn,IU-UPEC,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS-AHAL DUGU,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
Bizkaia,ARANTZAZU,,6,3,305,216,1,215,3,212,89,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,97,103,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
Bizkaia,AREATZA,,93,3,913,560,14,546,10,536,353,24,25,0,0,0,0,1,0,0,3,0,3,0,0,0,15,4,216,222,1,1,1,1,3,0,0,1,0,0,1,0,12,0,2,0,0,0,0,0
Gipuzkoa,ARETXABALETA,,13,4,5403,2416,27,2389,19,2370,2987,260,83,0,0,0,0,2,1,0,8,1,43,2,7,0,157,15,903,682,3,6,0,5,36,3,2,9,0,0,1,2,125,3,2,1,4,0,1,3
Álava,ARMIÑÓN,,6,2,187,78,3,75,1,74,109,5,20,0,0,0,0,0,0,0,1,0,3,4,0,0,7,0,9,7,0,0,0,0,2,2,0,1,0,1,0,0,12,0,0,0,0,0,0,0
Álava,ARRAIA-MAEZTU,,37,2,601,264,3,261,2,259,337,13,36,0,0,0,0,0,0,0,2,2,6,1,0,0,10,0,85,82,1,0,0,0,4,1,0,1,0,1,0,0,10,0,1,0,0,0,3,0
Bizkaia,ARRANKUDIAGA,,9,3,786,450,3,447,2,445,336,14,10,0,0,0,0,0,0,0,0,1,1,5,1,0,6,4,213,172,0,1,0,0,2,0,0,2,0,0,0,0,11,0,2,0,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17595,7377,51,7326,93,7233,10218,1011,391,3,1,4,0,16,0,0,39,2,145,9,2,0,494,57,2663,1864,12,7,4,33,77,6,0,15,9,2,2,0,319,4,5,0,5,0,29,3
Bizkaia,ARRATZU,,914,4,329,214,3,211,1,210,115,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,100,99,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,787,304,5,299,9,290,483,24,44,0,0,1,0,0,0,0,5,0,9,2,0,1,16,5,84,72,0,0,0,0,3,1,1,2,4,0,0,0,10,1,0,0,2,0,2,1
Bizkaia,ARRIETA,,10,4,458,250,4,246,1,245,208,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,90,132,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,1,0,2,0
Bizkaia,ARRIGORRIAGA,,11,3,9668,4351,55,4296,98,4198,5317,549,234,5,3,5,2,2,4,2,51,0,142,20,12,0,250,45,1068,1327,5,5,2,14,66,13,2,29,11,3,2,2,282,1,4,0,11,0,23,2
Bizkaia,ARTEA,,23,3,602,392,2,390,2,388,210,3,15,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,168,183,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,602,323,7,316,9,307,279,5,5,0,0,1,0,0,0,0,5,0,3,1,0,0,6,1,54,204,0,0,0,2,3,1,0,1,0,0,0,0,13,0,0,0,0,0,2,0
Álava,ARTZINIEGA,,4,3,1425,657,26,631,13,618,768,28,82,0,1,1,0,0,0,0,6,0,20,2,0,0,18,3,161,210,1,0,0,2,6,4,0,8,3,0,0,0,55,0,0,2,3,0,2,0
Álava,ASPARRENA,,9,2,1281,538,7,531,5,526,743,36,27,0,0,0,0,2,0,0,1,0,6,3,0,0,32,2,210,144,0,2,0,4,4,0,0,0,1,0,0,2,47,0,2,0,1,0,0,0
Gipuzkoa,ASTEASU,,14,3,1118,400,3,397,4,393,718,7,11,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,236,99,2,1,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,4048,1446,14,1432,22,1410,2602,111,59,1,0,6,2,2,0,0,10,0,32,12,1,0,68,15,594,333,0,2,1,1,21,2,0,8,2,0,0,0,122,0,0,0,1,2,1,1
Gipuzkoa,ATAUN,,15,3,1301,743,4,739,7,732,558,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,481,221,0,0,0,0,0,0,0,4,0,0,0,0,8,0,1,0,0,0,1,0
Bizkaia,ATXONDO,,91,3,1155,525,6,519,7,512,630,27,12,0,0,0,0,0,0,0,2,0,4,0,0,0,15,2,241,179,0,0,0,0,1,2,0,0,0,0,0,0,22,1,1,0,0,0,1,2
Bizkaia,AULESTI,,70,4,543,298,4,294,2,292,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,2273,1035,7,1028,13,1015,1238,58,93,0,0,1,1,0,0,1,7,0,29,1,1,0,49,12,307,370,0,6,0,2,15,6,0,0,0,0,0,0,50,0,0,0,1,0,5,0
Gipuzkoa,AZKOITIA,,17,4,8580,3976,36,3940,57,3883,4604,333,153,6,1,2,0,3,2,4,16,0,60,6,3,3,140,29,1338,1589,4,3,2,7,14,5,0,7,3,2,2,2,116,3,5,0,9,0,8,3
Gipuzkoa,AZPEITIA,,18,4,11109,4926,40,4886,57,4829,6183,163,123,0,0,1,0,2,0,0,18,0,27,4,4,0,63,24,2352,1901,1,1,2,4,8,12,4,5,3,2,0,0,91,0,2,0,2,0,10,0
Álava,AÑANA,,49,2,143,87,,87,2,85,56,7,11,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,26,29,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Bizkaia,BAKIO,,12,4,2060,1230,32,1198,9,1189,830,19,27,0,0,1,1,0,0,0,5,1,8,9,2,1,20,14,411,578,0,0,1,0,17,1,0,5,0,0,1,0,44,1,4,1,0,1,5,11
Gipuzkoa,BALIARRAIN,,904,3,95,29,,29,,29,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6152,3147,72,3075,51,3024,3005,496,173,4,0,3,0,0,0,2,25,0,59,16,6,0,147,18,522,1247,4,0,0,3,27,8,1,19,4,0,0,0,197,1,4,3,1,1,31,2
Bizkaia,BARAKALDO,,13,2,80536,34051,418,33633,630,33003,46485,7619,3802,33,10,67,8,18,15,12,393,7,1496,276,65,9,2874,360,4493,6671,66,14,21,134,428,173,16,130,76,5,9,14,3264,16,32,12,63,24,241,37
Bizkaia,BARRIKA,,14,4,1219,580,5,575,12,563,639,25,31,0,0,0,0,0,0,0,9,1,14,6,1,0,25,5,168,221,0,1,0,0,9,0,0,2,0,0,0,0,38,0,1,0,1,0,5,0
Álava,BARRUNDIA,,13,2,723,326,5,321,2,319,397,12,29,0,0,1,0,0,0,0,4,0,7,1,1,0,14,3,128,79,0,0,1,0,16,0,0,3,1,0,0,0,16,0,1,0,1,0,0,1
Bizkaia,BASAURI,,15,3,34244,15317,183,15134,258,14876,18927,3206,1470,27,7,29,0,8,3,10,169,9,485,88,21,3,1013,161,2264,4176,16,31,9,44,129,37,13,46,32,4,3,11,1185,4,19,4,30,3,91,16
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,243,125,3,122,4,118,118,14,50,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,3,32,0,0,0,0,0,4,0,0,0,0,0,0,4,1,3,0,0,0,0,1
Gipuzkoa,BEASAIN,,19,3,10087,4180,44,4136,73,4063,5907,550,200,2,2,9,0,1,0,2,20,0,95,14,11,2,198,39,1204,1295,1,5,1,8,48,6,3,9,6,4,2,3,272,2,4,2,5,1,35,2
Bizkaia,BEDIA,,92,3,841,446,,446,9,437,395,19,15,0,0,0,0,0,0,0,1,0,6,0,0,0,12,1,120,246,0,0,0,0,2,6,0,0,0,0,0,0,7,0,0,0,0,0,2,0
Gipuzkoa,BEIZAMA,,20,4,131,65,,65,2,63,66,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,26,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,213,69,,69,1,68,144,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,42,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,BERANGO,,16,4,5244,2384,29,2355,43,2312,2860,210,200,5,0,1,1,1,0,0,26,0,76,42,3,0,148,26,571,756,2,2,2,8,39,10,5,5,2,0,0,0,157,1,1,0,4,0,5,3
Álava,BERANTEVILLA,,14,2,380,197,3,194,7,187,183,19,53,0,1,0,0,0,0,0,3,0,8,4,0,0,11,1,22,45,0,0,1,0,2,1,0,1,2,0,0,0,11,0,0,0,1,0,1,0
Gipuzkoa,BERASTEGI,,22,3,825,311,8,303,2,301,514,5,8,0,0,1,0,0,0,0,1,0,1,1,0,0,7,0,169,97,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
Gipuzkoa,BERGARA,,74,4,11605,5180,32,5148,68,5080,6425,465,171,2,1,2,0,4,1,1,22,4,62,12,2,0,229,27,2002,1679,2,9,4,10,69,2,2,9,9,1,0,0,243,4,9,0,7,3,9,2
Bizkaia,BERMEO,,17,4,13514,6372,47,6325,71,6254,7142,222,111,1,0,7,1,2,0,1,29,0,44,3,4,1,162,35,2051,3262,2,4,3,11,23,3,0,9,10,0,4,0,218,3,9,0,11,1,5,2
Álava,BERNEDO,,16,2,441,124,4,120,3,117,317,10,17,0,1,0,0,0,0,1,0,0,4,1,0,1,11,0,26,35,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
Bizkaia,BERRIATUA,,18,4,886,421,2,419,3,416,465,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,233,155,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0
Bizkaia,BERRIZ,,19,3,3674,1638,14,1624,12,1612,2036,158,98,1,1,2,0,3,1,0,4,1,48,4,1,0,51,18,493,536,2,1,1,5,4,0,1,6,1,0,1,0,150,1,6,0,4,0,8,1
Gipuzkoa,BERROBI,,23,3,437,153,1,152,,152,284,2,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8,2,104,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,394,158,,158,2,156,236,2,5,0,2,0,0,0,0,0,0,0,2,1,0,1,4,3,95,39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,BILBAO,,20,1,274861,123720,1044,122676,2267,120409,151141,16925,17263,89,34,171,16,30,51,38,1265,55,4837,1372,221,20,7087,1534,17629,36863,106,109,113,373,2352,959,50,547,265,17,29,130,8440,54,125,33,259,38,769,141
Bizkaia,BUSTURIA,,21,4,1388,662,1,661,8,653,726,45,16,0,0,0,0,0,0,0,4,0,2,1,0,0,8,2,245,298,0,0,3,2,5,0,0,2,0,0,0,0,18,1,0,0,0,0,1,0
Álava,CAMPEZO/KANPEZU,,17,2,866,339,5,334,7,327,527,26,52,0,0,0,0,0,0,0,0,0,6,0,1,0,9,1,103,95,0,0,0,0,7,5,0,0,1,0,0,0,15,0,1,0,0,2,3,0
Gipuzkoa,DEBA,,29,4,4278,2111,13,2098,30,2068,2167,112,83,1,0,4,0,2,0,1,9,1,17,8,1,0,107,9,849,739,2,3,0,6,12,2,0,2,3,0,0,3,80,4,1,0,2,1,4,0
Bizkaia,DERIO,,901,4,4681,2229,21,2208,50,2158,2452,413,140,2,0,1,1,2,0,0,31,0,49,8,2,0,105,17,374,784,1,2,9,6,25,0,0,0,11,0,0,4,145,1,0,1,13,0,9,2
Bizkaia,DIMA,,26,3,1126,701,6,695,1,694,425,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,8,0,400,255,0,2,0,1,3,0,0,0,0,0,0,0,11,0,0,0,1,0,2,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147443,64693,404,64289,1343,62946,82750,9327,8652,46,22,88,5,13,7,15,537,30,2947,836,100,12,3477,780,13710,13300,72,103,102,167,1329,604,35,437,167,11,9,47,5068,57,83,14,193,21,466,57
Bizkaia,DURANGO,,27,3,21940,10077,69,10008,139,9869,11863,1008,826,8,4,9,2,0,2,2,57,2,226,44,11,1,495,66,2779,3322,8,7,9,6,152,25,2,31,21,0,6,2,642,6,6,1,16,6,55,4
Bizkaia,EA,,28,4,736,465,1,464,5,459,271,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,231,208,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Gipuzkoa,EIBAR,,30,4,21742,9192,61,9131,146,8985,12550,1955,767,6,2,18,0,5,0,4,45,8,210,38,9,1,478,68,2285,2212,7,6,1,17,129,18,5,27,27,1,5,3,555,5,8,0,19,3,32,6
Bizkaia,ELANTXOBE,,31,4,348,221,2,219,1,218,127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,475,172,2,170,1,169,303,12,28,0,0,0,0,0,0,0,2,0,12,2,0,0,12,1,31,44,0,0,0,1,10,2,0,1,2,0,0,0,9,0,0,0,0,0,0,0
Álava,ELCIEGO,,22,2,826,411,15,396,5,391,415,90,108,0,1,1,0,0,0,0,5,0,16,6,0,0,25,5,29,53,0,0,0,5,8,8,0,0,0,0,0,0,27,0,1,0,1,0,2,0
Gipuzkoa,ELDUAIN,,31,3,180,82,,82,,82,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,871,470,6,464,14,450,401,14,8,0,0,0,0,0,0,0,0,0,4,0,0,0,21,2,225,161,0,0,0,0,2,1,0,2,0,0,0,0,10,0,0,0,0,0,0,0
Gipuzkoa,ELGOIBAR,,32,4,8852,3900,40,3860,51,3809,4952,454,255,2,1,5,0,0,1,0,10,2,69,17,3,2,150,28,1198,1364,1,4,0,7,16,10,1,11,8,0,1,2,149,1,6,2,7,1,17,4
Bizkaia,ELORRIO,,32,3,5780,2924,27,2897,44,2853,2856,210,170,0,0,1,0,1,0,0,8,0,38,6,1,0,96,21,1334,797,0,7,3,2,25,2,0,4,7,0,0,1,108,2,4,0,0,0,4,1
Álava,ELVILLAR/BILAR,,23,2,278,138,5,133,7,126,140,14,38,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,26,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
Bizkaia,ERANDIO,,902,4,19125,8220,91,8129,158,7971,10905,1316,537,6,2,11,2,10,4,9,90,5,218,34,7,1,493,92,1364,2815,15,4,5,23,115,15,4,34,10,2,7,7,659,4,4,0,10,1,33,3
Bizkaia,EREÑO,,33,4,213,135,2,133,3,130,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,50,72,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Bizkaia,ERMUA,,34,3,13008,5890,53,5837,110,5727,7118,1243,907,9,3,23,3,4,7,5,42,4,269,53,21,0,574,75,774,789,9,4,1,20,61,14,4,32,27,6,1,3,656,4,10,0,13,1,40,16
Gipuzkoa,ERRENTERIA,,67,2,31028,12463,90,12373,191,12182,18565,2725,834,15,2,20,2,5,4,4,142,5,474,66,20,3,903,93,3697,1680,14,16,7,32,86,18,3,60,28,3,6,24,1057,1,11,3,27,1,88,3
Gipuzkoa,ERREZIL,,66,4,456,224,1,223,2,221,232,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,68,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,593,274,2,272,2,270,319,19,47,2,0,1,0,0,0,0,2,1,11,5,1,0,8,7,46,86,0,0,0,2,6,2,0,3,1,0,0,1,17,0,0,0,0,0,2,0
Bizkaia,ERRIGOITI,,79,4,443,247,4,243,5,238,196,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,110,103,0,0,0,0,5,1,0,5,0,0,0,1,2,0,0,0,0,0,1,0
Gipuzkoa,ESKORIATZA,,34,4,3194,1263,11,1252,19,1233,1931,179,46,1,0,0,0,2,0,0,8,0,35,2,3,0,84,5,416,350,0,4,0,2,9,0,0,1,4,0,0,0,73,0,3,1,1,0,4,0
Bizkaia,ETXEBARRI,,29,3,8247,3402,38,3364,74,3290,4845,607,248,6,0,5,0,3,1,0,45,1,166,35,8,7,264,39,452,781,6,4,4,15,73,9,2,34,9,0,0,1,407,5,3,3,13,0,30,4
Bizkaia,ETXEBARRIA,,30,4,618,382,1,381,5,376,236,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,189,171,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Gipuzkoa,EZKIO-ITSASO,,35,3,491,223,,223,1,222,268,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,142,57,0,0,0,0,1,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0
Bizkaia,FORUA,,906,4,763,430,2,428,4,424,333,10,9,0,0,0,0,0,0,0,4,0,1,0,2,0,6,3,184,178,0,1,0,0,1,0,0,1,0,1,0,0,18,0,3,0,0,0,2,0
Bizkaia,FRUIZ,,35,4,430,234,1,233,2,231,196,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,91,112,0,1,0,0,2,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,391,201,,201,2,199,190,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,2,114,72,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,99,44,,44,3,41,55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,24187,10373,131,10242,189,10053,13814,1228,640,9,1,15,2,6,5,4,133,4,294,94,21,3,649,82,2373,3412,10,5,6,25,93,36,4,39,31,3,2,2,732,4,10,1,20,2,46,7
Bizkaia,GALDAMES,,37,2,690,365,25,340,6,334,325,20,2,0,0,0,0,0,0,1,2,0,0,0,0,0,17,1,112,166,0,0,0,0,3,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,1097,588,6,582,10,572,509,10,12,0,0,1,0,0,0,0,2,0,5,0,0,0,14,0,187,313,1,0,0,0,1,1,0,0,2,0,0,0,21,0,1,0,0,0,1,0
Bizkaia,GARAI,,39,3,246,156,1,155,4,151,90,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,64,71,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
Bizkaia,GATIKA,,40,4,1278,603,8,595,9,586,675,20,13,0,0,3,0,0,0,0,12,0,2,1,0,1,4,0,194,297,1,0,0,0,3,3,0,1,0,0,1,0,27,0,0,0,0,0,3,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,698,412,6,406,4,402,286,9,1,0,0,0,0,0,0,0,2,0,7,0,0,0,5,1,128,230,0,0,0,0,4,0,0,1,1,0,0,0,10,0,1,0,1,0,1,0
Gipuzkoa,GAZTELU,,907,3,131,71,16,55,1,54,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12816,6412,42,6370,88,6282,6404,387,237,0,2,4,2,0,0,1,13,4,60,12,13,0,175,28,2428,2586,2,2,0,13,30,9,3,11,5,3,1,2,216,2,9,1,6,0,13,2
Gipuzkoa,GETARIA,,39,4,2059,1184,3,1181,23,1158,875,19,20,1,0,0,0,0,0,0,5,0,4,0,3,0,21,1,525,510,0,4,0,3,3,0,0,1,1,0,0,1,29,0,3,0,3,0,1,0
Bizkaia,GETXO,,44,4,63647,31100,210,30890,605,30285,32547,2578,6077,29,7,24,1,9,6,5,215,11,1358,574,30,5,1213,283,4762,9424,21,40,41,63,551,560,7,142,55,4,21,4,1868,9,32,8,66,15,144,23
Bizkaia,GIZABURUAGA,,47,4,159,99,,99,1,98,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
