TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,LKI-LCR,PCE-EPK,AP-PDP-UL,A.I.LL.,LC
Bizkaia,ABADIÑO,,1,12,4457,3050,28,3010,12,3010,1407,1396,674,517,201,,,60,162,,
Gipuzkoa,ABALTZISKETA,,1,14,238,62,,62,,62,176,39,0,14,9,,,0,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,16,7129,4880,42,4811,11,4811,2249,984,1338,609,1130,,,628,101,,21
Gipuzkoa,ADUNA,,2,14,250,230,2,223,5,223,20,139,1,77,3,,,3,,,
Álava,AGURAIN/SALVATIERRA,,51,12,2609,1843,61,1642,140,1642,766,891,425,,326,,,,,,
Gipuzkoa,AIA,,16,13,1513,675,3,672,,672,838,628,3,28,12,,,1,,,
Gipuzkoa,AIZARNAZABAL,,3,13,387,161,2,144,15,144,226,85,0,45,14,,,0,,,
Gipuzkoa,ALBIZTUR,,4,14,258,128,,124,4,124,130,100,3,15,6,,,0,,,
Gipuzkoa,ALEGIA,,5,14,1267,940,10,895,35,895,327,493,44,329,27,,,2,,,
Álava,ALEGRÍA-DULANTZI,,1,12,701,522,18,490,14,490,179,263,138,,89,,,,,,
Gipuzkoa,ALKIZA,,6,14,204,177,2,158,17,158,27,25,1,44,88,,,0,,,
Gipuzkoa,ALTZO,,7,14,273,116,2,114,,114,157,37,2,67,7,,,1,,,
Gipuzkoa,AMEZKETA,,8,14,880,197,,196,1,196,683,92,1,78,22,,,3,,,
Bizkaia,AMOREBIETA-ETXANO,,3,13,11115,8242,70,8133,39,8133,2873,4245,1464,1332,437,,,499,156,,
Bizkaia,AMOROTO,,4,11,325,246,,246,,246,79,167,1,71,5,,,,2,,
Álava,AMURRIO,,2,17,6572,4315,48,4238,29,4238,2257,1850,907,726,193,,,,553,9,
Gipuzkoa,ANDOAIN,,9,14,11151,7152,32,7057,63,7057,3999,2656,1925,1124,1193,,,159,,,
Gipuzkoa,ANOETA,,10,14,1131,828,23,793,12,793,303,339,132,246,71,,,5,,,
Gipuzkoa,ANTZUOLA,,11,11,1627,1338,14,1323,1,1323,289,655,249,316,36,,67,0,,,
Bizkaia,ARAKALDO,,5,13,103,55,,55,,55,48,19,0,25,3,,,1,7,,
Gipuzkoa,ARAMA,,12,15,135,96,2,93,1,93,39,46,0,40,7,,,0,,,
Álava,ARAMAIO,,3,11,1118,723,18,656,49,656,395,629,27,,,,,,,,
Bizkaia,ARANTZAZU,,6,13,226,210,2,207,1,207,16,128,1,65,13,,,0,0,,
Bizkaia,AREATZA,,93,13,929,762,8,747,7,747,167,435,13,81,111,,,1,106,,
Gipuzkoa,ARETXABALETA,,13,11,4229,3047,44,2991,12,2991,1182,1712,427,636,177,,0,39,,,
Álava,ARMIÑÓN,,6,15,133,85,2,82,1,82,48,30,16,,2,,,,34,,
Álava,ARRAIA-MAEZTU,,37,14,673,441,8,433,,433,232,207,153,,12,,,,61,,
Bizkaia,ARRANKUDIAGA,,9,13,676,550,,546,4,546,126,256,9,259,7,,,1,14,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,11,19051,12241,211,11939,91,11939,6810,5242,3070,2156,877,,386,208,,,
Álava,ARRATZUA-UBARRUNDIA,,8,12,507,315,15,293,7,293,192,170,108,,15,,,,,,
Bizkaia,ARRIETA,,10,14,399,267,1,266,,266,132,204,1,35,1,,,0,25,,0
Bizkaia,ARRIGORRIAGA,,11,13,6621,4409,58,4340,11,4340,2212,1770,1069,868,339,,,194,100,,
Bizkaia,ARTEA,,23,13,530,405,7,396,2,396,125,271,0,95,3,,,1,26,,
Bizkaia,ARTZENTALES,,8,16,596,405,3,403,,403,191,248,100,16,2,,,2,35,,0
Álava,ARTZINIEGA,,4,17,856,701,6,689,6,689,155,301,100,89,4,,,,194,1,
Álava,ASPARRENA,,9,12,1355,761,31,716,14,716,594,415,87,,214,,,,,,
Gipuzkoa,ASTEASU,,14,14,931,577,7,564,6,564,354,317,28,184,31,,,4,,,
Gipuzkoa,ATAUN,,15,15,1544,1026,4,1014,8,1014,518,467,1,425,119,,,2,,,
Bizkaia,ATXONDO,,91,12,1024,770,5,762,3,762,254,549,27,160,10,,,2,14,,
Bizkaia,AULESTI,,70,11,591,394,7,386,1,386,197,231,0,142,7,,,,6,,
Álava,AYALA/AIARA,,10,17,1764,1339,11,1325,3,1325,425,687,68,144,30,,,,389,7,
Gipuzkoa,AZKOITIA,,17,13,8266,5006,189,4740,77,4740,3260,2971,712,702,335,,,20,,,
Gipuzkoa,AZPEITIA,,18,13,9493,5682,90,5495,97,5495,3811,3677,462,678,664,,,14,,,
Álava,AÑANA,,49,15,172,133,,129,4,129,39,77,5,,3,,,,44,,
Bizkaia,BAKIO,,12,14,891,778,17,749,12,749,113,593,10,95,38,,,0,13,,0
Bizkaia,BALMASEDA,,90,16,5977,4662,34,4618,17,4618,1315,2113,1544,539,100,,,24,282,,16
Bizkaia,BARAKALDO,,13,16,88624,57893,696,56962,270,56962,30731,17892,21982,6684,3284,,,2242,4678,,200
Bizkaia,BARRIKA,,14,14,597,381,2,379,,379,216,228,12,55,70,,,0,13,,1
Álava,BARRUNDIA,,13,12,510,285,10,264,11,274,225,227,22,,25,,,,,,
Bizkaia,BASAURI,,15,13,36822,23313,299,22932,82,22931,13509,7578,8576,2610,1613,,,934,1620,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,13,278,228,4,224,,224,50,120,7,1,40,,,,56,,
Gipuzkoa,BEASAIN,,19,15,8861,5436,50,5351,35,5351,3425,2387,1126,974,696,,,168,,,
Bizkaia,BEDIA,,92,13,887,673,11,656,6,656,214,467,31,129,5,,,6,18,,
