TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,LKI-LCR,PCE-EPK,AP-PDP-UL,A.I.LL.,LC
Gipuzkoa,BEIZAMA,,20,13,144,67,2,65,,65,77,41,0,24,0,,,0,,,
Gipuzkoa,BELAUNTZA,,21,14,237,99,6,93,,93,138,44,7,32,10,,,0,,,
Bizkaia,BERANGO,,16,14,2762,1967,32,1921,14,1918,795,1072,194,387,180,,,15,63,,7
Álava,BERANTEVILLA,,14,15,331,273,2,269,2,269,58,178,12,,2,,,,77,,
Gipuzkoa,BERASTEGI,,22,14,731,465,5,435,25,435,266,251,4,154,21,,,5,,,
Gipuzkoa,BERGARA,,74,11,12078,8072,86,7951,35,7951,4006,3946,890,2192,726,,128,69,,,
Bizkaia,BERMEO,,17,11,13676,9007,213,8765,29,8765,4669,5580,381,1959,688,,,,157,,
Álava,BERNEDO,,16,14,497,306,4,299,3,299,191,164,34,,22,,,,79,,
Bizkaia,BERRIZ,,19,12,3000,2183,30,2137,16,2137,817,1327,348,277,119,,,6,60,,
Gipuzkoa,BERROBI,,23,14,411,182,2,175,5,175,229,120,17,20,11,,,7,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,13,448,288,,288,,288,160,184,0,103,1,,,0,,,
Bizkaia,BILBAO,,20,15,297185,186482,2053,183661,768,183661,110703,68140,52675,18520,13471,,,2954,27901,,
Bizkaia,BUSTURIA,,21,11,1423,963,21,941,1,941,460,599,32,277,15,,,,18,,
Álava,CAMPEZO/KANPEZU,,17,14,1028,765,14,746,5,746,263,265,63,,97,,,,321,,
Gipuzkoa,DEBA,,29,12,3678,2581,19,2552,10,2552,1097,1278,243,481,546,,,4,,,
Bizkaia,DERIO,,901,14,3455,2520,56,2454,10,2454,935,968,646,335,442,,,6,54,,3
Bizkaia,DIMA,,26,13,934,781,5,772,4,772,153,505,2,224,2,,,1,38,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,16,132098,77326,538,76469,319,76469,54772,26996,17533,13048,7880,885,,824,9303,,
Bizkaia,DURANGO,,27,12,19044,13017,161,12791,65,12791,6027,5771,2502,1894,956,,,192,1476,,
Bizkaia,EA,,28,11,684,540,6,534,,534,144,414,3,102,7,,,,8,,
Gipuzkoa,EIBAR,,30,12,28020,16764,289,16227,248,16227,11256,6278,5834,2450,1239,,,426,,,
Bizkaia,ELANTXOBE,,31,11,458,391,2,389,,389,67,276,3,103,2,,,,5,,
Álava,ELBURGO/BURGELU,,21,12,171,118,10,107,1,107,53,94,7,,6,,,,,,
Álava,ELCIEGO,,22,13,753,625,13,606,6,606,128,229,261,10,19,,,,87,,
Gipuzkoa,ELDUAIN,,31,14,206,109,,106,3,106,97,73,0,32,1,,,0,,,
Gipuzkoa,ELGETA,,33,11,873,661,8,644,9,644,212,356,20,159,99,,5,5,,,
Gipuzkoa,ELGOIBAR,,32,12,10282,6586,110,6402,74,6402,3696,3213,1454,1015,676,,,44,,,
Bizkaia,ELORRIO,,32,12,5797,4092,39,4027,26,4027,1705,2136,638,589,481,,,22,161,,
Álava,ELVILLAR/BILAR,,23,13,315,244,4,240,,240,71,142,8,8,4,,,,78,,
Bizkaia,ERANDIO,,902,14,17816,11129,208,10883,38,10883,6687,4562,3602,1467,674,,,205,308,,65
Bizkaia,EREÑO,,33,11,232,178,2,175,1,175,54,112,0,51,8,,,,4,,
Bizkaia,ERMUA,,34,12,12670,7960,146,7781,33,7781,4710,1241,3988,638,403,,,487,1024,,
Gipuzkoa,ERRENTERIA,,67,17,31966,19388,238,19087,63,19087,12578,4001,7435,4342,2308,,,405,596,,
Gipuzkoa,ERREZIL,,66,13,602,371,1,360,10,360,231,186,0,159,15,,,0,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,15,461,329,8,317,4,317,132,77,33,,13,,,,194,,
Bizkaia,ERRIGOITI,,79,11,452,353,,351,2,351,99,258,0,88,1,,,,4,,
Gipuzkoa,ESKORIATZA,,34,11,2938,2035,31,1999,5,1999,903,1072,350,341,218,,4,14,,,
Bizkaia,ETXEBARRI,,29,13,4277,2884,56,2792,36,2792,1393,813,1147,335,124,,,232,141,,
Bizkaia,ETXEBARRIA,,30,11,578,202,6,196,,196,376,121,11,56,4,,,,4,,
Gipuzkoa,EZKIO-ITSASO,,35,15,485,392,3,387,2,387,93,200,10,168,9,,,0,,,
Bizkaia,FRUIZ,,35,14,248,165,1,164,,164,83,129,2,26,5,,,0,2,,0
Gipuzkoa,GABIRIA,,38,15,384,312,3,298,11,298,72,219,0,22,57,,,0,,,
Gipuzkoa,GAINTZA,,37,15,103,63,,61,2,61,40,43,3,13,1,,,1,,,
Bizkaia,GALDAKAO,,36,13,18875,12730,136,12565,29,12560,6145,5787,3424,1836,629,,,276,608,,
Bizkaia,GALDAMES,,37,16,710,560,3,552,5,552,150,388,45,37,60,,,9,12,,1
Bizkaia,GAMIZ-FIKA,,38,14,724,479,1,478,,478,245,376,0,96,3,,,0,2,,1
Bizkaia,GARAI,,39,12,181,151,2,148,1,148,30,106,0,32,8,,,0,2,,
Bizkaia,GATIKA,,40,14,703,513,5,508,,508,190,383,3,87,14,,,0,21,,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,11,633,486,5,477,4,477,147,343,4,92,18,,,,20,,
Bizkaia,GERNIKA-LUMO,,46,11,13466,9357,157,9141,59,9141,4109,5192,750,1719,1020,,,,460,,
Gipuzkoa,GETARIA,,39,13,1754,1377,13,1361,3,1361,377,857,5,333,165,,,1,,,
Bizkaia,GETXO,,44,14,48255,32426,225,32060,141,32060,15829,14962,4956,3201,2404,,,210,6304,,23
Bizkaia,GIZABURUAGA,,47,11,132,76,,76,,76,56,38,1,28,3,,,,6,,
Bizkaia,GORDEXOLA,,42,16,1335,1095,9,1083,5,1083,240,768,23,54,31,,,5,201,,1
Bizkaia,GORLIZ,,43,14,2077,1328,27,1282,19,1282,749,798,72,146,193,,,5,68,,0
Bizkaia,GÜEÑES,,45,16,4937,3740,57,3665,21,3665,1197,2459,286,752,49,,,10,102,,7
Álava,HARANA/VALLE DE ARANA,,56,14,396,233,4,226,3,226,163,161,25,,13,,,,27,,
Gipuzkoa,HERNANI,,40,16,21100,12521,87,12390,44,12390,8579,3285,3678,3913,878,60,,256,320,,
Gipuzkoa,HERNIALDE,,41,14,209,97,1,96,,96,112,38,3,23,31,,,1,,,
Gipuzkoa,HONDARRIBIA,,36,17,8210,5265,57,5190,18,5190,2945,2722,747,923,620,,,16,162,,
Gipuzkoa,IBARRA,,42,14,3027,1737,20,1713,4,1713,1290,632,383,417,251,,,30,,,
Bizkaia,IBARRANGELU,,48,11,471,381,8,371,2,371,90,327,0,28,9,,,,7,,
Gipuzkoa,IDIAZABAL,,43,15,1521,1202,15,1175,12,1175,319,809,1,198,165,,,2,,,
Bizkaia,IGORRE,,94,13,2398,1781,21,1750,10,1750,617,1222,51,417,22,,,3,35,,
Gipuzkoa,IKAZTEGIETA,,44,14,551,392,,390,2,390,159,181,0,195,14,,,0,,,
Gipuzkoa,IRUN,,45,17,38961,24508,333,24008,167,24008,14453,7591,9269,2365,2283,,,373,2127,,
Gipuzkoa,IRURA,,46,14,488,,,,,,488,0,0,0,0,,,0,,,
Álava,IRURAIZ-GAUNA,,27,12,380,138,3,135,,135,242,119,10,,6,,,,,,
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,15,1198,843,23,803,17,803,355,339,207,,14,,,,243,,
Bizkaia,ISPASTER,,49,11,531,395,1,394,,394,136,341,0,31,9,,,,13,,
Gipuzkoa,ITSASONDO,,47,15,655,427,12,410,5,410,228,158,2,153,97,,,0,,,
Bizkaia,IZURTZA,,50,12,234,211,2,209,,209,23,136,0,70,0,,,0,3,,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,16,2882,1962,33,1802,136,1802,920,1112,149,174,162,,,17,178,,10
Álava,KRIPAN,,19,13,158,114,2,112,,112,44,84,1,7,4,,,,16,,
Álava,KUARTANGO,,20,15,307,111,,110,1,110,196,43,19,,17,,,,31,,
Álava,LABASTIDA/BASTIDA,,28,13,750,565,16,536,13,536,185,164,139,19,20,,,,194,,
Álava,LAGRÁN,,30,14,208,132,14,118,,118,76,88,13,,6,,,,11,,
Álava,LAGUARDIA,,31,13,1223,1045,20,1018,7,1018,178,235,75,64,22,,,,622,,
Álava,LANCIEGO/LANTZIEGO,,32,13,507,394,1,392,1,392,113,123,138,16,4,,,,111,,
Bizkaia,LANESTOSA,,51,16,254,200,1,198,2,198,54,92,70,6,2,,,1,23,,4
Álava,LANTARÓN,,902,15,685,474,6,465,3,465,211,282,45,,18,,,,120,,
Álava,LAPUEBLA DE LABARCA,,33,13,613,529,3,526,,526,84,318,68,4,6,,,,130,,
Bizkaia,LARRABETZU,,52,14,1248,1058,3,1053,2,1053,190,605,9,408,17,,,0,14,,0
Gipuzkoa,LARRAUL,,48,14,146,55,,55,,55,91,22,1,28,4,,,0,,,
Álava,LAUDIO/LLODIO,,36,17,14539,10011,126,9797,59,9598,4528,3150,2052,1972,595,,,,1105,724,
Bizkaia,LAUKIZ,,53,14,723,524,2,520,2,520,199,433,14,41,4,,,0,28,,0
Gipuzkoa,LAZKAO,,49,15,3847,2812,30,2773,9,2773,1035,1394,465,660,201,,,53,,,
Gipuzkoa,LEABURU,,50,14,493,223,7,209,7,209,270,33,1,164,11,,,0,,,
Gipuzkoa,LEGAZPI,,51,15,7750,5090,68,4991,31,4991,2660,2772,691,903,499,,,126,,,
Gipuzkoa,LEGORRETA,,52,15,1229,975,2,963,10,963,254,345,56,188,368,,,6,,,
Álava,LEGUTIO,,58,11,1007,684,19,621,44,621,323,369,252,,,,,,,,
Gipuzkoa,LEINTZ-GATZAGA,,68,11,161,109,4,104,1,104,52,57,9,34,2,,2,0,,,
Bizkaia,LEIOA,,54,14,14920,9936,116,9736,84,9736,4984,4126,2775,1157,768,,,211,674,,25
Bizkaia,LEKEITIO,,57,11,5428,4159,56,4091,12,4091,1269,2550,34,1081,313,,,,113,,
Bizkaia,LEMOA,,55,13,2279,1791,16,1769,6,1769,488,1294,45,298,31,,,3,98,,
Bizkaia,LEMOIZ,,56,14,722,440,10,427,3,427,282,277,1,70,71,,,0,7,,1
Álava,LEZA,,34,13,156,128,,128,,128,28,74,21,1,3,,,,29,,
Bizkaia,LEZAMA,,81,14,1358,1001,13,985,3,985,357,731,29,198,15,,,1,10,,1
Gipuzkoa,LEZO,,53,17,3760,1704,9,1694,1,1694,2056,523,413,509,214,,,8,27,,
Gipuzkoa,LIZARTZA,,54,14,582,351,8,343,,343,231,149,2,185,7,,,0,,,
Bizkaia,LOIU,,903,14,1382,1149,21,1128,,1128,233,787,13,78,92,,,2,156,,0
Bizkaia,MALLABIA,,58,12,827,590,3,561,26,561,237,273,83,157,13,,,3,32,,
Bizkaia,MARKINA-XEMEIN,,60,11,3911,2266,39,2208,19,2208,1645,1494,33,525,54,,,,102,,
Bizkaia,MARURI-JATABE,,61,14,387,247,3,244,,244,140,183,4,27,12,,,0,18,,0
Bizkaia,MAÑARIA,,59,12,432,334,5,329,,329,98,214,1,87,1,,,0,26,,
Bizkaia,MENDATA,,62,11,339,186,2,184,,184,153,162,0,19,1,,,,2,,
Bizkaia,MENDEXA,,63,11,276,131,,130,1,130,145,63,1,48,12,,,,6,,
Bizkaia,MEÑAKA,,64,14,372,250,,250,,250,122,177,0,39,26,,,0,8,,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,13,286,243,1,239,3,239,43,125,30,3,7,,,,74,,
Bizkaia,MORGA,,66,11,320,237,1,236,,236,83,196,0,23,5,,,,12,,
Bizkaia,MUNDAKA,,68,11,1237,1047,14,1030,3,1030,190,761,3,226,13,,,,27,,
Bizkaia,MUNGIA,,69,14,7936,5122,36,5071,15,5071,2814,3442,476,585,354,,,14,200,,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,11,426,327,5,320,2,320,99,208,0,98,9,,,,5,,
Bizkaia,MUSKIZ,,71,16,4643,3158,33,3108,11,3108,1485,1342,758,330,301,,,254,117,,6
Gipuzkoa,MUTILOA,,57,15,190,47,4,43,,43,143,35,0,5,3,,,0,,,
Gipuzkoa,MUTRIKU,,56,12,3838,2884,72,2790,22,2790,954,1741,367,651,27,,,4,,,
Bizkaia,MUXIKA,,67,11,1299,978,5,973,,973,321,650,0,269,37,,,,17,,
Álava,NAVARIDAS,,41,13,184,145,1,144,,144,39,71,6,2,2,,,,63,,
Gipuzkoa,OIARTZUN,,63,17,5487,3838,14,3809,15,3809,1649,1928,256,1331,236,,,17,41,,
Álava,OKONDO,,42,17,555,456,6,450,,450,99,248,10,80,3,,,,109,0,
Gipuzkoa,OLABERRIA,,58,15,1006,759,21,716,22,716,247,331,177,136,65,,,7,,,
Bizkaia,ONDARROA,,73,11,8895,5391,45,5324,22,5324,3504,2898,72,1645,410,,,,299,,
Gipuzkoa,ORDIZIA,,76,15,7205,4673,45,4540,88,4540,2532,1838,641,990,870,,,201,,,
Gipuzkoa,OREXA,,60,14,79,,,,,,79,0,0,0,0,,,0,,,
Gipuzkoa,ORIO,,61,13,3051,2153,33,2107,13,2107,898,998,307,427,372,,,3,,,
Gipuzkoa,ORMAIZTEGI,,62,15,934,748,1,741,6,741,186,438,4,137,159,,,3,,,
Bizkaia,OROZKO,,75,13,1639,1022,24,990,8,990,617,694,10,204,22,,,0,60,,
Bizkaia,ORTUELLA,,83,16,6601,4748,58,4647,33,4647,1853,853,2251,496,282,,,574,167,,24
Bizkaia,OTXANDIO,,72,12,965,714,8,705,1,705,251,323,6,193,158,,,3,22,,
Álava,OYÓN-OION,,43,13,1772,1334,19,1310,5,1310,438,486,209,124,137,,,,354,,
Gipuzkoa,OÑATI,,59,11,8259,5585,81,5444,60,5444,2674,3305,365,1173,545,,53,3,,,
Gipuzkoa,PASAIA,,64,17,14903,8527,129,8377,21,8377,6376,2542,2376,2195,983,,,128,153,,
Álava,PEÑACERRADA-URIZAHARRA,,44,14,187,126,6,118,2,118,61,63,9,,2,,,,44,,
Bizkaia,PLENTZIA,,77,14,2194,1537,10,1521,6,1521,657,1001,48,187,184,,,3,97,,1
Bizkaia,PORTUGALETE,,78,16,41117,26945,396,26458,78,26458,14172,5506,12788,2560,1890,,,1306,2328,,80
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,15,354,309,7,302,,302,45,124,104,,14,,,,60,,
Álava,SAMANIEGO,,52,13,208,183,11,171,1,171,25,80,48,20,6,,,,17,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,12,667,249,3,244,2,244,418,204,17,,23,,,,,,
Bizkaia,SANTURTZI,,82,16,37911,23542,284,23172,65,23172,14369,6204,9086,3357,1758,,,929,1745,,93
Gipuzkoa,SEGURA,,70,15,1059,813,8,802,3,802,246,539,5,196,62,,,0,,,
Bizkaia,SESTAO,,84,16,29118,18912,125,18719,57,18719,10206,3231,9913,1890,1103,,,1036,1476,,70
Bizkaia,SONDIKA,,904,14,2986,2130,86,2027,17,2027,856,1406,151,298,139,,,8,22,,3
Bizkaia,SOPELA,,85,14,4296,2922,25,2892,5,2892,1374,1397,500,706,210,,,13,61,,5
Bizkaia,SOPUERTA,,86,16,1755,1502,6,1335,170,1335,253,638,340,67,180,,,28,81,,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,12,4237,3009,63,2925,21,2925,1228,1384,625,605,306,,,5,,,
Bizkaia,SUKARRIETA,,76,11,209,138,1,135,2,135,71,113,4,7,7,,,,4,,
Gipuzkoa,TOLOSA,,71,14,14522,8274,273,7810,191,7810,6248,3721,1240,1565,1114,,,170,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,16,449,383,53,330,1,330,66,222,10,20,2,,,0,76,,0
Bizkaia,UBIDE,,88,13,130,122,,120,2,105,8,42,0,61,1,,,0,1,,
Bizkaia,UGAO-MIRABALLES,,65,13,3087,2194,19,2173,2,2173,893,983,512,505,52,,,13,108,,
Bizkaia,URDULIZ,,89,14,1788,1290,1,1288,1,1288,498,662,194,290,92,,,0,50,,0
Bizkaia,URDUÑA/ORDUÑA,,74,13,3399,1932,61,1864,7,1864,1467,1155,115,331,45,,,8,210,,
Álava,URKABUSTAIZ,,54,11,714,383,15,356,12,356,331,306,50,,,,,,,,
Gipuzkoa,URNIETA,,72,16,8151,5311,53,5238,20,5238,2840,1661,2221,771,241,49,,152,143,,
Gipuzkoa,URRETXU,,77,15,4752,3453,36,3402,15,3402,1299,1657,708,452,326,,,259,,,
Gipuzkoa,USURBIL,,73,16,3994,2669,15,2635,19,2635,1325,931,400,1020,138,18,,23,105,,
Álava,VALDEGOVÍA/GAUBEA,,55,15,843,568,18,538,12,538,275,193,140,,24,,,,181,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,16,9804,6826,44,6766,12,6766,2978,1958,2497,889,701,,,470,211,,40
Gipuzkoa,VILLABONA,,75,14,3667,2451,27,2415,9,2415,1216,886,360,511,652,,,6,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,13,279,247,3,244,,244,32,164,3,16,0,,,,61,,
Álava,VITORIA-GASTEIZ,,59,16,135666,89508,1127,88000,381,88000,46158,30033,28511,7562,5457,2163,,1070,13204,,
Álava,YÉCORA/IEKORA,,60,13,213,168,2,166,,166,45,74,15,4,7,,,,66,,
Bizkaia,ZALDIBAR,,95,12,2330,1614,20,1575,19,1575,716,753,442,184,70,,,6,120,,
Gipuzkoa,ZALDIBIA,,78,15,1356,713,28,670,15,670,643,106,34,411,114,,,5,,,
Álava,ZALDUONDO,,61,12,113,102,,97,5,97,11,65,10,,22,,,,,,
Bizkaia,ZALLA,,96,16,5166,3746,45,3679,26,3679,1420,2284,603,484,83,,,26,188,,11
Álava,ZAMBRANA,,62,15,285,239,7,228,4,228,46,95,2,,23,,,,108,,
Bizkaia,ZAMUDIO,,905,14,2414,1704,48,1646,10,1646,710,1091,95,427,22,,,5,3,,3
Bizkaia,ZARATAMO,,97,13,1277,1022,15,994,13,994,255,501,177,219,49,,,12,36,,
Gipuzkoa,ZARAUTZ,,79,13,10924,7588,184,7266,138,7266,3336,4020,982,1040,1101,,,123,,,
Bizkaia,ZEANURI,,24,13,1102,875,9,864,2,864,227,620,5,207,7,,,0,25,,
Bizkaia,ZEBERIO,,25,13,883,548,3,545,,545,335,441,5,67,16,,,2,14,,
Gipuzkoa,ZEGAMA,,25,15,1201,616,3,607,6,607,585,423,17,147,20,,,0,,,
Gipuzkoa,ZERAIN,,26,15,211,101,1,100,,100,110,53,1,34,12,,,0,,,
Gipuzkoa,ZESTOA,,27,13,2922,1877,14,1858,5,1858,1045,1061,161,461,175,,,0,,,
Álava,ZIGOITIA,,18,11,569,340,18,312,10,312,229,224,88,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,14,1964,1307,31,1270,6,1270,657,579,261,365,63,,,2,,,
Álava,ZUIA,,63,11,1044,690,25,629,36,629,354,537,92,,,,,,,,
Gipuzkoa,ZUMAIA,,81,13,5614,3725,60,3633,32,3633,1889,1824,765,693,281,,,70,,,
Gipuzkoa,ZUMARRAGA,,80,15,8606,5927,109,5787,31,5787,2679,2479,1597,587,471,,,653,,,
