TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,CDS,EKA,PH,FE-JONS,POSI,IRE,PSE-EE/PSOE,FEA,DN,PKD,FE,MSR,ARALAR-ZUTIK
Bizkaia,ABADIÑO,,1,3,5928,4392,523,3869,34,3835,1536,1485,704,156,349,5,1,12,0,14,3,897,,8,14,1,2,184
Gipuzkoa,ABALTZISKETA,,1,3,230,146,32,114,1,113,84,57,3,28,6,0,0,0,0,,0,0,0,0,,0,0,19
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7800,5839,390,5449,80,5369,1961,1970,450,194,682,5,1,16,0,16,7,1959,,3,4,1,3,58
Gipuzkoa,ADUNA,,2,3,288,219,69,150,1,149,69,54,2,54,9,0,0,0,0,,0,4,0,0,,0,0,26
Álava,AGURAIN/SALVATIERRA,,51,2,3320,2433,270,2163,28,2135,887,808,307,258,150,2,0,11,0,,6,526,,2,,0,2,63
Gipuzkoa,AIA,,16,4,1354,887,138,749,6,743,467,550,15,109,21,0,0,1,0,,0,17,0,0,,0,0,30
Gipuzkoa,AIZARNAZABAL,,3,4,469,317,137,180,2,178,152,99,0,48,5,0,0,2,0,,0,9,0,0,,0,0,15
Bizkaia,AJANGIZ,,911,4,357,307,110,197,2,195,50,133,4,35,4,0,0,0,0,0,0,6,,0,0,0,0,13
Gipuzkoa,ALBIZTUR,,4,3,249,160,17,143,1,142,89,92,3,22,3,0,0,0,0,,0,7,0,1,,0,0,14
Gipuzkoa,ALEGIA,,5,3,1367,968,251,717,4,713,399,285,44,176,48,0,1,0,1,,2,76,1,1,,0,0,78
Álava,ALEGRÍA-DULANTZI,,1,2,1491,1185,51,1134,24,1110,306,371,214,91,110,2,0,9,0,,0,278,,0,,0,1,34
Gipuzkoa,ALKIZA,,6,3,230,154,14,140,3,137,76,88,0,25,9,0,0,0,0,,0,0,0,0,,0,0,15
Bizkaia,ALONSOTEGI,,912,2,2311,1929,175,1754,12,1742,382,929,177,155,135,0,0,4,1,8,0,310,,0,5,1,0,17
Gipuzkoa,ALTZAGA,,906,3,117,92,32,60,1,59,25,36,0,9,1,0,0,0,0,,0,4,0,0,,0,0,9
Gipuzkoa,ALTZO,,7,3,271,203,67,136,1,135,68,75,2,18,11,0,0,0,0,,0,0,0,0,,0,0,29
Gipuzkoa,AMEZKETA,,8,3,829,536,154,382,7,375,293,202,14,63,24,1,1,1,0,,5,15,0,0,,0,0,49
Bizkaia,AMOREBIETA-ETXANO,,3,3,13932,10993,1258,9735,90,9645,2939,4578,977,669,982,10,4,20,1,9,1,2046,,2,27,0,3,316
Bizkaia,AMOROTO,,4,4,303,252,36,216,2,214,51,174,0,23,3,0,0,0,0,0,0,0,,0,0,0,0,14
Álava,AMURRIO,,2,3,8008,6444,419,6025,56,5969,1564,2412,932,841,360,3,2,20,2,,12,1230,,2,,2,4,147
Gipuzkoa,ANDOAIN,,9,3,11809,8466,1007,7459,85,7374,3343,1885,1067,697,640,9,8,34,0,,10,2642,3,5,,3,0,371
