TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,UPYD,EQUO,IU-UPEC,AMAIUR,EB-AZ
Bizkaia,ABADIÑO,,1,3,5842,4040,20,4020,23,3997,1802,952,574,7,788,25,9,47,35,117,1431,12
Gipuzkoa,ABALTZISKETA,,1,3,249,167,,167,4,163,82,55,3,0,5,0,1,0,0,0,99,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7971,5377,87,5290,65,5225,2594,1804,493,2,1448,19,13,61,50,299,1018,18
Gipuzkoa,ADUNA,,2,3,347,237,,237,8,229,110,42,4,0,5,0,0,1,1,6,170,
Álava,AGURAIN/SALVATIERRA,,51,2,3662,2242,32,2210,26,2184,1420,550,355,4,340,13,9,22,30,67,794,
Gipuzkoa,AIA,,16,4,1526,937,5,932,4,928,589,386,20,0,20,1,0,4,11,13,473,
Gipuzkoa,AIZARNAZABAL,,3,4,547,361,2,359,3,356,186,77,2,0,13,1,1,1,1,0,260,
Bizkaia,AJANGIZ,,911,4,373,300,4,296,1,295,73,87,2,0,2,1,1,0,3,2,197,0
Gipuzkoa,ALBIZTUR,,4,3,254,153,,153,5,148,101,63,1,0,9,0,0,0,2,1,72,
Gipuzkoa,ALEGIA,,5,3,1341,890,5,885,4,881,451,198,52,1,58,3,1,3,2,11,552,
Álava,ALEGRÍA-DULANTZI,,1,2,2010,1362,26,1336,26,1310,648,293,262,5,280,11,4,28,45,61,321,
Gipuzkoa,ALKIZA,,6,3,277,177,2,175,6,169,100,51,1,0,1,1,0,0,3,0,112,
Bizkaia,ALONSOTEGI,,912,2,2341,1794,18,1776,22,1754,547,800,150,0,286,7,0,18,3,44,439,7
Gipuzkoa,ALTZAGA,,906,3,117,89,,89,,89,28,26,1,0,1,1,0,1,2,2,55,
Gipuzkoa,ALTZO,,7,3,300,203,1,202,2,200,97,42,1,0,3,2,1,0,4,1,146,
Gipuzkoa,AMEZKETA,,8,3,757,499,,499,8,491,258,107,18,0,4,0,0,0,2,9,351,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14142,10268,101,10167,84,10083,3874,3761,856,5,1655,51,16,91,122,385,3108,33
Bizkaia,AMOROTO,,4,4,329,240,1,239,2,237,89,116,1,0,2,1,0,0,2,0,115,0
Álava,AMURRIO,,2,3,8057,5854,97,5757,48,5709,2203,1866,784,4,1042,31,23,46,64,160,1689,
Gipuzkoa,ANDOAIN,,9,3,11794,7805,80,7725,103,7622,3989,1352,1009,18,2051,44,14,104,80,405,2545,
Gipuzkoa,ANOETA,,10,3,1392,949,8,941,8,933,443,181,76,1,126,0,5,3,6,15,520,
Gipuzkoa,ANTZUOLA,,11,4,1700,1265,7,1258,11,1247,435,292,43,2,174,3,1,6,14,14,698,
Bizkaia,ARAKALDO,,5,3,93,65,1,64,,64,28,27,6,1,4,0,0,0,0,2,24,0
Gipuzkoa,ARAMA,,12,3,149,97,,97,,97,52,31,3,0,4,0,0,0,0,0,59,
Álava,ARAMAIO,,3,2,1199,863,15,848,2,846,336,195,17,1,33,2,0,1,12,7,578,
Bizkaia,ARANTZAZU,,6,3,285,246,3,243,3,240,39,107,5,0,11,2,0,0,0,0,115,0
Bizkaia,AREATZA,,93,3,893,707,12,695,1,694,186,297,55,1,46,1,0,5,2,9,276,2
Gipuzkoa,ARETXABALETA,,13,4,5331,3662,25,3637,33,3604,1669,852,271,2,539,9,15,27,30,127,1732,
Álava,ARMIÑÓN,,6,2,181,133,6,127,2,125,48,8,63,0,23,2,0,4,2,5,18,
Álava,ARRAIA-MAEZTU,,37,2,625,403,5,398,6,392,222,126,105,1,36,3,1,2,6,9,103,
Bizkaia,ARRANKUDIAGA,,9,3,767,585,5,580,4,576,182,258,40,0,16,1,0,1,1,6,250,3
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17857,11885,94,11791,91,11700,5972,2415,1117,8,2607,45,16,70,87,530,4805,
Bizkaia,ARRATZU,,914,4,324,278,2,276,,276,46,143,2,0,3,0,0,0,0,1,127,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,781,566,20,546,7,539,215,166,141,0,78,3,0,10,11,11,119,
Bizkaia,ARRIETA,,10,4,427,303,3,300,2,298,124,162,3,0,9,1,0,0,2,6,114,1
Bizkaia,ARRIGORRIAGA,,11,3,9742,6697,69,6628,82,6546,3045,2211,880,6,1365,32,16,113,103,313,1469,38
Bizkaia,ARTEA,,23,3,601,499,7,492,4,488,102,209,29,0,18,1,0,0,5,4,220,2
Bizkaia,ARTZENTALES,,8,2,600,432,4,428,3,425,168,271,25,0,22,2,0,2,2,9,92,0
Álava,ARTZINIEGA,,4,3,1427,1021,25,996,15,981,406,334,200,0,118,6,3,23,10,26,261,
Álava,ASPARRENA,,9,2,1296,876,13,863,9,854,420,231,81,1,128,5,1,5,7,26,369,
Gipuzkoa,ASTEASU,,14,3,1101,660,6,654,8,646,441,139,25,0,37,0,0,5,3,11,426,
Gipuzkoa,ASTIGARRAGA,,903,1,3625,2282,15,2267,52,2215,1343,486,207,2,287,7,5,28,23,81,1089,
Gipuzkoa,ATAUN,,15,3,1307,980,1,979,13,966,327,273,1,0,25,0,0,0,2,7,658,
Bizkaia,ATXONDO,,91,3,1170,860,9,851,3,848,310,269,62,0,82,2,4,1,5,23,399,1
Bizkaia,AULESTI,,70,4,559,413,6,407,1,406,146,133,2,0,0,0,0,0,0,1,270,0
Álava,AYALA/AIARA,,10,3,2276,1649,31,1618,27,1591,627,566,248,1,167,9,5,7,18,44,526,
Gipuzkoa,AZKOITIA,,17,4,8670,5923,33,5890,27,5863,2747,1764,432,5,804,15,11,40,18,114,2660,
Gipuzkoa,AZPEITIA,,18,4,11027,7428,41,7387,53,7334,3599,2372,372,3,459,9,7,16,14,70,4012,
Álava,AÑANA,,49,2,147,115,,115,1,114,32,43,20,0,16,0,0,0,4,1,30,
Bizkaia,BAKIO,,12,4,2036,1630,14,1616,9,1607,406,886,60,0,73,4,4,4,21,23,531,1
Gipuzkoa,BALIARRAIN,,904,3,98,67,1,66,,66,31,7,0,0,1,1,0,0,0,0,57,
Bizkaia,BALMASEDA,,90,2,6153,4682,111,4571,40,4531,1471,1990,507,3,1067,21,12,51,23,134,718,5
Bizkaia,BARAKALDO,,13,2,81336,54452,649,53803,771,53032,26884,11914,11032,67,17707,355,157,1222,503,3120,6681,274
Bizkaia,BARRIKA,,14,4,1211,838,4,834,4,830,373,354,80,0,89,7,0,15,21,26,234,4
Álava,BARRUNDIA,,13,2,711,477,3,474,1,473,234,146,68,1,37,4,3,5,19,7,183,
Bizkaia,BASAURI,,15,3,34937,24209,243,23966,296,23670,10728,6911,4201,26,7256,130,49,375,225,1042,3359,96
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,245,189,4,185,7,178,56,55,89,0,21,1,0,2,0,2,8,
Gipuzkoa,BEASAIN,,19,3,10105,6640,85,6555,73,6482,3465,1925,681,6,1335,17,14,51,89,185,2179,
Bizkaia,BEDIA,,92,3,792,603,3,600,5,595,189,325,50,0,51,0,0,2,1,14,151,1
Gipuzkoa,BEIZAMA,,20,4,143,104,,104,1,103,39,37,3,0,0,2,0,0,2,0,59,
