TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EB-AZ,EH BILDU,VOX,RECORTES CERO-GV,SOLIDARIA,MAS PAIS-CAND. ECOLOGISTA,PODEMOS-AHAL DUGU/EZKER ANITZA-IU
Bizkaia,ABADIÑO,,1,3,5899,4094,20,4074,19,4055,1805,1145,259,4,721,26,2,58,,1077,85,7,1,49,621
Gipuzkoa,ABALTZISKETA,,1,3,253,163,,163,1,162,90,84,0,0,2,0,0,0,0,68,0,0,,,8
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7791,5510,39,5471,42,5429,2281,1806,166,7,1186,41,4,28,,816,96,1,0,61,1217
Gipuzkoa,ADUNA,,2,3,359,234,3,231,7,224,125,66,2,0,4,0,1,0,0,129,0,1,,,21
Álava,AGURAIN/SALVATIERRA,,51,2,3569,2259,15,2244,3,2241,1310,658,114,1,339,9,1,18,,742,39,2,,,318
Gipuzkoa,AIA,,16,4,1529,887,4,883,3,880,642,406,7,0,32,8,0,6,1,316,7,3,,,94
Gipuzkoa,AIZARNAZABAL,,3,4,549,360,5,355,1,354,189,103,0,0,16,2,0,0,3,197,0,0,,,33
Bizkaia,AJANGIZ,,911,4,381,303,1,302,1,301,78,106,4,0,0,0,0,0,,171,0,1,0,0,19
Gipuzkoa,ALBIZTUR,,4,3,230,133,,133,2,131,97,61,0,0,10,0,0,0,0,49,0,0,,,11
Gipuzkoa,ALEGIA,,5,3,1274,822,,822,1,821,452,263,20,0,63,2,0,5,0,376,9,1,,,82
Álava,ALEGRÍA-DULANTZI,,1,2,2020,1385,13,1372,5,1367,635,381,114,11,284,6,2,22,,240,54,4,,,249
Gipuzkoa,ALKIZA,,6,3,261,154,1,153,1,152,107,52,1,0,4,4,0,1,1,74,0,0,,,15
Bizkaia,ALONSOTEGI,,912,2,2321,1684,14,1670,8,1662,637,647,57,1,263,11,0,15,,368,34,1,1,17,247
Gipuzkoa,ALTZAGA,,906,3,128,87,,87,,87,41,26,0,0,2,2,0,0,0,45,0,0,,,12
Gipuzkoa,ALTZO,,7,3,337,223,2,221,2,219,114,52,2,0,2,1,0,0,0,135,0,0,,,27
Gipuzkoa,AMEZKETA,,8,3,713,424,,424,5,419,289,133,10,0,20,0,0,1,1,230,1,0,,,23
Bizkaia,AMOREBIETA-ETXANO,,3,3,14518,10375,65,10310,49,10261,4143,4102,348,6,1415,55,8,63,,2657,117,12,4,107,1367
Bizkaia,AMOROTO,,4,4,326,245,,245,1,244,81,118,0,0,4,1,0,0,,110,0,0,0,0,11
Álava,AMURRIO,,2,3,8014,5838,52,5786,24,5762,2176,1994,338,7,930,22,12,27,,1400,154,12,,,866
Gipuzkoa,ANDOAIN,,9,3,11369,7402,47,7355,32,7323,3967,1718,379,4,1804,45,6,91,15,1917,110,10,,,1224
Gipuzkoa,ANOETA,,10,3,1524,1057,4,1053,5,1048,467,275,40,0,111,3,0,6,2,469,8,0,,,134
Gipuzkoa,ANTZUOLA,,11,4,1624,1234,9,1225,3,1222,390,367,18,1,130,2,0,3,2,566,5,1,,,127
Bizkaia,ARAKALDO,,5,3,116,80,1,79,,79,36,28,0,0,7,0,0,1,,27,2,0,0,0,14
Gipuzkoa,ARAMA,,12,3,149,104,,104,1,103,45,45,1,0,3,0,0,1,0,46,0,0,,,7
Álava,ARAMAIO,,3,2,1166,843,6,837,6,831,323,256,3,0,26,1,0,0,,461,5,1,,,78
Bizkaia,ARANTZAZU,,6,3,307,242,2,240,3,237,65,80,1,1,13,1,0,0,,113,0,0,1,1,26
Bizkaia,AREATZA,,93,3,891,669,3,666,5,661,222,270,24,1,48,3,0,2,,251,6,1,0,4,51
Gipuzkoa,ARETXABALETA,,13,4,5433,3906,13,3893,24,3869,1527,1390,106,3,479,8,1,28,6,1317,32,4,,,495
Álava,ARMIÑÓN,,6,2,174,124,2,122,1,121,50,16,21,0,20,4,1,2,,11,18,0,,,28
