TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EHB,PH,PSE-EE/PSOE,PLN-LNA,EH
Gipuzkoa,ARETXABALETA,,13,4,5086,3929,31,3898,31,3867,1157,908,348,9,574,154,,11,510,9,1344
Álava,ARMIÑÓN,,6,2,138,108,,108,1,107,30,26,55,10,2,3,0,1,7,0,3
Álava,ARRAIA-MAEZTU,,37,2,647,438,6,432,4,428,209,162,100,38,30,6,2,1,41,2,46
Bizkaia,ARRANKUDIAGA,,9,3,659,548,,548,3,545,111,314,18,0,21,3,,0,4,1,184
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20417,14645,56,14589,125,14464,5772,3082,1819,30,1742,955,,27,2500,47,4262
Bizkaia,ARRATZU,,914,4,329,299,,299,3,296,30,121,1,0,26,0,,0,0,0,148
Álava,ARRATZUA-UBARRUNDIA,,8,2,646,441,,441,4,437,205,143,117,28,29,20,3,0,38,0,59
Bizkaia,ARRIETA,,10,4,423,321,5,316,2,314,102,208,17,0,24,4,,0,1,2,58
Bizkaia,ARRIGORRIAGA,,11,3,8581,6124,37,6087,77,6010,2457,2187,828,5,294,435,,17,1137,26,1081
Bizkaia,ARTEA,,23,3,534,466,3,463,3,460,68,203,42,1,80,4,,0,1,0,129
Bizkaia,ARTZENTALES,,8,2,578,443,2,441,,441,135,278,35,0,27,10,,0,16,0,75
Álava,ARTZINIEGA,,4,3,1116,902,7,895,13,882,214,354,210,11,56,35,6,2,73,3,132
Álava,ASPARRENA,,9,2,1367,972,9,963,16,947,395,329,116,57,98,31,8,3,73,4,228
Gipuzkoa,ASTEASU,,14,3,986,633,4,629,6,623,353,86,31,0,201,11,,0,16,2,276
Gipuzkoa,ASTIGARRAGA,,903,1,2644,1834,9,1825,30,1795,810,333,147,0,364,57,,4,109,7,774
Gipuzkoa,ATAUN,,15,3,1397,1130,3,1127,4,1123,267,322,10,0,196,10,,0,10,0,575
Bizkaia,ATXONDO,,91,3,1176,892,11,881,11,870,284,404,78,4,35,16,,7,68,7,251
Bizkaia,AULESTI,,70,4,559,416,,416,2,414,143,175,6,0,13,1,,0,4,0,215
Álava,AYALA/AIARA,,10,3,1748,1372,13,1359,12,1347,376,635,278,20,144,28,1,0,37,3,201
Gipuzkoa,AZKOITIA,,17,4,8595,6466,25,6441,47,6394,2129,2716,687,5,622,132,,7,602,11,1612
Gipuzkoa,AZPEITIA,,18,4,11162,8536,31,8505,49,8456,2626,2978,587,5,1625,117,,13,395,14,2722
Álava,AÑANA,,49,2,173,154,3,151,,151,19,66,34,2,15,2,0,0,9,1,22
Bizkaia,BAKIO,,12,4,1349,1126,13,1113,16,1097,223,656,57,2,116,27,,2,13,0,224
Gipuzkoa,BALIARRAIN,,904,3,73,58,,58,,58,15,9,1,0,6,0,,0,0,0,42
Bizkaia,BALMASEDA,,90,2,6233,4716,55,4661,80,4581,1517,1877,634,5,341,154,,14,1014,18,524
Bizkaia,BARAKALDO,,13,2,85528,56121,304,55817,871,54946,29407,12900,12448,95,1969,4804,,193,16201,296,6040
Bizkaia,BARRIKA,,14,4,937,672,4,668,4,664,265,336,67,0,50,26,,1,36,3,145
Álava,BARRUNDIA,,13,2,532,334,,334,8,326,198,118,67,21,33,16,3,0,12,0,56
Bizkaia,BASAURI,,15,3,41882,28016,137,27879,366,27513,13866,8504,5378,44,1016,1884,,127,7100,139,3321
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,288,204,1,203,1,202,84,76,83,12,5,1,0,0,22,0,3
Gipuzkoa,BEASAIN,,19,3,10230,7452,43,7409,95,7314,2778,2118,942,6,974,329,,30,1220,42,1653
Bizkaia,BEDIA,,92,3,859,681,2,679,6,673,178,444,50,0,37,14,,0,29,3,96
Gipuzkoa,BEIZAMA,,20,4,146,114,,114,,114,32,51,1,0,9,0,,0,0,0,53
Gipuzkoa,BELAUNTZA,,21,3,276,205,,205,1,204,71,33,6,0,23,1,,1,6,4,130
Bizkaia,BERANGO,,16,4,3986,2876,30,2846,34,2812,1110,963,417,4,249,188,,4,368,11,608
Álava,BERANTEVILLA,,14,2,383,305,1,304,3,301,78,130,86,31,2,11,2,0,15,1,23
Gipuzkoa,BERASTEGI,,22,3,793,542,2,540,,540,251,161,10,0,163,8,,1,7,1,189
Gipuzkoa,BERGARA,,74,4,12912,9432,20,9412,78,9334,3480,2787,768,6,1248,305,,10,862,14,3334
Bizkaia,BERMEO,,17,4,14716,10570,37,10533,41,10492,4146,4159,481,8,2567,194,,10,619,20,2434
Álava,BERNEDO,,16,2,514,330,1,329,2,327,184,119,130,13,11,5,0,1,16,3,29
Bizkaia,BERRIATUA,,18,4,820,587,3,584,,584,233,331,14,0,37,4,,0,6,0,192
Bizkaia,BERRIZ,,19,3,3445,2556,13,2543,29,2514,889,919,319,0,170,126,,3,400,13,564
Gipuzkoa,BERROBI,,23,3,450,272,1,271,1,270,178,61,18,0,53,4,,0,10,0,124
Gipuzkoa,BIDANIA-GOIATZ,,24,4,346,279,,279,3,276,67,79,6,0,107,0,,0,0,0,84
Bizkaia,BILBAO,,20,1,311019,215986,953,215033,3359,211674,95033,65284,56790,301,10350,13781,,583,38364,869,25352
Bizkaia,BUSTURIA,,21,4,1478,1134,3,1131,10,1121,344,515,59,1,144,16,,0,80,4,302
Álava,CAMPEZO/KANPEZU,,17,2,954,675,2,673,4,669,279,253,188,30,47,21,0,2,57,2,69
Gipuzkoa,DEBA,,29,4,4199,3123,12,3111,38,3073,1076,936,228,3,682,112,,7,230,6,869
Bizkaia,DERIO,,901,4,4068,2988,10,2978,55,2923,1080,1103,473,3,194,132,,12,649,26,331
Bizkaia,DIMA,,26,3,924,793,5,788,1,787,131,308,33,0,47,6,,0,2,1,390
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,154483,107954,307,107647,1953,105694,46529,18113,27229,131,15248,5745,,318,18054,360,20496
Bizkaia,DURANGO,,27,3,20425,15087,61,15026,198,14828,5338,5636,2777,30,780,679,,31,1939,37,2919
Bizkaia,EA,,28,4,731,596,,596,4,592,135,311,16,0,65,2,,0,6,0,192
Gipuzkoa,EIBAR,,30,4,25774,18257,52,18205,232,17973,7517,4416,3298,28,1966,760,,28,4044,54,3379
Bizkaia,ELANTXOBE,,31,4,416,342,,342,,342,74,199,4,0,35,3,,0,7,0,94
Álava,ELBURGO/BURGELU,,21,2,209,135,1,134,3,131,74,56,29,20,4,7,0,0,2,1,12
Álava,ELCIEGO,,22,2,800,600,7,593,3,590,200,65,197,32,64,19,1,2,186,1,23
Gipuzkoa,ELDUAIN,,31,3,202,138,,138,,138,64,34,4,0,23,1,,0,0,0,76
Gipuzkoa,ELGETA,,33,4,834,655,4,651,7,644,179,265,46,0,69,20,,0,15,0,229
Gipuzkoa,ELGOIBAR,,32,4,9328,7087,28,7059,67,6992,2241,2509,1021,6,792,206,,13,907,14,1524
Bizkaia,ELORRIO,,32,3,6125,4750,30,4720,49,4671,1375,1768,574,5,268,187,,7,649,9,1204
Álava,ELVILLAR/BILAR,,23,2,310,217,,217,2,215,93,101,37,45,3,6,2,0,8,0,13
Bizkaia,ERANDIO,,902,4,19809,12882,64,12818,200,12618,6927,4522,1874,27,674,871,,33,2700,63,1854
Bizkaia,EREÑO,,33,4,235,177,,177,,177,58,93,5,0,13,4,,2,5,1,54
Bizkaia,ERMUA,,34,3,14515,10562,55,10507,130,10377,3953,1348,3378,44,323,726,,52,3501,95,910
Gipuzkoa,ERRENTERIA,,67,2,34349,22674,100,22574,320,22254,11675,2803,3587,32,2126,1517,,67,6123,126,5873
Gipuzkoa,ERREZIL,,66,4,521,350,4,346,,346,171,111,1,0,39,1,,0,0,1,193
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,472,360,,360,6,354,112,114,114,34,14,13,0,0,29,0,36
Bizkaia,ERRIGOITI,,79,4,428,378,,378,1,377,50,216,10,0,52,1,,0,0,0,98
Gipuzkoa,ESKORIATZA,,34,4,3361,2401,5,2396,10,2386,960,453,235,2,474,127,,6,374,4,711
Bizkaia,ETXEBARRI,,29,3,5494,3535,24,3511,34,3477,1959,911,764,5,254,241,,20,976,18,288
Bizkaia,ETXEBARRIA,,30,4,654,502,1,501,4,497,152,231,7,0,28,0,,1,4,0,226
Gipuzkoa,EZKIO-ITSASO,,35,3,465,367,,367,1,366,98,78,7,0,96,1,,0,1,0,183
Bizkaia,FORUA,,906,4,829,646,3,643,3,640,183,305,36,0,54,10,,0,22,1,212
Bizkaia,FRUIZ,,35,4,293,223,,223,,223,70,138,14,0,17,4,,0,3,1,46
Gipuzkoa,GABIRIA,,38,3,363,303,2,301,,301,60,64,6,0,137,1,,0,2,0,91
Gipuzkoa,GAINTZA,,37,3,112,81,,81,1,80,31,26,1,0,16,0,,0,0,0,37
Bizkaia,GALDAKAO,,36,3,24318,17148,92,17056,221,16835,7170,5838,2534,18,1300,1263,,37,2727,62,3056
Bizkaia,GALDAMES,,37,2,706,550,,550,3,547,156,315,26,0,53,23,,0,35,1,94
Bizkaia,GAMIZ-FIKA,,38,4,879,713,1,712,5,707,166,429,38,0,52,9,,0,10,0,169
Bizkaia,GARAI,,39,3,208,178,,178,2,176,30,106,8,0,15,0,,0,0,0,47
Bizkaia,GATIKA,,40,4,1003,771,3,768,9,759,232,356,37,0,138,19,,0,27,3,179
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,668,569,7,562,2,560,99,321,28,1,64,6,,0,12,0,128
Gipuzkoa,GAZTELU,,907,3,129,94,,94,2,92,35,39,1,0,5,2,,0,0,0,45
Bizkaia,GERNIKA-LUMO,,46,4,13163,10041,50,9991,76,9915,3122,4160,982,12,1207,253,,26,766,20,2489
Gipuzkoa,GETARIA,,39,4,2016,1663,6,1657,18,1639,353,699,47,0,299,20,,3,24,3,544
Bizkaia,GETXO,,44,4,69307,52550,168,52382,892,51490,16757,17198,16243,49,3514,2425,,131,5703,168,6059
Bizkaia,GIZABURUAGA,,47,4,114,88,,88,,88,26,46,1,0,6,0,,0,0,0,35
Bizkaia,GORDEXOLA,,42,2,1288,1061,23,1038,10,1028,227,587,205,2,87,27,,2,49,3,66
Bizkaia,GORLIZ,,43,4,3187,2405,17,2388,30,2358,782,1181,268,2,207,118,,5,134,8,435
Bizkaia,GÜEÑES,,45,2,4998,4042,43,3999,34,3965,956,1962,335,6,465,109,,6,475,9,598
Álava,HARANA/VALLE DE ARANA,,56,2,329,217,1,216,,216,112,104,58,17,4,0,1,0,6,0,26
Gipuzkoa,HERNANI,,40,1,15894,10968,50,10918,134,10784,4926,1380,1081,13,1448,518,,23,1657,31,4633
Gipuzkoa,HERNIALDE,,41,3,244,142,3,139,1,138,102,37,9,0,22,9,,0,2,0,59
Gipuzkoa,HONDARRIBIA,,36,2,12234,8669,28,8641,159,8482,3565,2996,1193,13,1336,300,,22,743,37,1842
Gipuzkoa,IBARRA,,42,3,3645,2601,7,2594,34,2560,1044,553,274,2,394,116,,2,306,4,909
Bizkaia,IBARRANGELU,,48,4,472,389,4,385,5,380,83,254,8,0,31,4,,0,4,0,79
Gipuzkoa,IDIAZABAL,,43,3,1665,1261,1,1260,7,1253,404,329,92,1,433,15,,2,31,5,345
Bizkaia,IGORRE,,94,3,3180,2542,12,2530,16,2514,638,1217,126,2,297,28,,4,128,6,706
Gipuzkoa,IKAZTEGIETA,,44,3,325,248,,248,5,243,77,88,16,0,26,5,,0,2,0,106
Gipuzkoa,IRUN,,45,2,47123,31503,187,31316,627,30689,15620,6369,7733,75,2354,1859,,110,8149,170,3870
Gipuzkoa,IRURA,,46,3,614,440,3,437,4,433,174,149,17,0,59,10,,0,16,0,182
Álava,IRURAIZ-GAUNA,,27,2,366,254,,254,1,253,112,92,63,23,9,11,2,0,7,0,46
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1439,1016,10,1006,18,988,423,163,321,90,15,44,13,1,261,5,75
Bizkaia,ISPASTER,,49,4,552,449,4,445,,445,103,285,21,0,24,2,,0,3,0,110
Gipuzkoa,ITSASONDO,,47,3,537,405,1,404,,404,132,101,21,0,50,8,,0,19,0,205
Bizkaia,IURRETA,,910,3,3722,2719,28,2691,38,2653,1003,900,453,2,107,118,,14,490,3,566
Bizkaia,IZURTZA,,50,3,229,199,9,190,,190,30,110,7,0,11,4,,0,4,0,54
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2657,1669,4,1665,16,1649,988,965,192,0,102,19,,3,154,2,212
Bizkaia,KORTEZUBI,,907,4,307,271,1,270,1,269,36,174,6,0,13,1,,0,5,0,70
Álava,KRIPAN,,19,2,170,130,,130,1,129,40,90,24,1,6,1,1,0,2,0,4
Álava,KUARTANGO,,20,2,338,246,1,245,5,240,92,132,32,12,3,8,0,0,1,3,49
Álava,LABASTIDA/BASTIDA,,28,2,979,698,5,693,10,683,281,136,225,56,27,39,0,1,102,0,97
Álava,LAGRÁN,,30,2,185,142,2,140,2,138,43,51,61,6,2,1,1,0,12,0,4
Álava,LAGUARDIA,,31,2,1246,941,8,933,10,923,305,259,421,40,37,11,1,3,83,2,66
Álava,LANCIEGO/LANTZIEGO,,32,2,567,415,5,410,3,407,152,165,113,21,5,3,1,1,80,0,18
Bizkaia,LANESTOSA,,51,2,252,202,,202,,202,50,112,33,0,2,2,,0,38,0,15
Álava,LANTARÓN,,902,2,848,577,4,573,7,566,271,144,178,83,10,28,0,4,60,2,57
Álava,LAPUEBLA DE LABARCA,,33,2,732,607,2,605,6,599,125,302,108,62,35,19,1,0,53,0,19
Bizkaia,LARRABETZU,,52,4,1323,1086,14,1072,4,1068,237,539,46,0,52,17,,1,28,3,382
Gipuzkoa,LARRAUL,,48,3,120,72,,72,1,71,48,17,0,0,7,1,,0,0,0,46
Gipuzkoa,LASARTE-ORIA,,902,1,15122,10651,36,10615,192,10423,4471,1365,1853,17,958,561,,44,3476,66,2083
Álava,LAUDIO/LLODIO,,36,3,16950,12433,77,12356,136,12220,4517,4361,2052,303,590,471,64,12,1903,32,2432
Bizkaia,LAUKIZ,,53,4,810,635,2,633,10,623,175,345,93,1,78,6,,1,23,3,73
Gipuzkoa,LAZKAO,,49,3,4006,2973,13,2960,41,2919,1033,763,327,1,333,121,,0,396,11,967
Gipuzkoa,LEABURU,,50,3,314,234,1,233,2,231,80,31,9,0,35,3,,0,0,0,153
Gipuzkoa,LEGAZPI,,51,3,7827,5717,22,5695,69,5626,2110,1332,712,11,1148,215,,13,872,15,1308
Gipuzkoa,LEGORRETA,,52,3,1195,914,3,911,13,898,281,328,73,0,97,16,,2,105,0,277
Álava,LEGUTIO,,58,2,1131,779,7,772,6,766,352,264,90,18,128,25,2,1,57,1,180
Gipuzkoa,LEINTZ-GATZAGA,,68,4,218,174,1,173,,173,44,56,3,1,23,1,,0,1,0,88
Bizkaia,LEIOA,,54,4,22755,16078,92,15986,271,15715,6677,5401,3012,14,918,1326,,59,2877,84,2024
Bizkaia,LEKEITIO,,57,4,6467,4987,18,4969,31,4938,1480,1882,166,1,896,70,,5,102,13,1803
Bizkaia,LEMOA,,55,3,2132,1842,21,1821,12,1809,290,992,137,0,219,24,,1,96,3,337
Bizkaia,LEMOIZ,,56,4,766,601,4,597,6,591,165,362,20,0,35,12,,1,15,4,142
Álava,LEZA,,34,2,182,139,,139,4,135,43,42,20,4,24,1,2,0,21,1,20
Bizkaia,LEZAMA,,81,4,1716,1344,11,1333,18,1315,372,821,73,1,74,35,,4,47,2,258
Gipuzkoa,LEZO,,53,2,4816,3225,6,3219,47,3172,1591,462,299,4,432,151,,8,445,11,1360
Gipuzkoa,LIZARTZA,,54,3,544,439,2,437,11,426,105,63,19,0,72,1,,0,1,0,270
Bizkaia,LOIU,,903,4,1469,1160,5,1155,12,1143,309,623,199,3,101,26,,2,38,2,149
Bizkaia,MALLABIA,,58,3,936,729,4,725,6,719,207,276,41,0,34,18,,2,67,0,281
Bizkaia,MARKINA-XEMEIN,,60,4,3931,2821,8,2813,9,2804,1110,1345,177,0,234,42,,0,73,3,930
Bizkaia,MARURI-JATABE,,61,4,502,393,5,388,1,387,109,218,32,0,57,12,,0,12,0,56
Bizkaia,MAÑARIA,,59,3,406,323,1,322,6,316,83,180,16,0,14,0,,0,5,0,101
Gipuzkoa,MENDARO,,901,4,1155,881,2,879,9,870,274,402,71,0,103,27,,1,67,1,198
Bizkaia,MENDATA,,62,4,292,256,,256,1,255,36,147,14,0,24,2,,0,1,0,67
Bizkaia,MENDEXA,,63,4,308,258,,258,2,256,50,131,9,0,10,1,,0,2,0,103
Bizkaia,MEÑAKA,,64,4,433,357,1,356,2,354,76,142,11,0,113,2,,0,1,0,85
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,249,185,,185,1,184,64,59,59,5,2,2,0,0,53,0,4
Bizkaia,MORGA,,66,4,342,279,,279,1,278,63,191,8,0,22,1,,0,2,0,54
Bizkaia,MUNDAKA,,68,4,1554,1291,8,1283,6,1277,263,699,48,1,180,15,,0,15,1,318
Bizkaia,MUNGIA,,69,4,10751,7868,26,7842,88,7754,2883,4029,952,9,611,281,,14,566,25,1267
Álava,MUNICIPIO CERA ARABA,,999,99,1920,485,4,481,1,480,1435,92,192,27,18,11,5,7,96,1,31
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,15229,3779,361,3418,5,3413,11450,1288,704,4,128,135,,34,867,27,226
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,9247,2624,347,2277,6,2271,6623,631,447,8,232,110,,24,537,17,265
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,340,280,4,276,2,274,60,153,6,0,20,0,,0,0,0,95
Bizkaia,MURUETA,,908,4,190,150,1,149,6,143,40,90,7,1,11,0,,0,0,1,33
Bizkaia,MUSKIZ,,71,2,5495,4165,39,4126,58,4068,1330,1866,397,3,319,207,,3,756,20,497
Gipuzkoa,MUTILOA,,57,3,143,92,1,91,1,90,51,23,1,0,32,0,,0,0,0,34
Gipuzkoa,MUTRIKU,,56,4,4045,3121,29,3092,14,3078,924,1360,227,1,256,42,,4,93,3,1092
Bizkaia,MUXIKA,,67,4,1232,1032,2,1030,4,1026,200,477,29,0,111,11,,0,4,1,393
Bizkaia,NABARNIZ,,909,4,203,175,,175,,175,28,78,1,0,10,0,,0,1,0,85
Álava,NAVARIDAS,,41,2,182,135,,135,,135,47,33,81,5,4,1,2,0,8,0,1
Gipuzkoa,OIARTZUN,,63,2,7441,5521,19,5502,54,5448,1920,978,378,2,1023,141,,7,200,6,2713
Álava,OKONDO,,42,3,711,627,6,621,4,617,84,217,62,2,206,0,0,2,8,0,120
Gipuzkoa,OLABERRIA,,58,3,890,633,,633,11,622,257,150,100,0,67,29,,4,111,2,159
Bizkaia,ONDARROA,,73,4,8472,6425,32,6393,46,6347,2047,2316,464,0,576,83,,7,162,9,2730
Gipuzkoa,ORDIZIA,,76,3,7631,5626,18,5608,71,5537,2005,1237,749,6,848,301,,9,791,20,1576
Gipuzkoa,ORENDAIN,,905,3,129,96,,96,2,94,33,13,0,0,27,1,,0,0,0,53
Gipuzkoa,OREXA,,60,3,71,67,,67,1,66,4,6,0,0,0,0,,0,0,0,60
Gipuzkoa,ORIO,,61,4,3533,2501,4,2497,35,2462,1032,929,161,0,427,45,,2,207,3,688
Gipuzkoa,ORMAIZTEGI,,62,3,971,810,4,806,7,799,161,312,33,2,158,15,,0,13,1,265
Bizkaia,OROZKO,,75,3,1701,1244,12,1232,11,1221,457,738,135,0,70,13,,4,33,5,223
Bizkaia,ORTUELLA,,83,2,7476,5171,41,5130,74,5056,2305,1275,592,3,372,502,,18,1615,13,666
Bizkaia,OTXANDIO,,72,3,903,722,2,720,4,716,181,326,64,3,62,19,,0,11,0,231
Álava,OYÓN-OION,,43,2,2022,1334,6,1328,10,1318,688,284,472,82,39,81,8,3,229,1,119
Gipuzkoa,OÑATI,,59,4,8936,6669,25,6644,46,6598,2267,2295,529,2,966,166,,9,388,7,2236
Gipuzkoa,PASAIA,,64,2,14853,9202,32,9170,147,9023,5651,1404,1225,12,1273,552,,30,1678,29,2820
Álava,PEÑACERRADA-URIZAHARRA,,44,2,220,178,2,176,1,175,42,70,46,21,7,4,0,1,9,0,17
Bizkaia,PLENTZIA,,77,4,2831,2236,12,2224,21,2203,595,1129,276,1,207,78,,4,119,6,383
Bizkaia,PORTUGALETE,,78,2,46648,32034,186,31848,527,31321,14614,7787,6769,53,1296,2942,,109,9011,148,3206
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,428,301,2,299,2,297,127,90,111,9,3,7,2,0,56,1,18
Álava,SAMANIEGO,,52,2,242,183,2,181,3,178,59,84,17,2,3,5,2,0,41,1,23
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,595,361,1,360,1,359,234,136,82,22,22,13,0,0,7,0,77
Bizkaia,SANTURTZI,,82,2,41807,27855,153,27702,367,27335,13952,6965,5142,51,1128,2515,,82,7488,156,3808
Gipuzkoa,SEGURA,,70,3,1030,860,7,853,11,842,170,193,22,2,296,10,,0,9,0,310
Bizkaia,SESTAO,,84,2,29270,18588,116,18472,274,18198,10682,3934,3525,23,735,1949,,57,5628,77,2270
Bizkaia,SONDIKA,,904,4,3270,2558,15,2543,40,2503,712,1418,296,1,152,59,,7,238,5,327
Bizkaia,SOPELA,,85,4,7950,5731,23,5708,90,5618,2219,2198,741,8,390,348,,12,633,16,1272
Bizkaia,SOPUERTA,,86,2,1954,1420,14,1406,15,1391,534,546,162,1,246,67,,4,173,3,189
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3750,2815,16,2799,19,2780,935,765,439,4,337,83,,4,423,8,717
Bizkaia,SUKARRIETA,,76,4,300,257,4,253,1,252,43,125,23,0,43,7,,0,6,1,47
Gipuzkoa,TOLOSA,,71,3,15363,10785,29,10756,166,10590,4578,2561,1488,13,1862,502,,18,912,29,3205
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,459,360,4,356,,356,99,204,59,0,38,6,,2,23,0,24
Bizkaia,UBIDE,,88,3,141,127,,127,,127,14,50,11,0,7,4,,0,1,0,54
Bizkaia,UGAO-MIRABALLES,,65,3,3501,2509,15,2494,33,2461,992,969,306,3,179,67,,3,350,10,574
Bizkaia,URDULIZ,,89,4,2432,1819,11,1808,12,1796,613,820,168,1,138,61,,5,177,8,418
Bizkaia,URDUÑA/ORDUÑA,,74,3,3346,2525,23,2502,21,2481,821,1068,441,7,221,82,,12,221,13,416
Álava,URKABUSTAIZ,,54,2,710,521,4,517,1,516,189,170,109,15,36,27,1,1,29,1,127
Gipuzkoa,URNIETA,,72,1,4322,2918,13,2905,35,2870,1404,904,359,4,254,136,,4,543,7,659
Gipuzkoa,URRETXU,,77,3,5386,4066,22,4044,45,3999,1320,776,440,7,869,207,,8,761,13,918
Gipuzkoa,USURBIL,,73,1,4419,3227,20,3207,42,3165,1192,628,261,1,376,82,,10,326,6,1475
Álava,VALDEGOVÍA/GAUBEA,,55,2,857,607,2,605,7,598,250,238,166,62,18,12,5,0,31,1,65
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10859,7550,45,7505,113,7392,3309,2173,882,2,263,678,,13,2327,30,1024
Gipuzkoa,VILLABONA,,75,3,4464,3191,17,3174,32,3142,1273,667,312,3,531,133,,8,336,5,1147
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,290,243,3,240,2,238,47,116,46,13,12,2,1,0,8,1,39
Álava,VITORIA-GASTEIZ,,59,1,183380,127992,699,127293,1840,125453,55388,22371,36435,12553,7227,8135,679,322,23436,640,13655
Álava,YÉCORA/IEKORA,,60,2,223,160,1,159,,159,63,52,60,26,1,1,1,0,12,1,5
Bizkaia,ZALDIBAR,,95,3,2460,1695,9,1686,16,1670,765,488,324,1,112,75,,5,293,6,366
Gipuzkoa,ZALDIBIA,,78,3,1309,994,5,989,10,979,315,122,48,2,123,18,,1,54,1,610
Álava,ZALDUONDO,,61,2,114,94,,94,1,93,20,31,5,9,5,5,0,0,4,0,34
Bizkaia,ZALLA,,96,2,6394,5087,68,5019,65,4954,1307,2779,450,7,390,171,,8,644,18,487
Álava,ZAMBRANA,,62,2,330,256,1,255,2,253,74,106,68,26,6,12,0,2,19,3,11
Bizkaia,ZAMUDIO,,905,4,2551,1833,6,1827,17,1810,718,826,202,0,86,54,,7,246,6,383
