TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EHB,PH,PSE-EE/PSOE,PLN-LNA,EH
Bizkaia,ABADIÑO,,1,3,5702,4036,13,4023,46,3977,1666,1225,664,5,212,181,,17,713,14,946
Gipuzkoa,ABALTZISKETA,,1,3,223,144,,144,,144,79,37,3,0,31,7,,1,0,0,65
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7538,5068,42,5026,82,4944,2470,1373,445,4,242,567,,7,1527,24,755
Gipuzkoa,ADUNA,,2,3,274,207,1,206,3,203,67,25,3,0,53,3,,0,2,1,116
Álava,AGURAIN/SALVATIERRA,,51,2,3257,2139,18,2121,29,2092,1118,540,309,85,294,85,5,4,363,4,403
Gipuzkoa,AIA,,16,4,1371,940,4,936,1,935,431,455,17,0,162,6,,0,5,0,290
Gipuzkoa,AIZARNAZABAL,,3,4,434,295,3,292,3,289,139,62,2,0,47,2,,0,0,0,176
Bizkaia,AJANGIZ,,911,4,355,316,2,314,1,313,39,127,3,0,26,5,,0,2,0,150
Gipuzkoa,ALBIZTUR,,4,3,240,144,1,143,2,141,96,68,3,0,32,0,,0,0,0,38
Gipuzkoa,ALEGIA,,5,3,1393,1032,3,1029,6,1023,361,204,60,0,255,25,,0,53,0,426
Álava,ALEGRÍA-DULANTZI,,1,2,1042,736,,736,6,730,306,243,153,24,60,24,4,1,115,5,101
Gipuzkoa,ALKIZA,,6,3,223,136,,136,3,133,87,46,1,0,30,8,,0,0,0,48
Bizkaia,ALONSOTEGI,,912,2,2516,2017,29,1988,24,1964,499,809,199,0,336,90,,2,225,3,300
Gipuzkoa,ALTZAGA,,906,3,82,55,,55,,55,27,7,1,0,9,0,,0,0,0,38
Gipuzkoa,ALTZO,,7,3,277,203,,203,,203,74,62,3,0,24,1,,0,0,0,113
Gipuzkoa,AMEZKETA,,8,3,856,533,7,526,3,523,323,127,25,0,85,15,,0,4,0,267
Bizkaia,AMOREBIETA-ETXANO,,3,3,13765,10516,53,10463,106,10357,3249,4016,1024,19,771,746,,31,1397,48,2305
Bizkaia,AMOROTO,,4,4,306,243,,243,2,241,63,148,2,0,10,1,,0,0,1,79
Álava,AMURRIO,,2,3,8181,6217,67,6150,77,6073,1964,2057,1036,111,866,226,22,9,744,19,983
Gipuzkoa,ANDOAIN,,9,3,12299,8367,29,8338,103,8235,3932,1618,1248,18,898,402,,25,1804,46,2176
Gipuzkoa,ANOETA,,10,3,1398,969,5,964,2,962,429,223,104,1,132,22,,4,78,1,397
Gipuzkoa,ANTZUOLA,,11,4,1622,1317,4,1313,5,1308,305,346,75,0,154,33,,0,161,3,536
Bizkaia,ARAKALDO,,5,3,84,67,3,64,,64,17,31,4,0,4,1,,0,1,0,23
Gipuzkoa,ARAMA,,12,3,144,112,1,111,,111,32,27,2,0,20,2,,0,2,0,58
Álava,ARAMAIO,,3,2,1169,950,2,948,10,938,219,304,22,5,254,13,1,0,17,0,322
Bizkaia,ARANTZAZU,,6,3,243,208,,208,1,207,35,77,13,0,21,4,,0,7,0,85
Bizkaia,AREATZA,,93,3,901,749,13,736,6,730,152,345,100,1,54,13,,0,35,3,179
