TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EKA,EHB,UVE,J.V.
Bizkaia,ABADIÑO,,1,3,5234,3179,27,3152,33,3119,2055,1134,687,86,693,143,,341,24,,3,8,,
Gipuzkoa,ABALTZISKETA,,1,3,242,120,2,118,2,116,122,24,0,0,31,5,,56,0,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7611,5029,54,5021,41,4980,2582,1116,1521,27,710,1165,,180,217,42,2,,,
Gipuzkoa,ADUNA,,2,3,262,197,2,195,1,194,65,32,0,0,88,4,,67,3,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2821,1864,13,1851,14,1837,957,341,246,31,297,37,200,666,19,,,,,
Gipuzkoa,AIA,,16,4,1412,1008,2,1006,3,1003,404,480,3,1,256,11,,252,0,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,411,255,,255,4,251,156,33,1,1,141,4,,71,0,,,,,
Bizkaia,AJANGIZ,,911,4,290,259,1,258,1,257,31,97,0,0,122,2,,36,0,,0,0,,
Gipuzkoa,ALBIZTUR,,4,3,249,134,,134,1,133,115,44,0,3,28,4,,54,0,,,,,
Gipuzkoa,ALEGIA,,5,3,1339,984,4,980,9,971,355,125,44,4,352,23,,420,3,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,761,494,2,492,6,486,267,216,94,26,29,57,44,18,2,,,,,
Gipuzkoa,ALKIZA,,6,3,217,139,2,137,1,136,78,4,0,0,30,69,,33,0,,,,,
Bizkaia,ALONSOTEGI,,912,2,2523,2127,25,2114,16,2098,396,790,65,24,324,270,,612,7,4,2,,,
Gipuzkoa,ALTZAGA,,906,3,82,63,1,62,,62,19,11,0,0,33,4,,14,0,,,,,
Gipuzkoa,ALTZO,,7,3,276,209,,209,,209,67,62,0,0,107,3,,37,0,,,,,
Gipuzkoa,AMEZKETA,,8,3,889,434,17,417,8,409,455,62,1,3,203,8,,132,0,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,12390,8524,86,8438,65,8373,3866,3552,1294,112,1750,411,,761,438,,5,50,,
Bizkaia,AMOROTO,,4,4,338,236,,236,3,233,102,148,2,0,55,1,,26,0,,0,1,,
Álava,AMURRIO,,2,3,7364,5220,70,5150,50,5100,2144,1175,620,371,822,358,184,1570,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11971,7448,47,7401,60,7341,4523,1140,1764,272,1647,1260,,1207,51,,,,,
Gipuzkoa,ANOETA,,10,3,1372,937,3,934,13,921,435,111,82,1,356,41,,327,3,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1669,1396,8,1388,23,1365,273,402,218,5,413,85,,238,4,,,,,
Bizkaia,ARAKALDO,,5,3,88,74,,74,,74,14,39,0,0,33,1,,1,0,,0,0,,
Gipuzkoa,ARAMA,,12,3,126,77,,77,,77,49,22,1,0,30,1,,23,0,,,,,
Álava,ARAMAIO,,3,2,1112,798,7,791,8,783,314,255,13,5,201,9,0,298,2,,,,,
Bizkaia,ARANTZAZU,,6,3,246,225,2,223,1,222,21,126,0,0,79,6,,10,0,,1,0,,
Bizkaia,AREATZA,,93,3,958,761,12,749,16,733,197,377,7,68,106,105,,64,1,,3,2,,
Gipuzkoa,ARETXABALETA,,13,4,4756,3325,18,3307,32,3275,1431,789,531,9,883,116,,922,25,,,,,
Álava,ARMIÑÓN,,6,2,127,80,2,78,,78,47,26,2,26,4,2,16,1,1,,,,,
Álava,ARRAIA-MAEZTU,,37,2,684,368,6,362,2,360,316,129,42,67,26,2,47,45,2,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,639,570,3,567,4,563,69,325,4,1,204,4,,23,1,,0,1,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20218,12896,90,12806,104,12702,7322,2694,3102,524,3239,743,,2112,288,,,,,
