TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,U.AL.,EA,EB-B,CDS,EHB,PST,AR,LKI-EMK,DS,LVE,PH,ARM-ADE,PCE(M-L),EK-PCPE
Bizkaia,ABADIÑO,,1,3,5181,3216,14,3202,23,3179,1965,1108,613,146,735,143,5,295,37,12,6,16,2,2,22,29,1,4,1,2
Gipuzkoa,ABALTZISKETA,,1,3,242,139,,139,,139,103,26,1,0,50,4,0,57,0,0,0,1,0,0,0,0,0,0,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7562,4398,19,4379,42,4337,3164,1072,1206,106,818,603,1,236,200,12,30,7,0,2,17,9,1,13,2,2
Gipuzkoa,ADUNA,,2,3,257,188,,188,,188,69,27,0,2,83,4,0,68,3,0,1,0,0,0,0,0,0,0,,
Álava,AGURAIN/SALVATIERRA,,51,2,2788,1684,12,1670,6,1666,1104,462,284,48,276,92,101,301,16,22,12,11,4,1,7,8,1,20,,
Gipuzkoa,AIA,,16,4,1399,846,2,844,4,840,553,367,10,2,261,16,0,180,0,0,3,0,0,0,0,0,1,0,,
Gipuzkoa,AIZARNAZABAL,,3,4,408,260,,260,,260,148,50,5,2,141,4,0,56,0,0,0,1,0,0,0,1,0,0,,
Gipuzkoa,ALBIZTUR,,4,3,246,137,,137,3,134,109,38,0,4,38,5,0,46,0,0,0,0,0,0,0,0,0,3,,
Gipuzkoa,ALEGIA,,5,3,1335,933,1,932,11,921,402,156,55,14,310,32,0,342,4,0,5,0,1,0,0,1,0,1,,
Álava,ALEGRÍA-DULANTZI,,1,2,754,472,4,463,5,463,282,199,102,31,32,15,36,18,4,8,2,6,0,0,6,3,0,1,,
Gipuzkoa,ALKIZA,,6,3,213,140,,140,,140,73,14,0,0,40,47,0,39,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,ALTZAGA,,906,3,80,63,1,62,,62,17,11,0,0,33,4,0,13,0,0,0,0,0,0,0,0,0,1,,
Gipuzkoa,ALTZO,,7,3,275,166,,166,,166,109,29,0,2,93,2,0,40,0,0,0,0,0,0,0,0,0,0,,
Gipuzkoa,AMEZKETA,,8,3,890,447,,447,4,443,443,91,3,17,196,21,1,114,0,0,0,0,0,0,0,0,0,0,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,12280,8544,50,8494,51,8443,3736,3105,1414,185,2000,440,0,821,331,14,26,15,2,6,8,41,5,13,3,14
Bizkaia,AMOROTO,,4,4,338,257,,257,2,255,81,146,2,0,71,2,0,33,0,0,1,0,0,0,0,0,0,0,0,0
Álava,AMURRIO,,2,3,7295,5096,30,5059,31,5035,2199,1425,802,432,877,337,64,981,13,30,15,8,4,4,14,11,1,17,,
Gipuzkoa,ANDOAIN,,9,3,11845,7279,28,7251,64,7187,4566,1235,1840,299,1725,799,1,1086,83,18,13,17,2,2,12,32,4,19,,
Gipuzkoa,ANOETA,,10,3,1352,856,,856,4,852,496,132,120,10,295,51,0,218,6,5,3,1,1,0,1,5,0,4,,
Gipuzkoa,ANTZUOLA,,11,4,1658,1398,1,1397,16,1381,260,379,244,20,421,71,0,222,9,0,5,0,1,2,0,5,2,0,,
Bizkaia,ARAKALDO,,5,3,84,57,,57,,57,27,27,2,2,21,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,125,97,,97,,97,28,21,2,0,42,3,0,29,0,0,0,0,0,0,0,0,0,0,,
Álava,ARAMAIO,,3,2,1114,797,4,793,7,786,317,220,13,11,213,17,1,298,3,1,0,3,0,1,0,0,0,5,,
Bizkaia,ARANTZAZU,,6,3,243,208,,208,1,207,35,109,2,1,69,10,0,15,0,0,0,0,0,0,0,0,0,1,0,0
Bizkaia,AREATZA,,93,3,959,765,2,763,11,752,194,340,45,76,116,80,0,84,2,0,3,1,0,0,0,3,0,1,0,1
Gipuzkoa,ARETXABALETA,,13,4,4702,3225,21,3204,39,3165,1477,713,525,23,948,135,2,727,38,13,16,6,2,0,3,8,2,4,,
Álava,ARMIÑÓN,,6,2,124,85,,85,,85,39,34,5,19,1,3,17,0,0,0,0,0,0,0,0,0,0,6,,
Álava,ARRAIA-MAEZTU,,37,2,678,384,8,376,2,374,294,156,48,31,40,11,29,35,2,18,1,0,1,1,0,0,0,1,,
Bizkaia,ARRANKUDIAGA,,9,3,635,504,4,500,,500,131,260,18,3,183,9,1,24,1,0,1,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20127,12976,33,12943,78,12865,7151,2716,3016,523,3298,836,2,1949,262,56,41,40,5,16,13,55,16,21,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,521,301,2,299,4,295,220,101,33,31,47,17,29,17,0,5,1,0,0,0,2,3,1,8,,
Bizkaia,ARRIETA,,10,4,389,277,1,276,,276,112,166,2,8,54,4,0,41,1,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,7396,4497,26,4471,24,4447,2899,1669,949,123,950,386,2,227,45,14,21,7,3,3,18,5,3,12,1,9
Bizkaia,ARTEA,,23,3,535,478,2,476,3,473,57,186,1,31,103,6,0,143,2,0,0,0,0,0,0,0,0,1,0,0
Bizkaia,ARTZENTALES,,8,2,599,424,2,422,3,419,175,261,12,16,61,10,1,53,0,0,0,0,0,0,0,4,0,0,1,0
Álava,ARTZINIEGA,,4,3,926,658,3,655,7,648,268,282,41,116,125,33,4,29,0,4,3,2,0,1,3,1,0,4,,
Álava,ASPARRENA,,9,2,1302,786,5,781,3,778,516,271,89,30,163,67,45,88,2,6,4,0,1,1,2,6,0,3,,
Gipuzkoa,ASTEASU,,14,3,944,566,,566,,566,378,62,27,5,249,18,0,193,1,1,1,2,0,0,0,3,0,4,,
Gipuzkoa,ASTIGARRAGA,,903,1,2460,1609,17,1592,4,1588,851,345,114,17,658,74,0,361,2,2,2,2,2,0,0,4,2,3,,
Gipuzkoa,ATAUN,,15,3,1480,1122,5,1117,12,1105,358,207,12,0,478,113,0,291,1,0,2,0,0,1,0,0,0,0,,
Bizkaia,ATXONDO,,91,3,1154,845,5,840,10,830,309,454,44,9,238,26,0,52,1,2,0,0,0,0,2,2,0,0,0,0
Bizkaia,AULESTI,,70,4,596,420,3,417,2,415,176,183,6,3,188,7,0,25,0,1,0,0,0,0,0,0,1,0,0,1
Álava,AYALA/AIARA,,10,3,1739,1253,2,1251,13,1238,486,492,46,200,175,57,17,219,3,2,6,3,0,1,6,3,0,8,,
Gipuzkoa,AZKOITIA,,17,4,8338,5553,51,5502,25,5477,2785,2399,678,312,1017,242,0,748,20,13,11,7,0,3,3,16,4,4,,
Gipuzkoa,AZPEITIA,,18,4,10172,6733,17,6716,43,6673,3439,2326,420,240,1250,349,2,2041,8,9,10,7,0,0,1,6,1,3,,
Álava,AÑANA,,49,2,177,139,2,137,,137,38,57,19,11,19,9,9,9,1,1,1,0,0,0,0,0,0,1,,
Bizkaia,BAKIO,,12,4,1014,813,7,806,1,805,201,493,12,21,129,31,0,109,0,2,3,0,0,1,1,0,1,1,0,1
Gipuzkoa,BALIARRAIN,,904,3,86,62,,62,1,61,24,13,0,0,38,0,0,10,0,0,0,0,0,0,0,0,0,0,,
